Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1045.0,1045.0,1045.0,1045.0,1045.0,400
2020-01-03,1050.0,1050.0,1060.0,1045.0,1045.0,1300
2020-01-06,1050.0,1050.0,1050.0,1050.0,1050.0,300
2020-01-07,1065.0,1065.0,1080.0,1025.0,1050.0,20600
2020-01-08,1060.0,1060.0,1060.0,1030.0,1030.0,29800
2020-01-09,1050.0,1050.0,1060.0,1025.0,1055.0,55200
2020-01-10,1050.0,1050.0,1055.0,1030.0,1035.0,17200
2020-01-13,1040.0,1040.0,1050.0,1010.0,1050.0,50800
2020-01-14,1040.0,1040.0,1040.0,1020.0,1020.0,63000
2020-01-15,1025.0,1025.0,1040.0,1010.0,1040.0,22700
2020-01-16,1025.0,1025.0,1025.0,1015.0,1015.0,2300
2020-01-17,1020.0,1020.0,1020.0,1015.0,1020.0,8700
2020-01-20,1005.0,1005.0,1005.0,1005.0,1005.0,7500
2020-01-21,915.0,915.0,1005.0,915.0,1005.0,237900
2020-01-22,980.0,980.0,1000.0,945.0,965.0,48100
2020-01-23,985.0,985.0,990.0,970.0,980.0,49300
2020-01-24,990.0,990.0,1000.0,935.0,985.0,16600
2020-01-27,980.0,980.0,985.0,950.0,980.0,9000
2020-01-28,980.0,980.0,990.0,940.0,980.0,8300
2020-01-29,980.0,980.0,980.0,945.0,980.0,1000
2020-01-30,970.0,970.0,1040.0,965.0,975.0,358600
2020-01-31,970.0,970.0,970.0,955.0,955.0,1500
2020-02-03,950.0,950.0,950.0,950.0,950.0,5200
2020-02-04,970.0,970.0,970.0,935.0,950.0,4200
2020-02-05,960.0,960.0,970.0,960.0,970.0,5400
2020-02-06,960.0,960.0,960.0,930.0,960.0,3800
2020-02-07,955.0,955.0,960.0,940.0,940.0,2500
2020-02-10,925.0,925.0,955.0,915.0,955.0,1600
2020-02-11,910.0,910.0,925.0,900.0,925.0,175100
2020-02-12,910.0,910.0,910.0,880.0,890.0,51700
2020-02-13,910.0,910.0,915.0,900.0,910.0,4400
2020-02-14,910.0,910.0,910.0,910.0,910.0,3000
2020-02-17,910.0,910.0,925.0,880.0,885.0,38300
2020-02-18,910.0,910.0,915.0,910.0,910.0,800
2020-02-19,910.0,910.0,910.0,910.0,910.0,23100
2020-02-20,910.0,910.0,920.0,910.0,910.0,14000
2020-02-21,890.0,890.0,910.0,890.0,910.0,200
2020-02-24,890.0,890.0,890.0,880.0,890.0,61400
2020-02-25,900.0,900.0,900.0,875.0,875.0,2100
2020-02-26,880.0,880.0,900.0,880.0,900.0,14300
2020-02-27,895.0,895.0,895.0,880.0,880.0,47600
2020-02-28,825.0,825.0,865.0,780.0,865.0,21400
2020-03-02,845.0,845.0,870.0,805.0,825.0,15300
2020-03-03,880.0,880.0,885.0,845.0,845.0,22700
2020-03-04,895.0,895.0,895.0,880.0,880.0,13400
2020-03-05,895.0,895.0,895.0,895.0,895.0,3400
2020-03-06,835.0,835.0,895.0,835.0,895.0,1000
2020-03-09,785.0,785.0,835.0,785.0,835.0,70000
2020-03-10,800.0,800.0,820.0,780.0,780.0,8500
2020-03-11,790.0,790.0,835.0,790.0,800.0,15200
2020-03-12,740.0,740.0,785.0,730.0,775.0,60600
2020-03-13,740.0,740.0,740.0,740.0,740.0,0
2020-03-16,740.0,740.0,740.0,740.0,740.0,0
2020-03-17,650.0,650.0,650.0,645.0,645.0,17300
2020-03-18,610.0,610.0,655.0,610.0,650.0,25700
2020-03-19,570.0,570.0,610.0,570.0,570.0,19600
2020-03-20,705.0,705.0,705.0,570.0,570.0,187900
2020-03-23,700.0,700.0,700.0,660.0,700.0,8200
2020-03-24,695.0,695.0,705.0,655.0,690.0,34900
2020-03-26,700.0,700.0,715.0,670.0,695.0,39300
2020-03-27,725.0,725.0,760.0,715.0,715.0,22500
2020-03-30,700.0,700.0,700.0,700.0,700.0,1800
2020-03-31,700.0,700.0,700.0,700.0,700.0,0
2020-04-01,730.0,730.0,785.0,730.0,740.0,61800
2020-04-02,775.0,775.0,775.0,725.0,730.0,8900
2020-04-03,725.0,725.0,775.0,725.0,775.0,84900
2020-04-06,735.0,735.0,740.0,720.0,725.0,76000
2020-04-07,735.0,735.0,795.0,735.0,735.0,52200
2020-04-08,730.0,730.0,775.0,700.0,775.0,53400
2020-04-09,755.0,755.0,755.0,700.0,740.0,10400
2020-04-13,750.0,750.0,750.0,720.0,750.0,15200
2020-04-14,745.0,745.0,750.0,730.0,750.0,15500
2020-04-15,730.0,730.0,750.0,730.0,745.0,18900
2020-04-16,680.0,680.0,730.0,680.0,730.0,57600
2020-04-17,720.0,720.0,720.0,700.0,720.0,70000
2020-04-20,710.0,710.0,720.0,710.0,720.0,29600
2020-04-21,705.0,705.0,705.0,675.0,705.0,116900
2020-04-22,740.0,740.0,740.0,670.0,695.0,52600
2020-04-23,735.0,735.0,790.0,730.0,750.0,40000
2020-04-24,730.0,730.0,745.0,705.0,735.0,54600
2020-04-27,730.0,730.0,740.0,715.0,715.0,37700
2020-04-28,730.0,730.0,745.0,710.0,730.0,75200
2020-04-29,745.0,745.0,775.0,730.0,730.0,91100
2020-04-30,790.0,790.0,860.0,765.0,785.0,139600
2020-05-04,785.0,785.0,795.0,775.0,790.0,11100
2020-05-05,800.0,800.0,800.0,750.0,790.0,16700
2020-05-06,835.0,835.0,840.0,800.0,840.0,3800
2020-05-08,850.0,850.0,890.0,785.0,785.0,39900
2020-05-11,815.0,815.0,870.0,795.0,840.0,98100
2020-05-12,820.0,820.0,845.0,820.0,845.0,7900
2020-05-13,810.0,810.0,815.0,770.0,775.0,10200
2020-05-14,800.0,800.0,810.0,760.0,810.0,9000
2020-05-15,815.0,815.0,815.0,755.0,800.0,8300
2020-05-18,815.0,815.0,815.0,790.0,815.0,5100
2020-05-19,820.0,820.0,825.0,815.0,815.0,12200
2020-05-20,815.0,815.0,825.0,800.0,820.0,2900
2020-05-26,815.0,815.0,825.0,780.0,815.0,10100
2020-05-27,875.0,875.0,920.0,810.0,815.0,222600
2020-05-28,940.0,940.0,980.0,875.0,875.0,220400
2020-05-29,960.0,960.0,985.0,920.0,950.0,102500
2020-06-02,895.0,895.0,970.0,895.0,960.0,222000
2020-06-03,885.0,885.0,905.0,880.0,905.0,79100
2020-06-04,880.0,880.0,905.0,865.0,905.0,109400
2020-06-05,880.0,880.0,880.0,870.0,875.0,106800
2020-06-08,900.0,900.0,905.0,870.0,880.0,305400
2020-06-09,895.0,895.0,930.0,880.0,915.0,60700
2020-06-10,855.0,855.0,885.0,835.0,885.0,113400
2020-06-11,860.0,860.0,860.0,840.0,860.0,65500
2020-06-12,825.0,825.0,860.0,800.0,860.0,341400
2020-06-15,810.0,810.0,825.0,805.0,825.0,45900
2020-06-16,855.0,855.0,880.0,820.0,820.0,154800
2020-06-17,855.0,855.0,880.0,835.0,875.0,125700
2020-06-18,875.0,875.0,900.0,850.0,880.0,109500
2020-06-19,860.0,860.0,890.0,830.0,875.0,18700
2020-06-22,855.0,855.0,860.0,840.0,860.0,8100
2020-06-23,845.0,845.0,860.0,840.0,860.0,17600
2020-06-24,840.0,840.0,850.0,840.0,845.0,48600
2020-06-25,840.0,840.0,845.0,830.0,835.0,6100
2020-06-26,840.0,840.0,860.0,840.0,840.0,3300
2020-06-29,845.0,845.0,910.0,835.0,860.0,143200
2020-06-30,865.0,865.0,865.0,850.0,860.0,67000
2020-07-01,855.0,855.0,865.0,855.0,865.0,11500
2020-07-02,850.0,850.0,890.0,845.0,855.0,31800
2020-07-03,845.0,845.0,870.0,840.0,850.0,25200
2020-07-06,850.0,850.0,870.0,845.0,865.0,55800
2020-07-07,845.0,845.0,855.0,840.0,855.0,66000
2020-07-08,850.0,850.0,860.0,840.0,845.0,14400
2020-07-09,855.0,855.0,860.0,850.0,860.0,9500
2020-07-10,855.0,855.0,865.0,850.0,850.0,33900
2020-07-13,860.0,860.0,875.0,855.0,860.0,50100
2020-07-14,860.0,860.0,865.0,850.0,860.0,37600
2020-07-15,860.0,860.0,865.0,855.0,855.0,16500
2020-07-16,860.0,860.0,880.0,860.0,880.0,24400
2020-07-17,860.0,860.0,870.0,855.0,860.0,49800
2020-07-20,855.0,855.0,865.0,850.0,860.0,50900
2020-07-21,865.0,865.0,865.0,860.0,865.0,31100
2020-07-22,870.0,870.0,885.0,855.0,885.0,29200
2020-07-23,910.0,910.0,930.0,875.0,875.0,571300
2020-07-24,900.0,900.0,920.0,870.0,920.0,165500
2020-07-27,900.0,900.0,920.0,880.0,900.0,64700
2020-07-28,880.0,880.0,905.0,880.0,900.0,87900
2020-07-29,1000.0,1000.0,1050.0,890.0,900.0,829100
2020-07-30,990.0,990.0,1030.0,970.0,1020.0,197200
2020-08-03,940.0,940.0,1000.0,940.0,990.0,133700
2020-08-04,975.0,975.0,1020.0,940.0,940.0,250800
2020-08-05,1000.0,1000.0,1000.0,970.0,975.0,177200
2020-08-06,990.0,990.0,1010.0,990.0,1010.0,178500
2020-08-07,995.0,995.0,1005.0,985.0,990.0,140500
2020-08-10,1040.0,1040.0,1040.0,990.0,995.0,125400
2020-08-11,1090.0,1090.0,1105.0,1040.0,1045.0,220200
2020-08-12,1110.0,1110.0,1115.0,1080.0,1095.0,88400
2020-08-13,1135.0,1135.0,1140.0,1100.0,1110.0,102700
2020-08-14,1170.0,1170.0,1220.0,1115.0,1135.0,315800
2020-08-18,1195.0,1195.0,1210.0,1150.0,1155.0,330100
2020-08-19,1180.0,1180.0,1195.0,1170.0,1195.0,112100
2020-08-24,1245.0,1245.0,1250.0,1170.0,1180.0,622500
2020-08-25,1295.0,1295.0,1310.0,1245.0,1245.0,200200
2020-08-26,1350.0,1350.0,1360.0,1265.0,1295.0,543300
2020-08-27,1335.0,1335.0,1395.0,1335.0,1355.0,361100
2020-08-28,1300.0,1300.0,1360.0,1290.0,1335.0,372900
2020-08-31,1225.0,1225.0,1320.0,1225.0,1300.0,211000
2020-09-01,1230.0,1230.0,1275.0,1190.0,1225.0,188400
2020-09-02,1245.0,1245.0,1290.0,1230.0,1230.0,173800
2020-09-03,1260.0,1260.0,1280.0,1225.0,1250.0,210800
2020-09-04,1250.0,1250.0,1270.0,1215.0,1270.0,90000
2020-09-07,1235.0,1235.0,1250.0,1205.0,1250.0,285400
2020-09-08,1200.0,1200.0,1240.0,1200.0,1240.0,153000
2020-09-09,1135.0,1135.0,1200.0,1135.0,1200.0,106000
2020-09-10,1060.0,1060.0,1135.0,1060.0,1100.0,305100
2020-09-11,1115.0,1115.0,1150.0,990.0,1060.0,196700
