Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,342.3016357421875,380.0,428.0,370.0,370.0,13300
2020-01-03,369.3254699707031,410.0,418.0,382.0,418.0,6000
2020-01-06,369.3254699707031,410.0,410.0,410.0,410.0,200
2020-01-07,369.3254699707031,410.0,410.0,410.0,410.0,6200
2020-01-08,369.3254699707031,410.0,410.0,408.0,408.0,23700
2020-01-09,369.3254699707031,410.0,410.0,410.0,410.0,100
2020-01-10,369.3254699707031,410.0,410.0,410.0,410.0,200
2020-01-13,369.3254699707031,410.0,410.0,410.0,410.0,0
2020-01-14,369.3254699707031,410.0,410.0,410.0,410.0,100
2020-01-15,344.10321044921875,382.0,432.0,382.0,410.0,12700
2020-01-16,344.10321044921875,382.0,382.0,382.0,382.0,0
2020-01-17,344.10321044921875,382.0,382.0,382.0,382.0,0
2020-01-20,344.10321044921875,382.0,382.0,382.0,382.0,0
2020-01-21,344.10321044921875,382.0,382.0,382.0,382.0,100
2020-01-22,344.10321044921875,382.0,382.0,382.0,382.0,0
2020-01-23,344.10321044921875,382.0,382.0,382.0,382.0,0
2020-01-24,344.10321044921875,382.0,382.0,382.0,382.0,0
2020-01-27,331.49212646484375,368.0,368.0,368.0,368.0,100
2020-01-28,331.49212646484375,368.0,370.0,368.0,370.0,11500
2020-01-29,317.0794372558594,352.0,366.0,340.0,366.0,11400
2020-01-30,311.6746520996094,346.0,388.0,342.0,342.0,1800
2020-01-31,306.2698669433594,340.0,340.0,336.0,336.0,300
2020-02-03,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-04,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-05,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-06,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-07,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-10,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-11,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-02-12,360.3175354003906,400.0,420.0,360.0,380.0,10800
2020-02-13,360.3175354003906,400.0,400.0,400.0,400.0,0
2020-02-14,360.3175354003906,400.0,400.0,400.0,400.0,0
2020-02-17,360.3175354003906,400.0,400.0,400.0,400.0,100
2020-02-18,360.3175354003906,400.0,400.0,400.0,400.0,0
2020-02-19,315.27783203125,350.0,350.0,350.0,350.0,12500
2020-02-20,315.27783203125,350.0,350.0,350.0,350.0,1300
2020-02-21,315.27783203125,350.0,350.0,332.0,332.0,10900
2020-02-24,335.09527587890625,372.0,372.0,360.0,360.0,2800
2020-02-25,331.49212646484375,368.0,372.0,340.0,342.0,18100
2020-02-26,331.49212646484375,368.0,368.0,368.0,368.0,500
2020-02-27,331.49212646484375,368.0,368.0,368.0,368.0,700
2020-02-28,331.49212646484375,368.0,368.0,368.0,368.0,0
2020-03-02,331.49212646484375,368.0,368.0,368.0,368.0,0
2020-03-03,331.49212646484375,368.0,368.0,368.0,368.0,0
2020-03-04,331.49212646484375,368.0,368.0,368.0,368.0,0
2020-03-05,331.49212646484375,368.0,368.0,368.0,368.0,0
2020-03-06,329.6905212402344,366.0,366.0,366.0,366.0,500
2020-03-09,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-10,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-11,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-12,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-13,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-16,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-17,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-18,329.6905212402344,366.0,366.0,366.0,366.0,0
2020-03-19,313.47625732421875,348.0,348.0,348.0,348.0,100
2020-03-20,297.261962890625,330.0,348.0,330.0,348.0,1200
2020-03-23,279.24609375,310.0,310.0,310.0,310.0,1100
2020-03-24,261.230224609375,290.0,290.0,290.0,290.0,30200
2020-03-26,261.230224609375,290.0,290.0,272.0,272.0,300
2020-03-27,261.230224609375,290.0,362.0,284.0,362.0,300
2020-03-30,246.81748962402344,274.0,274.0,274.0,274.0,100
2020-03-31,230.60321044921875,256.0,256.0,256.0,256.0,200
2020-04-01,230.60321044921875,256.0,256.0,256.0,256.0,0
2020-04-02,268.4365234375,298.0,298.0,298.0,298.0,900
2020-04-03,286.4524230957031,318.0,320.0,318.0,320.0,300
2020-04-06,279.24609375,310.0,316.0,300.0,316.0,600
2020-04-07,297.261962890625,330.0,330.0,330.0,330.0,600
2020-04-08,297.261962890625,330.0,330.0,330.0,330.0,200
2020-04-09,324.2857666015625,360.0,360.0,350.0,350.0,600
2020-04-13,324.2857666015625,360.0,422.0,340.0,340.0,1600
2020-04-14,306.2698669433594,340.0,380.0,340.0,380.0,30100
2020-04-15,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-04-16,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-04-17,306.2698669433594,340.0,340.0,340.0,340.0,0
2020-04-20,324.2857666015625,360.0,360.0,360.0,360.0,100
2020-04-21,324.2857666015625,360.0,360.0,360.0,360.0,0
2020-04-22,324.2857666015625,360.0,360.0,360.0,360.0,0
2020-04-23,302.6667175292969,336.0,336.0,336.0,336.0,100
2020-04-24,320.6825866699219,356.0,356.0,356.0,356.0,100
2020-04-27,320.6825866699219,356.0,356.0,356.0,356.0,0
2020-04-28,367.52386474609375,408.0,408.0,408.0,408.0,400
2020-04-29,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-04-30,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-04,369.3254699707031,410.0,410.0,410.0,410.0,200
2020-05-05,369.3254699707031,410.0,410.0,410.0,410.0,0
2020-05-06,369.3254699707031,410.0,410.0,410.0,410.0,0
2020-05-08,369.3254699707031,410.0,410.0,410.0,410.0,0
2020-05-11,369.3254699707031,410.0,410.0,410.0,410.0,0
2020-05-12,367.52386474609375,408.0,408.0,408.0,408.0,100
2020-05-13,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-14,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-15,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-18,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-19,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-20,367.52386474609375,408.0,408.0,408.0,408.0,0
2020-05-26,342.3016357421875,380.0,398.0,380.0,398.0,300
2020-05-27,342.3016357421875,380.0,380.0,380.0,380.0,0
2020-05-28,340.50006103515625,378.0,378.0,378.0,378.0,100
