Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1150.0,1150.0,1200.0,1100.0,1100.0,384500
2020-01-03,1220.0,1220.0,1275.0,1100.0,1140.0,48700
2020-01-06,1080.0,1080.0,1220.0,1000.0,1220.0,9600
2020-01-07,810.0,810.0,1080.0,810.0,1080.0,82300
2020-01-08,880.0,880.0,880.0,610.0,815.0,39900
2020-01-09,795.0,795.0,875.0,670.0,875.0,40800
2020-01-10,630.0,630.0,760.0,610.0,760.0,46400
2020-01-13,610.0,610.0,690.0,600.0,600.0,29900
2020-01-14,650.0,650.0,700.0,575.0,610.0,17500
2020-01-15,600.0,600.0,615.0,600.0,610.0,15000
2020-01-16,605.0,605.0,645.0,540.0,590.0,22200
2020-01-17,625.0,625.0,650.0,575.0,650.0,6900
2020-01-20,620.0,620.0,625.0,620.0,620.0,43700
2020-01-21,620.0,620.0,650.0,620.0,650.0,300
2020-01-22,510.0,510.0,620.0,505.0,620.0,45100
2020-01-23,478.0,478.0,550.0,472.0,550.0,17400
2020-01-24,500.0,500.0,510.0,468.0,478.0,510900
2020-01-27,496.0,496.0,510.0,496.0,500.0,140800
2020-01-28,520.0,520.0,540.0,474.0,540.0,2700
2020-01-29,494.0,494.0,540.0,472.0,540.0,10200
2020-01-30,490.0,490.0,494.0,480.0,494.0,13700
2020-01-31,442.0,442.0,450.0,422.0,450.0,5800
2020-02-03,496.0,496.0,530.0,406.0,438.0,19300
2020-02-04,422.0,422.0,510.0,422.0,496.0,31000
2020-02-05,454.0,454.0,498.0,440.0,490.0,30100
2020-02-06,446.0,446.0,474.0,400.0,474.0,5400
2020-02-07,424.0,424.0,424.0,424.0,424.0,9500
2020-02-10,442.0,442.0,464.0,424.0,424.0,2500
2020-02-11,426.0,426.0,478.0,400.0,454.0,7000
2020-02-12,468.0,468.0,500.0,426.0,426.0,3600
2020-02-13,440.0,440.0,468.0,440.0,468.0,500
2020-02-14,480.0,480.0,520.0,442.0,442.0,11300
2020-02-17,362.0,362.0,462.0,362.0,462.0,27200
2020-02-18,368.0,368.0,426.0,364.0,364.0,9800
2020-02-19,376.0,376.0,420.0,312.0,368.0,21200
2020-02-20,376.0,376.0,376.0,376.0,376.0,0
2020-02-21,376.0,376.0,376.0,376.0,376.0,0
2020-02-24,356.0,356.0,362.0,310.0,362.0,62600
2020-02-25,370.0,370.0,370.0,356.0,356.0,400
2020-02-26,336.0,336.0,390.0,300.0,390.0,4200
2020-02-27,310.0,310.0,350.0,288.0,330.0,658800
2020-02-28,294.0,294.0,340.0,260.0,340.0,738200
2020-03-02,312.0,312.0,320.0,290.0,294.0,796600
2020-03-03,296.0,296.0,324.0,252.0,312.0,750700
2020-03-04,256.0,256.0,320.0,242.0,320.0,851100
2020-03-05,230.0,230.0,280.0,200.0,268.0,891300
2020-03-06,181.0,181.0,246.0,181.0,246.0,128900
2020-03-09,210.0,210.0,210.0,175.0,181.0,168300
2020-03-10,195.0,195.0,210.0,190.0,210.0,1411000
2020-03-11,258.0,258.0,262.0,188.0,190.0,1931300
2020-03-12,246.0,246.0,322.0,236.0,278.0,1071000
2020-03-13,246.0,246.0,246.0,246.0,246.0,0
2020-03-16,268.0,268.0,274.0,214.0,220.0,106000
2020-03-17,300.0,300.0,310.0,250.0,268.0,314100
2020-03-18,288.0,288.0,300.0,280.0,300.0,54400
2020-03-19,280.0,280.0,284.0,280.0,284.0,2000
2020-03-20,278.0,278.0,282.0,278.0,282.0,4700
2020-03-23,278.0,278.0,278.0,278.0,278.0,0
2020-03-24,276.0,276.0,276.0,276.0,276.0,100
2020-03-26,268.0,268.0,276.0,258.0,260.0,12000
2020-03-27,250.0,250.0,264.0,250.0,264.0,219300
2020-03-30,246.0,246.0,288.0,246.0,246.0,346400
2020-03-31,244.0,244.0,280.0,240.0,280.0,305200
2020-04-01,254.0,254.0,288.0,228.0,240.0,283600
2020-04-02,248.0,248.0,248.0,242.0,242.0,1600
2020-04-03,258.0,258.0,288.0,238.0,288.0,317200
2020-04-06,240.0,240.0,246.0,240.0,246.0,29200
2020-04-07,236.0,236.0,240.0,224.0,240.0,221800
2020-04-08,228.0,228.0,236.0,220.0,236.0,197400
2020-04-09,232.0,232.0,240.0,214.0,240.0,19200
2020-04-13,216.0,216.0,242.0,216.0,242.0,37500
2020-04-14,202.0,202.0,216.0,202.0,216.0,107400
2020-04-15,202.0,202.0,224.0,188.0,200.0,507500
2020-04-16,208.0,208.0,220.0,188.0,206.0,374400
2020-04-17,214.0,214.0,216.0,194.0,196.0,82900
2020-04-20,214.0,214.0,220.0,200.0,214.0,610100
2020-04-21,200.0,200.0,210.0,200.0,204.0,48500
2020-04-22,204.0,204.0,212.0,186.0,188.0,157700
2020-04-23,190.0,190.0,206.0,190.0,204.0,302600
2020-04-24,196.0,196.0,196.0,178.0,195.0,376800
2020-04-27,191.0,191.0,208.0,183.0,196.0,457100
2020-04-28,178.0,178.0,194.0,178.0,191.0,449800
2020-04-29,166.0,166.0,178.0,166.0,178.0,185300
2020-04-30,168.0,168.0,172.0,156.0,166.0,299500
