Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,914.0436401367188,1000.0,1000.0,965.0,965.0,90100
2020-01-03,895.7628173828125,980.0,980.0,980.0,980.0,100
2020-01-06,863.771240234375,945.0,950.0,900.0,950.0,17900
2020-01-07,863.771240234375,945.0,945.0,945.0,945.0,0
2020-01-08,831.7797241210938,910.0,910.0,910.0,910.0,100
2020-01-09,795.2179565429688,870.0,880.0,870.0,880.0,10200
2020-01-10,804.3583984375,880.0,880.0,800.0,840.0,82100
2020-01-13,799.7882080078125,875.0,875.0,855.0,860.0,1000
2020-01-14,799.7882080078125,875.0,880.0,850.0,865.0,10900
2020-01-15,799.7882080078125,875.0,880.0,875.0,875.0,1100
2020-01-16,799.7882080078125,875.0,875.0,875.0,875.0,1100
2020-01-17,799.7882080078125,875.0,875.0,875.0,875.0,0
2020-01-20,799.7882080078125,875.0,875.0,875.0,875.0,0
2020-01-21,799.7882080078125,875.0,875.0,870.0,870.0,79000
2020-01-22,799.7882080078125,875.0,875.0,875.0,875.0,0
2020-01-23,799.7882080078125,875.0,875.0,875.0,875.0,0
2020-01-24,795.2179565429688,870.0,870.0,870.0,870.0,100
2020-01-27,790.6477661132812,865.0,865.0,865.0,865.0,400
2020-01-28,790.6477661132812,865.0,865.0,865.0,865.0,0
2020-01-29,790.6477661132812,865.0,865.0,865.0,865.0,0
2020-01-30,790.6477661132812,865.0,865.0,865.0,865.0,107500
2020-01-31,790.6477661132812,865.0,865.0,865.0,865.0,0
2020-02-03,786.0775146484375,860.0,860.0,860.0,860.0,100
2020-02-04,786.0775146484375,860.0,860.0,860.0,860.0,0
2020-02-05,786.0775146484375,860.0,860.0,860.0,860.0,0
2020-02-06,786.0775146484375,860.0,860.0,860.0,860.0,0
2020-02-07,786.0775146484375,860.0,860.0,860.0,860.0,0
2020-02-10,804.3583984375,880.0,880.0,820.0,855.0,120700
2020-02-11,804.3583984375,880.0,880.0,880.0,880.0,5000
2020-02-12,804.3583984375,880.0,880.0,830.0,840.0,107600
2020-02-13,749.5157470703125,820.0,840.0,820.0,840.0,10900
2020-02-14,763.2264404296875,835.0,835.0,795.0,795.0,5100
2020-02-17,763.2264404296875,835.0,835.0,835.0,835.0,0
2020-02-18,763.2264404296875,835.0,835.0,835.0,835.0,0
2020-02-19,763.2264404296875,835.0,835.0,835.0,835.0,0
2020-02-20,763.2264404296875,835.0,835.0,835.0,835.0,0
2020-02-21,731.2349243164062,800.0,800.0,800.0,800.0,700
2020-02-24,731.2349243164062,800.0,800.0,800.0,800.0,0
2020-02-25,726.6646728515625,795.0,795.0,795.0,795.0,100
2020-02-26,726.6646728515625,795.0,795.0,795.0,795.0,0
2020-02-27,658.1113891601562,720.0,765.0,720.0,765.0,14800
2020-02-28,658.1113891601562,720.0,720.0,720.0,720.0,500
2020-03-02,639.8305053710938,700.0,725.0,700.0,700.0,3100
2020-03-03,639.8305053710938,700.0,700.0,660.0,680.0,28000
2020-03-04,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-05,639.8305053710938,700.0,700.0,700.0,700.0,2000
2020-03-06,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-09,635.2603149414062,695.0,695.0,695.0,695.0,81000
2020-03-10,635.2603149414062,695.0,695.0,695.0,695.0,0
2020-03-11,635.2603149414062,695.0,695.0,695.0,695.0,0
2020-03-12,635.2603149414062,695.0,695.0,695.0,695.0,0
2020-03-13,639.8305053710938,700.0,700.0,700.0,700.0,600
2020-03-16,639.8305053710938,700.0,700.0,700.0,700.0,1600
2020-03-17,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-18,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-19,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-20,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-23,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-24,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-26,639.8305053710938,700.0,700.0,700.0,700.0,0
2020-03-27,598.6986083984375,655.0,700.0,655.0,700.0,5600
2020-03-30,557.566650390625,610.0,610.0,610.0,610.0,400
2020-03-31,557.566650390625,610.0,610.0,610.0,610.0,0
2020-04-01,521.0048828125,570.0,570.0,570.0,570.0,100
2020-04-02,489.0133361816406,535.0,535.0,535.0,535.0,2000
2020-04-03,489.0133361816406,535.0,535.0,535.0,535.0,0
2020-04-06,470.73248291015625,515.0,515.0,515.0,515.0,100
2020-04-07,470.73248291015625,515.0,515.0,515.0,515.0,2000
2020-04-08,470.73248291015625,515.0,515.0,515.0,515.0,5000
2020-04-09,470.73248291015625,515.0,515.0,515.0,515.0,0
2020-04-13,470.73248291015625,515.0,515.0,510.0,515.0,5300
2020-04-14,470.73248291015625,515.0,515.0,515.0,515.0,0
2020-04-15,470.73248291015625,515.0,515.0,515.0,515.0,0
2020-04-16,470.73248291015625,515.0,515.0,515.0,515.0,0
2020-04-17,475.3027038574219,520.0,520.0,520.0,520.0,90000
2020-04-20,475.3027038574219,520.0,520.0,520.0,520.0,0
2020-04-21,457.0218200683594,500.0,555.0,500.0,525.0,3100
2020-04-22,457.0218200683594,500.0,500.0,500.0,500.0,24200
2020-04-23,457.0218200683594,500.0,500.0,500.0,500.0,100
2020-04-24,457.0218200683594,500.0,500.0,500.0,500.0,0
2020-04-27,457.0218200683594,500.0,500.0,500.0,500.0,600
2020-04-28,457.0218200683594,500.0,500.0,500.0,500.0,1100
2020-04-29,447.88140869140625,490.0,500.0,490.0,500.0,200
2020-04-30,457.0218200683594,500.0,500.0,500.0,500.0,14000
2020-05-04,457.0218200683594,500.0,500.0,500.0,500.0,5400
2020-05-05,447.88140869140625,490.0,500.0,490.0,500.0,200
2020-05-06,447.88140869140625,490.0,490.0,490.0,490.0,100
2020-05-08,455.1937561035156,498.0,500.0,498.0,500.0,200
2020-05-11,446.05328369140625,488.0,500.0,488.0,488.0,1600
2020-05-12,457.0218200683594,500.0,500.0,500.0,500.0,100
2020-05-13,455.1937561035156,498.0,500.0,488.0,500.0,400
2020-05-14,457.0218200683594,500.0,500.0,500.0,500.0,500
2020-05-15,457.0218200683594,500.0,500.0,488.0,488.0,1100
2020-05-18,446.05328369140625,488.0,488.0,488.0,488.0,600
2020-05-19,453.3656311035156,496.0,500.0,496.0,500.0,300
2020-05-20,436.9128723144531,478.0,500.0,478.0,500.0,300
2020-05-26,407.6634521484375,446.0,500.0,446.0,500.0,23800
2020-05-27,380.2421569824219,416.0,446.0,416.0,446.0,12900
2020-05-28,372.9298400878906,408.0,408.0,408.0,408.0,2200
2020-05-29,394.8668212890625,432.0,450.0,432.0,450.0,4800
2020-06-02,387.55450439453125,424.0,432.0,412.0,412.0,134200
2020-06-03,393.03875732421875,430.0,470.0,430.0,450.0,101600
2020-06-04,389.3825988769531,426.0,430.0,426.0,430.0,300
2020-06-05,389.3825988769531,426.0,426.0,426.0,426.0,0
2020-06-08,440.56903076171875,482.0,482.0,478.0,480.0,6600
2020-06-09,475.3027038574219,520.0,520.0,500.0,500.0,10200
2020-06-10,475.3027038574219,520.0,520.0,520.0,520.0,400
2020-06-11,442.3971252441406,484.0,520.0,484.0,520.0,3900
2020-06-12,420.4600524902344,460.0,480.0,460.0,480.0,200
2020-06-15,440.56903076171875,482.0,482.0,482.0,482.0,100
2020-06-16,461.592041015625,505.0,515.0,486.0,486.0,18600
2020-06-17,571.2772827148438,625.0,630.0,505.0,510.0,600
2020-06-18,539.2857666015625,590.0,750.0,590.0,750.0,20000
2020-06-19,530.1453247070312,580.0,580.0,550.0,580.0,20700
2020-06-22,507.294189453125,555.0,580.0,555.0,580.0,1600
2020-06-23,475.3027038574219,520.0,535.0,520.0,535.0,20100
2020-06-24,461.592041015625,505.0,560.0,505.0,520.0,4100
2020-06-25,470.73248291015625,515.0,515.0,505.0,505.0,200
2020-06-26,455.1937561035156,498.0,498.0,488.0,488.0,600
2020-06-29,449.70947265625,492.0,492.0,482.0,482.0,200
2020-06-30,446.05328369140625,488.0,488.0,458.0,458.0,400
2020-07-01,493.5835876464844,540.0,540.0,478.0,478.0,900
2020-07-02,489.0133361816406,535.0,540.0,535.0,540.0,2100
2020-07-03,475.3027038574219,520.0,520.0,520.0,520.0,400
2020-07-06,453.3656311035156,496.0,496.0,496.0,496.0,4200
2020-07-07,552.9963989257812,605.0,615.0,550.0,550.0,15400
2020-07-08,516.4346313476562,565.0,565.0,565.0,565.0,300
2020-07-09,516.4346313476562,565.0,565.0,565.0,565.0,0
2020-07-10,507.294189453125,555.0,555.0,535.0,535.0,400
2020-07-13,475.3027038574219,520.0,525.0,520.0,525.0,3600
2020-07-14,453.3656311035156,496.0,500.0,484.0,484.0,9600
2020-07-15,521.0048828125,570.0,570.0,490.0,496.0,14500
2020-07-16,516.4346313476562,565.0,570.0,540.0,540.0,13900
2020-07-17,484.443115234375,530.0,530.0,530.0,530.0,100
2020-07-20,539.2857666015625,590.0,600.0,530.0,530.0,11600
2020-07-21,557.566650390625,610.0,610.0,550.0,590.0,8100
2020-07-22,530.1453247070312,580.0,615.0,580.0,590.0,16400
2020-07-23,566.7070922851562,620.0,630.0,600.0,630.0,3900
2020-07-24,566.7070922851562,620.0,620.0,600.0,600.0,250800
2020-07-27,566.7070922851562,620.0,650.0,620.0,650.0,2200
2020-07-28,534.715576171875,585.0,620.0,580.0,620.0,2900
2020-07-29,534.715576171875,585.0,585.0,585.0,585.0,2000
2020-07-30,543.85595703125,595.0,595.0,545.0,545.0,1100
2020-08-03,543.85595703125,595.0,595.0,595.0,595.0,0
2020-08-04,543.85595703125,595.0,595.0,595.0,595.0,0
2020-08-05,521.0048828125,570.0,570.0,570.0,570.0,2900
2020-08-06,502.7240295410156,550.0,570.0,545.0,545.0,700
2020-08-07,498.1537780761719,545.0,550.0,520.0,520.0,1200
2020-08-10,498.1537780761719,545.0,545.0,540.0,545.0,18300
2020-08-11,498.1537780761719,545.0,545.0,545.0,545.0,5000
2020-08-12,475.3027038574219,520.0,520.0,515.0,515.0,200
2020-08-13,470.73248291015625,515.0,515.0,515.0,515.0,100
2020-08-14,475.3027038574219,520.0,520.0,515.0,515.0,200
2020-08-18,475.3027038574219,520.0,525.0,520.0,520.0,27200
2020-08-19,470.73248291015625,515.0,515.0,486.0,486.0,500
2020-08-24,502.7240295410156,550.0,550.0,480.0,480.0,3500
2020-08-25,502.7240295410156,550.0,550.0,550.0,550.0,5600
2020-08-26,502.7240295410156,550.0,550.0,550.0,550.0,0
2020-08-27,502.7240295410156,550.0,555.0,550.0,555.0,500
2020-08-28,493.5835876464844,540.0,540.0,515.0,515.0,2500
2020-08-31,493.5835876464844,540.0,540.0,540.0,540.0,0
2020-09-01,493.5835876464844,540.0,540.0,540.0,540.0,0
2020-09-02,493.5835876464844,540.0,540.0,540.0,540.0,12800
2020-09-03,479.8729248046875,525.0,525.0,520.0,520.0,700
2020-09-04,479.8729248046875,525.0,525.0,525.0,525.0,0
2020-09-07,479.8729248046875,525.0,525.0,525.0,525.0,0
2020-09-08,466.1622619628906,510.0,525.0,510.0,525.0,2100
2020-09-09,484.443115234375,530.0,530.0,530.0,530.0,100
2020-09-10,457.0218200683594,500.0,530.0,500.0,530.0,200
2020-09-11,470.73248291015625,515.0,515.0,500.0,500.0,600
2020-09-14,470.73248291015625,515.0,515.0,515.0,515.0,1000
2020-09-15,438.7409362792969,480.0,480.0,480.0,480.0,1000
2020-09-16,457.0218200683594,500.0,500.0,460.0,460.0,3500
2020-09-17,502.7240295410156,550.0,550.0,468.0,468.0,11400
2020-09-18,470.73248291015625,515.0,550.0,515.0,550.0,4700
2020-09-21,511.86444091796875,560.0,560.0,560.0,560.0,300
2020-09-22,502.7240295410156,550.0,560.0,550.0,560.0,700
