Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,168.0,168.0,180.0,161.0,180.0,15400
2020-01-03,165.0,165.0,168.0,162.0,168.0,3200
2020-01-06,179.0,179.0,180.0,165.0,167.0,29000
2020-01-07,171.0,171.0,171.0,171.0,171.0,100
2020-01-08,171.0,171.0,172.0,170.0,170.0,1300
2020-01-09,171.0,171.0,171.0,171.0,171.0,0
2020-01-10,175.0,175.0,175.0,175.0,175.0,500
2020-01-13,175.0,175.0,175.0,175.0,175.0,0
2020-01-14,224.0,224.0,236.0,170.0,170.0,442900
2020-01-15,214.0,214.0,224.0,186.0,224.0,70100
2020-01-16,214.0,214.0,214.0,199.0,199.0,7600
2020-01-17,214.0,214.0,214.0,214.0,214.0,0
2020-01-20,214.0,214.0,214.0,169.0,206.0,2400
2020-01-21,214.0,214.0,214.0,214.0,214.0,900
2020-01-22,212.0,212.0,212.0,210.0,210.0,5100
2020-01-23,212.0,212.0,212.0,199.0,199.0,2500
2020-01-24,212.0,212.0,212.0,196.0,212.0,1400
2020-01-27,218.0,218.0,220.0,200.0,200.0,69200
2020-01-28,214.0,214.0,214.0,212.0,212.0,66700
2020-01-29,220.0,220.0,220.0,212.0,212.0,11400
2020-01-30,198.0,198.0,198.0,198.0,198.0,2500
2020-01-31,218.0,218.0,220.0,198.0,198.0,21300
2020-02-03,218.0,218.0,218.0,218.0,218.0,0
2020-02-04,164.0,164.0,210.0,164.0,210.0,797300
2020-02-05,188.0,188.0,190.0,160.0,164.0,94300
2020-02-06,206.0,206.0,210.0,188.0,188.0,20400
2020-02-07,199.0,199.0,199.0,199.0,199.0,5000
2020-02-10,193.0,193.0,197.0,193.0,197.0,55300
2020-02-11,193.0,193.0,193.0,182.0,190.0,60000
2020-02-12,199.0,199.0,220.0,190.0,190.0,23400
2020-02-13,199.0,199.0,199.0,199.0,199.0,0
2020-02-14,199.0,199.0,199.0,199.0,199.0,0
2020-02-17,218.0,218.0,220.0,199.0,199.0,2300
2020-02-18,218.0,218.0,218.0,218.0,218.0,0
2020-02-19,218.0,218.0,218.0,218.0,218.0,0
2020-02-20,200.0,200.0,200.0,199.0,199.0,200
2020-02-21,200.0,200.0,200.0,200.0,200.0,0
2020-02-24,200.0,200.0,220.0,200.0,200.0,26600
2020-02-25,200.0,200.0,200.0,200.0,200.0,0
2020-02-26,218.0,218.0,220.0,200.0,220.0,2700
2020-02-27,218.0,218.0,218.0,218.0,218.0,0
2020-02-28,218.0,218.0,218.0,218.0,218.0,0
2020-03-02,200.0,200.0,200.0,200.0,200.0,100
2020-03-03,218.0,218.0,220.0,204.0,220.0,5700
