Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,173.36863708496094,175.0,179.0,174.0,179.0,219200
2020-01-03,168.41525268554688,170.0,175.0,170.0,175.0,18300
2020-01-06,130.7694854736328,132.0,170.0,132.0,170.0,144400
2020-01-07,140.67626953125,142.0,157.0,132.0,132.0,86000
2020-01-08,137.70423889160156,139.0,142.0,139.0,142.0,7300
2020-01-09,152.5644073486328,154.0,155.0,130.0,139.0,259300
2020-01-10,132.75083923339844,134.0,167.0,134.0,154.0,59200
2020-01-13,148.60169982910156,150.0,150.0,136.0,136.0,500
2020-01-14,158.5084686279297,160.0,160.0,140.0,150.0,20900
2020-01-15,165.44322204589844,167.0,167.0,160.0,160.0,186900
2020-01-16,167.42457580566406,169.0,170.0,167.0,167.0,195300
2020-01-17,167.42457580566406,169.0,170.0,168.0,169.0,42300
2020-01-20,165.44322204589844,167.0,169.0,160.0,169.0,18300
2020-01-21,166.43389892578125,168.0,169.0,165.0,168.0,26900
2020-01-22,165.44322204589844,167.0,169.0,150.0,168.0,173800
2020-01-23,166.43389892578125,168.0,169.0,161.0,165.0,407100
2020-01-24,166.43389892578125,168.0,169.0,168.0,169.0,175900
2020-01-27,165.44322204589844,167.0,168.0,167.0,168.0,10500
2020-01-28,162.47119140625,164.0,166.0,164.0,166.0,21400
2020-01-29,166.43389892578125,168.0,169.0,155.0,164.0,177600
2020-01-30,164.45254516601562,166.0,170.0,164.0,170.0,37500
2020-01-31,167.42457580566406,169.0,170.0,155.0,170.0,83200
2020-02-03,165.44322204589844,167.0,169.0,157.0,169.0,36800
2020-02-04,164.45254516601562,166.0,167.0,156.0,161.0,85100
2020-02-05,164.45254516601562,166.0,174.0,158.0,174.0,156800
2020-02-06,163.4618682861328,165.0,170.0,158.0,170.0,30800
2020-02-07,164.45254516601562,166.0,170.0,158.0,170.0,33900
2020-02-10,154.54576110839844,156.0,166.0,156.0,166.0,33300
2020-02-11,161.48049926757812,163.0,163.0,156.0,156.0,3800
2020-02-12,148.60169982910156,150.0,162.0,150.0,156.0,17100
2020-02-13,154.54576110839844,156.0,156.0,156.0,156.0,700
2020-02-14,154.54576110839844,156.0,156.0,156.0,156.0,0
2020-02-17,154.54576110839844,156.0,156.0,130.0,156.0,25300
2020-02-18,142.65762329101562,144.0,146.0,140.0,140.0,10600
2020-02-19,158.5084686279297,160.0,165.0,138.0,140.0,39600
2020-02-20,148.60169982910156,150.0,166.0,150.0,156.0,56300
2020-02-21,158.5084686279297,160.0,160.0,160.0,160.0,100
2020-02-24,148.60169982910156,150.0,150.0,150.0,150.0,40000
2020-02-25,156.52711486816406,158.0,164.0,150.0,152.0,41900
2020-02-26,160.4898223876953,162.0,162.0,154.0,154.0,95200
2020-02-27,137.70423889160156,139.0,139.0,139.0,139.0,2000
2020-02-28,137.70423889160156,139.0,139.0,120.0,128.0,25600
2020-03-02,137.70423889160156,139.0,139.0,139.0,139.0,0
2020-03-03,148.60169982910156,150.0,150.0,150.0,150.0,13100
2020-03-04,154.54576110839844,156.0,156.0,128.0,128.0,18200
2020-03-05,148.60169982910156,150.0,165.0,150.0,156.0,26500
2020-03-06,148.60169982910156,150.0,150.0,150.0,150.0,0
2020-03-09,128.7881317138672,130.0,150.0,130.0,150.0,2000
2020-03-10,148.60169982910156,150.0,150.0,130.0,130.0,33000
2020-03-11,150.5830535888672,152.0,152.0,151.0,151.0,500
2020-03-12,147.6110076904297,149.0,149.0,149.0,149.0,200
2020-03-13,147.6110076904297,149.0,149.0,149.0,149.0,0
2020-03-16,147.6110076904297,149.0,150.0,149.0,149.0,400
2020-03-17,146.62033081054688,148.0,148.0,148.0,148.0,200
2020-03-18,146.62033081054688,148.0,148.0,148.0,148.0,0
2020-03-19,138.69491577148438,140.0,140.0,140.0,140.0,100
2020-03-20,138.69491577148438,140.0,140.0,140.0,140.0,0
2020-03-23,138.69491577148438,140.0,140.0,140.0,140.0,0
2020-03-24,138.69491577148438,140.0,140.0,140.0,140.0,0
2020-03-26,138.69491577148438,140.0,140.0,140.0,140.0,0
2020-03-27,138.69491577148438,140.0,140.0,140.0,140.0,100
2020-03-30,138.69491577148438,140.0,140.0,140.0,140.0,0
