Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,849.6261596679688,1300.0,1325.0,1250.0,1250.0,5053900
2020-01-03,833.2871704101562,1275.0,1315.0,1270.0,1310.0,1995500
2020-01-06,823.48388671875,1260.0,1280.0,1260.0,1275.0,814600
2020-01-07,820.2160034179688,1255.0,1270.0,1245.0,1265.0,1125100
2020-01-08,810.4126586914062,1240.0,1255.0,1225.0,1250.0,973800
2020-01-09,816.9482421875,1250.0,1260.0,1240.0,1245.0,596400
2020-01-10,830.0194091796875,1270.0,1285.0,1260.0,1265.0,744100
2020-01-13,823.48388671875,1260.0,1270.0,1255.0,1270.0,515800
2020-01-14,830.0194091796875,1270.0,1285.0,1260.0,1260.0,282900
2020-01-15,823.48388671875,1260.0,1275.0,1250.0,1270.0,660100
2020-01-16,813.6803588867188,1245.0,1300.0,1230.0,1260.0,2831000
2020-01-17,816.9482421875,1250.0,1265.0,1225.0,1250.0,2053200
2020-01-20,830.0194091796875,1270.0,1280.0,1250.0,1255.0,1680100
2020-01-21,813.6803588867188,1245.0,1275.0,1245.0,1275.0,855800
2020-01-22,803.8770751953125,1230.0,1260.0,1225.0,1245.0,916700
2020-01-23,803.8770751953125,1230.0,1240.0,1225.0,1230.0,223800
2020-01-24,810.4126586914062,1240.0,1250.0,1240.0,1245.0,190600
2020-01-27,797.341552734375,1220.0,1250.0,1210.0,1235.0,747900
2020-01-28,794.0736694335938,1215.0,1220.0,1200.0,1220.0,2424500
2020-01-29,797.341552734375,1220.0,1220.0,1210.0,1220.0,234500
2020-01-30,787.5380249023438,1205.0,1230.0,1205.0,1220.0,657000
2020-01-31,784.2703857421875,1200.0,1220.0,1195.0,1205.0,817700
2020-02-03,771.19921875,1180.0,1200.0,1170.0,1185.0,350800
2020-02-04,774.4671020507812,1185.0,1195.0,1180.0,1190.0,391000
2020-02-05,771.19921875,1180.0,1205.0,1180.0,1185.0,574600
2020-02-06,771.19921875,1180.0,1190.0,1175.0,1190.0,1110000
2020-02-07,761.395751953125,1165.0,1200.0,1165.0,1180.0,717500
2020-02-10,761.395751953125,1165.0,1170.0,1150.0,1165.0,537400
2020-02-11,758.1280517578125,1160.0,1180.0,1150.0,1160.0,216100
2020-02-12,754.8601684570312,1155.0,1165.0,1130.0,1160.0,428500
2020-02-13,754.8601684570312,1155.0,1160.0,1135.0,1160.0,288900
2020-02-14,748.3245239257812,1145.0,1155.0,1135.0,1155.0,210300
2020-02-17,751.5924682617188,1150.0,1160.0,1145.0,1155.0,255200
2020-02-18,774.4671020507812,1185.0,1190.0,1150.0,1150.0,514900
2020-02-19,764.66357421875,1170.0,1205.0,1170.0,1185.0,308200
2020-02-20,758.1280517578125,1160.0,1190.0,1150.0,1175.0,643600
2020-02-21,751.5924682617188,1150.0,1160.0,1145.0,1160.0,399500
2020-02-24,699.3078002929688,1070.0,1150.0,1070.0,1150.0,2062200
2020-02-25,709.1110229492188,1085.0,1085.0,1055.0,1070.0,1184900
2020-02-26,692.7720947265625,1060.0,1085.0,1040.0,1085.0,625400
2020-02-27,692.7720947265625,1060.0,1085.0,1030.0,1075.0,1060200
2020-02-28,666.6298828125,1020.0,1060.0,1000.0,1060.0,4526200
2020-03-02,653.55859375,1000.0,1045.0,990.0,1025.0,2501000
2020-03-03,679.7008666992188,1040.0,1040.0,1000.0,1000.0,1268300
2020-03-04,692.7720947265625,1060.0,1065.0,1030.0,1040.0,737800
2020-03-05,712.3789672851562,1090.0,1095.0,1060.0,1060.0,1134300
2020-03-06,696.0399780273438,1065.0,1085.0,1050.0,1070.0,513300
2020-03-09,660.09423828125,1010.0,1065.0,1005.0,1065.0,812300
2020-03-10,666.6298828125,1020.0,1030.0,1000.0,1010.0,789000
2020-03-11,660.09423828125,1010.0,1030.0,995.0,1020.0,568300
2020-03-12,633.951904296875,970.0,1000.0,955.0,995.0,748800
2020-03-13,633.951904296875,970.0,970.0,970.0,970.0,0
2020-03-16,552.2569580078125,845.0,910.0,845.0,895.0,1566300
2020-03-17,516.3113403320312,790.0,845.0,790.0,845.0,1374700
2020-03-18,483.6333923339844,740.0,790.0,735.0,790.0,876600
2020-03-19,450.95550537109375,690.0,740.0,690.0,720.0,646800
2020-03-20,457.4910888671875,700.0,715.0,645.0,665.0,511500
2020-03-23,431.3486328125,660.0,700.0,655.0,660.0,795800
2020-03-24,444.4198913574219,680.0,695.0,620.0,620.0,337500
2020-03-26,486.901123046875,745.0,765.0,665.0,665.0,826000
2020-03-27,529.3824462890625,810.0,845.0,770.0,770.0,1533700
2020-03-30,493.4367980957031,755.0,810.0,755.0,780.0,221900
2020-03-31,513.04345703125,785.0,805.0,755.0,755.0,797200
2020-04-01,503.239990234375,770.0,815.0,760.0,760.0,421100
2020-04-02,506.50787353515625,775.0,790.0,760.0,770.0,709000
2020-04-03,526.11474609375,805.0,820.0,780.0,780.0,475800
2020-04-06,548.9892578125,840.0,880.0,785.0,785.0,5072300
2020-04-07,552.2569580078125,845.0,880.0,820.0,840.0,3169800
2020-04-08,529.3824462890625,810.0,850.0,805.0,850.0,442100
2020-04-09,532.6502685546875,815.0,830.0,790.0,825.0,357300
2020-04-13,535.9180908203125,820.0,840.0,815.0,820.0,564600
2020-04-14,545.7214965820312,835.0,840.0,820.0,820.0,438200
2020-04-15,548.9892578125,840.0,850.0,825.0,840.0,470800
2020-04-16,526.11474609375,805.0,825.0,795.0,825.0,328800
2020-04-17,542.4536743164062,830.0,830.0,805.0,805.0,162000
2020-04-20,539.1858520507812,825.0,835.0,820.0,835.0,125100
2020-04-21,522.846923828125,800.0,820.0,790.0,820.0,357400
2020-04-22,519.5791625976562,795.0,800.0,765.0,800.0,1202300
2020-04-23,522.846923828125,800.0,800.0,775.0,795.0,289700
2020-04-24,509.77569580078125,780.0,810.0,775.0,800.0,463300
2020-04-27,506.50787353515625,775.0,790.0,770.0,780.0,581100
2020-04-28,503.239990234375,770.0,780.0,765.0,775.0,460400
2020-04-29,503.239990234375,770.0,780.0,755.0,765.0,311000
2020-04-30,509.77569580078125,780.0,790.0,775.0,775.0,1717100
2020-05-04,503.239990234375,770.0,785.0,765.0,775.0,2887200
2020-05-05,503.239990234375,770.0,785.0,765.0,770.0,2637000
2020-05-06,499.97235107421875,765.0,775.0,750.0,770.0,8144000
2020-05-08,490.16900634765625,750.0,775.0,745.0,765.0,3210700
2020-05-11,490.16900634765625,750.0,775.0,745.0,750.0,10288500
2020-05-12,486.901123046875,745.0,755.0,745.0,755.0,2535800
2020-05-13,483.6333923339844,740.0,745.0,725.0,745.0,460500
2020-05-14,483.6333923339844,740.0,740.0,725.0,740.0,565100
2020-05-15,477.097900390625,730.0,740.0,720.0,740.0,306500
2020-05-18,486.901123046875,745.0,745.0,725.0,740.0,552500
2020-05-19,490.16900634765625,750.0,765.0,740.0,750.0,1905100
2020-05-20,490.16900634765625,750.0,755.0,745.0,755.0,542200
2020-05-26,499.97235107421875,765.0,765.0,745.0,755.0,792700
2020-05-27,503.239990234375,770.0,770.0,755.0,765.0,638900
2020-05-28,490.16900634765625,750.0,770.0,745.0,770.0,5655400
2020-05-29,493.4367980957031,755.0,760.0,740.0,760.0,2763900
2020-06-02,522.846923828125,800.0,805.0,760.0,770.0,2338700
2020-06-03,539.1858520507812,825.0,830.0,805.0,805.0,2801700
2020-06-04,548.9892578125,840.0,870.0,835.0,845.0,2967400
2020-06-05,578.3994140625,885.0,885.0,830.0,860.0,1870800
2020-06-08,611.0772705078125,935.0,955.0,885.0,885.0,4543400
2020-06-09,594.7384033203125,910.0,970.0,905.0,940.0,3529100
2020-06-10,591.4705810546875,905.0,910.0,880.0,910.0,2006600
2020-06-11,581.6671752929688,890.0,915.0,890.0,900.0,1080500
2020-06-12,581.6671752929688,890.0,890.0,830.0,880.0,1977700
2020-06-15,588.2027587890625,900.0,940.0,900.0,900.0,1806700
2020-06-16,601.2739868164062,920.0,925.0,905.0,905.0,1574000
2020-06-17,601.2739868164062,920.0,935.0,915.0,925.0,5886800
2020-06-18,612.9158935546875,895.0,900.0,880.0,900.0,3077500
2020-06-19,612.9158935546875,895.0,900.0,890.0,890.0,401600
2020-06-22,606.067626953125,885.0,900.0,880.0,900.0,915400
2020-06-23,595.7953491210938,870.0,925.0,870.0,925.0,1649900
2020-06-24,606.067626953125,885.0,890.0,870.0,870.0,536300
2020-06-25,612.9158935546875,895.0,895.0,860.0,860.0,1561700
2020-06-26,609.4918212890625,890.0,905.0,890.0,895.0,908700
2020-06-29,595.7953491210938,870.0,890.0,865.0,890.0,686200
2020-06-30,606.067626953125,885.0,890.0,870.0,870.0,1271200
2020-07-01,588.9471435546875,860.0,890.0,835.0,885.0,1419900
2020-07-02,612.9158935546875,895.0,895.0,865.0,865.0,788900
2020-07-03,606.067626953125,885.0,900.0,885.0,900.0,692900
2020-07-06,609.4918212890625,890.0,895.0,880.0,885.0,675700
2020-07-07,609.4918212890625,890.0,900.0,885.0,890.0,423200
2020-07-08,626.6123657226562,915.0,920.0,890.0,895.0,2884600
2020-07-09,619.76416015625,905.0,925.0,900.0,920.0,1054200
2020-07-10,623.1882934570312,910.0,910.0,900.0,905.0,419000
2020-07-13,623.1882934570312,910.0,915.0,905.0,910.0,422100
2020-07-14,626.6123657226562,915.0,915.0,900.0,900.0,737000
2020-07-15,633.4606323242188,925.0,930.0,915.0,920.0,2606100
2020-07-16,640.3087768554688,935.0,940.0,925.0,925.0,1849600
2020-07-17,640.3087768554688,935.0,945.0,925.0,935.0,2541100
2020-07-20,630.0364990234375,920.0,940.0,915.0,935.0,1505700
2020-07-21,640.3087768554688,935.0,945.0,920.0,920.0,1818000
2020-07-22,640.3087768554688,935.0,945.0,930.0,935.0,909500
2020-07-23,654.005126953125,955.0,960.0,935.0,940.0,1595000
2020-07-24,643.7328491210938,940.0,955.0,935.0,955.0,839300
2020-07-27,640.3087768554688,935.0,950.0,935.0,940.0,367400
2020-07-28,609.4918212890625,890.0,940.0,890.0,935.0,5712600
2020-07-29,592.3712768554688,865.0,900.0,865.0,890.0,4622700
2020-07-30,595.7953491210938,870.0,890.0,860.0,865.0,1054600
2020-08-03,571.8265991210938,835.0,885.0,835.0,875.0,4322900
2020-08-04,575.2506713867188,840.0,865.0,840.0,860.0,1914200
2020-08-05,585.5230102539062,855.0,855.0,835.0,845.0,867300
2020-08-06,599.2193603515625,875.0,885.0,855.0,860.0,897000
2020-08-07,599.2193603515625,875.0,890.0,870.0,875.0,640700
2020-08-10,599.2193603515625,875.0,880.0,870.0,875.0,446900
2020-08-11,606.067626953125,885.0,900.0,870.0,870.0,977700
2020-08-12,606.067626953125,885.0,895.0,875.0,885.0,1170000
2020-08-13,623.1882934570312,910.0,925.0,885.0,885.0,5479700
2020-08-14,626.6123657226562,915.0,925.0,910.0,910.0,1272500
2020-08-18,626.6123657226562,915.0,925.0,915.0,915.0,1114000
2020-08-19,619.76416015625,905.0,925.0,900.0,915.0,951700
2020-08-24,609.4918212890625,890.0,920.0,880.0,920.0,1843500
2020-08-25,606.067626953125,885.0,910.0,885.0,895.0,4737600
2020-08-26,619.76416015625,905.0,905.0,885.0,885.0,2260200
2020-08-27,623.1882934570312,910.0,915.0,905.0,905.0,991200
2020-08-28,619.76416015625,905.0,915.0,895.0,915.0,995800
2020-08-31,595.7953491210938,870.0,910.0,870.0,905.0,1318900
2020-09-01,609.4918212890625,890.0,895.0,870.0,870.0,634200
2020-09-02,612.9158935546875,895.0,905.0,890.0,890.0,470800
2020-09-03,609.4918212890625,890.0,905.0,885.0,900.0,743900
2020-09-04,606.067626953125,885.0,895.0,875.0,880.0,1233600
2020-09-07,606.067626953125,885.0,895.0,875.0,885.0,353800
2020-09-08,606.067626953125,885.0,895.0,885.0,885.0,262200
2020-09-09,595.7953491210938,870.0,885.0,855.0,885.0,1044000
2020-09-10,558.130126953125,815.0,870.0,810.0,870.0,2876100
2020-09-11,585.5230102539062,855.0,865.0,785.0,815.0,1536300
2020-09-14,599.2193603515625,875.0,880.0,855.0,855.0,790400
2020-09-15,592.3712768554688,865.0,885.0,860.0,875.0,325900
2020-09-16,585.5230102539062,855.0,875.0,840.0,865.0,403600
2020-09-17,585.5230102539062,855.0,870.0,850.0,870.0,344800
2020-09-18,588.9471435546875,860.0,865.0,845.0,855.0,408200
2020-09-21,585.5230102539062,855.0,870.0,850.0,860.0,252900
2020-09-22,571.8265991210938,835.0,850.0,835.0,850.0,377300
2020-09-23,564.9783325195312,825.0,850.0,815.0,830.0,432600
2020-09-24,561.5542602539062,820.0,830.0,815.0,830.0,169400
2020-09-25,561.5542602539062,820.0,830.0,810.0,820.0,1135900
2020-09-28,564.9783325195312,825.0,835.0,815.0,825.0,359200
2020-09-29,568.4024047851562,830.0,840.0,820.0,825.0,770300
2020-09-30,564.9783325195312,825.0,840.0,815.0,830.0,106300
2020-10-01,568.4024047851562,830.0,840.0,825.0,825.0,151700
2020-10-02,571.8265991210938,835.0,840.0,825.0,840.0,665200
2020-10-05,568.4024047851562,830.0,840.0,830.0,835.0,149200
2020-10-06,575.2506713867188,840.0,840.0,830.0,830.0,248700
2020-10-07,582.0989379882812,850.0,865.0,840.0,840.0,341500
2020-10-08,582.0989379882812,850.0,860.0,850.0,850.0,283800
2020-10-09,585.5230102539062,855.0,860.0,850.0,850.0,164300
2020-10-12,582.0989379882812,850.0,865.0,850.0,855.0,465700
2020-10-13,582.0989379882812,850.0,865.0,845.0,850.0,395000
2020-10-14,599.2193603515625,875.0,875.0,850.0,850.0,687400
2020-10-15,599.2193603515625,875.0,880.0,870.0,870.0,1188800
2020-10-16,599.2193603515625,875.0,880.0,870.0,880.0,679200
2020-10-19,595.7953491210938,870.0,875.0,855.0,875.0,1103200
