Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,62.0,62.0,62.0,61.0,61.0,141500
2020-01-03,64.0,64.0,64.0,62.0,62.0,52000
2020-01-06,64.0,64.0,69.0,62.0,62.0,774800
2020-01-07,62.0,62.0,65.0,62.0,63.0,704000
2020-01-08,60.0,60.0,63.0,60.0,62.0,211600
2020-01-09,61.0,61.0,64.0,60.0,61.0,453500
2020-01-10,61.0,61.0,63.0,60.0,61.0,425000
2020-01-13,61.0,61.0,62.0,59.0,61.0,957900
2020-01-14,60.0,60.0,62.0,60.0,60.0,1193700
2020-01-15,59.0,59.0,60.0,58.0,59.0,126400
2020-01-16,79.0,79.0,79.0,60.0,60.0,9561500
2020-01-17,67.0,67.0,88.0,65.0,86.0,8909200
2020-01-20,65.0,65.0,68.0,64.0,67.0,597700
2020-01-21,87.0,87.0,87.0,61.0,65.0,16944300
2020-01-22,72.0,72.0,93.0,72.0,93.0,14137200
2020-01-23,80.0,80.0,95.0,69.0,72.0,33452600
2020-01-24,83.0,83.0,97.0,80.0,80.0,18974500
2020-01-27,76.0,76.0,85.0,76.0,84.0,3918400
2020-01-28,78.0,78.0,89.0,73.0,76.0,14041700
2020-01-29,79.0,79.0,86.0,78.0,80.0,3175300
2020-01-30,76.0,76.0,83.0,76.0,79.0,1297500
2020-01-31,72.0,72.0,76.0,71.0,76.0,1479700
2020-02-03,75.0,75.0,84.0,70.0,70.0,8509300
2020-02-04,72.0,72.0,80.0,71.0,80.0,2412200
2020-02-05,73.0,73.0,75.0,71.0,74.0,782900
2020-02-06,73.0,73.0,79.0,72.0,73.0,3412600
2020-02-07,72.0,72.0,75.0,72.0,75.0,891600
2020-02-10,72.0,72.0,75.0,72.0,73.0,445000
2020-02-11,71.0,71.0,73.0,69.0,72.0,274400
2020-02-12,69.0,69.0,72.0,69.0,72.0,300700
2020-02-13,68.0,68.0,75.0,66.0,69.0,1807300
2020-02-14,67.0,67.0,69.0,65.0,68.0,244300
2020-02-17,64.0,64.0,68.0,63.0,67.0,313600
2020-02-18,65.0,65.0,69.0,65.0,66.0,821100
2020-02-19,65.0,65.0,66.0,63.0,65.0,239800
2020-02-20,63.0,63.0,66.0,63.0,65.0,194200
2020-02-21,62.0,62.0,65.0,62.0,62.0,191600
2020-02-24,63.0,63.0,66.0,62.0,62.0,448600
2020-02-25,63.0,63.0,66.0,62.0,63.0,439600
2020-02-26,62.0,62.0,65.0,61.0,63.0,137000
2020-02-27,52.0,52.0,62.0,52.0,62.0,748500
2020-02-28,54.0,54.0,54.0,51.0,52.0,1253200
2020-03-02,54.0,54.0,56.0,52.0,54.0,1105500
2020-03-03,56.0,56.0,58.0,54.0,54.0,642200
2020-03-04,58.0,58.0,60.0,57.0,60.0,355800
2020-03-05,61.0,61.0,68.0,58.0,58.0,4069500
2020-03-06,60.0,60.0,62.0,57.0,61.0,844800
2020-03-09,56.0,56.0,61.0,54.0,61.0,1091900
2020-03-10,56.0,56.0,57.0,52.0,55.0,415400
2020-03-11,54.0,54.0,58.0,54.0,56.0,350200
2020-03-12,52.0,52.0,54.0,51.0,54.0,379000
2020-03-13,51.0,51.0,51.0,50.0,50.0,728000
2020-03-16,51.0,51.0,51.0,51.0,51.0,0
2020-03-17,50.0,50.0,50.0,50.0,50.0,909600
2020-03-18,50.0,50.0,52.0,50.0,50.0,307100
2020-03-19,50.0,50.0,50.0,50.0,50.0,47000
2020-03-20,51.0,51.0,52.0,50.0,50.0,883700
2020-03-23,50.0,50.0,51.0,50.0,50.0,320700
2020-03-24,50.0,50.0,51.0,50.0,50.0,319500
2020-03-26,50.0,50.0,51.0,50.0,50.0,197100
2020-03-27,50.0,50.0,52.0,50.0,51.0,550200
2020-03-30,51.0,51.0,51.0,50.0,50.0,50500
2020-03-31,50.0,50.0,51.0,50.0,50.0,115700
2020-04-01,56.0,56.0,60.0,50.0,50.0,8361700
2020-04-02,57.0,57.0,66.0,54.0,61.0,11051300
2020-04-03,55.0,55.0,58.0,54.0,57.0,1563700
2020-04-06,55.0,55.0,58.0,54.0,55.0,1100700
2020-04-07,54.0,54.0,60.0,54.0,55.0,749900
