Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,752.3685302734375,900.0,1100.0,900.0,1100.0,19000
2020-01-03,735.6492309570312,880.0,935.0,880.0,935.0,6600
2020-01-06,727.28955078125,870.0,875.0,870.0,870.0,4100
2020-01-07,781.6273193359375,935.0,950.0,935.0,935.0,4000
2020-01-08,752.3685302734375,900.0,900.0,900.0,900.0,1200
2020-01-09,735.6492309570312,880.0,900.0,880.0,900.0,4100
2020-01-10,698.0308837890625,835.0,840.0,790.0,840.0,61400
2020-01-13,677.1317749023438,810.0,835.0,810.0,835.0,3100
2020-01-14,677.1317749023438,810.0,810.0,810.0,810.0,4400
2020-01-15,681.3115234375,815.0,815.0,810.0,810.0,1200
2020-01-16,714.7501220703125,855.0,855.0,815.0,815.0,7200
2020-01-17,718.929931640625,860.0,860.0,855.0,855.0,200
2020-01-20,718.929931640625,860.0,860.0,860.0,860.0,0
2020-01-21,718.929931640625,860.0,860.0,860.0,860.0,0
2020-01-22,752.3685302734375,900.0,900.0,815.0,815.0,11400
2020-01-23,815.0659790039062,975.0,975.0,900.0,900.0,300
2020-01-24,835.965087890625,1000.0,1050.0,975.0,990.0,9900
2020-01-27,890.3027954101562,1065.0,1070.0,990.0,1000.0,11500
2020-01-28,835.965087890625,1000.0,1095.0,990.0,1065.0,12700
2020-01-29,827.6054077148438,990.0,1000.0,990.0,1000.0,1400
2020-01-30,815.0659790039062,975.0,1050.0,810.0,1050.0,581700
2020-01-31,677.1317749023438,810.0,970.0,790.0,970.0,1157200
2020-02-03,698.0308837890625,835.0,860.0,790.0,800.0,26800
2020-02-04,702.2106323242188,840.0,840.0,835.0,835.0,900
2020-02-05,723.1098022460938,865.0,880.0,800.0,800.0,10000
2020-02-06,723.1098022460938,865.0,900.0,800.0,865.0,11900
2020-02-07,760.7281494140625,910.0,910.0,830.0,830.0,3700
2020-02-10,773.2677001953125,925.0,940.0,925.0,940.0,2900
2020-02-11,764.9080810546875,915.0,915.0,915.0,915.0,1000
2020-02-12,827.6054077148438,990.0,1070.0,915.0,915.0,20200
2020-02-13,748.1887817382812,895.0,1080.0,800.0,980.0,234500
2020-02-14,815.0659790039062,975.0,990.0,950.0,950.0,6000
2020-02-17,890.3027954101562,1065.0,1070.0,975.0,975.0,2300
2020-02-18,890.3027954101562,1065.0,1065.0,1065.0,1065.0,300
2020-02-19,890.3027954101562,1065.0,1065.0,1065.0,1065.0,0
2020-02-20,890.3027954101562,1065.0,1065.0,1065.0,1065.0,0
2020-02-21,890.3027954101562,1065.0,1065.0,1065.0,1065.0,0
2020-02-24,777.447509765625,930.0,1050.0,800.0,810.0,5054200
2020-02-25,794.1668090820312,950.0,950.0,930.0,930.0,1400
2020-02-26,777.447509765625,930.0,935.0,750.0,805.0,257300
2020-02-27,610.2545166015625,730.0,950.0,725.0,930.0,951400
2020-02-28,610.2545166015625,730.0,810.0,730.0,730.0,388600
2020-03-02,606.0746459960938,725.0,730.0,725.0,730.0,52200
2020-03-03,606.0746459960938,725.0,725.0,725.0,725.0,3300
2020-03-04,664.5921630859375,795.0,800.0,755.0,755.0,4800
2020-03-05,668.7720947265625,800.0,800.0,780.0,795.0,5000
2020-03-06,668.7720947265625,800.0,800.0,800.0,800.0,0
2020-03-09,509.93865966796875,610.0,725.0,610.0,725.0,207200
2020-03-10,606.0746459960938,725.0,750.0,650.0,650.0,2900
2020-03-11,635.33349609375,760.0,765.0,675.0,760.0,3300
2020-03-12,597.7149658203125,715.0,800.0,715.0,760.0,4800
2020-03-13,555.916748046875,665.0,760.0,665.0,715.0,7000
2020-03-16,543.3773193359375,650.0,750.0,620.0,630.0,3900
2020-03-17,526.657958984375,630.0,720.0,605.0,610.0,6500
2020-03-18,589.3553466796875,705.0,715.0,590.0,590.0,3300
2020-03-19,589.3553466796875,705.0,705.0,705.0,705.0,0
2020-03-20,585.175537109375,700.0,700.0,660.0,660.0,1600
2020-03-23,564.2764282226562,675.0,700.0,655.0,655.0,800
2020-03-24,564.2764282226562,675.0,675.0,630.0,630.0,2300
2020-03-26,526.657958984375,630.0,670.0,630.0,630.0,21300
2020-03-27,526.657958984375,630.0,700.0,630.0,630.0,3200
2020-03-30,501.5790710449219,600.0,675.0,600.0,600.0,700
2020-03-31,580.9957275390625,695.0,695.0,650.0,650.0,1500
2020-04-01,543.3773193359375,650.0,675.0,650.0,650.0,10800
2020-04-02,543.3773193359375,650.0,650.0,650.0,650.0,100
2020-04-03,568.4562377929688,680.0,700.0,675.0,700.0,2200
2020-04-06,539.1974487304688,645.0,670.0,645.0,670.0,5700
2020-04-07,539.1974487304688,645.0,645.0,645.0,645.0,8900
2020-04-08,501.5790710449219,600.0,640.0,600.0,640.0,2900
2020-04-09,555.916748046875,665.0,665.0,665.0,665.0,100
2020-04-13,518.29833984375,620.0,655.0,620.0,655.0,52000
2020-04-14,518.29833984375,620.0,620.0,620.0,620.0,0
2020-04-15,518.29833984375,620.0,620.0,620.0,620.0,0
2020-04-16,518.29833984375,620.0,620.0,620.0,620.0,10100
2020-04-17,564.2764282226562,675.0,675.0,620.0,620.0,15100
2020-04-20,572.6360473632812,685.0,685.0,650.0,650.0,3600
2020-04-21,539.1974487304688,645.0,645.0,645.0,645.0,500
2020-04-22,501.5790710449219,600.0,600.0,600.0,600.0,4800
2020-04-23,514.1185302734375,615.0,615.0,615.0,615.0,100
2020-04-24,543.3773193359375,650.0,650.0,615.0,615.0,8400
2020-04-27,626.9738159179688,750.0,750.0,605.0,630.0,11800
2020-04-28,626.9738159179688,750.0,750.0,700.0,725.0,5200
2020-04-29,710.5702514648438,850.0,850.0,750.0,750.0,66800
2020-04-30,710.5702514648438,850.0,900.0,850.0,850.0,11700
2020-05-04,710.5702514648438,850.0,850.0,830.0,850.0,2600
2020-05-05,752.3685302734375,900.0,900.0,850.0,850.0,8800
2020-05-06,752.3685302734375,900.0,905.0,900.0,900.0,66700
2020-05-08,815.0659790039062,975.0,975.0,850.0,850.0,4600
2020-05-11,794.1668090820312,950.0,975.0,925.0,975.0,900
2020-05-12,794.1668090820312,950.0,950.0,950.0,950.0,200
2020-05-13,785.8071899414062,940.0,940.0,900.0,900.0,600
2020-05-14,794.1668090820312,950.0,950.0,945.0,945.0,111600
2020-05-15,794.1668090820312,950.0,950.0,950.0,950.0,0
2020-05-18,773.2677001953125,925.0,925.0,895.0,895.0,900
2020-05-19,773.2677001953125,925.0,925.0,925.0,925.0,100
2020-05-20,769.087890625,920.0,920.0,865.0,865.0,2100
2020-05-26,785.8071899414062,940.0,950.0,940.0,950.0,2100
2020-05-27,785.8071899414062,940.0,940.0,935.0,940.0,2500
2020-05-28,752.3685302734375,900.0,900.0,875.0,875.0,22400
2020-05-29,735.6492309570312,880.0,925.0,840.0,890.0,17300
2020-06-02,769.087890625,920.0,930.0,830.0,880.0,700
2020-06-03,819.2457885742188,980.0,980.0,920.0,920.0,2500
2020-06-04,802.5264282226562,960.0,960.0,960.0,960.0,5000
2020-06-05,781.6273193359375,935.0,935.0,935.0,935.0,1800
2020-06-08,735.6492309570312,880.0,935.0,870.0,935.0,43000
2020-06-09,748.1887817382812,895.0,930.0,870.0,930.0,13900
2020-06-10,781.6273193359375,935.0,1015.0,900.0,950.0,10200
2020-06-11,777.447509765625,930.0,930.0,930.0,930.0,1200
2020-06-12,773.2677001953125,925.0,925.0,865.0,870.0,7100
2020-06-15,752.3685302734375,900.0,900.0,900.0,900.0,4000
2020-06-16,773.2677001953125,925.0,925.0,900.0,900.0,600
2020-06-17,773.2677001953125,925.0,925.0,925.0,925.0,0
2020-06-18,752.3685302734375,900.0,935.0,900.0,925.0,67800
2020-06-19,752.3685302734375,900.0,900.0,900.0,900.0,3100
2020-06-22,752.3685302734375,900.0,900.0,900.0,900.0,100
2020-06-23,748.1887817382812,895.0,900.0,895.0,900.0,400
2020-06-24,769.087890625,920.0,920.0,840.0,840.0,8100
2020-06-25,752.3685302734375,900.0,900.0,860.0,860.0,4500
2020-06-26,710.5702514648438,850.0,850.0,850.0,850.0,12100
2020-06-29,664.5921630859375,795.0,835.0,795.0,825.0,11200
2020-06-30,664.5921630859375,795.0,800.0,795.0,800.0,3000
2020-07-01,748.1887817382812,895.0,895.0,795.0,795.0,1300
2020-07-02,702.2106323242188,840.0,890.0,835.0,840.0,6000
2020-07-03,702.2106323242188,840.0,890.0,840.0,890.0,200
2020-07-06,698.0308837890625,835.0,870.0,835.0,840.0,10800
2020-07-07,744.0088500976562,890.0,890.0,840.0,840.0,3500
2020-07-08,744.0088500976562,890.0,890.0,890.0,890.0,300
2020-07-09,744.0088500976562,890.0,890.0,890.0,890.0,0
2020-07-10,744.0088500976562,890.0,890.0,840.0,840.0,1000
2020-07-13,693.8510131835938,830.0,890.0,830.0,890.0,11400
2020-07-14,693.8510131835938,830.0,830.0,830.0,830.0,600
2020-07-15,744.0088500976562,890.0,890.0,890.0,890.0,700
2020-07-16,744.0088500976562,890.0,890.0,890.0,890.0,0
