Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,69.0,69.0,74.0,69.0,71.0,33270500
2020-01-03,72.0,72.0,73.0,70.0,70.0,223500
2020-01-06,70.0,70.0,70.0,70.0,70.0,200
2020-01-07,71.0,71.0,72.0,71.0,72.0,700
2020-01-08,71.0,71.0,71.0,70.0,71.0,33014500
2020-01-09,72.0,72.0,72.0,60.0,70.0,43100
2020-01-10,72.0,72.0,72.0,72.0,72.0,8600
2020-01-13,72.0,72.0,73.0,72.0,73.0,3000
2020-01-14,72.0,72.0,73.0,72.0,72.0,33012000
2020-01-15,61.0,61.0,73.0,61.0,73.0,2400
2020-01-16,65.0,65.0,73.0,60.0,67.0,35101700
2020-01-17,70.0,70.0,70.0,65.0,65.0,12200
2020-01-20,69.0,69.0,71.0,60.0,70.0,31020700
2020-01-21,64.0,64.0,69.0,61.0,69.0,53800
2020-01-22,62.0,62.0,68.0,62.0,64.0,33025700
2020-01-23,62.0,62.0,62.0,61.0,62.0,88300
2020-01-24,61.0,61.0,61.0,61.0,61.0,33020200
2020-01-27,60.0,60.0,61.0,60.0,61.0,24700
2020-01-28,54.0,54.0,60.0,54.0,60.0,32006500
2020-01-29,54.0,54.0,54.0,54.0,54.0,41100
2020-01-30,58.0,58.0,58.0,58.0,58.0,10100
2020-01-31,51.0,51.0,57.0,51.0,57.0,4600
2020-02-03,55.0,55.0,55.0,50.0,50.0,233000
2020-02-04,55.0,55.0,55.0,55.0,55.0,100
2020-02-05,53.0,53.0,54.0,51.0,53.0,32023000
2020-02-06,51.0,51.0,54.0,51.0,54.0,75800
2020-02-07,53.0,53.0,54.0,52.0,53.0,28700
2020-02-10,54.0,54.0,54.0,54.0,54.0,200
2020-02-11,55.0,55.0,56.0,53.0,53.0,33056500
2020-02-12,55.0,55.0,55.0,50.0,50.0,19000
2020-02-13,53.0,53.0,54.0,51.0,51.0,3700
2020-02-14,51.0,51.0,53.0,51.0,53.0,20300
2020-02-17,50.0,50.0,51.0,50.0,51.0,260100
2020-02-18,51.0,51.0,51.0,51.0,51.0,106300
2020-02-19,51.0,51.0,51.0,50.0,51.0,106600
2020-02-20,52.0,52.0,53.0,51.0,52.0,396500
2020-02-21,51.0,51.0,53.0,51.0,52.0,538700
2020-02-24,51.0,51.0,52.0,51.0,51.0,238500
2020-02-25,51.0,51.0,63.0,50.0,52.0,30327700
2020-02-26,51.0,51.0,53.0,50.0,53.0,16800
2020-02-27,50.0,50.0,51.0,50.0,51.0,33172900
2020-02-28,50.0,50.0,50.0,50.0,50.0,0
2020-03-02,50.0,50.0,50.0,50.0,50.0,20100
2020-03-03,50.0,50.0,50.0,50.0,50.0,0
2020-03-04,50.0,50.0,50.0,50.0,50.0,53300
2020-03-05,50.0,50.0,50.0,50.0,50.0,900
2020-03-06,50.0,50.0,50.0,50.0,50.0,0
2020-03-09,50.0,50.0,50.0,50.0,50.0,3400
2020-03-10,50.0,50.0,50.0,50.0,50.0,100
2020-03-11,50.0,50.0,50.0,50.0,50.0,0
2020-03-12,50.0,50.0,50.0,50.0,50.0,617100
2020-03-13,50.0,50.0,50.0,50.0,50.0,300
2020-03-16,50.0,50.0,50.0,50.0,50.0,10000
2020-03-17,50.0,50.0,50.0,50.0,50.0,3000
2020-03-18,50.0,50.0,50.0,50.0,50.0,0
2020-03-19,50.0,50.0,50.0,50.0,50.0,100
2020-03-20,50.0,50.0,50.0,50.0,50.0,0
2020-03-23,50.0,50.0,50.0,50.0,50.0,0
2020-03-24,50.0,50.0,50.0,50.0,50.0,100
2020-03-26,50.0,50.0,50.0,50.0,50.0,0
2020-03-27,50.0,50.0,50.0,50.0,50.0,3100
2020-03-30,50.0,50.0,50.0,50.0,50.0,0
2020-03-31,50.0,50.0,50.0,50.0,50.0,0
2020-04-01,50.0,50.0,50.0,50.0,50.0,0
2020-04-02,50.0,50.0,50.0,50.0,50.0,2000
2020-04-03,50.0,50.0,50.0,50.0,50.0,0
2020-04-06,50.0,50.0,50.0,50.0,50.0,100000
2020-04-07,50.0,50.0,50.0,50.0,50.0,14100
2020-04-08,50.0,50.0,50.0,50.0,50.0,0
2020-04-09,50.0,50.0,50.0,50.0,50.0,12000000
2020-04-13,50.0,50.0,50.0,50.0,50.0,16700
2020-04-14,50.0,50.0,50.0,50.0,50.0,0
2020-04-15,50.0,50.0,50.0,50.0,50.0,100
2020-04-16,50.0,50.0,50.0,50.0,50.0,0
2020-04-17,50.0,50.0,50.0,50.0,50.0,0
2020-04-20,50.0,50.0,52.0,50.0,50.0,15300
2020-04-21,50.0,50.0,50.0,50.0,50.0,0
2020-04-22,50.0,50.0,50.0,50.0,50.0,100
2020-04-23,50.0,50.0,50.0,50.0,50.0,0
2020-04-24,50.0,50.0,50.0,50.0,50.0,500
2020-04-27,50.0,50.0,50.0,50.0,50.0,20100
2020-04-28,50.0,50.0,50.0,50.0,50.0,0
2020-04-29,50.0,50.0,50.0,50.0,50.0,0
2020-04-30,50.0,50.0,50.0,50.0,50.0,0
2020-05-04,50.0,50.0,50.0,50.0,50.0,1000
2020-05-05,50.0,50.0,50.0,50.0,50.0,1000
2020-05-06,50.0,50.0,50.0,50.0,50.0,200200
2020-05-08,65.0,65.0,65.0,50.0,50.0,39400
2020-05-11,61.0,61.0,61.0,61.0,61.0,31700
2020-05-12,57.0,57.0,57.0,57.0,57.0,1400
2020-05-13,54.0,54.0,75.0,54.0,54.0,744800
2020-05-14,51.0,51.0,54.0,51.0,54.0,155400
2020-05-15,50.0,50.0,51.0,50.0,51.0,144000
2020-05-18,50.0,50.0,50.0,50.0,50.0,300
2020-05-19,50.0,50.0,50.0,50.0,50.0,500
2020-05-20,50.0,50.0,50.0,50.0,50.0,0
2020-05-26,50.0,50.0,50.0,50.0,50.0,100
2020-05-27,50.0,50.0,50.0,50.0,50.0,0
2020-05-28,50.0,50.0,50.0,50.0,50.0,0
