Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,366.3408508300781,404.0,404.0,404.0,404.0,0
2020-01-03,366.3408508300781,404.0,404.0,404.0,404.0,0
2020-01-06,380.84942626953125,420.0,430.0,420.0,430.0,400
2020-01-07,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-08,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-09,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-10,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-13,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-14,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-15,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-01-16,377.2222900390625,416.0,416.0,416.0,416.0,300
2020-01-17,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-20,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-21,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-22,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-23,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-24,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-27,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-28,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-29,377.2222900390625,416.0,416.0,416.0,416.0,0
2020-01-30,379.0358581542969,418.0,418.0,418.0,418.0,100
2020-01-31,379.0358581542969,418.0,418.0,418.0,418.0,0
2020-02-03,380.84942626953125,420.0,420.0,420.0,420.0,100
2020-02-04,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-02-05,384.4765625,424.0,424.0,424.0,424.0,200
2020-02-06,388.1036682128906,428.0,428.0,426.0,428.0,700
2020-02-07,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-10,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-11,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-12,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-13,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-14,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-17,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-18,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-19,388.1036682128906,428.0,428.0,428.0,428.0,100
2020-02-20,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-21,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-24,388.1036682128906,428.0,428.0,428.0,428.0,0
2020-02-25,311.9338073730469,344.0,344.0,344.0,344.0,100
2020-02-26,311.9338073730469,344.0,344.0,344.0,344.0,0
2020-02-27,311.9338073730469,344.0,344.0,344.0,344.0,0
2020-02-28,311.9338073730469,344.0,344.0,344.0,344.0,0
2020-03-02,311.9338073730469,344.0,344.0,344.0,344.0,0
2020-03-03,389.9172668457031,430.0,430.0,344.0,346.0,3100
2020-03-04,388.1036682128906,428.0,428.0,428.0,428.0,100
2020-03-05,386.2901306152344,426.0,426.0,426.0,426.0,100
2020-03-06,406.2393798828125,448.0,448.0,438.0,438.0,1000
2020-03-09,406.2393798828125,448.0,448.0,448.0,448.0,0
2020-03-10,406.2393798828125,448.0,448.0,448.0,448.0,0
2020-03-11,406.2393798828125,448.0,448.0,448.0,448.0,0
2020-03-12,406.2393798828125,448.0,448.0,448.0,448.0,0
2020-03-13,398.9850769042969,440.0,440.0,440.0,440.0,200
2020-03-16,398.9850769042969,440.0,440.0,440.0,440.0,0
2020-03-17,398.9850769042969,440.0,440.0,440.0,440.0,0
2020-03-18,398.9850769042969,440.0,440.0,440.0,440.0,0
2020-03-19,398.9850769042969,440.0,440.0,440.0,440.0,0
2020-03-20,398.9850769042969,440.0,440.0,440.0,440.0,0
2020-03-23,398.9850769042969,440.0,440.0,440.0,440.0,0
2020-03-24,393.54443359375,434.0,434.0,434.0,434.0,100
2020-03-26,393.54443359375,434.0,434.0,434.0,434.0,0
2020-03-27,393.54443359375,434.0,434.0,404.0,434.0,2600
2020-03-30,393.54443359375,434.0,434.0,434.0,434.0,0
2020-03-31,397.1715393066406,438.0,444.0,404.0,444.0,2500
2020-04-01,397.1715393066406,438.0,438.0,438.0,438.0,0
2020-04-02,391.7308349609375,432.0,438.0,420.0,438.0,700
2020-04-03,388.1036682128906,428.0,428.0,402.0,402.0,3400
2020-04-06,373.5951232910156,412.0,412.0,400.0,400.0,5100
2020-04-07,386.2901306152344,426.0,426.0,426.0,426.0,100
2020-04-08,360.900146484375,398.0,400.0,398.0,400.0,1200
2020-04-09,402.61224365234375,444.0,444.0,444.0,444.0,1000
2020-04-13,375.40869140625,414.0,414.0,414.0,414.0,100
2020-04-14,382.6629943847656,422.0,422.0,414.0,414.0,400
2020-04-15,382.6629943847656,422.0,422.0,422.0,422.0,0
2020-04-16,382.6629943847656,422.0,422.0,422.0,422.0,0
2020-04-17,382.6629943847656,422.0,422.0,422.0,422.0,0
2020-04-20,389.9172668457031,430.0,430.0,396.0,400.0,1252600
2020-04-21,371.7815856933594,410.0,420.0,400.0,416.0,3000
2020-04-22,371.7815856933594,410.0,410.0,410.0,410.0,0
2020-04-23,371.7815856933594,410.0,410.0,410.0,410.0,0
2020-04-24,366.3408508300781,404.0,408.0,384.0,408.0,2700
2020-04-27,366.3408508300781,404.0,404.0,404.0,404.0,0
2020-04-28,371.7815856933594,410.0,410.0,378.0,378.0,2800
2020-04-29,371.7815856933594,410.0,410.0,410.0,410.0,0
2020-04-30,371.7815856933594,410.0,410.0,410.0,410.0,0
2020-05-04,371.7815856933594,410.0,410.0,410.0,410.0,0
2020-05-05,369.9679870605469,408.0,408.0,408.0,408.0,100
2020-05-06,366.3408508300781,404.0,404.0,382.0,382.0,2600
2020-05-08,366.3408508300781,404.0,404.0,404.0,404.0,500
2020-05-11,360.900146484375,398.0,402.0,380.0,402.0,5800
2020-05-12,360.900146484375,398.0,398.0,398.0,398.0,0
2020-05-13,360.900146484375,398.0,398.0,398.0,398.0,0
2020-05-14,360.900146484375,398.0,398.0,398.0,398.0,0
2020-05-15,360.900146484375,398.0,398.0,398.0,398.0,0
2020-05-18,344.57806396484375,380.0,390.0,378.0,390.0,1350200
2020-05-19,380.84942626953125,420.0,420.0,420.0,420.0,100
2020-05-20,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-05-26,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-05-27,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-05-28,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-05-29,373.5951232910156,412.0,428.0,412.0,428.0,200
2020-06-02,373.5951232910156,412.0,412.0,410.0,410.0,3000
2020-06-03,382.6629943847656,422.0,422.0,408.0,422.0,21600
2020-06-04,382.6629943847656,422.0,422.0,422.0,422.0,10000
2020-06-05,382.6629943847656,422.0,422.0,422.0,422.0,0
2020-06-08,388.1036682128906,428.0,428.0,394.0,422.0,2200
2020-06-09,380.84942626953125,420.0,420.0,408.0,408.0,600
2020-06-10,380.84942626953125,420.0,420.0,420.0,420.0,0
2020-06-11,386.2901306152344,426.0,426.0,392.0,392.0,3100
2020-06-12,386.2901306152344,426.0,426.0,426.0,426.0,0
