Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,413.0133972167969,555.0,570.0,555.0,560.0,85500
2020-01-03,424.1759033203125,570.0,570.0,565.0,570.0,64800
2020-01-06,424.1759033203125,570.0,575.0,565.0,570.0,201400
2020-01-07,424.1759033203125,570.0,580.0,570.0,575.0,128700
2020-01-08,420.4550476074219,565.0,570.0,560.0,570.0,78200
2020-01-09,420.4550476074219,565.0,570.0,560.0,565.0,30800
2020-01-10,416.7341613769531,560.0,565.0,555.0,565.0,80900
2020-01-13,416.7341613769531,560.0,570.0,555.0,570.0,130800
2020-01-14,420.4550476074219,565.0,570.0,555.0,560.0,313800
2020-01-15,420.4550476074219,565.0,570.0,555.0,565.0,137000
2020-01-16,420.4550476074219,565.0,565.0,555.0,565.0,111500
2020-01-17,424.1759033203125,570.0,570.0,560.0,560.0,66200
2020-01-20,416.7341613769531,560.0,570.0,560.0,570.0,54900
2020-01-21,416.7341613769531,560.0,565.0,550.0,560.0,39400
2020-01-22,416.7341613769531,560.0,560.0,545.0,555.0,246900
2020-01-23,420.4550476074219,565.0,565.0,555.0,560.0,7800
2020-01-24,413.0133972167969,555.0,565.0,555.0,555.0,61300
2020-01-27,413.0133972167969,555.0,555.0,545.0,555.0,61900
2020-01-28,413.0133972167969,555.0,555.0,525.0,555.0,159900
2020-01-29,409.29254150390625,550.0,555.0,550.0,550.0,16300
2020-01-30,409.29254150390625,550.0,555.0,545.0,555.0,244400
2020-01-31,405.5716857910156,545.0,550.0,535.0,550.0,122200
2020-02-03,405.5716857910156,545.0,545.0,535.0,535.0,39500
2020-02-04,405.5716857910156,545.0,545.0,540.0,545.0,2785800
2020-02-05,405.5716857910156,545.0,550.0,545.0,545.0,48900
2020-02-06,409.29254150390625,550.0,560.0,545.0,560.0,2574200
2020-02-07,409.29254150390625,550.0,560.0,540.0,560.0,100500
2020-02-10,409.29254150390625,550.0,550.0,545.0,550.0,56800
2020-02-11,405.5716857910156,545.0,550.0,545.0,545.0,629100
2020-02-12,398.1299743652344,535.0,545.0,535.0,545.0,64300
2020-02-13,390.6883544921875,525.0,535.0,515.0,535.0,915800
2020-02-14,390.6883544921875,525.0,530.0,525.0,530.0,36700
2020-02-17,372.0841064453125,500.0,525.0,500.0,525.0,1246600
2020-02-18,372.0841064453125,500.0,500.0,496.0,500.0,1146900
2020-02-19,372.0841064453125,500.0,505.0,498.0,500.0,349300
2020-02-20,370.5957946777344,498.0,505.0,498.0,500.0,1639100
2020-02-21,369.107421875,496.0,500.0,496.0,498.0,251200
2020-02-24,361.6657409667969,486.0,496.0,460.0,496.0,1963000
2020-02-25,369.107421875,496.0,505.0,482.0,482.0,737900
2020-02-26,357.20074462890625,480.0,498.0,480.0,496.0,689300
2020-02-27,360.1773986816406,484.0,484.0,470.0,480.0,452300
2020-02-28,336.3639831542969,452.0,482.0,450.0,482.0,974800
2020-03-02,334.87567138671875,450.0,470.0,446.0,452.0,612500
2020-03-03,334.87567138671875,450.0,450.0,448.0,450.0,120900
2020-03-04,334.87567138671875,450.0,466.0,444.0,448.0,754000
2020-03-05,334.87567138671875,450.0,450.0,446.0,450.0,361200
2020-03-06,334.87567138671875,450.0,450.0,448.0,450.0,192300
2020-03-09,318.5039978027344,428.0,450.0,420.0,450.0,5376800
