Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,820.0,820.0,830.0,820.0,830.0,23200
2020-01-03,830.0,830.0,855.0,810.0,810.0,48800
2020-01-06,860.0,860.0,880.0,810.0,855.0,2880900
2020-01-07,815.0,815.0,860.0,810.0,860.0,448400
2020-01-08,815.0,815.0,840.0,815.0,815.0,5000
2020-01-09,810.0,810.0,840.0,810.0,815.0,724800
2020-01-10,835.0,835.0,835.0,815.0,815.0,90100
2020-01-13,835.0,835.0,835.0,815.0,815.0,100100
2020-01-14,835.0,835.0,835.0,835.0,835.0,0
2020-01-15,835.0,835.0,865.0,815.0,835.0,420300
2020-01-16,850.0,850.0,860.0,835.0,840.0,896700
2020-01-17,860.0,860.0,860.0,845.0,850.0,1176500
2020-01-20,870.0,870.0,870.0,840.0,860.0,1226600
2020-01-21,890.0,890.0,910.0,860.0,870.0,712000
2020-01-22,890.0,890.0,900.0,890.0,900.0,231700
2020-01-23,895.0,895.0,900.0,880.0,880.0,78800
2020-01-24,880.0,880.0,895.0,880.0,895.0,20200
2020-01-27,860.0,860.0,880.0,830.0,880.0,135200
2020-01-28,890.0,890.0,890.0,840.0,855.0,1018400
2020-01-29,850.0,850.0,890.0,850.0,890.0,54700
2020-01-30,900.0,900.0,900.0,850.0,850.0,1621000
2020-01-31,930.0,930.0,930.0,865.0,900.0,1538200
2020-02-03,900.0,900.0,935.0,900.0,930.0,63100
2020-02-04,865.0,865.0,930.0,850.0,930.0,178100
2020-02-05,885.0,885.0,900.0,865.0,900.0,76600
2020-02-06,870.0,870.0,885.0,870.0,885.0,4600
2020-02-07,915.0,915.0,915.0,860.0,870.0,1651000
2020-02-10,900.0,900.0,915.0,900.0,915.0,133200
2020-02-11,890.0,890.0,900.0,885.0,890.0,2100
2020-02-12,870.0,870.0,875.0,870.0,875.0,55500
2020-02-13,860.0,860.0,880.0,855.0,875.0,359400
2020-02-14,890.0,890.0,900.0,860.0,860.0,102000
2020-02-17,880.0,880.0,880.0,860.0,880.0,17800
2020-02-18,915.0,915.0,925.0,875.0,875.0,901100
2020-02-19,880.0,880.0,905.0,875.0,875.0,14200
2020-02-20,875.0,875.0,910.0,875.0,875.0,1100
2020-02-21,875.0,875.0,885.0,875.0,885.0,2100
2020-02-24,875.0,875.0,890.0,875.0,875.0,20400
2020-02-25,865.0,865.0,880.0,865.0,875.0,2300
2020-02-26,870.0,870.0,880.0,870.0,870.0,34400
2020-02-27,895.0,895.0,900.0,860.0,870.0,422500
2020-02-28,980.0,980.0,980.0,850.0,860.0,3298600
2020-03-02,865.0,865.0,940.0,865.0,940.0,173900
2020-03-03,880.0,880.0,900.0,880.0,900.0,11400
2020-03-04,890.0,890.0,910.0,885.0,885.0,13800
2020-03-05,890.0,890.0,910.0,890.0,910.0,17100
2020-03-06,900.0,900.0,900.0,880.0,890.0,1200
2020-03-09,870.0,870.0,900.0,870.0,900.0,22600
2020-03-10,870.0,870.0,880.0,870.0,870.0,16700
2020-03-11,870.0,870.0,870.0,870.0,870.0,13100
2020-03-12,850.0,850.0,870.0,835.0,870.0,123900
2020-03-13,840.0,840.0,910.0,810.0,825.0,152700
2020-03-16,810.0,810.0,840.0,810.0,835.0,37700
2020-03-17,810.0,810.0,850.0,800.0,800.0,108900
2020-03-18,940.0,940.0,940.0,810.0,810.0,136400
2020-03-19,930.0,930.0,930.0,875.0,875.0,94300
2020-03-20,865.0,865.0,900.0,865.0,900.0,327700
2020-03-23,845.0,845.0,845.0,830.0,840.0,132300
2020-03-24,875.0,875.0,885.0,840.0,840.0,116400
2020-03-26,880.0,880.0,895.0,875.0,875.0,129900
2020-03-27,885.0,885.0,885.0,880.0,880.0,345300
2020-03-30,880.0,880.0,890.0,880.0,885.0,857100
2020-03-31,995.0,995.0,995.0,880.0,880.0,2238800
2020-04-01,930.0,930.0,995.0,930.0,995.0,4200
2020-04-02,970.0,970.0,970.0,930.0,930.0,63500
2020-04-03,970.0,970.0,970.0,970.0,970.0,2200
2020-04-06,920.0,920.0,970.0,920.0,970.0,22200
2020-04-07,970.0,970.0,970.0,890.0,920.0,10532000
2020-04-08,925.0,925.0,950.0,920.0,950.0,23800
2020-04-09,990.0,990.0,990.0,870.0,950.0,37300
2020-04-13,940.0,940.0,990.0,925.0,990.0,165100
2020-04-14,970.0,970.0,970.0,900.0,945.0,262600
2020-04-15,980.0,980.0,980.0,945.0,950.0,471100
2020-04-16,970.0,970.0,995.0,960.0,990.0,26700
2020-04-17,995.0,995.0,995.0,960.0,970.0,2099900
2020-04-20,970.0,970.0,995.0,970.0,970.0,234500
2020-04-21,940.0,940.0,940.0,940.0,940.0,100
2020-04-22,995.0,995.0,995.0,990.0,990.0,10300
2020-04-23,960.0,960.0,1000.0,960.0,1000.0,42600
2020-04-24,980.0,980.0,980.0,980.0,980.0,500
2020-04-27,975.0,975.0,975.0,945.0,945.0,23400
2020-04-28,965.0,965.0,975.0,965.0,975.0,2700
2020-04-29,960.0,960.0,965.0,940.0,950.0,101100
2020-04-30,1090.0,1090.0,1090.0,970.0,975.0,533400
2020-05-04,1030.0,1030.0,1080.0,1020.0,1080.0,26700
2020-05-05,1045.0,1045.0,1050.0,1030.0,1030.0,113200
2020-05-06,1000.0,1000.0,1030.0,1000.0,1030.0,3600
2020-05-08,980.0,980.0,1050.0,980.0,1000.0,179700
2020-05-11,995.0,995.0,1000.0,980.0,980.0,96400
2020-05-12,995.0,995.0,995.0,990.0,995.0,6600
2020-05-13,985.0,985.0,995.0,950.0,995.0,136900
2020-05-14,975.0,975.0,985.0,975.0,985.0,8700
2020-05-15,975.0,975.0,975.0,975.0,975.0,2700
2020-05-18,995.0,995.0,995.0,975.0,975.0,3900
2020-05-19,1000.0,1000.0,1000.0,1000.0,1000.0,26600
2020-05-20,985.0,985.0,1000.0,960.0,1000.0,104300
2020-05-26,1015.0,1015.0,1190.0,980.0,985.0,26300
2020-05-27,995.0,995.0,1015.0,960.0,1015.0,866700
2020-05-28,1000.0,1000.0,1010.0,980.0,995.0,288700
2020-05-29,1030.0,1030.0,1030.0,980.0,1000.0,2648300
2020-06-02,1015.0,1015.0,1030.0,975.0,1020.0,1087200
2020-06-03,1000.0,1000.0,1020.0,990.0,1015.0,221600
2020-06-04,1000.0,1000.0,1000.0,1000.0,1000.0,20500
2020-06-05,980.0,980.0,1000.0,980.0,1000.0,259300
2020-06-08,985.0,985.0,1020.0,980.0,980.0,598600
2020-06-09,990.0,990.0,990.0,980.0,985.0,170800
2020-06-10,985.0,985.0,1010.0,985.0,1010.0,170600
2020-06-11,995.0,995.0,995.0,980.0,980.0,8400
2020-06-12,990.0,990.0,995.0,975.0,995.0,10300
2020-06-15,970.0,970.0,1000.0,970.0,980.0,165100
2020-06-16,970.0,970.0,980.0,960.0,970.0,678000
2020-06-17,970.0,970.0,975.0,965.0,970.0,121500
2020-06-18,965.0,965.0,970.0,960.0,970.0,420400
2020-06-19,965.0,965.0,970.0,950.0,965.0,114800
2020-06-22,960.0,960.0,970.0,960.0,960.0,116800
2020-06-23,960.0,960.0,965.0,950.0,960.0,211400
2020-06-24,970.0,970.0,970.0,950.0,960.0,604600
2020-06-25,945.0,945.0,960.0,945.0,950.0,498900
2020-06-26,945.0,945.0,950.0,940.0,945.0,92300
2020-06-29,950.0,950.0,955.0,945.0,955.0,194900
2020-06-30,945.0,945.0,965.0,945.0,950.0,3489800
2020-07-01,935.0,935.0,945.0,935.0,945.0,42500
2020-07-02,930.0,930.0,935.0,930.0,935.0,20300
2020-07-03,930.0,930.0,935.0,930.0,930.0,14400
2020-07-06,925.0,925.0,930.0,920.0,930.0,41200
2020-07-07,940.0,940.0,940.0,905.0,915.0,171200
