Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,2069.984130859375,2600.0,2610.0,2400.0,2490.0,631100
2020-01-03,2141.63720703125,2690.0,2690.0,2580.0,2610.0,1222700
2020-01-06,2117.75244140625,2660.0,2690.0,2650.0,2690.0,2223400
2020-01-07,2109.791259765625,2650.0,2670.0,2620.0,2670.0,594600
2020-01-08,2054.06103515625,2580.0,2650.0,2570.0,2650.0,319500
2020-01-09,2093.86865234375,2630.0,2630.0,2560.0,2580.0,265100
2020-01-10,2133.67578125,2680.0,2750.0,2630.0,2640.0,3349900
2020-01-13,2101.830078125,2640.0,2690.0,2600.0,2680.0,409400
2020-01-14,2101.830078125,2640.0,2640.0,2590.0,2640.0,103600
2020-01-15,2038.137939453125,2560.0,2640.0,2560.0,2640.0,3411300
2020-01-16,2038.137939453125,2560.0,2590.0,2530.0,2560.0,378800
2020-01-17,2030.176513671875,2550.0,2620.0,2550.0,2560.0,248600
2020-01-20,2054.06103515625,2580.0,2620.0,2540.0,2560.0,691400
2020-01-21,2101.830078125,2640.0,2700.0,2580.0,2580.0,2073600
2020-01-22,2093.86865234375,2630.0,2660.0,2610.0,2640.0,332400
2020-01-23,2054.06103515625,2580.0,2650.0,2560.0,2630.0,314300
2020-01-24,2030.176513671875,2550.0,2580.0,2550.0,2580.0,107700
2020-01-27,1966.484619140625,2470.0,2550.0,2440.0,2550.0,465200
2020-01-28,1934.638916015625,2430.0,2470.0,2410.0,2470.0,977000
2020-01-29,1878.908447265625,2360.0,2430.0,2340.0,2430.0,1630100
2020-01-30,1862.985595703125,2340.0,2370.0,2330.0,2360.0,673900
2020-01-31,1870.947021484375,2350.0,2420.0,2270.0,2340.0,722400
2020-02-03,1902.79296875,2390.0,2460.0,2290.0,2350.0,1643500
2020-02-04,1958.523193359375,2460.0,2510.0,2390.0,2390.0,1811000
2020-02-05,1958.523193359375,2460.0,2500.0,2450.0,2460.0,1641300
2020-02-06,1958.523193359375,2460.0,2510.0,2400.0,2470.0,1271800
2020-02-07,1966.484619140625,2470.0,2480.0,2440.0,2470.0,563400
2020-02-10,1910.7545166015625,2400.0,2480.0,2400.0,2470.0,147600
2020-02-11,1894.8314208984375,2380.0,2430.0,2370.0,2390.0,74700
2020-02-12,1990.369384765625,2500.0,2500.0,2380.0,2380.0,3989500
2020-02-13,1982.407958984375,2490.0,2650.0,2450.0,2500.0,2153500
2020-02-14,1918.7158203125,2410.0,2490.0,2300.0,2490.0,2450900
2020-02-17,1910.7545166015625,2400.0,2500.0,2290.0,2400.0,2878100
2020-02-18,1934.638916015625,2430.0,2530.0,2350.0,2400.0,1367700
2020-02-19,1902.79296875,2390.0,2460.0,2360.0,2450.0,618100
2020-02-20,1902.79296875,2390.0,2430.0,2390.0,2390.0,257500
2020-02-21,1862.985595703125,2340.0,2400.0,2320.0,2390.0,450400
2020-02-24,1855.0240478515625,2330.0,2420.0,2270.0,2420.0,917100
2020-02-25,1831.1396484375,2300.0,2340.0,2290.0,2330.0,150800
2020-02-26,1799.2935791015625,2260.0,2310.0,2210.0,2310.0,508600
2020-02-27,1791.332275390625,2250.0,2350.0,2140.0,2250.0,848200
2020-02-28,1791.332275390625,2250.0,2250.0,2140.0,2240.0,613500
2020-03-02,1751.5250244140625,2200.0,2250.0,2160.0,2250.0,394400
2020-03-03,1751.5250244140625,2200.0,2230.0,2170.0,2200.0,265300
2020-03-04,1727.6405029296875,2170.0,2200.0,2150.0,2190.0,419700
2020-03-05,1711.717529296875,2150.0,2240.0,2130.0,2170.0,1031000
2020-03-06,1663.94873046875,2090.0,2160.0,2090.0,2160.0,305200
2020-03-09,1616.1798095703125,2030.0,2130.0,1955.0,2080.0,763500
2020-03-10,1671.9102783203125,2100.0,2170.0,1995.0,2030.0,2181200
2020-03-11,1624.14111328125,2040.0,2110.0,2000.0,2100.0,1519000
2020-03-12,1536.5650634765625,1930.0,2030.0,1925.0,2030.0,219800
2020-03-13,1592.29541015625,2000.0,2000.0,1795.0,1925.0,1275500
2020-03-16,1480.834716796875,1860.0,2000.0,1860.0,2000.0,101900
2020-03-17,1377.33544921875,1730.0,1860.0,1730.0,1860.0,175000
