Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,825.719970703125,1040.0,1050.0,1035.0,1050.0,83800
2020-01-03,833.6596069335938,1050.0,1090.0,1040.0,1040.0,110900
2020-01-06,833.6596069335938,1050.0,1075.0,1040.0,1050.0,547400
2020-01-07,833.6596069335938,1050.0,1050.0,1030.0,1050.0,89000
2020-01-08,829.689697265625,1045.0,1050.0,1030.0,1050.0,20900
2020-01-09,825.719970703125,1040.0,1045.0,1035.0,1045.0,172900
2020-01-10,821.7501220703125,1035.0,1040.0,1010.0,1040.0,175900
2020-01-13,805.8709106445312,1015.0,1035.0,1000.0,1035.0,230000
2020-01-14,805.8709106445312,1015.0,1015.0,1010.0,1010.0,28900
2020-01-15,805.8709106445312,1015.0,1015.0,1005.0,1010.0,12900
2020-01-16,825.719970703125,1040.0,1040.0,1000.0,1015.0,67500
2020-01-17,829.689697265625,1045.0,1045.0,1020.0,1020.0,83400
2020-01-20,829.689697265625,1045.0,1050.0,1000.0,1040.0,21800
2020-01-21,658.988037109375,830.0,1040.0,830.0,1035.0,182700
2020-01-22,805.8709106445312,1015.0,1020.0,970.0,980.0,182100
2020-01-23,809.8406982421875,1020.0,1020.0,980.0,1010.0,77800
2020-01-24,809.8406982421875,1020.0,1020.0,1000.0,1015.0,33800
2020-01-27,797.9312744140625,1005.0,1010.0,990.0,1010.0,93700
2020-01-28,797.9312744140625,1005.0,1005.0,975.0,1000.0,66200
2020-01-29,793.9615478515625,1000.0,1000.0,995.0,995.0,10500
2020-01-30,789.99169921875,995.0,1000.0,995.0,995.0,6100
2020-01-31,793.9615478515625,1000.0,1000.0,990.0,990.0,4000
2020-02-03,789.99169921875,995.0,995.0,960.0,995.0,47200
2020-02-04,786.0218505859375,990.0,1000.0,990.0,995.0,21300
2020-02-05,789.99169921875,995.0,995.0,970.0,990.0,45200
2020-02-06,793.9615478515625,1000.0,1000.0,985.0,995.0,13500
2020-02-07,793.9615478515625,1000.0,1000.0,990.0,995.0,17800
2020-02-10,793.9615478515625,1000.0,1000.0,985.0,990.0,15600
2020-02-11,786.0218505859375,990.0,1000.0,990.0,1000.0,11600
2020-02-12,786.0218505859375,990.0,990.0,980.0,990.0,81800
2020-02-13,782.0520629882812,985.0,990.0,970.0,990.0,22100
2020-02-14,782.0520629882812,985.0,985.0,970.0,980.0,21200
2020-02-17,778.082275390625,980.0,985.0,955.0,985.0,8200
2020-02-18,778.082275390625,980.0,980.0,980.0,980.0,17100
2020-02-19,778.082275390625,980.0,985.0,980.0,980.0,35100
2020-02-20,778.082275390625,980.0,985.0,970.0,985.0,21900
2020-02-21,778.082275390625,980.0,985.0,970.0,980.0,85000
2020-02-24,774.1124877929688,975.0,980.0,970.0,980.0,29100
2020-02-25,778.082275390625,980.0,980.0,965.0,965.0,28400
2020-02-26,778.082275390625,980.0,980.0,970.0,970.0,20200
2020-02-27,774.1124877929688,975.0,980.0,960.0,980.0,16300
2020-02-28,746.3238525390625,940.0,955.0,850.0,955.0,115400
2020-03-02,714.5653686523438,900.0,970.0,895.0,935.0,56400
2020-03-03,722.5048828125,910.0,930.0,900.0,910.0,35700
2020-03-04,746.3238525390625,940.0,940.0,900.0,910.0,18300
2020-03-05,738.3842163085938,930.0,940.0,900.0,930.0,49600
2020-03-06,714.5653686523438,900.0,925.0,870.0,920.0,79900
2020-03-09,714.5653686523438,900.0,925.0,885.0,895.0,11900
2020-03-10,710.5955200195312,895.0,910.0,890.0,890.0,13300
2020-03-11,710.5955200195312,895.0,900.0,885.0,895.0,109500
2020-03-12,655.0182495117188,825.0,880.0,810.0,880.0,22000
2020-03-13,655.0182495117188,825.0,825.0,770.0,820.0,136400
2020-03-16,611.350341796875,770.0,825.0,770.0,825.0,151600
2020-03-17,611.350341796875,770.0,770.0,720.0,760.0,124600
2020-03-18,571.6522827148438,720.0,760.0,720.0,750.0,102200
2020-03-19,531.9542236328125,670.0,680.0,670.0,680.0,59800
2020-03-20,512.1051635742188,645.0,670.0,625.0,630.0,411700
2020-03-23,476.37689208984375,600.0,620.0,600.0,620.0,164200
2020-03-24,476.37689208984375,600.0,605.0,565.0,565.0,26800
2020-03-26,476.37689208984375,600.0,615.0,570.0,600.0,640600
2020-03-27,472.4071044921875,595.0,610.0,590.0,600.0,1488300
2020-03-30,468.4373474121094,590.0,595.0,560.0,580.0,54700
2020-03-31,492.2560729980469,620.0,620.0,585.0,585.0,2952400
2020-04-01,480.3467712402344,605.0,620.0,600.0,620.0,116500
2020-04-02,496.22589111328125,625.0,625.0,600.0,600.0,438700
2020-04-03,508.1353454589844,640.0,640.0,615.0,615.0,124100
2020-04-06,575.6220703125,725.0,725.0,635.0,635.0,242900
2020-04-07,619.2899169921875,780.0,820.0,720.0,720.0,447700
2020-04-08,579.5919189453125,730.0,785.0,730.0,775.0,539600
2020-04-09,583.5616455078125,735.0,740.0,685.0,730.0,365800
2020-04-13,587.5315551757812,740.0,750.0,715.0,715.0,45700
2020-04-14,619.2899169921875,780.0,835.0,735.0,735.0,134400
2020-04-15,647.07861328125,815.0,815.0,765.0,785.0,117800
2020-04-16,658.988037109375,830.0,855.0,800.0,800.0,113700
2020-04-17,698.6860961914062,880.0,880.0,825.0,830.0,58800
2020-04-20,698.6860961914062,880.0,890.0,840.0,880.0,73900
2020-04-21,690.7464599609375,870.0,880.0,840.0,870.0,30700
2020-04-22,690.7464599609375,870.0,870.0,840.0,860.0,63100
2020-04-23,722.5048828125,910.0,920.0,870.0,870.0,242600
2020-04-24,710.5955200195312,895.0,910.0,885.0,905.0,115400
2020-04-27,710.5955200195312,895.0,910.0,875.0,895.0,40800
2020-04-28,714.5653686523438,900.0,900.0,880.0,895.0,20500
2020-04-29,714.5653686523438,900.0,900.0,885.0,900.0,23700
2020-04-30,722.5048828125,910.0,915.0,890.0,890.0,46500
2020-05-04,730.444580078125,920.0,955.0,870.0,950.0,159000
2020-05-05,726.4747314453125,915.0,920.0,885.0,920.0,83400
2020-05-06,718.5352172851562,905.0,915.0,895.0,915.0,15600
2020-05-08,714.5653686523438,900.0,905.0,890.0,890.0,29800
2020-05-11,714.5653686523438,900.0,900.0,850.0,900.0,138300
2020-05-12,714.5653686523438,900.0,905.0,875.0,900.0,77600
2020-05-13,706.625732421875,890.0,895.0,875.0,895.0,25200
2020-05-14,706.625732421875,890.0,895.0,865.0,895.0,25500
2020-05-15,706.625732421875,890.0,890.0,875.0,880.0,20200
2020-05-18,702.6558837890625,885.0,895.0,850.0,875.0,250200
2020-05-19,698.6860961914062,880.0,890.0,870.0,890.0,18100
2020-05-20,694.71630859375,875.0,890.0,855.0,890.0,20200
2020-05-26,706.625732421875,890.0,890.0,865.0,875.0,86000
2020-05-27,702.6558837890625,885.0,890.0,865.0,890.0,16200
2020-05-28,702.6558837890625,885.0,890.0,880.0,885.0,27500
2020-05-29,706.625732421875,890.0,890.0,880.0,890.0,24300
2020-06-02,710.5955200195312,895.0,895.0,870.0,870.0,19600
2020-06-03,730.444580078125,920.0,920.0,890.0,895.0,98400
2020-06-04,746.3238525390625,940.0,950.0,890.0,950.0,91300
2020-06-05,746.3238525390625,940.0,940.0,930.0,930.0,34200
2020-06-08,730.444580078125,920.0,940.0,920.0,940.0,38500
2020-06-09,718.5352172851562,905.0,920.0,885.0,920.0,285200
2020-06-10,706.625732421875,890.0,905.0,885.0,905.0,123500
2020-06-11,714.5653686523438,900.0,900.0,880.0,890.0,13600
2020-06-12,714.5653686523438,900.0,900.0,875.0,890.0,36400
2020-06-15,702.6558837890625,885.0,910.0,885.0,900.0,52200
2020-06-16,698.6860961914062,880.0,890.0,875.0,880.0,78200
2020-06-17,694.71630859375,875.0,880.0,875.0,880.0,48400
2020-06-18,690.7464599609375,870.0,875.0,860.0,875.0,72600
2020-06-19,682.806884765625,860.0,870.0,855.0,870.0,135200
2020-06-22,674.8673095703125,850.0,860.0,845.0,860.0,131600
2020-06-23,674.8673095703125,850.0,850.0,840.0,850.0,44000
2020-06-24,666.9276733398438,840.0,850.0,840.0,850.0,44600
2020-06-25,666.9276733398438,840.0,850.0,835.0,845.0,187600
2020-06-26,666.9276733398438,840.0,850.0,835.0,835.0,63800
2020-06-29,655.0182495117188,825.0,835.0,820.0,835.0,77300
2020-06-30,655.0182495117188,825.0,830.0,815.0,830.0,174400
2020-07-01,655.0182495117188,825.0,825.0,805.0,820.0,57900
2020-07-02,651.0484008789062,820.0,820.0,815.0,815.0,64300
2020-07-03,655.0182495117188,825.0,825.0,815.0,820.0,99000
2020-07-06,651.0484008789062,820.0,830.0,815.0,830.0,321800
2020-07-07,647.07861328125,815.0,815.0,810.0,815.0,192900
2020-07-08,651.0484008789062,820.0,820.0,800.0,815.0,322600
2020-07-09,651.0484008789062,820.0,825.0,810.0,820.0,523100
2020-07-10,647.07861328125,815.0,820.0,800.0,820.0,210700
2020-07-13,647.07861328125,815.0,825.0,805.0,815.0,52200
2020-07-14,647.07861328125,815.0,820.0,805.0,815.0,142100
2020-07-15,643.1087646484375,810.0,815.0,805.0,815.0,81400
2020-07-16,647.07861328125,815.0,815.0,800.0,810.0,110000
2020-07-17,651.0484008789062,820.0,820.0,810.0,815.0,30500
2020-07-20,655.0182495117188,825.0,825.0,810.0,815.0,65800
2020-07-21,655.0182495117188,825.0,825.0,815.0,825.0,301500
2020-07-22,658.988037109375,830.0,830.0,815.0,825.0,44600
2020-07-23,655.0182495117188,825.0,825.0,810.0,825.0,193800
2020-07-24,655.0182495117188,825.0,825.0,815.0,820.0,45900
2020-07-27,647.07861328125,815.0,825.0,810.0,825.0,175900
2020-07-28,651.0484008789062,820.0,820.0,815.0,820.0,78900
2020-07-29,647.07861328125,815.0,815.0,810.0,815.0,289900
2020-07-30,666.9276733398438,840.0,875.0,820.0,820.0,874700
2020-08-03,690.7464599609375,870.0,900.0,840.0,875.0,1900700
2020-08-04,722.5048828125,910.0,940.0,870.0,875.0,1519900
2020-08-05,726.4747314453125,915.0,930.0,895.0,900.0,1286600
2020-08-06,726.4747314453125,915.0,930.0,905.0,920.0,751600
2020-08-07,714.5653686523438,900.0,920.0,895.0,915.0,740800
2020-08-10,718.5352172851562,905.0,910.0,900.0,900.0,428600
2020-08-11,722.5048828125,910.0,910.0,900.0,905.0,138500
2020-08-12,718.5352172851562,905.0,910.0,900.0,910.0,570200
2020-08-13,718.5352172851562,905.0,920.0,900.0,905.0,331600
2020-08-14,714.5653686523438,900.0,910.0,895.0,910.0,256900
2020-08-18,718.5352172851562,905.0,905.0,890.0,900.0,792100
2020-08-19,714.5653686523438,900.0,940.0,890.0,940.0,1679000
2020-08-24,738.3842163085938,930.0,940.0,900.0,900.0,2378000
2020-08-25,726.4747314453125,915.0,950.0,915.0,940.0,2216800
2020-08-26,710.5955200195312,895.0,920.0,865.0,915.0,3745600
2020-08-27,694.71630859375,875.0,895.0,870.0,890.0,2842000
2020-08-28,702.6558837890625,885.0,890.0,875.0,875.0,3260300
2020-08-31,718.5352172851562,905.0,920.0,890.0,900.0,4112600
2020-09-01,722.5048828125,910.0,915.0,905.0,910.0,2620100
2020-09-02,722.5048828125,910.0,920.0,895.0,910.0,1474200
2020-09-03,741.5618286132812,895.0,905.0,880.0,900.0,1521800
2020-09-04,741.5618286132812,895.0,895.0,880.0,885.0,578700
2020-09-07,749.8474731445312,905.0,905.0,885.0,900.0,984700
2020-09-08,766.4186401367188,925.0,990.0,900.0,905.0,2960400
2020-09-09,762.27587890625,920.0,930.0,900.0,925.0,736200
2020-09-10,745.7046508789062,900.0,920.0,860.0,920.0,2924600
2020-09-11,749.8474731445312,905.0,910.0,875.0,895.0,711000
2020-09-14,758.133056640625,915.0,935.0,905.0,905.0,614400
2020-09-15,762.27587890625,920.0,920.0,905.0,915.0,245200
2020-09-16,758.133056640625,915.0,920.0,900.0,920.0,100100
2020-09-17,749.8474731445312,905.0,915.0,885.0,915.0,383100
2020-09-18,745.7046508789062,900.0,905.0,890.0,905.0,151400
2020-09-21,741.5618286132812,895.0,905.0,890.0,900.0,911600
2020-09-22,737.4190063476562,890.0,895.0,885.0,895.0,295400
2020-09-23,737.4190063476562,890.0,895.0,880.0,890.0,305900
2020-09-24,729.1334228515625,880.0,890.0,865.0,890.0,211100
2020-09-25,737.4190063476562,890.0,890.0,870.0,880.0,204400
2020-09-28,737.4190063476562,890.0,890.0,875.0,890.0,193500
2020-09-29,729.1334228515625,880.0,895.0,875.0,890.0,79700
2020-09-30,787.1327514648438,950.0,950.0,870.0,875.0,274800
2020-10-01,762.27587890625,920.0,945.0,895.0,945.0,233900
2020-10-02,749.8474731445312,905.0,920.0,900.0,920.0,323100
2020-10-05,762.27587890625,920.0,920.0,900.0,910.0,153300
2020-10-06,762.27587890625,920.0,920.0,905.0,905.0,77400
2020-10-07,762.27587890625,920.0,920.0,905.0,915.0,92200
2020-10-08,753.9901733398438,910.0,915.0,905.0,910.0,70600
2020-10-09,753.9901733398438,910.0,910.0,900.0,905.0,130500
2020-10-12,749.8474731445312,905.0,915.0,900.0,910.0,299600
2020-10-13,741.5618286132812,895.0,900.0,895.0,900.0,136200
2020-10-14,737.4190063476562,890.0,910.0,880.0,890.0,399700
2020-10-15,737.4190063476562,890.0,900.0,880.0,890.0,136100
2020-10-16,745.7046508789062,900.0,900.0,885.0,890.0,37000
2020-10-19,737.4190063476562,890.0,900.0,885.0,900.0,534000
2020-10-20,737.4190063476562,890.0,890.0,880.0,890.0,115400
2020-10-21,741.5618286132812,895.0,895.0,880.0,885.0,89000
2020-10-22,741.5618286132812,895.0,895.0,885.0,895.0,81900
2020-10-23,737.4190063476562,890.0,900.0,885.0,900.0,81500
2020-10-26,745.7046508789062,900.0,900.0,890.0,890.0,151900
2020-10-27,745.7046508789062,900.0,900.0,890.0,895.0,168300
2020-11-02,741.5618286132812,895.0,900.0,885.0,900.0,219400
2020-11-03,753.9901733398438,910.0,915.0,900.0,900.0,560100
2020-11-04,749.8474731445312,905.0,915.0,890.0,910.0,424100
2020-11-05,749.8474731445312,905.0,920.0,905.0,910.0,428500
2020-11-06,753.9901733398438,910.0,915.0,905.0,905.0,90900
2020-11-09,749.8474731445312,905.0,910.0,900.0,910.0,273300
2020-11-10,745.7046508789062,900.0,905.0,900.0,905.0,140400
2020-11-11,745.7046508789062,900.0,905.0,890.0,905.0,520300
2020-11-12,745.7046508789062,900.0,900.0,895.0,900.0,499800
2020-11-13,745.7046508789062,900.0,900.0,895.0,895.0,384200
2020-11-16,753.9901733398438,910.0,920.0,900.0,900.0,454500
2020-11-17,753.9901733398438,910.0,910.0,900.0,910.0,401300
