Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,563.0410766601562,965.0,975.0,960.0,970.0,470600
2020-01-03,557.2064819335938,955.0,970.0,950.0,965.0,4552500
2020-01-06,548.4545288085938,940.0,955.0,930.0,950.0,2230900
2020-01-07,554.2891845703125,950.0,950.0,935.0,940.0,1018900
2020-01-08,557.2064819335938,955.0,960.0,930.0,950.0,15143100
2020-01-09,560.123779296875,960.0,965.0,950.0,960.0,2679100
2020-01-10,568.8756713867188,975.0,980.0,950.0,960.0,2858300
2020-01-13,563.0410766601562,965.0,980.0,960.0,980.0,8932300
2020-01-14,560.123779296875,960.0,975.0,960.0,965.0,2068500
2020-01-15,554.2891845703125,950.0,965.0,950.0,960.0,1116600
2020-01-16,551.371826171875,945.0,955.0,940.0,955.0,1788300
2020-01-17,545.5372314453125,935.0,950.0,935.0,945.0,2880600
2020-01-20,545.5372314453125,935.0,945.0,930.0,935.0,923900
2020-01-21,548.4545288085938,940.0,950.0,930.0,935.0,874700
2020-01-22,542.6199340820312,930.0,940.0,920.0,940.0,1876100
2020-01-23,545.5372314453125,935.0,940.0,935.0,935.0,793800
2020-01-24,554.2891845703125,950.0,960.0,930.0,935.0,2078000
2020-01-27,539.70263671875,925.0,945.0,915.0,945.0,2012900
2020-01-28,530.9506225585938,910.0,925.0,905.0,925.0,3073200
2020-01-29,533.8679809570312,915.0,925.0,910.0,910.0,931700
2020-01-30,525.115966796875,900.0,925.0,895.0,925.0,2313600
2020-01-31,522.19873046875,895.0,910.0,885.0,900.0,1626000
2020-02-03,513.44677734375,880.0,900.0,870.0,895.0,3057500
2020-02-04,525.115966796875,900.0,905.0,875.0,880.0,3148100
2020-02-05,525.115966796875,900.0,915.0,895.0,905.0,467200
2020-02-06,519.2814331054688,890.0,915.0,885.0,905.0,4893200
2020-02-07,510.5294189453125,875.0,900.0,875.0,890.0,2948300
2020-02-10,490.1082458496094,840.0,885.0,835.0,875.0,10392200
2020-02-11,487.1910095214844,835.0,850.0,825.0,840.0,4940400
2020-02-12,478.43902587890625,820.0,840.0,820.0,840.0,3185600
