Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,3031.822509765625,3250.0,3250.0,3200.0,3250.0,3700
2020-01-03,3069.137451171875,3290.0,3300.0,3200.0,3300.0,11200
2020-01-06,3059.80859375,3280.0,3280.0,3240.0,3250.0,12000
2020-01-07,3022.493896484375,3240.0,3240.0,3220.0,3220.0,300
2020-01-08,3022.493896484375,3240.0,3240.0,3200.0,3240.0,1500
2020-01-09,3022.493896484375,3240.0,3240.0,3200.0,3200.0,1800
2020-01-10,3031.822509765625,3250.0,3250.0,3200.0,3240.0,5100
2020-01-13,3022.493896484375,3240.0,3250.0,3180.0,3250.0,59800
2020-01-14,2891.89208984375,3100.0,3240.0,3100.0,3240.0,84900
2020-01-15,2985.179443359375,3200.0,3200.0,3090.0,3110.0,47600
2020-01-16,2957.193115234375,3170.0,3270.0,3100.0,3150.0,77000
2020-01-17,2901.22119140625,3110.0,3170.0,3080.0,3170.0,22500
2020-01-20,2845.2490234375,3050.0,3190.0,3010.0,3110.0,60700
2020-01-21,2835.920166015625,3040.0,3150.0,3040.0,3100.0,225600
2020-01-22,2910.5498046875,3120.0,3120.0,3040.0,3040.0,2300
2020-01-23,2891.89208984375,3100.0,3110.0,3050.0,3050.0,34900
2020-01-24,2901.22119140625,3110.0,3110.0,3080.0,3090.0,4400
2020-01-27,2873.23486328125,3080.0,3090.0,3030.0,3050.0,12300
2020-01-28,2705.318603515625,2900.0,3060.0,2900.0,3020.0,111200
2020-01-29,2770.619384765625,2970.0,3050.0,2950.0,2990.0,60300
2020-01-30,2854.57763671875,3060.0,3060.0,2970.0,2970.0,2300
2020-01-31,2714.647216796875,2910.0,3000.0,2900.0,3000.0,37900
2020-02-03,2779.947998046875,2980.0,2980.0,2900.0,2910.0,10100
2020-02-04,2742.63330078125,2940.0,2990.0,2940.0,2980.0,33300
2020-02-05,2779.947998046875,2980.0,2980.0,2910.0,2940.0,15200
2020-02-06,2761.290771484375,2960.0,2980.0,2890.0,2980.0,16200
2020-02-07,2742.63330078125,2940.0,2970.0,2940.0,2960.0,9000
2020-02-10,2742.63330078125,2940.0,2940.0,2870.0,2930.0,6100
2020-02-11,2723.975830078125,2920.0,2970.0,2830.0,2970.0,48300
2020-02-12,2751.962158203125,2950.0,2970.0,2920.0,2920.0,11700
2020-02-13,2686.661376953125,2880.0,2920.0,2850.0,2920.0,15700
2020-02-14,2733.3046875,2930.0,2930.0,2770.0,2800.0,8400
2020-02-17,2733.3046875,2930.0,2930.0,2850.0,2930.0,1500
2020-02-18,2723.975830078125,2920.0,2930.0,2850.0,2850.0,7900
2020-02-19,2761.290771484375,2960.0,2960.0,2920.0,2920.0,8800
2020-02-20,2742.63330078125,2940.0,2960.0,2930.0,2960.0,3000
2020-02-21,2723.975830078125,2920.0,2930.0,2870.0,2930.0,4700
2020-02-24,2695.989990234375,2890.0,2890.0,2820.0,2870.0,31900
2020-02-25,2658.675048828125,2850.0,2850.0,2840.0,2850.0,8300
2020-02-26,2658.675048828125,2850.0,2850.0,2830.0,2850.0,1900
2020-02-27,2602.703125,2790.0,2810.0,2760.0,2810.0,9000
2020-02-28,2528.07373046875,2710.0,2730.0,2610.0,2730.0,56300
2020-03-02,2500.08740234375,2680.0,2690.0,2570.0,2650.0,45200
2020-03-03,2490.7587890625,2670.0,2690.0,2650.0,2680.0,22700
2020-03-04,2584.045654296875,2770.0,2770.0,2670.0,2670.0,114300
2020-03-05,2518.7451171875,2700.0,2800.0,2650.0,2770.0,45600
2020-03-06,2509.416259765625,2690.0,2700.0,2630.0,2700.0,56400
2020-03-09,2388.143310546875,2560.0,2610.0,2500.0,2610.0,22400
2020-03-10,2360.1572265625,2530.0,2560.0,2500.0,2560.0,18500
2020-03-11,2276.198974609375,2440.0,2530.0,2380.0,2530.0,91100
2020-03-12,2052.310791015625,2200.0,2400.0,2200.0,2400.0,116800
2020-03-13,2052.310791015625,2200.0,2200.0,2200.0,2200.0,0
2020-03-16,1819.093505859375,1950.0,2060.0,1920.0,2060.0,30400
2020-03-17,1697.8206787109375,1820.0,1950.0,1820.0,1950.0,12900
2020-03-18,1613.8624267578125,1730.0,1820.0,1730.0,1820.0,22300
2020-03-19,1609.1981201171875,1725.0,1730.0,1610.0,1730.0,19500
2020-03-20,1557.8902587890625,1670.0,1700.0,1605.0,1700.0,29200
2020-03-23,1497.25390625,1605.0,1995.0,1585.0,1670.0,33100
2020-03-24,1674.4989013671875,1795.0,1990.0,1605.0,1605.0,26800
2020-03-26,1735.1353759765625,1860.0,1900.0,1800.0,1850.0,72200
2020-03-27,1791.107421875,1920.0,1980.0,1910.0,1910.0,96300
2020-03-30,1758.45703125,1885.0,1920.0,1790.0,1910.0,73100
2020-03-31,1781.77880859375,1910.0,1910.0,1885.0,1900.0,10200
2020-04-01,1725.8067626953125,1850.0,1930.0,1850.0,1910.0,14100
2020-04-02,1772.4501953125,1900.0,1900.0,1850.0,1850.0,28100
2020-04-03,1781.77880859375,1910.0,1980.0,1780.0,1870.0,335600
2020-04-06,1865.7369384765625,2000.0,2000.0,1900.0,1910.0,395000
2020-04-07,1884.3944091796875,2020.0,2150.0,2000.0,2000.0,121200
2020-04-08,1819.093505859375,1950.0,2020.0,1950.0,2020.0,32700
2020-04-09,1763.1214599609375,1890.0,1950.0,1840.0,1950.0,27400
2020-04-13,1777.1143798828125,1905.0,1950.0,1890.0,1900.0,17000
2020-04-14,1683.82763671875,1805.0,1905.0,1800.0,1905.0,403600
2020-04-15,1679.1632080078125,1800.0,1885.0,1800.0,1850.0,231000
2020-04-16,1688.4920654296875,1810.0,1880.0,1800.0,1805.0,66000
2020-04-17,1721.142333984375,1845.0,1855.0,1810.0,1810.0,52600
2020-04-20,1730.4710693359375,1855.0,1900.0,1840.0,1845.0,90900
2020-04-21,1711.813720703125,1835.0,1855.0,1800.0,1855.0,11100
2020-04-22,1721.142333984375,1845.0,1850.0,1805.0,1840.0,9500
2020-04-23,1753.792724609375,1880.0,1880.0,1820.0,1845.0,40900
2020-04-24,1688.4920654296875,1810.0,1885.0,1810.0,1870.0,89000
2020-04-27,1688.4920654296875,1810.0,1820.0,1785.0,1810.0,20200
2020-04-28,1641.848388671875,1760.0,1810.0,1750.0,1810.0,69500
2020-04-29,1651.17724609375,1770.0,1815.0,1760.0,1780.0,23000
2020-04-30,1697.8206787109375,1820.0,1840.0,1790.0,1815.0,92900
2020-05-04,1697.8206787109375,1820.0,1850.0,1810.0,1820.0,202100
2020-05-05,1697.8206787109375,1820.0,1850.0,1820.0,1820.0,33900
2020-05-06,1707.1492919921875,1830.0,1850.0,1820.0,1820.0,37900
2020-05-08,1707.1492919921875,1830.0,1870.0,1830.0,1830.0,140400
2020-05-11,1730.4710693359375,1855.0,1875.0,1830.0,1870.0,43300
2020-05-12,1716.47802734375,1840.0,1870.0,1840.0,1855.0,158400
2020-05-13,1669.8345947265625,1790.0,1880.0,1790.0,1830.0,156400
2020-05-14,1697.8206787109375,1820.0,1825.0,1770.0,1795.0,20100
2020-05-15,1711.813720703125,1835.0,1840.0,1820.0,1835.0,26400
2020-05-18,1669.8345947265625,1790.0,1840.0,1760.0,1840.0,67900
2020-05-19,1702.4849853515625,1825.0,1840.0,1790.0,1815.0,303300
2020-05-20,1693.15625,1815.0,1830.0,1805.0,1825.0,34600
2020-05-26,1707.1492919921875,1830.0,1835.0,1810.0,1820.0,105900
2020-05-27,1716.47802734375,1840.0,1840.0,1820.0,1840.0,150100
2020-05-28,1721.142333984375,1845.0,1885.0,1820.0,1850.0,379600
2020-05-29,1716.47802734375,1840.0,1870.0,1830.0,1870.0,106700
2020-06-02,1749.1282958984375,1875.0,1885.0,1855.0,1860.0,573200
2020-06-03,1884.3944091796875,2020.0,2170.0,1890.0,1890.0,1097400
2020-06-04,1949.695068359375,2090.0,2160.0,2030.0,2030.0,572600
2020-06-05,1959.02392578125,2100.0,2120.0,2070.0,2100.0,195400
2020-06-08,2080.296630859375,2230.0,2240.0,2110.0,2120.0,766000
2020-06-09,2136.268798828125,2290.0,2390.0,2250.0,2250.0,441600
2020-06-10,2005.6673583984375,2150.0,2290.0,2130.0,2280.0,245300
2020-06-11,1977.68115234375,2120.0,2140.0,2060.0,2130.0,114200
2020-06-12,1977.68115234375,2120.0,2120.0,1975.0,2100.0,359000
2020-06-15,1959.02392578125,2100.0,2150.0,2050.0,2150.0,80900
2020-06-16,2014.9959716796875,2160.0,2170.0,2050.0,2100.0,248700
2020-06-17,2052.310791015625,2200.0,2200.0,2160.0,2190.0,103800
2020-06-18,2042.9818115234375,2190.0,2220.0,2170.0,2200.0,43800
2020-06-19,2024.324462890625,2170.0,2190.0,2160.0,2180.0,32500
2020-06-22,2005.6673583984375,2150.0,2170.0,2140.0,2170.0,70800
2020-06-23,2005.6673583984375,2150.0,2160.0,2130.0,2160.0,76700
2020-06-24,2033.6531982421875,2180.0,2190.0,2130.0,2160.0,222700
2020-06-25,2005.6673583984375,2150.0,2180.0,2100.0,2120.0,207100
2020-06-26,1968.3524169921875,2110.0,2160.0,2110.0,2150.0,62900
2020-06-29,1987.0098876953125,2130.0,2140.0,2120.0,2120.0,14700
2020-06-30,2014.9959716796875,2160.0,2160.0,2140.0,2150.0,66200
