Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,78.52080535888672,102.0,103.0,102.0,103.0,756700
2020-01-03,79.29061126708984,103.0,104.0,103.0,103.0,919400
2020-01-06,78.52080535888672,102.0,104.0,102.0,104.0,522100
2020-01-07,79.29061126708984,103.0,103.0,101.0,103.0,141600
2020-01-08,76.9811782836914,100.0,103.0,100.0,103.0,1872200
2020-01-09,77.75098419189453,101.0,106.0,101.0,101.0,3866800
2020-01-10,77.75098419189453,101.0,103.0,101.0,103.0,427600
2020-01-13,77.75098419189453,101.0,102.0,101.0,101.0,253200
2020-01-14,77.75098419189453,101.0,102.0,101.0,101.0,75300
2020-01-15,77.75098419189453,101.0,105.0,100.0,101.0,327500
2020-01-16,76.9811782836914,100.0,102.0,100.0,102.0,743500
2020-01-17,77.75098419189453,101.0,101.0,100.0,100.0,36200
2020-01-20,77.75098419189453,101.0,101.0,100.0,101.0,63600
2020-01-21,76.9811782836914,100.0,101.0,100.0,101.0,1367500
2020-01-22,76.9811782836914,100.0,101.0,100.0,101.0,1025400
2020-01-23,76.21136474609375,99.0,101.0,99.0,100.0,855700
2020-01-24,76.21136474609375,99.0,100.0,99.0,99.0,520400
2020-01-27,76.21136474609375,99.0,100.0,99.0,99.0,164600
2020-01-28,76.9811782836914,100.0,100.0,99.0,100.0,201100
2020-01-29,76.21136474609375,99.0,99.0,99.0,99.0,444900
2020-01-30,76.21136474609375,99.0,99.0,98.0,99.0,852700
2020-01-31,75.44154357910156,98.0,99.0,96.0,97.0,521800
2020-02-03,74.67173767089844,97.0,99.0,97.0,99.0,157700
2020-02-04,74.67173767089844,97.0,99.0,97.0,97.0,518100
2020-02-05,75.44154357910156,98.0,99.0,97.0,98.0,897900
2020-02-06,75.44154357910156,98.0,98.0,98.0,98.0,379100
2020-02-07,76.21136474609375,99.0,99.0,97.0,98.0,275000
2020-02-10,73.90192413330078,96.0,99.0,96.0,99.0,895600
2020-02-11,75.44154357910156,98.0,101.0,97.0,97.0,1005900
2020-02-12,75.44154357910156,98.0,99.0,98.0,99.0,24700
2020-02-13,74.67173767089844,97.0,99.0,97.0,99.0,68600
2020-02-14,75.44154357910156,98.0,99.0,98.0,98.0,216200
2020-02-17,75.44154357910156,98.0,99.0,98.0,98.0,808100
2020-02-18,75.44154357910156,98.0,98.0,97.0,98.0,151300
2020-02-19,76.21136474609375,99.0,99.0,97.0,99.0,49000
2020-02-20,75.44154357910156,98.0,99.0,98.0,99.0,616700
2020-02-21,75.44154357910156,98.0,100.0,98.0,100.0,106500
2020-02-24,74.67173767089844,97.0,98.0,96.0,98.0,342100
2020-02-25,74.67173767089844,97.0,97.0,96.0,97.0,6700
2020-02-26,72.3623046875,94.0,97.0,93.0,97.0,110600
2020-02-27,73.13211059570312,95.0,99.0,93.0,94.0,567100
2020-02-28,71.59249877929688,93.0,94.0,85.0,94.0,251800
2020-03-02,71.59249877929688,93.0,95.0,93.0,93.0,36500
2020-03-03,73.13211059570312,95.0,97.0,94.0,94.0,273000
2020-03-04,73.13211059570312,95.0,96.0,94.0,94.0,101800
2020-03-05,73.13211059570312,95.0,95.0,94.0,95.0,25400
2020-03-06,73.13211059570312,95.0,96.0,95.0,95.0,417000
2020-03-09,70.82268524169922,92.0,95.0,92.0,95.0,574300
2020-03-10,70.05287170410156,91.0,93.0,91.0,92.0,826200
2020-03-11,69.28306579589844,90.0,91.0,90.0,91.0,8800
2020-03-12,66.20380401611328,86.0,90.0,85.0,89.0,688000
2020-03-13,66.20380401611328,86.0,86.0,86.0,86.0,0
2020-03-16,63.894371032714844,83.0,84.0,81.0,83.0,80600
2020-03-17,60.045318603515625,78.0,83.0,78.0,83.0,1600
2020-03-18,60.045318603515625,78.0,80.0,73.0,80.0,18100
2020-03-19,58.505699157714844,76.0,78.0,73.0,78.0,50100
2020-03-20,58.505699157714844,76.0,76.0,73.0,76.0,61300
2020-03-23,58.505699157714844,76.0,76.0,73.0,76.0,2700
2020-03-24,61.58494186401367,80.0,84.0,77.0,77.0,55700
2020-03-26,63.12456130981445,82.0,84.0,80.0,80.0,125200
2020-03-27,63.894371032714844,83.0,84.0,82.0,82.0,388700
2020-03-30,63.12456130981445,82.0,83.0,82.0,83.0,11300
2020-03-31,63.894371032714844,83.0,83.0,78.0,82.0,17700
2020-04-01,63.12456130981445,82.0,84.0,79.0,84.0,248600
2020-04-02,63.12456130981445,82.0,84.0,82.0,84.0,158300
2020-04-03,63.894371032714844,83.0,84.0,83.0,83.0,590600
2020-04-06,70.05287170410156,91.0,91.0,82.0,82.0,746100
2020-04-07,67.74343872070312,88.0,92.0,87.0,91.0,218500
2020-04-08,67.74343872070312,88.0,88.0,87.0,88.0,347600
2020-04-09,66.97361755371094,87.0,88.0,87.0,88.0,63100
2020-04-13,67.74343872070312,88.0,88.0,85.0,86.0,118100
2020-04-14,67.74343872070312,88.0,89.0,86.0,88.0,1041000
2020-04-15,67.74343872070312,88.0,90.0,88.0,88.0,181600
2020-04-16,67.74343872070312,88.0,89.0,85.0,88.0,45800
2020-04-17,68.51325225830078,89.0,89.0,86.0,86.0,25000
2020-04-20,67.74343872070312,88.0,90.0,86.0,89.0,92100
2020-04-21,66.20380401611328,86.0,90.0,86.0,88.0,171400
2020-04-22,68.51325225830078,89.0,90.0,87.0,87.0,89800
2020-04-23,68.51325225830078,89.0,90.0,86.0,89.0,148000
2020-04-24,69.28306579589844,90.0,94.0,88.0,94.0,369100
2020-04-27,69.28306579589844,90.0,91.0,87.0,90.0,114300
2020-04-28,68.51325225830078,89.0,91.0,89.0,90.0,232500
2020-04-29,69.28306579589844,90.0,92.0,89.0,89.0,211800
2020-04-30,70.05287170410156,91.0,94.0,89.0,90.0,468600
2020-05-04,67.74343872070312,88.0,91.0,87.0,91.0,367700
2020-05-05,68.51325225830078,89.0,89.0,88.0,89.0,23900
2020-05-06,67.74343872070312,88.0,90.0,88.0,90.0,47100
2020-05-08,68.51325225830078,89.0,93.0,87.0,88.0,395600
2020-05-11,68.51325225830078,89.0,90.0,88.0,90.0,91300
2020-05-12,67.74343872070312,88.0,89.0,88.0,89.0,331900
2020-05-13,67.74343872070312,88.0,89.0,86.0,88.0,681400
2020-05-14,67.74343872070312,88.0,90.0,87.0,88.0,62400
2020-05-15,67.74343872070312,88.0,90.0,86.0,89.0,119200
2020-05-18,67.74343872070312,88.0,89.0,88.0,89.0,58400
2020-05-19,68.51325225830078,89.0,90.0,88.0,89.0,75800
2020-05-20,66.97361755371094,87.0,89.0,83.0,89.0,410200
2020-05-26,66.20380401611328,86.0,90.0,83.0,90.0,35700
2020-05-27,66.97361755371094,87.0,88.0,86.0,86.0,34500
2020-05-28,67.74343872070312,88.0,89.0,87.0,87.0,60400
2020-05-29,66.97361755371094,87.0,89.0,86.0,88.0,465500
2020-06-02,66.97361755371094,87.0,88.0,85.0,88.0,452100
2020-06-03,64.6641845703125,84.0,87.0,84.0,87.0,395600
2020-06-04,65.43399047851562,85.0,87.0,85.0,86.0,844100
2020-06-05,66.20380401611328,86.0,87.0,85.0,85.0,224500
2020-06-08,66.20380401611328,86.0,87.0,85.0,87.0,994600
2020-06-09,66.97361755371094,87.0,87.0,84.0,85.0,565300
2020-06-10,67.74343872070312,88.0,89.0,86.0,87.0,703600
2020-06-11,67.74343872070312,88.0,89.0,88.0,88.0,342400
2020-06-12,66.97361755371094,87.0,87.0,86.0,87.0,158400
2020-06-15,66.97361755371094,87.0,88.0,86.0,87.0,609600
2020-06-16,66.20380401611328,86.0,87.0,86.0,87.0,278400
2020-06-17,66.97361755371094,87.0,87.0,86.0,86.0,68600
