Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,153.0,153.0,162.0,144.0,156.0,130149300
2020-01-03,153.0,153.0,161.0,152.0,155.0,82958000
2020-01-06,146.0,146.0,154.0,144.0,153.0,64780200
2020-01-07,150.0,150.0,154.0,146.0,146.0,71985800
2020-01-08,145.0,145.0,150.0,145.0,148.0,32722100
2020-01-09,167.0,167.0,167.0,145.0,145.0,257205600
2020-01-10,161.0,161.0,171.0,157.0,170.0,241707000
2020-01-13,154.0,154.0,162.0,152.0,161.0,105783500
2020-01-14,152.0,152.0,157.0,150.0,155.0,38144400
2020-01-15,144.0,144.0,152.0,143.0,152.0,59016700
2020-01-16,145.0,145.0,153.0,142.0,144.0,68502000
2020-01-17,146.0,146.0,151.0,144.0,146.0,46829100
2020-01-20,144.0,144.0,149.0,143.0,145.0,47173100
2020-01-21,141.0,141.0,146.0,139.0,144.0,35820700
2020-01-22,140.0,140.0,143.0,133.0,140.0,60694200
2020-01-23,135.0,135.0,145.0,135.0,141.0,41716100
2020-01-24,133.0,133.0,138.0,130.0,136.0,24011500
2020-01-27,125.0,125.0,134.0,124.0,132.0,24364300
2020-01-28,124.0,124.0,127.0,118.0,124.0,48180800
2020-01-29,127.0,127.0,130.0,119.0,120.0,42259400
2020-01-30,123.0,123.0,130.0,122.0,128.0,26008900
2020-01-31,115.0,115.0,125.0,115.0,123.0,24117600
2020-02-03,112.0,112.0,117.0,108.0,111.0,21282700
2020-02-04,116.0,116.0,118.0,112.0,112.0,14598300
2020-02-05,131.0,131.0,134.0,116.0,116.0,77558100
2020-02-06,132.0,132.0,136.0,128.0,131.0,79055700
2020-02-07,127.0,127.0,133.0,123.0,131.0,30338100
2020-02-10,117.0,117.0,127.0,117.0,126.0,35159400
2020-02-11,122.0,122.0,123.0,116.0,117.0,47108300
2020-02-12,115.0,115.0,125.0,112.0,122.0,71534800
2020-02-13,110.0,110.0,117.0,110.0,114.0,27354600
2020-02-14,110.0,110.0,111.0,104.0,109.0,41956400
2020-02-17,110.0,110.0,114.0,107.0,110.0,26909700
