Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,69.0,69.0,74.0,66.0,70.0,397900
2020-01-03,68.0,68.0,73.0,68.0,68.0,670400
2020-01-06,68.0,68.0,70.0,68.0,68.0,641900
2020-01-07,65.0,65.0,69.0,60.0,67.0,3878500
2020-01-08,65.0,65.0,70.0,55.0,55.0,4840500
2020-01-09,64.0,64.0,68.0,64.0,65.0,4235500
2020-01-10,66.0,66.0,70.0,64.0,64.0,2860900
2020-01-13,66.0,66.0,67.0,64.0,64.0,623800
2020-01-14,65.0,65.0,67.0,56.0,56.0,2496200
2020-01-15,63.0,63.0,65.0,59.0,60.0,6191800
2020-01-16,66.0,66.0,75.0,59.0,59.0,27980700
2020-01-17,66.0,66.0,70.0,56.0,56.0,8146700
2020-01-20,64.0,64.0,67.0,56.0,56.0,2410100
2020-01-21,64.0,64.0,68.0,63.0,63.0,5822700
2020-01-22,63.0,63.0,67.0,63.0,64.0,1650400
2020-01-23,63.0,63.0,66.0,61.0,63.0,2228400
2020-01-24,63.0,63.0,64.0,61.0,63.0,2475300
2020-01-27,61.0,61.0,64.0,60.0,63.0,2667800
2020-01-28,62.0,62.0,63.0,60.0,60.0,1416000
2020-01-29,60.0,60.0,62.0,60.0,62.0,1433400
2020-01-30,62.0,62.0,63.0,60.0,60.0,1093100
2020-01-31,60.0,60.0,62.0,59.0,62.0,789100
2020-02-03,58.0,58.0,60.0,57.0,59.0,1188700
2020-02-04,58.0,58.0,60.0,55.0,55.0,950300
2020-02-05,58.0,58.0,61.0,57.0,58.0,3565600
2020-02-06,58.0,58.0,60.0,57.0,58.0,533700
2020-02-07,58.0,58.0,59.0,57.0,59.0,666400
2020-02-10,57.0,57.0,59.0,56.0,57.0,1371300
2020-02-11,57.0,57.0,57.0,55.0,57.0,1170500
2020-02-12,56.0,56.0,58.0,56.0,56.0,1384900
2020-02-13,56.0,56.0,58.0,53.0,56.0,1620500
2020-02-14,55.0,55.0,56.0,54.0,56.0,412700
2020-02-17,53.0,53.0,56.0,52.0,55.0,1686300
2020-02-18,51.0,51.0,53.0,50.0,50.0,3974900
