Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,250.17416381835938,278.0,300.0,276.0,300.0,30500
2020-01-03,268.1723327636719,298.0,298.0,276.0,276.0,102000
2020-01-06,271.77191162109375,302.0,302.0,298.0,298.0,72800
2020-01-07,269.9721374511719,300.0,300.0,300.0,300.0,43000
2020-01-08,269.9721374511719,300.0,300.0,300.0,300.0,0
2020-01-09,269.9721374511719,300.0,300.0,300.0,300.0,0
2020-01-10,269.9721374511719,300.0,300.0,300.0,300.0,0
2020-01-13,260.9730529785156,290.0,292.0,284.0,292.0,83200
2020-01-14,255.5736083984375,284.0,284.0,280.0,280.0,27900
2020-01-15,224.97674560546875,250.0,288.0,250.0,280.0,70000
2020-01-16,226.7765655517578,252.0,288.0,250.0,268.0,75200
2020-01-17,235.77565002441406,262.0,272.0,250.0,260.0,93800
2020-01-20,242.9749298095703,270.0,270.0,252.0,270.0,57500
2020-01-21,226.7765655517578,252.0,270.0,252.0,252.0,75100
2020-01-22,241.1750946044922,268.0,272.0,252.0,268.0,43700
2020-01-23,241.1750946044922,268.0,268.0,260.0,260.0,46700
2020-01-24,228.57638549804688,254.0,274.0,254.0,260.0,127800
2020-01-27,235.77565002441406,262.0,266.0,250.0,258.0,83900
2020-01-28,239.37527465820312,266.0,266.0,252.0,252.0,88800
2020-01-29,241.1750946044922,268.0,272.0,252.0,266.0,92000
2020-01-30,237.57546997070312,264.0,264.0,254.0,254.0,77600
2020-01-31,235.77565002441406,262.0,262.0,262.0,262.0,5000
2020-02-03,226.7765655517578,252.0,258.0,252.0,256.0,36900
2020-02-04,237.57546997070312,264.0,264.0,252.0,252.0,74200
2020-02-05,241.1750946044922,268.0,274.0,256.0,264.0,144000
2020-02-06,248.37435913085938,276.0,276.0,262.0,264.0,183800
2020-02-07,250.17416381835938,278.0,284.0,258.0,284.0,82600
2020-02-10,228.57638549804688,254.0,278.0,254.0,270.0,53100
2020-02-11,251.97393798828125,280.0,298.0,262.0,268.0,284500
2020-02-12,251.97393798828125,280.0,280.0,270.0,272.0,75700
2020-02-13,248.37435913085938,276.0,280.0,262.0,270.0,63500
2020-02-14,246.5745849609375,274.0,276.0,268.0,268.0,60400
2020-02-17,251.97393798828125,280.0,280.0,266.0,278.0,62100
2020-02-18,248.37435913085938,276.0,276.0,268.0,268.0,55600
2020-02-19,246.5745849609375,274.0,274.0,272.0,272.0,18700
2020-02-20,246.5745849609375,274.0,280.0,270.0,274.0,82100
2020-02-21,251.97393798828125,280.0,288.0,280.0,280.0,44000
2020-02-24,250.17416381835938,278.0,280.0,272.0,280.0,66300
2020-02-25,248.37435913085938,276.0,276.0,266.0,274.0,64800
2020-02-26,239.37527465820312,266.0,282.0,262.0,280.0,123800
2020-02-27,241.1750946044922,268.0,286.0,266.0,266.0,73100
2020-02-28,242.9749298095703,270.0,270.0,264.0,266.0,41000
2020-03-02,241.1750946044922,268.0,270.0,264.0,270.0,20000
2020-03-03,251.97393798828125,280.0,282.0,268.0,268.0,77800
2020-03-04,253.77377319335938,282.0,284.0,272.0,280.0,41800
2020-03-05,244.7747344970703,272.0,282.0,270.0,280.0,136600
2020-03-06,259.17327880859375,288.0,298.0,266.0,266.0,137700
2020-03-09,255.5736083984375,284.0,284.0,272.0,272.0,46600
2020-03-10,255.5736083984375,284.0,284.0,268.0,272.0,110000
2020-03-11,253.77377319335938,282.0,284.0,268.0,274.0,189600
2020-03-12,244.7747344970703,272.0,278.0,270.0,270.0,60000
2020-03-13,257.3733825683594,286.0,286.0,270.0,270.0,49300
2020-03-16,257.3733825683594,286.0,286.0,286.0,286.0,0
2020-03-17,232.17604064941406,258.0,272.0,258.0,268.0,38400
2020-03-18,246.5745849609375,274.0,286.0,274.0,276.0,27900
