Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1353.375732421875,1700.0,1700.0,1700.0,1700.0,200
2020-01-03,1345.414794921875,1690.0,1700.0,1690.0,1700.0,1800
2020-01-06,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,100
2020-01-07,1425.0252685546875,1790.0,1790.0,1700.0,1715.0,37100
2020-01-08,1512.5965576171875,1900.0,1940.0,1700.0,1740.0,15900
2020-01-09,1552.4017333984375,1950.0,1950.0,1850.0,1850.0,18500
2020-01-10,1592.20703125,2000.0,2000.0,1900.0,1930.0,41600
2020-01-13,1592.20703125,2000.0,2000.0,1940.0,2000.0,74300
2020-01-14,1592.20703125,2000.0,2010.0,2000.0,2010.0,2900
2020-01-15,1584.2459716796875,1990.0,1990.0,1990.0,1990.0,100
2020-01-16,1592.20703125,2000.0,2000.0,1990.0,1990.0,3000
2020-01-17,1520.5577392578125,1910.0,1995.0,1910.0,1995.0,4800
2020-01-20,1512.5965576171875,1900.0,1910.0,1700.0,1800.0,4700
2020-01-21,1592.20703125,2000.0,2000.0,1895.0,1895.0,5100
2020-01-22,1592.20703125,2000.0,2000.0,2000.0,2000.0,0
2020-01-23,1592.20703125,2000.0,2000.0,2000.0,2000.0,0
2020-01-24,1592.20703125,2000.0,2000.0,2000.0,2000.0,0
2020-01-27,1512.5965576171875,1900.0,1900.0,1900.0,1900.0,200
2020-01-28,1512.5965576171875,1900.0,1900.0,1600.0,1600.0,4500
2020-01-29,1536.479736328125,1930.0,1930.0,1930.0,1930.0,100
2020-01-30,1560.36279296875,1960.0,2000.0,1920.0,1920.0,63300
2020-01-31,1576.2847900390625,1980.0,2010.0,1960.0,2000.0,30600
2020-02-03,1592.20703125,2000.0,2000.0,1750.0,1750.0,78900
2020-02-04,1353.375732421875,1700.0,1950.0,1680.0,1750.0,186800
2020-02-05,1504.635498046875,1890.0,1900.0,1795.0,1800.0,51700
2020-02-06,1536.479736328125,1930.0,1930.0,1735.0,1890.0,6500
2020-02-07,1592.20703125,2000.0,2000.0,1940.0,1940.0,19000
2020-02-10,1544.4407958984375,1940.0,2000.0,1775.0,1990.0,173400
2020-02-11,1436.966796875,1805.0,1940.0,1800.0,1940.0,101900
2020-02-12,1512.5965576171875,1900.0,1900.0,1875.0,1875.0,6200
2020-02-13,1484.7330322265625,1865.0,1865.0,1865.0,1865.0,1200
2020-02-14,1592.20703125,2000.0,2000.0,1775.0,1900.0,3400
2020-02-17,1592.20703125,2000.0,2000.0,2000.0,2000.0,0
2020-02-18,1592.20703125,2000.0,2000.0,2000.0,2000.0,0
2020-02-19,1512.5965576171875,1900.0,1900.0,1900.0,1900.0,40300
2020-02-20,1592.20703125,2000.0,2000.0,1855.0,1890.0,28500
2020-02-21,1520.5577392578125,1910.0,1910.0,1910.0,1910.0,2500
2020-02-24,1512.5965576171875,1900.0,1900.0,1900.0,1900.0,2500
2020-02-25,1512.5965576171875,1900.0,1900.0,1900.0,1900.0,0
2020-02-26,1472.7913818359375,1850.0,1860.0,1850.0,1860.0,3200
2020-02-27,1472.7913818359375,1850.0,1850.0,1850.0,1850.0,1500
2020-02-28,1512.5965576171875,1900.0,1900.0,1750.0,1775.0,7800
2020-03-02,1492.69384765625,1875.0,1875.0,1705.0,1850.0,25000
2020-03-03,1492.69384765625,1875.0,1875.0,1875.0,1875.0,0
2020-03-04,1592.20703125,2000.0,2000.0,1950.0,1950.0,150000
2020-03-05,1592.20703125,2000.0,2000.0,2000.0,2000.0,0
2020-03-06,1552.4017333984375,1950.0,1950.0,1920.0,1920.0,14200
2020-03-09,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-10,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-11,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-12,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-13,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-16,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-17,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,1200
2020-03-18,1552.4017333984375,1950.0,1950.0,1950.0,1950.0,0
2020-03-19,1444.927734375,1815.0,1815.0,1815.0,1815.0,51600
2020-03-20,1345.414794921875,1690.0,1700.0,1690.0,1700.0,63000
2020-03-23,1345.414794921875,1690.0,1690.0,1690.0,1690.0,0
2020-03-24,1345.414794921875,1690.0,1690.0,1690.0,1690.0,1100
2020-03-26,1337.4539794921875,1680.0,1680.0,1680.0,1680.0,7100
2020-03-27,1337.4539794921875,1680.0,1680.0,1680.0,1680.0,0
2020-03-30,1305.6097412109375,1640.0,1640.0,1640.0,1640.0,100
2020-03-31,1293.6680908203125,1625.0,1625.0,1625.0,1625.0,25100
2020-04-01,1293.6680908203125,1625.0,1625.0,1625.0,1625.0,0
2020-04-02,1273.765625,1600.0,1600.0,1600.0,1600.0,300
2020-04-03,1273.765625,1600.0,1600.0,1600.0,1600.0,26100
2020-04-06,1273.765625,1600.0,1600.0,1600.0,1600.0,0
2020-04-07,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,100
2020-04-08,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-09,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-13,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-14,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-15,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,200
2020-04-16,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,5100
2020-04-17,1353.375732421875,1700.0,1700.0,1700.0,1700.0,6000
2020-04-20,1353.375732421875,1700.0,1700.0,1700.0,1700.0,5000
2020-04-21,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,10000
2020-04-22,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-23,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-24,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,1200
2020-04-27,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-28,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-04-29,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,1500
2020-04-30,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-04,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-05,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-06,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-08,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-11,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-12,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-13,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-14,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,2000
2020-05-15,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,100
2020-05-18,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,200
2020-05-19,1313.5706787109375,1650.0,1650.0,1650.0,1650.0,0
2020-05-20,1373.278564453125,1725.0,1725.0,1650.0,1650.0,5400
2020-05-26,1369.2979736328125,1720.0,1720.0,1720.0,1720.0,100
2020-05-27,1369.2979736328125,1720.0,1720.0,1720.0,1720.0,0
2020-05-28,1373.278564453125,1725.0,1725.0,1700.0,1700.0,22900
2020-05-29,1353.375732421875,1700.0,1700.0,1700.0,1700.0,49800
2020-06-02,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,300
2020-06-03,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,0
2020-06-04,1313.5706787109375,1650.0,1750.0,1650.0,1750.0,29300
2020-06-05,1409.1031494140625,1770.0,1770.0,1770.0,1770.0,300
2020-06-08,1393.1810302734375,1750.0,1800.0,1750.0,1800.0,8500
2020-06-09,1432.986328125,1800.0,1850.0,1800.0,1850.0,2400
2020-06-10,1432.986328125,1800.0,1800.0,1800.0,1800.0,100
2020-06-11,1432.986328125,1800.0,1800.0,1800.0,1800.0,500
2020-06-12,1432.986328125,1800.0,1800.0,1700.0,1700.0,2000
2020-06-15,1472.7913818359375,1850.0,1850.0,1800.0,1800.0,4400
2020-06-16,1432.986328125,1800.0,1850.0,1800.0,1850.0,6000
2020-06-17,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-18,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-19,1432.986328125,1800.0,1800.0,1800.0,1800.0,5000
2020-06-22,1432.986328125,1800.0,1800.0,1800.0,1800.0,200
2020-06-23,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-24,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-25,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-26,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-29,1432.986328125,1800.0,1800.0,1800.0,1800.0,0
2020-06-30,1432.986328125,1800.0,1800.0,1800.0,1800.0,1500
2020-07-01,1432.986328125,1800.0,1800.0,1800.0,1800.0,3500
2020-07-02,1417.064208984375,1780.0,1780.0,1780.0,1780.0,1000
2020-07-03,1401.14208984375,1760.0,1760.0,1760.0,1760.0,5000
2020-07-06,1401.14208984375,1760.0,1760.0,1760.0,1760.0,5100
2020-07-07,1401.14208984375,1760.0,1760.0,1760.0,1760.0,0
2020-07-08,1401.14208984375,1760.0,1760.0,1760.0,1760.0,5000
2020-07-09,1401.14208984375,1760.0,1760.0,1760.0,1760.0,5000
2020-07-10,1401.14208984375,1760.0,1760.0,1760.0,1760.0,5000
2020-07-13,1401.14208984375,1760.0,1760.0,1760.0,1760.0,0
2020-07-14,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,1000
2020-07-15,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,0
2020-07-16,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,0
2020-07-17,1393.1810302734375,1750.0,1800.0,1750.0,1800.0,9300
2020-07-20,1353.375732421875,1700.0,1750.0,1700.0,1750.0,10500
2020-07-21,1353.375732421875,1700.0,1700.0,1700.0,1700.0,5000
2020-07-22,1353.375732421875,1700.0,1700.0,1700.0,1700.0,11200
2020-07-23,1432.986328125,1800.0,1800.0,1650.0,1650.0,46300
2020-07-24,1393.1810302734375,1750.0,1750.0,1750.0,1750.0,22700
2020-07-27,1432.986328125,1800.0,1800.0,1800.0,1800.0,2000
2020-07-28,1512.5965576171875,1900.0,1900.0,1895.0,1900.0,12300
2020-07-29,1592.20703125,2000.0,2000.0,1895.0,1895.0,12200
2020-07-30,1584.2459716796875,1990.0,2000.0,1990.0,2000.0,1100
2020-08-03,1584.2459716796875,1990.0,1990.0,1970.0,1990.0,6200
2020-08-04,1584.2459716796875,1990.0,1990.0,1950.0,1990.0,8700
2020-08-05,1588.2264404296875,1995.0,1995.0,1930.0,1995.0,15900
2020-08-06,1584.2459716796875,1990.0,1990.0,1990.0,1990.0,65500
2020-08-07,1592.20703125,2000.0,2000.0,1985.0,1995.0,54300
2020-08-10,1655.895263671875,2080.0,2150.0,2070.0,2080.0,21200
2020-08-11,1666.72900390625,2000.0,2000.0,1935.0,2000.0,11600
2020-08-12,1612.560302734375,1935.0,1990.0,1935.0,1935.0,5400
2020-08-13,1662.5621337890625,1995.0,2000.0,1910.0,1980.0,6700
2020-08-14,1666.72900390625,2000.0,2000.0,1915.0,1995.0,5700
2020-08-18,1633.3944091796875,1960.0,1990.0,1960.0,1985.0,1900
