Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,109.0,109.0,117.0,100.0,108.0,65200
2020-01-03,110.0,110.0,110.0,104.0,108.0,4900
2020-01-06,117.0,117.0,123.0,109.0,109.0,42300
2020-01-07,116.0,116.0,121.0,111.0,121.0,72900
2020-01-08,119.0,119.0,121.0,111.0,111.0,300
2020-01-09,117.0,117.0,119.0,111.0,119.0,20300
2020-01-10,115.0,115.0,115.0,109.0,111.0,6000
2020-01-13,119.0,119.0,120.0,110.0,110.0,3400
2020-01-14,119.0,119.0,119.0,119.0,119.0,400
2020-01-15,118.0,118.0,118.0,111.0,111.0,3400
2020-01-16,150.0,150.0,150.0,112.0,116.0,240000
2020-01-17,140.0,140.0,148.0,129.0,130.0,19200
2020-01-20,140.0,140.0,140.0,140.0,140.0,0
2020-01-21,140.0,140.0,140.0,140.0,140.0,0
2020-01-22,133.0,133.0,133.0,133.0,133.0,2500
2020-01-23,128.0,128.0,131.0,120.0,131.0,16900
2020-01-24,128.0,128.0,128.0,128.0,128.0,0
2020-01-27,128.0,128.0,128.0,128.0,128.0,0
2020-01-28,122.0,122.0,124.0,122.0,124.0,20600
2020-01-29,120.0,120.0,121.0,110.0,120.0,16100
2020-01-30,117.0,117.0,117.0,112.0,112.0,14400
2020-01-31,120.0,120.0,120.0,120.0,120.0,100
2020-02-03,118.0,118.0,118.0,110.0,110.0,4700
2020-02-04,79.0,79.0,116.0,78.0,116.0,1870500
2020-02-05,68.0,68.0,85.0,64.0,83.0,291700
2020-02-06,67.0,67.0,69.0,58.0,58.0,53000
2020-02-07,71.0,71.0,90.0,57.0,57.0,85400
2020-02-10,68.0,68.0,72.0,65.0,71.0,85200
2020-02-11,68.0,68.0,72.0,67.0,72.0,33500
2020-02-12,68.0,68.0,73.0,63.0,67.0,28800
2020-02-13,67.0,67.0,67.0,65.0,67.0,35800
2020-02-14,68.0,68.0,69.0,65.0,65.0,5500
2020-02-17,60.0,60.0,65.0,60.0,65.0,33100
2020-02-18,57.0,57.0,60.0,56.0,60.0,67000
2020-02-19,58.0,58.0,61.0,55.0,61.0,18700
2020-02-20,57.0,57.0,58.0,55.0,58.0,46400
2020-02-21,59.0,59.0,62.0,56.0,60.0,14300
2020-02-24,50.0,50.0,57.0,50.0,56.0,275200
2020-02-25,53.0,53.0,54.0,51.0,52.0,65900
2020-02-26,53.0,53.0,63.0,51.0,63.0,5800
2020-02-27,50.0,50.0,51.0,50.0,51.0,278200
2020-02-28,50.0,50.0,50.0,50.0,50.0,48000
2020-03-02,50.0,50.0,53.0,50.0,53.0,12600
2020-03-03,52.0,52.0,52.0,50.0,50.0,65600
2020-03-04,51.0,51.0,52.0,50.0,51.0,115400
2020-03-05,50.0,50.0,51.0,50.0,51.0,18600
2020-03-06,51.0,51.0,52.0,50.0,50.0,38500
2020-03-09,51.0,51.0,51.0,50.0,50.0,14400
2020-03-10,51.0,51.0,51.0,51.0,51.0,1500
2020-03-11,50.0,50.0,51.0,50.0,51.0,4600
2020-03-12,50.0,50.0,50.0,50.0,50.0,0
2020-03-13,51.0,51.0,51.0,51.0,51.0,1200
2020-03-16,50.0,50.0,53.0,50.0,50.0,16200
2020-03-17,51.0,51.0,51.0,50.0,50.0,300
2020-03-18,50.0,50.0,52.0,50.0,52.0,15500
2020-03-19,50.0,50.0,50.0,50.0,50.0,20000
2020-03-20,54.0,54.0,54.0,50.0,50.0,49500
2020-03-23,53.0,53.0,54.0,52.0,53.0,8100
2020-03-24,53.0,53.0,53.0,52.0,52.0,125100
2020-03-26,53.0,53.0,53.0,51.0,51.0,4400
2020-03-27,52.0,52.0,53.0,51.0,52.0,26300
2020-03-30,55.0,55.0,57.0,53.0,53.0,136500
2020-03-31,55.0,55.0,55.0,53.0,53.0,7900
2020-04-01,55.0,55.0,55.0,54.0,55.0,1800
2020-04-02,54.0,54.0,55.0,54.0,55.0,6200
2020-04-03,54.0,54.0,55.0,53.0,55.0,13000
2020-04-06,56.0,56.0,57.0,53.0,53.0,71500
2020-04-07,57.0,57.0,57.0,53.0,56.0,98300
2020-04-08,57.0,57.0,57.0,56.0,57.0,4500
2020-04-09,56.0,56.0,56.0,54.0,55.0,16100
2020-04-13,56.0,56.0,56.0,56.0,56.0,600
2020-04-14,56.0,56.0,56.0,53.0,56.0,17100
2020-04-15,55.0,55.0,55.0,55.0,55.0,300
2020-04-16,56.0,56.0,56.0,53.0,56.0,28500
2020-04-17,56.0,56.0,56.0,56.0,56.0,500
2020-04-20,56.0,56.0,56.0,54.0,56.0,2200
2020-04-21,56.0,56.0,56.0,56.0,56.0,0
2020-04-22,55.0,55.0,55.0,53.0,53.0,35700
2020-04-23,53.0,53.0,54.0,52.0,53.0,66000
2020-04-24,51.0,51.0,51.0,50.0,51.0,64700
2020-04-27,52.0,52.0,52.0,52.0,52.0,12500
2020-04-28,53.0,53.0,53.0,53.0,53.0,100
2020-04-29,53.0,53.0,53.0,53.0,53.0,0
2020-04-30,52.0,52.0,52.0,51.0,51.0,3200
2020-05-04,52.0,52.0,53.0,52.0,52.0,23600
2020-05-05,52.0,52.0,52.0,50.0,52.0,32800
2020-05-06,52.0,52.0,52.0,51.0,52.0,5700
2020-05-08,52.0,52.0,52.0,50.0,50.0,4800
2020-05-11,53.0,53.0,55.0,50.0,50.0,80900
2020-05-12,53.0,53.0,53.0,51.0,53.0,9000
2020-05-13,54.0,54.0,54.0,51.0,51.0,27000
2020-05-14,54.0,54.0,54.0,51.0,51.0,23700
2020-05-15,54.0,54.0,54.0,53.0,53.0,10000
2020-05-18,53.0,53.0,53.0,52.0,52.0,25200
2020-05-19,54.0,54.0,54.0,53.0,54.0,12600
2020-05-20,54.0,54.0,54.0,54.0,54.0,0
2020-05-26,51.0,51.0,54.0,51.0,52.0,153400
2020-05-27,53.0,53.0,61.0,51.0,61.0,88300
2020-05-28,52.0,52.0,52.0,52.0,52.0,28300
2020-05-29,52.0,52.0,52.0,50.0,52.0,61700
2020-06-02,52.0,52.0,52.0,51.0,52.0,28400
2020-06-03,51.0,51.0,52.0,51.0,52.0,200
2020-06-04,52.0,52.0,52.0,51.0,51.0,3200
2020-06-05,52.0,52.0,52.0,52.0,52.0,600
2020-06-08,52.0,52.0,52.0,51.0,52.0,2500
2020-06-09,53.0,53.0,53.0,52.0,52.0,55100
2020-06-10,53.0,53.0,53.0,51.0,53.0,60900
2020-06-11,53.0,53.0,53.0,52.0,52.0,5800
2020-06-12,53.0,53.0,53.0,53.0,53.0,2500
2020-06-15,53.0,53.0,53.0,52.0,53.0,1300
2020-06-16,53.0,53.0,53.0,51.0,51.0,1300
2020-06-17,53.0,53.0,53.0,53.0,53.0,500
2020-06-18,53.0,53.0,53.0,53.0,53.0,500
2020-06-19,53.0,53.0,53.0,53.0,53.0,0
2020-06-22,52.0,52.0,52.0,52.0,52.0,21400
