Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,473.8493957519531,775.0,775.0,770.0,775.0,30000
2020-01-03,476.906494140625,780.0,800.0,775.0,780.0,56100
2020-01-06,467.73516845703125,765.0,780.0,760.0,780.0,46900
2020-01-07,473.8493957519531,775.0,775.0,760.0,765.0,4800
2020-01-08,464.6780700683594,760.0,780.0,760.0,765.0,31300
2020-01-09,464.6780700683594,760.0,760.0,750.0,760.0,69400
2020-01-10,467.73516845703125,765.0,770.0,760.0,765.0,1900
2020-01-13,470.792236328125,770.0,770.0,755.0,770.0,24400
2020-01-14,470.792236328125,770.0,775.0,765.0,775.0,21400
2020-01-15,470.792236328125,770.0,775.0,765.0,775.0,5200
2020-01-16,467.73516845703125,765.0,775.0,765.0,775.0,27400
2020-01-17,467.73516845703125,765.0,770.0,765.0,765.0,11300
2020-01-20,467.73516845703125,765.0,770.0,765.0,765.0,60400
2020-01-21,467.73516845703125,765.0,775.0,765.0,775.0,4900
2020-01-22,458.5638427734375,750.0,775.0,720.0,775.0,53600
2020-01-23,449.3926696777344,735.0,750.0,720.0,750.0,9600
2020-01-24,464.6780700683594,760.0,760.0,760.0,760.0,1200
2020-01-27,452.44970703125,740.0,760.0,740.0,740.0,1700
2020-01-28,449.3926696777344,735.0,740.0,730.0,730.0,11700
2020-01-29,458.5638427734375,750.0,750.0,740.0,740.0,700
2020-01-30,458.5638427734375,750.0,760.0,740.0,740.0,5500
2020-01-31,443.2784423828125,725.0,750.0,725.0,750.0,175600
2020-02-03,443.2784423828125,725.0,740.0,725.0,740.0,9100
2020-02-04,449.3926696777344,735.0,745.0,725.0,745.0,79100
2020-02-05,449.3926696777344,735.0,740.0,725.0,740.0,33300
2020-02-06,449.3926696777344,735.0,735.0,735.0,735.0,3900
2020-02-07,443.2784423828125,725.0,740.0,705.0,735.0,21900
2020-02-10,452.44970703125,740.0,750.0,720.0,750.0,4000
2020-02-11,452.44970703125,740.0,740.0,735.0,740.0,600
2020-02-12,443.2784423828125,725.0,730.0,725.0,730.0,19500
2020-02-13,443.2784423828125,725.0,730.0,725.0,730.0,7400
2020-02-14,440.2213439941406,720.0,725.0,720.0,725.0,16000
2020-02-17,440.2213439941406,720.0,730.0,720.0,725.0,3900
2020-02-18,452.44970703125,740.0,745.0,740.0,745.0,500
2020-02-19,449.3926696777344,735.0,735.0,730.0,730.0,7700
2020-02-20,449.3926696777344,735.0,735.0,725.0,725.0,9000
2020-02-21,446.33544921875,730.0,730.0,725.0,730.0,2800
2020-02-24,449.3926696777344,735.0,740.0,700.0,730.0,69800
2020-02-25,434.1071472167969,710.0,735.0,705.0,735.0,12300
2020-02-26,440.2213439941406,720.0,730.0,720.0,730.0,14500
2020-02-27,446.33544921875,730.0,730.0,700.0,720.0,20100
2020-02-28,437.1642761230469,715.0,730.0,635.0,730.0,28500
2020-03-02,440.2213439941406,720.0,725.0,700.0,700.0,7900
2020-03-03,440.2213439941406,720.0,720.0,700.0,710.0,10400
2020-03-04,446.33544921875,730.0,730.0,695.0,695.0,1600
2020-03-05,449.3926696777344,735.0,735.0,730.0,730.0,1900
2020-03-06,449.3926696777344,735.0,735.0,735.0,735.0,100
2020-03-09,446.33544921875,730.0,730.0,705.0,725.0,21200
2020-03-10,415.76458740234375,680.0,730.0,660.0,730.0,342600
2020-03-11,376.02239990234375,615.0,680.0,615.0,680.0,647600
2020-03-12,369.9081726074219,605.0,640.0,600.0,640.0,132600
2020-03-13,369.9081726074219,605.0,605.0,605.0,605.0,0
