Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1720.0,1720.0,1815.0,1705.0,1810.0,405600
2020-01-03,1715.0,1715.0,1725.0,1650.0,1720.0,453800
2020-01-06,1705.0,1705.0,1720.0,1680.0,1715.0,141000
2020-01-07,1650.0,1650.0,1705.0,1650.0,1705.0,371400
2020-01-08,1625.0,1625.0,1650.0,1575.0,1650.0,804400
2020-01-09,1500.0,1500.0,1620.0,1495.0,1615.0,1096200
2020-01-10,1490.0,1490.0,1500.0,1465.0,1500.0,183200
2020-01-13,1480.0,1480.0,1490.0,1425.0,1490.0,173600
2020-01-14,1425.0,1425.0,1480.0,1375.0,1480.0,545400
2020-01-15,1350.0,1350.0,1425.0,1260.0,1425.0,1662200
2020-01-16,1345.0,1345.0,1440.0,1340.0,1350.0,389800
2020-01-17,1340.0,1340.0,1345.0,1340.0,1345.0,65400
2020-01-20,1375.0,1375.0,1400.0,1340.0,1340.0,844200
2020-01-21,1375.0,1375.0,1425.0,1350.0,1375.0,707400
2020-01-22,1345.0,1345.0,1355.0,1295.0,1315.0,522600
2020-01-23,1290.0,1290.0,1335.0,1270.0,1335.0,724400
2020-01-24,1270.0,1270.0,1280.0,1225.0,1280.0,681000
2020-01-27,1200.0,1200.0,1270.0,1170.0,1270.0,478600
2020-01-28,1195.0,1195.0,1200.0,1125.0,1160.0,1163400
2020-01-29,1230.0,1230.0,1285.0,1200.0,1205.0,618600
2020-01-30,1250.0,1250.0,1285.0,1230.0,1230.0,550400
2020-01-31,1280.0,1280.0,1335.0,1250.0,1250.0,1171800
2020-02-03,1305.0,1305.0,1345.0,1270.0,1300.0,565400
2020-02-04,1300.0,1300.0,1375.0,1225.0,1305.0,223200
2020-02-05,1305.0,1305.0,1340.0,1300.0,1340.0,15000
2020-02-06,1310.0,1310.0,1315.0,1290.0,1315.0,16000
2020-02-07,1310.0,1310.0,1320.0,1240.0,1275.0,31400
2020-02-10,1275.0,1275.0,1290.0,1225.0,1275.0,84800
2020-02-11,1285.0,1285.0,1325.0,1270.0,1275.0,122800
2020-02-12,1160.0,1160.0,1295.0,1085.0,1250.0,781600
