Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,4163.337890625,6700.0,6750.0,6600.0,6750.0,1700
2020-01-03,4163.337890625,6700.0,6700.0,6700.0,6700.0,400
2020-01-06,4039.059326171875,6500.0,6700.0,6500.0,6700.0,30200
2020-01-07,4132.2685546875,6650.0,6650.0,6600.0,6600.0,1100
2020-01-08,4039.059326171875,6500.0,6600.0,6500.0,6600.0,1600
2020-01-09,4039.059326171875,6500.0,6500.0,6500.0,6500.0,8000
2020-01-10,4023.5244140625,6475.0,6475.0,6475.0,6475.0,400
2020-01-13,4039.059326171875,6500.0,6525.0,6500.0,6525.0,900
2020-01-14,4163.337890625,6700.0,6700.0,6700.0,6700.0,200
2020-01-15,4318.6865234375,6950.0,6950.0,6675.0,6675.0,59000
2020-01-16,4256.54736328125,6850.0,6850.0,6850.0,6850.0,100
2020-01-17,4163.337890625,6700.0,6700.0,6700.0,6700.0,5200
2020-01-20,4163.337890625,6700.0,6700.0,6700.0,6700.0,200
2020-01-21,4070.12890625,6550.0,6750.0,6550.0,6700.0,500
2020-01-22,4070.12890625,6550.0,6550.0,6550.0,6550.0,0
2020-01-23,4039.059326171875,6500.0,6550.0,6500.0,6550.0,2800
2020-01-24,4039.059326171875,6500.0,6500.0,6500.0,6500.0,0
2020-01-27,4039.059326171875,6500.0,6500.0,6500.0,6500.0,200
2020-01-28,4147.80322265625,6675.0,6675.0,6500.0,6500.0,3000
2020-01-29,4116.7333984375,6625.0,6625.0,6500.0,6500.0,1800
2020-01-30,4116.7333984375,6625.0,6625.0,6625.0,6625.0,0
2020-01-31,4116.7333984375,6625.0,6625.0,6625.0,6625.0,100
2020-02-03,4039.059326171875,6500.0,6775.0,6500.0,6500.0,5900
2020-02-04,4039.059326171875,6500.0,6500.0,6500.0,6500.0,0
2020-02-05,4039.059326171875,6500.0,6500.0,6500.0,6500.0,2100
2020-02-06,4039.059326171875,6500.0,6500.0,6500.0,6500.0,100
2020-02-07,4039.059326171875,6500.0,6500.0,6500.0,6500.0,0
2020-02-10,3945.85009765625,6350.0,6500.0,6350.0,6500.0,2100
2020-02-11,3945.85009765625,6350.0,6350.0,6350.0,6350.0,2000
