Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,3078.42041015625,3080.0,3080.0,2980.0,2980.0,1000
2020-01-03,3078.42041015625,3080.0,3080.0,3000.0,3000.0,1900
2020-01-06,3078.42041015625,3080.0,3080.0,3080.0,3080.0,2500
2020-01-07,3078.42041015625,3080.0,3080.0,3010.0,3020.0,2300
2020-01-08,3068.425537109375,3070.0,3070.0,3070.0,3070.0,1500
2020-01-09,3078.42041015625,3080.0,3080.0,3080.0,3080.0,1500
2020-01-10,3078.42041015625,3080.0,3080.0,3080.0,3080.0,2000
2020-01-13,3078.42041015625,3080.0,3080.0,3080.0,3080.0,1500
2020-01-14,3078.42041015625,3080.0,3080.0,3070.0,3070.0,3400
2020-01-15,3048.435791015625,3050.0,3070.0,2910.0,3000.0,34200
2020-01-16,3058.4306640625,3060.0,3060.0,3060.0,3060.0,5000
2020-01-17,3048.435791015625,3050.0,3050.0,3050.0,3050.0,1600
2020-01-20,3058.4306640625,3060.0,3060.0,3060.0,3060.0,2000
2020-01-21,3058.4306640625,3060.0,3060.0,2970.0,2970.0,2600
2020-01-22,3068.425537109375,3070.0,3070.0,3070.0,3070.0,8000
2020-01-23,3058.4306640625,3060.0,3060.0,3060.0,3060.0,5100
2020-01-24,3058.4306640625,3060.0,3060.0,3060.0,3060.0,2500
2020-01-27,3168.374267578125,3170.0,3170.0,2990.0,2990.0,14400
2020-01-28,3168.374267578125,3170.0,3170.0,3170.0,3170.0,0
2020-01-29,3168.374267578125,3170.0,3170.0,3170.0,3170.0,0
2020-01-30,3198.35888671875,3200.0,3200.0,3200.0,3200.0,23200
2020-01-31,3198.35888671875,3200.0,3200.0,3200.0,3200.0,100
2020-02-03,3198.35888671875,3200.0,3200.0,3200.0,3200.0,100
2020-02-04,3198.35888671875,3200.0,3200.0,3200.0,3200.0,200
2020-02-05,3198.35888671875,3200.0,3200.0,3200.0,3200.0,400
2020-02-06,3198.35888671875,3200.0,3200.0,3200.0,3200.0,0
2020-02-07,3198.35888671875,3200.0,3200.0,3200.0,3200.0,200
2020-02-10,3198.35888671875,3200.0,3200.0,3200.0,3200.0,200
2020-02-11,3198.35888671875,3200.0,3200.0,3200.0,3200.0,200
2020-02-12,3148.384521484375,3150.0,3200.0,3150.0,3200.0,1700
2020-02-13,3198.35888671875,3200.0,3200.0,3200.0,3200.0,6000
2020-02-14,3198.35888671875,3200.0,3200.0,3200.0,3200.0,1000
2020-02-17,3198.35888671875,3200.0,3200.0,3200.0,3200.0,600
2020-02-18,3188.364013671875,3190.0,3190.0,3190.0,3190.0,500
2020-02-19,3198.35888671875,3200.0,3200.0,3200.0,3200.0,1500
2020-02-20,3198.35888671875,3200.0,3200.0,3200.0,3200.0,0
2020-02-21,3198.35888671875,3200.0,3200.0,3200.0,3200.0,600
2020-02-24,3148.384521484375,3150.0,3180.0,2950.0,3100.0,1900
2020-02-25,3198.35888671875,3200.0,3200.0,3200.0,3200.0,1500
2020-02-26,3198.35888671875,3200.0,3200.0,3200.0,3200.0,0
2020-02-27,3198.35888671875,3200.0,3200.0,3200.0,3200.0,0
2020-02-28,3498.205078125,3500.0,3500.0,3150.0,3150.0,111700
2020-03-02,3498.205078125,3500.0,3500.0,3500.0,3500.0,0
2020-03-03,3348.281982421875,3350.0,3350.0,3000.0,3000.0,1300
2020-03-04,3348.281982421875,3350.0,3350.0,3350.0,3350.0,0
2020-03-05,3298.3076171875,3300.0,3320.0,3300.0,3320.0,1900
2020-03-06,3298.3076171875,3300.0,3300.0,3300.0,3300.0,500
2020-03-09,3298.3076171875,3300.0,3300.0,3300.0,3300.0,0
