Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,100.0,100.0,102.0,100.0,100.0,144500
2020-01-03,100.0,100.0,102.0,97.0,97.0,84100
2020-01-06,100.0,100.0,100.0,97.0,98.0,38400
2020-01-07,98.0,98.0,102.0,95.0,95.0,21700
2020-01-08,98.0,98.0,100.0,95.0,95.0,971400
2020-01-09,106.0,106.0,110.0,95.0,95.0,659800
2020-01-10,105.0,105.0,106.0,96.0,96.0,45600
2020-01-13,101.0,101.0,105.0,96.0,96.0,146500
2020-01-14,102.0,102.0,102.0,96.0,96.0,2300
2020-01-15,104.0,104.0,104.0,96.0,96.0,500
2020-01-16,98.0,98.0,104.0,94.0,94.0,1094900
2020-01-17,98.0,98.0,102.0,98.0,99.0,1287200
2020-01-20,100.0,100.0,102.0,97.0,97.0,11400
2020-01-21,98.0,98.0,103.0,98.0,101.0,70200
2020-01-22,98.0,98.0,101.0,98.0,101.0,30100
2020-01-23,99.0,99.0,100.0,96.0,100.0,4016000
2020-01-24,99.0,99.0,100.0,96.0,100.0,47700
2020-01-27,98.0,98.0,100.0,95.0,99.0,955300
2020-01-28,98.0,98.0,100.0,94.0,94.0,531500
2020-01-29,92.0,92.0,98.0,92.0,98.0,397000
2020-01-30,96.0,96.0,97.0,92.0,92.0,113700
2020-01-31,96.0,96.0,98.0,93.0,96.0,326600
2020-02-03,98.0,98.0,98.0,92.0,96.0,64100
2020-02-04,98.0,98.0,98.0,90.0,96.0,61000
2020-02-05,98.0,98.0,98.0,95.0,97.0,57000
2020-02-06,100.0,100.0,100.0,97.0,98.0,220600
2020-02-07,100.0,100.0,100.0,98.0,99.0,33600
2020-02-10,100.0,100.0,100.0,97.0,99.0,45700
2020-02-11,100.0,100.0,100.0,90.0,91.0,193600
2020-02-12,96.0,96.0,100.0,94.0,98.0,395600
2020-02-13,98.0,98.0,99.0,96.0,96.0,288000
2020-02-14,98.0,98.0,98.0,96.0,96.0,123700
2020-02-17,98.0,98.0,98.0,96.0,97.0,25300
2020-02-18,98.0,98.0,98.0,97.0,97.0,105100
2020-02-19,98.0,98.0,98.0,96.0,96.0,168400
2020-02-20,97.0,97.0,97.0,95.0,96.0,124000
2020-02-21,98.0,98.0,98.0,94.0,95.0,17100
2020-02-24,96.0,96.0,97.0,90.0,90.0,125300
2020-02-25,92.0,92.0,96.0,92.0,96.0,29900
2020-02-26,91.0,91.0,96.0,90.0,92.0,110900
2020-02-27,86.0,86.0,91.0,85.0,90.0,311200
2020-02-28,71.0,71.0,89.0,71.0,87.0,1487200
2020-03-02,78.0,78.0,89.0,71.0,71.0,359700
2020-03-03,105.0,105.0,105.0,78.0,78.0,1353500
2020-03-04,97.0,97.0,99.0,92.0,99.0,35700
2020-03-05,92.0,92.0,97.0,86.0,97.0,432100
2020-03-06,92.0,92.0,99.0,84.0,86.0,373500
2020-03-09,91.0,91.0,93.0,80.0,92.0,376200
2020-03-10,85.0,85.0,88.0,82.0,82.0,84800
2020-03-11,85.0,85.0,90.0,81.0,85.0,158200
2020-03-12,82.0,82.0,85.0,82.0,83.0,19000
2020-03-13,80.0,80.0,82.0,77.0,81.0,279900
2020-03-16,80.0,80.0,80.0,80.0,80.0,0
2020-03-17,83.0,83.0,83.0,79.0,80.0,42800
2020-03-18,84.0,84.0,88.0,79.0,86.0,24000
2020-03-19,79.0,79.0,84.0,79.0,83.0,257500
2020-03-20,79.0,79.0,86.0,74.0,74.0,68400
2020-03-23,79.0,79.0,84.0,74.0,84.0,153700
2020-03-24,78.0,78.0,80.0,78.0,80.0,292600
2020-03-26,78.0,78.0,80.0,73.0,73.0,114400
2020-03-27,78.0,78.0,80.0,76.0,78.0,406500
2020-03-30,80.0,80.0,81.0,77.0,78.0,8700
2020-03-31,77.0,77.0,79.0,75.0,79.0,5300
2020-04-01,79.0,79.0,80.0,78.0,80.0,6500
2020-04-02,79.0,79.0,79.0,74.0,79.0,13900
2020-04-03,81.0,81.0,83.0,77.0,77.0,317900
2020-04-06,80.0,80.0,81.0,79.0,80.0,162600
2020-04-07,79.0,79.0,80.0,77.0,80.0,265400
2020-04-08,79.0,79.0,82.0,74.0,77.0,278500
