Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1235.0,1235.0,1235.0,1210.0,1220.0,27100
2020-01-03,1275.0,1275.0,1280.0,1235.0,1235.0,463300
2020-01-06,1260.0,1260.0,1290.0,1240.0,1275.0,1909100
2020-01-07,1250.0,1250.0,1280.0,1230.0,1280.0,178200
2020-01-08,1200.0,1200.0,1250.0,1190.0,1250.0,4639500
2020-01-09,1190.0,1190.0,1200.0,1190.0,1200.0,223500
2020-01-10,1205.0,1205.0,1205.0,1190.0,1190.0,2043300
2020-01-13,1205.0,1205.0,1210.0,1190.0,1200.0,619200
2020-01-14,1245.0,1245.0,1250.0,1200.0,1205.0,558600
2020-01-15,1300.0,1300.0,1350.0,1235.0,1245.0,419200
2020-01-16,1260.0,1260.0,1300.0,1250.0,1300.0,317400
2020-01-17,1215.0,1215.0,1280.0,1215.0,1230.0,962400
2020-01-20,1205.0,1205.0,1280.0,1205.0,1215.0,5002200
2020-01-21,1210.0,1210.0,1245.0,1195.0,1245.0,6893600
2020-01-22,1235.0,1235.0,1235.0,1195.0,1210.0,5671600
2020-01-23,1240.0,1240.0,1250.0,1220.0,1235.0,6548300
2020-01-24,1200.0,1200.0,1240.0,1190.0,1240.0,12729300
2020-01-27,1205.0,1205.0,1235.0,1180.0,1200.0,227100
2020-01-28,1205.0,1205.0,1205.0,1180.0,1205.0,253000
2020-01-29,1215.0,1215.0,1215.0,1190.0,1190.0,911500
2020-01-30,1225.0,1225.0,1225.0,1125.0,1200.0,533800
2020-01-31,1220.0,1220.0,1220.0,1150.0,1210.0,63300
2020-02-03,1220.0,1220.0,1220.0,1170.0,1215.0,12600
2020-02-04,1200.0,1200.0,1220.0,1170.0,1215.0,318400
2020-02-05,1200.0,1200.0,1200.0,1200.0,1200.0,16800
2020-02-06,1200.0,1200.0,1200.0,1170.0,1200.0,286600
2020-02-07,1200.0,1200.0,1200.0,1180.0,1180.0,9400
2020-02-10,1170.0,1170.0,1200.0,1150.0,1160.0,19200
2020-02-11,1200.0,1200.0,1200.0,1150.0,1170.0,154500
2020-02-12,1220.0,1220.0,1220.0,1180.0,1190.0,259900
2020-02-13,1180.0,1180.0,1215.0,1180.0,1215.0,355400
2020-02-14,1200.0,1200.0,1200.0,1180.0,1180.0,52200
2020-02-17,1200.0,1200.0,1200.0,1150.0,1150.0,386300
