Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1602.9388427734375,2230.0,2300.0,2210.0,2290.0,8000
2020-01-03,1602.9388427734375,2230.0,2250.0,2210.0,2250.0,12900
2020-01-06,1588.5628662109375,2210.0,2230.0,2210.0,2230.0,12500
2020-01-07,1581.374755859375,2200.0,2220.0,2200.0,2210.0,12500
2020-01-08,1595.7509765625,2220.0,2230.0,2190.0,2200.0,9400
2020-01-09,1595.7509765625,2220.0,2220.0,2190.0,2220.0,4600
2020-01-10,1581.374755859375,2200.0,2220.0,2200.0,2220.0,42900
2020-01-13,1588.5628662109375,2210.0,2210.0,2200.0,2200.0,6400
2020-01-14,1588.5628662109375,2210.0,2210.0,2210.0,2210.0,500
2020-01-15,1574.1865234375,2190.0,2220.0,2180.0,2180.0,15100
2020-01-16,1595.7509765625,2220.0,2230.0,2200.0,2230.0,4800
2020-01-17,1595.7509765625,2220.0,2220.0,2220.0,2220.0,8500
2020-01-20,1552.6224365234375,2160.0,2280.0,2160.0,2200.0,7400
2020-01-21,1552.6224365234375,2160.0,2210.0,2160.0,2160.0,17200
2020-01-22,1581.374755859375,2200.0,2200.0,2170.0,2200.0,600
2020-01-23,1566.99853515625,2180.0,2180.0,2160.0,2170.0,3400
2020-01-24,1566.99853515625,2180.0,2180.0,2180.0,2180.0,200
2020-01-27,1566.99853515625,2180.0,2200.0,2010.0,2200.0,5600
2020-01-28,1566.99853515625,2180.0,2180.0,2180.0,2180.0,0
2020-01-29,1509.494140625,2100.0,2180.0,2100.0,2180.0,200
2020-01-30,1581.374755859375,2200.0,2200.0,2080.0,2080.0,13500
2020-01-31,1574.1865234375,2190.0,2200.0,2190.0,2200.0,7700
2020-02-03,1581.374755859375,2200.0,2200.0,2160.0,2190.0,2500
2020-02-04,1581.374755859375,2200.0,2200.0,2200.0,2200.0,500
2020-02-05,1581.374755859375,2200.0,2200.0,2200.0,2200.0,500
2020-02-06,1581.374755859375,2200.0,2200.0,2150.0,2170.0,700
2020-02-07,1581.374755859375,2200.0,2200.0,2150.0,2150.0,16500
2020-02-10,1559.8104248046875,2170.0,2200.0,2160.0,2200.0,400
2020-02-11,1566.99853515625,2180.0,2190.0,2180.0,2190.0,300
2020-02-12,1588.5628662109375,2210.0,2280.0,2170.0,2170.0,209100
2020-02-13,1588.5628662109375,2210.0,2230.0,2210.0,2210.0,799100
2020-02-14,1588.5628662109375,2210.0,2210.0,2210.0,2210.0,0
2020-02-17,1588.5628662109375,2210.0,2210.0,2210.0,2210.0,0
2020-02-18,1559.8104248046875,2170.0,2200.0,2160.0,2170.0,15700
2020-02-19,1581.374755859375,2200.0,2200.0,2150.0,2150.0,4500
2020-02-20,1581.374755859375,2200.0,2200.0,2160.0,2160.0,24400
2020-02-21,1581.374755859375,2200.0,2200.0,2200.0,2200.0,100
2020-02-24,1574.1865234375,2190.0,2190.0,2160.0,2180.0,1300
2020-02-25,1566.99853515625,2180.0,2180.0,2160.0,2160.0,2600
2020-02-26,1566.99853515625,2180.0,2180.0,2140.0,2180.0,3100
2020-02-27,1566.99853515625,2180.0,2180.0,2090.0,2090.0,4400
2020-02-28,1545.4344482421875,2150.0,2170.0,2100.0,2170.0,54300
2020-03-02,1588.5628662109375,2210.0,2250.0,2150.0,2250.0,33100
2020-03-03,1559.8104248046875,2170.0,2230.0,2170.0,2210.0,4800
2020-03-04,1588.5628662109375,2210.0,2210.0,2180.0,2180.0,44700
2020-03-05,1566.99853515625,2180.0,2280.0,2180.0,2220.0,89700
2020-03-06,1588.5628662109375,2210.0,2210.0,2180.0,2180.0,5500
2020-03-09,1466.3658447265625,2040.0,2180.0,2040.0,2180.0,8100
2020-03-10,1574.1865234375,2190.0,2200.0,2190.0,2200.0,800
2020-03-11,1473.5538330078125,2050.0,2190.0,2050.0,2190.0,500
2020-03-12,1480.7418212890625,2060.0,2200.0,2010.0,2200.0,2800
2020-03-13,1480.7418212890625,2060.0,2060.0,2060.0,2060.0,0
2020-03-16,1509.494140625,2100.0,2200.0,2050.0,2200.0,21800
2020-03-17,1405.2669677734375,1955.0,2000.0,1955.0,2000.0,30500
2020-03-18,1509.494140625,2100.0,2100.0,2090.0,2090.0,200
2020-03-19,1405.2669677734375,1955.0,2100.0,1955.0,2100.0,14000
2020-03-20,1502.3060302734375,2090.0,2090.0,1950.0,1950.0,1000
2020-03-23,1473.5538330078125,2050.0,2070.0,2000.0,2070.0,6100
2020-03-24,1487.929931640625,2070.0,2070.0,1960.0,2050.0,9800
2020-03-26,1444.801513671875,2010.0,2140.0,2000.0,2140.0,5500
2020-03-27,1480.7418212890625,2060.0,2060.0,1950.0,2000.0,51200
2020-03-30,1473.5538330078125,2050.0,2060.0,2050.0,2060.0,1300
2020-03-31,1509.494140625,2100.0,2100.0,2050.0,2050.0,2500
2020-04-01,1523.8701171875,2120.0,2150.0,2080.0,2150.0,2700
2020-04-02,1509.494140625,2100.0,2120.0,2010.0,2120.0,8600
2020-04-03,1509.494140625,2100.0,2110.0,2030.0,2110.0,3100
2020-04-06,1552.6224365234375,2160.0,2180.0,2100.0,2100.0,6500
2020-04-07,1545.4344482421875,2150.0,2150.0,2100.0,2150.0,3600
2020-04-08,1502.3060302734375,2090.0,2150.0,2000.0,2100.0,11100
2020-04-09,1538.2462158203125,2140.0,2140.0,2090.0,2090.0,900
2020-04-13,1538.2462158203125,2140.0,2150.0,2100.0,2150.0,4800
2020-04-14,1552.6224365234375,2160.0,2170.0,2070.0,2140.0,6500
2020-04-15,1559.8104248046875,2170.0,2170.0,2100.0,2170.0,7700
2020-04-16,1559.8104248046875,2170.0,2170.0,2170.0,2170.0,4900
2020-04-17,1552.6224365234375,2160.0,2160.0,2160.0,2160.0,2800
2020-04-20,1552.6224365234375,2160.0,2260.0,2160.0,2260.0,2900
2020-04-21,1566.99853515625,2180.0,2180.0,2160.0,2160.0,162100
2020-04-22,1566.99853515625,2180.0,2180.0,2180.0,2180.0,400
2020-04-23,1566.99853515625,2180.0,2180.0,2180.0,2180.0,1500
2020-04-24,1581.374755859375,2200.0,2200.0,2070.0,2180.0,1500
2020-04-27,1566.99853515625,2180.0,2190.0,2160.0,2190.0,1900
2020-04-28,1552.6224365234375,2160.0,2160.0,2160.0,2160.0,700
2020-04-29,1545.4344482421875,2150.0,2160.0,2150.0,2150.0,3800
2020-04-30,1559.8104248046875,2170.0,2180.0,2160.0,2170.0,115000
2020-05-04,1552.6224365234375,2160.0,2170.0,2100.0,2170.0,8900
2020-05-05,1552.6224365234375,2160.0,2200.0,2140.0,2160.0,11000
2020-05-06,1861.7093505859375,2590.0,2590.0,2160.0,2160.0,12000
2020-05-08,1732.32421875,2410.0,2410.0,2410.0,2410.0,10800
2020-05-11,1617.315185546875,2250.0,2300.0,2250.0,2300.0,13200
2020-05-12,1552.6224365234375,2160.0,2250.0,2130.0,2250.0,62400
