Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,302.4010925292969,366.0,368.0,360.0,362.0,73706500
2020-01-03,299.0961608886719,362.0,369.0,351.0,368.0,118021000
2020-01-06,285.05023193359375,345.0,361.0,344.0,360.0,89828000
2020-01-07,282.5715026855469,342.0,353.0,337.0,347.0,83368500
2020-01-08,282.5715026855469,342.0,343.0,331.0,336.0,68813500
2020-01-09,282.5715026855469,342.0,349.0,341.0,344.0,73980000
2020-01-10,279.2666015625,338.0,344.0,336.0,344.0,32357500
2020-01-13,294.1387634277344,356.0,356.0,339.0,340.0,122228000
2020-01-14,294.1387634277344,356.0,363.0,354.0,358.0,100980500
2020-01-15,280.9190368652344,340.0,358.0,340.0,356.0,92499500
2020-01-16,277.6141357421875,336.0,343.0,332.0,342.0,59250500
2020-01-17,290.8338623046875,352.0,356.0,338.0,338.0,150803000
2020-01-20,285.05023193359375,345.0,354.0,345.0,354.0,51416000
2020-01-21,279.2666015625,338.0,347.0,338.0,342.0,42983000
2020-01-22,269.351806640625,326.0,341.0,324.0,340.0,60667000
2020-01-23,280.0928039550781,339.0,340.0,328.0,328.0,55475500
2020-01-24,282.5715026855469,342.0,346.0,336.0,339.0,42514000
2020-01-27,270.1780090332031,327.0,340.0,321.0,340.0,40483500
2020-01-28,271.8305358886719,329.0,334.0,318.0,327.0,40364000
2020-01-29,283.39776611328125,343.0,343.0,330.0,330.0,71691500
2020-01-30,273.48297119140625,331.0,350.0,328.0,343.0,102561000
2020-01-31,262.7419128417969,318.0,337.0,316.0,334.0,54862000
2020-02-03,257.7845458984375,312.0,320.0,307.0,313.0,32924500
2020-02-04,261.9156799316406,317.0,321.0,310.0,315.0,36668500
2020-02-05,260.26324462890625,315.0,322.0,314.0,320.0,29392500
2020-02-06,279.2666015625,338.0,338.0,317.0,317.0,120756000
2020-02-07,287.5289306640625,348.0,348.0,334.0,338.0,104983000
2020-02-10,288.3551330566406,349.0,351.0,344.0,346.0,59130000
2020-02-11,288.3551330566406,349.0,354.0,347.0,352.0,96677000
2020-02-12,294.9650573730469,357.0,358.0,340.0,350.0,112005500
2020-02-13,298.2699279785156,361.0,365.0,354.0,359.0,126098000
2020-02-14,290.8338623046875,352.0,365.0,351.0,361.0,72636500
2020-02-17,294.9650573730469,357.0,360.0,344.0,352.0,30279000
2020-02-18,299.0961608886719,362.0,365.0,356.0,356.0,138464000
2020-02-19,299.0961608886719,362.0,365.0,357.0,364.0,45905500
2020-02-20,294.1387634277344,356.0,364.0,353.0,362.0,37169000
2020-02-21,307.3585205078125,372.0,377.0,362.0,363.0,190560000
2020-02-24,287.5289306640625,348.0,372.0,346.0,368.0,97457000
2020-02-25,290.8338623046875,352.0,356.0,340.0,344.0,53029000
2020-02-26,281.7452697753906,341.0,355.0,333.0,349.0,55510000
2020-02-27,271.0042724609375,328.0,344.0,320.0,340.0,49672500
2020-02-28,267.6993408203125,324.0,324.0,300.0,318.0,100416500
2020-03-02,262.7419128417969,318.0,333.0,313.0,328.0,58185500
2020-03-03,287.5289306640625,348.0,349.0,322.0,322.0,107418000
2020-03-04,294.9650573730469,357.0,358.0,338.0,348.0,73653500
2020-03-05,295.7912902832031,358.0,361.0,350.0,358.0,48922500
2020-03-06,285.8764343261719,346.0,353.0,340.0,353.0,50164000
2020-03-09,259.43701171875,314.0,330.0,313.0,320.0,78580000
2020-03-10,257.7845458984375,312.0,325.0,310.0,313.0,61361000
2020-03-11,244.56483459472656,296.0,318.0,290.0,312.0,125805000
