Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,64.0,64.0,64.0,64.0,64.0,1900
2020-01-03,64.0,64.0,64.0,64.0,64.0,0
2020-01-06,62.0,62.0,64.0,62.0,62.0,89300
2020-01-07,62.0,62.0,62.0,62.0,62.0,0
2020-01-08,61.0,61.0,61.0,60.0,60.0,8400
2020-01-09,64.0,64.0,64.0,64.0,64.0,200
2020-01-10,60.0,60.0,63.0,56.0,60.0,68600
2020-01-13,64.0,64.0,69.0,60.0,60.0,789000
2020-01-14,63.0,63.0,68.0,63.0,68.0,169900
2020-01-15,64.0,64.0,66.0,60.0,66.0,154200
2020-01-16,64.0,64.0,71.0,63.0,64.0,1637600
2020-01-17,63.0,63.0,66.0,54.0,54.0,656400
2020-01-20,59.0,59.0,63.0,59.0,62.0,65100
2020-01-21,62.0,62.0,76.0,60.0,62.0,3911100
2020-01-22,61.0,61.0,67.0,60.0,62.0,811100
2020-01-23,61.0,61.0,68.0,60.0,63.0,776800
2020-01-24,59.0,59.0,63.0,59.0,60.0,138800
2020-01-27,58.0,58.0,62.0,58.0,59.0,54300
2020-01-28,61.0,61.0,73.0,57.0,57.0,4514100
2020-01-29,61.0,61.0,65.0,59.0,61.0,1043000
2020-01-30,61.0,61.0,63.0,61.0,61.0,116800
2020-01-31,58.0,58.0,60.0,58.0,59.0,272300
2020-02-03,60.0,60.0,65.0,53.0,56.0,762300
2020-02-04,58.0,58.0,61.0,58.0,60.0,226800
2020-02-05,57.0,57.0,60.0,57.0,60.0,64000
2020-02-06,58.0,58.0,60.0,58.0,59.0,46300
2020-02-07,58.0,58.0,60.0,58.0,58.0,169700
2020-02-10,60.0,60.0,60.0,56.0,58.0,94800
2020-02-11,57.0,57.0,59.0,57.0,59.0,71400
2020-02-12,57.0,57.0,58.0,56.0,58.0,1800
2020-02-13,57.0,57.0,59.0,55.0,58.0,167200
2020-02-14,54.0,54.0,56.0,54.0,56.0,198500
2020-02-17,54.0,54.0,55.0,54.0,54.0,36200
2020-02-18,58.0,58.0,58.0,53.0,53.0,256100
2020-02-19,55.0,55.0,55.0,54.0,55.0,56800
2020-02-20,54.0,54.0,55.0,54.0,55.0,15300
2020-02-21,51.0,51.0,54.0,50.0,54.0,430600
2020-02-24,54.0,54.0,54.0,50.0,51.0,310600
2020-02-25,53.0,53.0,56.0,50.0,50.0,8900
2020-02-26,53.0,53.0,53.0,50.0,50.0,700
2020-02-27,51.0,51.0,51.0,51.0,51.0,18700
2020-02-28,50.0,50.0,51.0,50.0,50.0,64300
2020-03-02,50.0,50.0,50.0,50.0,50.0,0
2020-03-03,50.0,50.0,50.0,50.0,50.0,0
2020-03-04,50.0,50.0,50.0,50.0,50.0,10300
2020-03-05,51.0,51.0,51.0,51.0,51.0,1900
2020-03-06,57.0,57.0,57.0,57.0,57.0,100
2020-03-09,57.0,57.0,57.0,57.0,57.0,0
2020-03-10,57.0,57.0,57.0,57.0,57.0,0
2020-03-11,57.0,57.0,57.0,57.0,57.0,0
2020-03-12,57.0,57.0,57.0,57.0,57.0,0
2020-03-13,57.0,57.0,57.0,57.0,57.0,0
2020-03-16,57.0,57.0,57.0,57.0,57.0,0
2020-03-17,57.0,57.0,57.0,57.0,57.0,0
2020-03-18,53.0,53.0,65.0,53.0,65.0,1100
2020-03-19,53.0,53.0,53.0,53.0,53.0,0
2020-03-20,53.0,53.0,53.0,53.0,53.0,0
2020-03-23,53.0,53.0,53.0,53.0,53.0,0
2020-03-24,50.0,50.0,52.0,50.0,52.0,21000
2020-03-26,51.0,51.0,52.0,50.0,51.0,100600
2020-03-27,50.0,50.0,51.0,50.0,51.0,245400
2020-03-30,50.0,50.0,50.0,50.0,50.0,31000
2020-03-31,50.0,50.0,50.0,50.0,50.0,2000
2020-04-01,50.0,50.0,50.0,50.0,50.0,3500
2020-04-02,50.0,50.0,50.0,50.0,50.0,70100
2020-04-03,50.0,50.0,54.0,50.0,54.0,32000
2020-04-06,50.0,50.0,51.0,50.0,50.0,21700
2020-04-07,50.0,50.0,50.0,50.0,50.0,30100
2020-04-08,50.0,50.0,50.0,50.0,50.0,50000
2020-04-09,50.0,50.0,53.0,50.0,50.0,28100
2020-04-13,54.0,54.0,55.0,50.0,50.0,104600
2020-04-14,52.0,52.0,55.0,52.0,55.0,11300
2020-04-15,51.0,51.0,51.0,50.0,50.0,176700
2020-04-16,50.0,50.0,50.0,50.0,50.0,200
2020-04-17,50.0,50.0,50.0,50.0,50.0,6300
2020-04-20,50.0,50.0,50.0,50.0,50.0,600
2020-04-21,50.0,50.0,50.0,50.0,50.0,0
2020-04-22,50.0,50.0,50.0,50.0,50.0,10000
2020-04-23,50.0,50.0,50.0,50.0,50.0,225000
2020-04-24,50.0,50.0,50.0,50.0,50.0,0
2020-04-27,50.0,50.0,50.0,50.0,50.0,0
