Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,246.0,246.0,330.0,246.0,320.0,17256800
2020-01-03,246.0,246.0,246.0,246.0,246.0,0
2020-01-06,232.0,232.0,262.0,222.0,232.0,11495300
2020-01-07,228.0,228.0,246.0,220.0,232.0,10063300
2020-01-08,284.0,284.0,284.0,216.0,224.0,48925400
2020-01-09,354.0,354.0,354.0,300.0,300.0,27188900
2020-01-10,334.0,334.0,436.0,314.0,374.0,99299500
2020-01-13,326.0,326.0,368.0,322.0,330.0,14069600
2020-01-14,300.0,300.0,340.0,298.0,326.0,12115200
2020-01-15,236.0,236.0,300.0,226.0,300.0,26916700
2020-01-16,294.0,294.0,294.0,228.0,236.0,38997700
2020-01-17,256.0,256.0,328.0,256.0,320.0,34130100
2020-01-20,232.0,232.0,284.0,232.0,258.0,15125800
2020-01-21,248.0,248.0,278.0,234.0,236.0,47564700
2020-01-22,228.0,228.0,258.0,210.0,246.0,23957800
2020-01-23,226.0,226.0,238.0,218.0,228.0,12505300
2020-01-24,230.0,230.0,246.0,224.0,226.0,17489300
2020-01-27,212.0,212.0,236.0,212.0,232.0,6598500
2020-01-28,220.0,220.0,228.0,200.0,208.0,14483200
2020-01-29,218.0,218.0,236.0,216.0,226.0,20834800
2020-01-30,204.0,204.0,220.0,202.0,220.0,6654300
2020-01-31,181.0,181.0,210.0,181.0,204.0,8154100
2020-02-03,169.0,169.0,185.0,167.0,180.0,5581400
2020-02-04,172.0,172.0,189.0,159.0,159.0,8243200
2020-02-05,156.0,156.0,177.0,153.0,173.0,4999800
2020-02-06,160.0,160.0,175.0,152.0,154.0,19272800
2020-02-07,164.0,164.0,177.0,156.0,158.0,16307900
2020-02-10,165.0,165.0,176.0,161.0,170.0,13532100
2020-02-11,161.0,161.0,167.0,160.0,163.0,2370000
2020-02-12,160.0,160.0,171.0,158.0,161.0,6110600
2020-02-13,143.0,143.0,162.0,141.0,158.0,6860900
2020-02-14,134.0,134.0,150.0,130.0,142.0,3404000
2020-02-17,132.0,132.0,144.0,130.0,132.0,8345100
2020-02-18,132.0,132.0,139.0,122.0,122.0,3160900
2020-02-19,139.0,139.0,141.0,130.0,133.0,7750000
2020-02-20,134.0,134.0,150.0,129.0,129.0,9354900
2020-02-21,133.0,133.0,140.0,131.0,133.0,2876200
2020-02-24,131.0,131.0,140.0,130.0,133.0,4795100
2020-02-25,128.0,128.0,138.0,124.0,138.0,1906300
2020-02-26,110.0,110.0,128.0,110.0,128.0,5622400
2020-02-27,94.0,94.0,115.0,91.0,113.0,7977500
2020-02-28,95.0,95.0,95.0,76.0,91.0,7933800
2020-03-02,107.0,107.0,124.0,94.0,97.0,18630300
2020-03-03,128.0,128.0,129.0,110.0,110.0,9770600
2020-03-04,172.0,172.0,172.0,122.0,130.0,49084300
2020-03-05,159.0,159.0,193.0,145.0,180.0,49710400
