Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,523.7438354492188,580.0,585.0,580.0,585.0,2992200
2020-01-03,523.7438354492188,580.0,585.0,580.0,580.0,1074900
2020-01-06,505.6837158203125,560.0,580.0,555.0,580.0,5787300
2020-01-07,514.7137451171875,570.0,575.0,550.0,565.0,4585600
2020-01-08,505.6837158203125,560.0,570.0,555.0,570.0,6399300
2020-01-09,501.1686706542969,555.0,565.0,555.0,560.0,2778500
2020-01-10,505.6837158203125,560.0,565.0,555.0,555.0,3585800
2020-01-13,505.6837158203125,560.0,565.0,555.0,565.0,2230800
2020-01-14,501.1686706542969,555.0,565.0,545.0,555.0,8193300
2020-01-15,487.6235656738281,540.0,555.0,540.0,550.0,3469100
2020-01-16,510.19873046875,565.0,570.0,540.0,545.0,3897700
2020-01-17,501.1686706542969,555.0,565.0,545.0,565.0,2374100
2020-01-20,496.6535949707031,550.0,555.0,550.0,555.0,1200900
2020-01-21,487.6235656738281,540.0,555.0,540.0,555.0,1239100
2020-01-22,487.6235656738281,540.0,550.0,540.0,540.0,2494100
2020-01-23,478.593505859375,530.0,540.0,520.0,540.0,2340100
2020-01-24,460.5333557128906,510.0,535.0,510.0,535.0,8567100
2020-01-27,447.89129638671875,496.0,515.0,494.0,510.0,3585500
2020-01-28,446.08526611328125,494.0,498.0,488.0,498.0,1552500
2020-01-29,456.0183410644531,505.0,530.0,494.0,494.0,4417300
2020-01-30,447.89129638671875,496.0,515.0,494.0,510.0,2715900
2020-01-31,446.08526611328125,494.0,500.0,490.0,496.0,1130500
2020-02-03,438.8612365722656,486.0,494.0,478.0,494.0,1929600
2020-02-04,437.0552062988281,484.0,490.0,482.0,486.0,1467100
2020-02-05,444.2792663574219,492.0,492.0,484.0,484.0,2389400
2020-02-06,446.08526611328125,494.0,505.0,492.0,492.0,2208600
2020-02-07,444.2792663574219,492.0,496.0,490.0,494.0,682900
2020-02-10,435.24920654296875,482.0,490.0,482.0,490.0,965800
2020-02-11,433.4432067871094,480.0,500.0,480.0,500.0,697800
2020-02-12,433.4432067871094,480.0,482.0,480.0,480.0,380700
2020-02-13,420.80108642578125,466.0,482.0,458.0,480.0,2142100
2020-02-14,411.7710266113281,456.0,466.0,450.0,466.0,1206200
2020-02-17,413.5770568847656,458.0,460.0,452.0,456.0,1356100
2020-02-18,428.025146484375,474.0,474.0,456.0,458.0,1237100
2020-02-19,437.0552062988281,484.0,492.0,474.0,474.0,813100
2020-02-20,435.24920654296875,482.0,492.0,480.0,484.0,1063900
2020-02-21,428.025146484375,474.0,494.0,474.0,482.0,823300
2020-02-24,415.383056640625,460.0,474.0,460.0,474.0,966500
2020-02-25,409.9649963378906,454.0,458.0,446.0,458.0,1244900
2020-02-26,390.098876953125,432.0,454.0,420.0,450.0,2447200
2020-02-27,377.4567565917969,418.0,434.0,406.0,432.0,1251000
2020-02-28,353.9786071777344,392.0,418.0,380.0,418.0,3197300
2020-03-02,350.3666076660156,388.0,398.0,378.0,392.0,2716800
2020-03-03,363.0086669921875,402.0,410.0,390.0,394.0,1632300
2020-03-04,368.4266662597656,408.0,412.0,396.0,404.0,1570500
2020-03-05,379.2627868652344,420.0,424.0,406.0,416.0,1506700
2020-03-06,364.8146667480469,404.0,414.0,404.0,414.0,996900
2020-03-09,332.30645751953125,368.0,402.0,364.0,402.0,5731100
2020-03-10,334.1124572753906,370.0,380.0,340.0,350.0,3107700
2020-03-11,328.69439697265625,364.0,378.0,356.0,376.0,1395800
2020-03-12,296.1861572265625,328.0,360.0,328.0,360.0,4812800
2020-03-13,296.1861572265625,328.0,328.0,328.0,328.0,0
2020-03-16,276.320068359375,306.0,328.0,306.0,328.0,2236600
2020-03-17,258.2599182128906,286.0,296.0,286.0,296.0,2577400
2020-03-18,240.19976806640625,266.0,294.0,266.0,294.0,5010700
2020-03-19,223.94564819335938,248.0,256.0,248.0,248.0,289400
2020-03-20,234.78172302246094,260.0,262.0,232.0,250.0,2532500
2020-03-23,220.33363342285156,244.0,252.0,242.0,248.0,2345700
2020-03-24,223.94564819335938,248.0,260.0,234.0,234.0,1279000
2020-03-26,263.6779479980469,292.0,310.0,250.0,250.0,4191200
2020-03-27,279.93206787109375,310.0,330.0,304.0,308.0,4120700
2020-03-30,265.48394775390625,294.0,300.0,290.0,300.0,1072700
2020-03-31,267.28997802734375,296.0,304.0,284.0,300.0,1733000
2020-04-01,261.8719177246094,290.0,308.0,288.0,302.0,1658500
2020-04-02,270.9020080566406,300.0,318.0,278.0,286.0,815800
2020-04-03,292.57415771484375,324.0,324.0,302.0,304.0,2199100
2020-04-06,323.2763671875,358.0,370.0,326.0,326.0,4539800
2020-04-07,321.4703674316406,356.0,378.0,354.0,362.0,3014800
2020-04-08,299.7981872558594,332.0,358.0,332.0,356.0,1126300
2020-04-09,312.4402770996094,346.0,348.0,326.0,332.0,600400
2020-04-13,325.0823974609375,360.0,362.0,336.0,346.0,1007300
2020-04-14,323.2763671875,358.0,372.0,350.0,362.0,1693800
2020-04-15,308.8282775878906,342.0,360.0,342.0,360.0,1459900
2020-04-16,297.9921875,330.0,348.0,328.0,340.0,1067300
2020-04-17,307.0222473144531,340.0,352.0,330.0,334.0,1540200
2020-04-20,301.6042175292969,334.0,348.0,330.0,340.0,1184500
2020-04-21,285.3500671386719,316.0,336.0,312.0,334.0,1613300
