Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,424.0,424.0,476.0,382.0,382.0,48300
2020-01-03,440.0,440.0,440.0,440.0,440.0,200
2020-01-06,424.0,424.0,440.0,360.0,440.0,24700
2020-01-07,408.0,408.0,424.0,386.0,424.0,13500
2020-01-08,396.0,396.0,408.0,396.0,408.0,800
2020-01-09,396.0,396.0,396.0,396.0,396.0,0
2020-01-10,396.0,396.0,396.0,396.0,396.0,1300
2020-01-13,390.0,390.0,416.0,370.0,416.0,13600
2020-01-14,388.0,388.0,390.0,388.0,390.0,1700
2020-01-15,350.0,350.0,400.0,346.0,400.0,14100
2020-01-16,398.0,398.0,434.0,370.0,370.0,44300
2020-01-17,410.0,410.0,430.0,396.0,396.0,4200
2020-01-20,438.0,438.0,438.0,438.0,438.0,100
2020-01-21,438.0,438.0,438.0,438.0,438.0,0
2020-01-22,412.0,412.0,426.0,402.0,426.0,7500
2020-01-23,406.0,406.0,412.0,406.0,412.0,300
2020-01-24,350.0,350.0,408.0,350.0,408.0,8200
2020-01-27,400.0,400.0,430.0,390.0,430.0,9500
2020-01-28,420.0,420.0,420.0,420.0,420.0,200
2020-01-29,410.0,410.0,430.0,410.0,430.0,400
2020-01-30,406.0,406.0,410.0,312.0,410.0,74300
2020-01-31,390.0,390.0,426.0,340.0,426.0,6000
2020-02-03,372.0,372.0,372.0,372.0,372.0,1500
2020-02-04,368.0,368.0,390.0,344.0,390.0,11000
2020-02-05,382.0,382.0,388.0,382.0,388.0,800
2020-02-06,376.0,376.0,400.0,350.0,400.0,2600
2020-02-07,388.0,388.0,388.0,382.0,382.0,200
2020-02-10,406.0,406.0,406.0,406.0,406.0,200
2020-02-11,358.0,358.0,392.0,340.0,392.0,16800
2020-02-12,350.0,350.0,370.0,350.0,370.0,1100
2020-02-13,358.0,358.0,360.0,320.0,340.0,49300
2020-02-14,274.0,274.0,370.0,274.0,370.0,1500
2020-02-17,340.0,340.0,342.0,334.0,334.0,5500
2020-02-18,340.0,340.0,360.0,322.0,360.0,2500
2020-02-19,358.0,358.0,400.0,258.0,360.0,2400
2020-02-20,348.0,348.0,348.0,340.0,342.0,400
2020-02-21,330.0,330.0,348.0,312.0,348.0,4000
2020-02-24,320.0,320.0,350.0,320.0,350.0,6300
2020-02-25,330.0,330.0,330.0,330.0,330.0,200
2020-02-26,330.0,330.0,330.0,330.0,330.0,200
2020-02-27,328.0,328.0,348.0,312.0,348.0,500
2020-02-28,330.0,330.0,330.0,330.0,330.0,400
2020-03-02,346.0,346.0,346.0,346.0,346.0,200
2020-03-03,326.0,326.0,330.0,310.0,330.0,2800
2020-03-04,330.0,330.0,330.0,330.0,330.0,200
2020-03-05,330.0,330.0,330.0,330.0,330.0,0
2020-03-06,330.0,330.0,330.0,330.0,330.0,200
2020-03-09,330.0,330.0,346.0,320.0,346.0,2900
2020-03-10,310.0,310.0,318.0,298.0,298.0,16800
2020-03-11,306.0,306.0,330.0,280.0,330.0,4300
2020-03-12,276.0,276.0,320.0,276.0,320.0,5100
2020-03-13,290.0,290.0,310.0,290.0,310.0,1200
2020-03-16,310.0,310.0,310.0,310.0,310.0,100
2020-03-17,330.0,330.0,330.0,330.0,330.0,100
2020-03-18,330.0,330.0,330.0,330.0,330.0,100
2020-03-19,330.0,330.0,330.0,330.0,330.0,0
2020-03-20,330.0,330.0,330.0,330.0,330.0,0
2020-03-23,330.0,330.0,330.0,330.0,330.0,0
2020-03-24,330.0,330.0,330.0,330.0,330.0,0
2020-03-26,330.0,330.0,330.0,330.0,330.0,0
2020-03-27,350.0,350.0,350.0,350.0,350.0,100
2020-03-30,350.0,350.0,350.0,350.0,350.0,100
2020-03-31,350.0,350.0,350.0,350.0,350.0,100
2020-04-01,350.0,350.0,350.0,350.0,350.0,0
2020-04-02,350.0,350.0,350.0,350.0,350.0,0
2020-04-03,350.0,350.0,350.0,350.0,350.0,0
2020-04-06,350.0,350.0,350.0,350.0,350.0,0
2020-04-07,350.0,350.0,350.0,350.0,350.0,0
2020-04-08,350.0,350.0,350.0,350.0,350.0,0
2020-04-09,350.0,350.0,350.0,350.0,350.0,0
2020-04-13,350.0,350.0,350.0,350.0,350.0,0
2020-04-14,326.0,326.0,326.0,326.0,326.0,4700
2020-04-15,310.0,310.0,310.0,310.0,310.0,500
2020-04-16,290.0,290.0,290.0,290.0,290.0,2900
2020-04-17,270.0,270.0,308.0,270.0,308.0,30300
2020-04-20,288.0,288.0,290.0,288.0,290.0,1600
2020-04-21,268.0,268.0,268.0,268.0,268.0,76700
2020-04-22,286.0,286.0,286.0,286.0,286.0,100
2020-04-23,266.0,266.0,266.0,266.0,266.0,37000
2020-04-24,258.0,258.0,284.0,258.0,284.0,3300
2020-04-27,266.0,266.0,270.0,250.0,250.0,4200
2020-04-28,266.0,266.0,282.0,266.0,282.0,300
2020-04-29,266.0,266.0,284.0,266.0,284.0,25500
2020-04-30,264.0,264.0,270.0,258.0,270.0,300
2020-05-04,268.0,268.0,294.0,268.0,294.0,400
2020-05-05,258.0,258.0,284.0,258.0,284.0,3700
2020-05-06,266.0,266.0,270.0,264.0,270.0,10100
2020-05-08,248.0,248.0,270.0,248.0,270.0,5500
2020-05-11,240.0,240.0,240.0,240.0,240.0,200
2020-05-12,238.0,238.0,270.0,224.0,270.0,35200
2020-05-13,224.0,224.0,224.0,224.0,224.0,2600
2020-05-14,246.0,246.0,264.0,236.0,236.0,1600
2020-05-15,238.0,238.0,264.0,238.0,264.0,200
2020-05-18,238.0,238.0,238.0,238.0,238.0,0
2020-05-19,250.0,250.0,260.0,250.0,260.0,1100
2020-05-20,246.0,246.0,250.0,246.0,250.0,3400
2020-05-26,230.0,230.0,260.0,230.0,260.0,500
2020-05-27,226.0,226.0,230.0,214.0,230.0,9600
2020-05-28,224.0,224.0,226.0,212.0,212.0,24800
2020-05-29,222.0,222.0,226.0,218.0,226.0,20300
2020-06-02,220.0,220.0,222.0,220.0,220.0,45000
2020-06-03,218.0,218.0,218.0,218.0,218.0,23200
2020-06-04,204.0,204.0,204.0,204.0,204.0,1000
2020-06-05,198.0,198.0,200.0,190.0,191.0,88500
2020-06-08,191.0,191.0,191.0,190.0,190.0,53100
2020-06-09,195.0,195.0,196.0,191.0,195.0,37500
2020-06-10,195.0,195.0,195.0,195.0,195.0,100
2020-06-11,184.0,184.0,190.0,184.0,190.0,7800
2020-06-12,184.0,184.0,184.0,184.0,184.0,0
2020-06-15,184.0,184.0,184.0,184.0,184.0,300
2020-06-16,172.0,172.0,175.0,172.0,174.0,4300
2020-06-17,196.0,196.0,196.0,160.0,165.0,82100
2020-06-18,194.0,194.0,240.0,194.0,196.0,29600
2020-06-19,206.0,206.0,220.0,194.0,196.0,65200
2020-06-22,200.0,200.0,212.0,192.0,208.0,13200
2020-06-23,186.0,186.0,198.0,186.0,198.0,2900
2020-06-24,173.0,173.0,173.0,173.0,173.0,19100
2020-06-25,161.0,161.0,173.0,161.0,173.0,18500
2020-06-26,154.0,154.0,154.0,154.0,154.0,200
2020-06-29,146.0,146.0,154.0,146.0,154.0,2700
2020-06-30,148.0,148.0,158.0,144.0,146.0,4300
2020-07-01,146.0,146.0,146.0,146.0,146.0,200
2020-07-02,168.0,168.0,196.0,154.0,154.0,38000
2020-07-03,190.0,190.0,192.0,170.0,170.0,42400
2020-07-06,197.0,197.0,200.0,177.0,195.0,10600
2020-07-07,184.0,184.0,197.0,184.0,197.0,16900
2020-07-08,184.0,184.0,184.0,174.0,174.0,1500
2020-07-09,175.0,175.0,181.0,172.0,181.0,16000
2020-07-10,174.0,174.0,174.0,168.0,168.0,18700
2020-07-13,167.0,167.0,173.0,162.0,173.0,20200
2020-07-14,157.0,157.0,165.0,157.0,157.0,12800
2020-07-15,148.0,148.0,157.0,147.0,157.0,35600
2020-07-16,148.0,148.0,148.0,148.0,148.0,2300
2020-07-17,148.0,148.0,148.0,148.0,148.0,800
2020-07-20,167.0,167.0,173.0,139.0,139.0,15300
2020-07-21,160.0,160.0,177.0,160.0,177.0,12400
2020-07-22,149.0,149.0,160.0,149.0,160.0,3200
2020-07-23,154.0,154.0,154.0,139.0,140.0,15000
2020-07-24,144.0,144.0,164.0,144.0,164.0,10300
2020-07-27,145.0,145.0,147.0,144.0,144.0,74700
2020-07-28,135.0,135.0,145.0,135.0,136.0,61100
2020-07-29,132.0,132.0,153.0,130.0,130.0,23300
2020-07-30,127.0,127.0,132.0,126.0,126.0,1300
2020-08-03,127.0,127.0,154.0,123.0,127.0,46500
2020-08-04,128.0,128.0,150.0,126.0,150.0,12600
2020-08-05,140.0,140.0,143.0,140.0,143.0,1100
2020-08-06,136.0,136.0,138.0,131.0,138.0,27300
2020-08-07,132.0,132.0,160.0,131.0,160.0,53700
2020-08-10,154.0,154.0,154.0,132.0,132.0,4200
2020-08-11,153.0,153.0,154.0,144.0,154.0,12300
2020-08-12,144.0,144.0,154.0,144.0,154.0,300
2020-08-13,134.0,134.0,134.0,134.0,134.0,6100
2020-08-14,134.0,134.0,134.0,134.0,134.0,700
2020-08-18,150.0,150.0,154.0,125.0,126.0,3700
2020-08-19,154.0,154.0,154.0,154.0,154.0,100
2020-08-24,152.0,152.0,153.0,152.0,153.0,1700
2020-08-25,149.0,149.0,154.0,149.0,154.0,1000
2020-08-26,144.0,144.0,154.0,139.0,154.0,3800
2020-08-27,143.0,143.0,144.0,143.0,144.0,900
2020-08-28,153.0,153.0,153.0,153.0,153.0,100
2020-08-31,153.0,153.0,153.0,144.0,144.0,10100
2020-09-01,143.0,143.0,150.0,143.0,150.0,6700
2020-09-02,146.0,146.0,146.0,133.0,133.0,2100
2020-09-03,144.0,144.0,154.0,144.0,154.0,1400
2020-09-04,144.0,144.0,144.0,144.0,144.0,100
2020-09-07,144.0,144.0,144.0,144.0,144.0,0
2020-09-08,144.0,144.0,144.0,144.0,144.0,500
2020-09-09,144.0,144.0,144.0,144.0,144.0,0
2020-09-10,144.0,144.0,144.0,144.0,144.0,0
2020-09-11,144.0,144.0,144.0,144.0,144.0,0
2020-09-14,144.0,144.0,144.0,144.0,144.0,0
2020-09-15,144.0,144.0,144.0,144.0,144.0,0
2020-09-16,144.0,144.0,144.0,144.0,144.0,0
2020-09-17,144.0,144.0,144.0,144.0,144.0,0
2020-09-18,144.0,144.0,144.0,144.0,144.0,0
2020-09-21,134.0,134.0,134.0,134.0,134.0,5100
2020-09-22,125.0,125.0,130.0,125.0,130.0,27800
2020-09-23,125.0,125.0,125.0,125.0,125.0,1000
2020-09-24,118.0,118.0,118.0,117.0,118.0,8100
2020-09-25,110.0,110.0,110.0,110.0,110.0,4600
2020-09-28,109.0,109.0,109.0,103.0,103.0,20800
2020-09-29,102.0,102.0,109.0,102.0,109.0,15500
2020-09-30,118.0,118.0,132.0,111.0,111.0,7200
2020-10-01,129.0,129.0,132.0,124.0,124.0,46600
2020-10-02,120.0,120.0,129.0,120.0,129.0,15800
2020-10-05,112.0,112.0,132.0,112.0,113.0,43400
2020-10-06,129.0,129.0,131.0,111.0,111.0,17500
2020-10-07,132.0,132.0,132.0,132.0,132.0,100
2020-10-08,123.0,123.0,132.0,123.0,132.0,900
2020-10-09,132.0,132.0,132.0,132.0,132.0,100
2020-10-12,123.0,123.0,132.0,123.0,132.0,9600
2020-10-13,116.0,116.0,120.0,115.0,115.0,5200
2020-10-14,117.0,117.0,132.0,109.0,109.0,79900
2020-10-15,127.0,127.0,136.0,109.0,117.0,47500
2020-10-16,119.0,119.0,154.0,119.0,127.0,30100
2020-10-19,112.0,112.0,120.0,111.0,111.0,2500
2020-10-20,115.0,115.0,115.0,113.0,113.0,500
2020-10-21,120.0,120.0,123.0,108.0,108.0,89200
2020-10-22,125.0,125.0,131.0,112.0,112.0,27300
2020-10-23,117.0,117.0,126.0,117.0,126.0,10300
2020-10-26,109.0,109.0,131.0,109.0,131.0,6400
2020-10-27,119.0,119.0,130.0,102.0,109.0,15700
2020-11-02,113.0,113.0,129.0,113.0,129.0,6600
2020-11-03,113.0,113.0,120.0,113.0,113.0,2800
2020-11-04,114.0,114.0,120.0,114.0,120.0,700
2020-11-05,118.0,118.0,118.0,117.0,118.0,37600
2020-11-06,128.0,128.0,130.0,111.0,111.0,41300
2020-11-09,128.0,128.0,138.0,123.0,138.0,3200
2020-11-10,126.0,126.0,128.0,120.0,128.0,18300
2020-11-11,126.0,126.0,126.0,126.0,126.0,400
2020-11-12,120.0,120.0,136.0,120.0,136.0,15800
2020-11-13,114.0,114.0,119.0,112.0,112.0,21600
2020-11-16,108.0,108.0,115.0,107.0,115.0,3200
2020-11-17,108.0,108.0,108.0,102.0,102.0,5900
2020-11-18,117.0,117.0,118.0,105.0,118.0,26600
2020-11-19,122.0,122.0,127.0,110.0,127.0,38100
2020-11-20,122.0,122.0,131.0,115.0,131.0,13100
2020-11-23,121.0,121.0,122.0,120.0,120.0,11000
2020-11-24,119.0,119.0,121.0,119.0,121.0,2300
2020-11-25,114.0,114.0,122.0,114.0,122.0,3600
2020-11-26,110.0,110.0,124.0,107.0,124.0,7100
2020-11-27,119.0,119.0,129.0,110.0,129.0,3500
