Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,171.0,171.0,175.0,171.0,172.0,720800
2020-01-03,171.0,171.0,175.0,170.0,175.0,891000
2020-01-06,168.0,168.0,173.0,168.0,170.0,2996600
2020-01-07,166.0,166.0,170.0,165.0,168.0,435900
2020-01-08,163.0,163.0,166.0,161.0,166.0,3262300
2020-01-09,164.0,164.0,165.0,161.0,163.0,494100
2020-01-10,163.0,163.0,164.0,161.0,164.0,1709100
2020-01-13,163.0,163.0,164.0,162.0,163.0,1431400
2020-01-14,162.0,162.0,163.0,162.0,163.0,572400
2020-01-15,162.0,162.0,163.0,160.0,163.0,662800
2020-01-16,161.0,161.0,163.0,160.0,162.0,840500
2020-01-17,162.0,162.0,164.0,160.0,161.0,1856500
2020-01-20,160.0,160.0,163.0,159.0,162.0,646200
2020-01-21,158.0,158.0,162.0,157.0,159.0,538600
2020-01-22,114.0,114.0,160.0,103.0,158.0,204784900
2020-01-23,126.0,126.0,130.0,110.0,120.0,207267300
2020-01-24,124.0,124.0,129.0,121.0,121.0,31638200
2020-01-27,116.0,116.0,126.0,113.0,115.0,25573500
2020-01-28,118.0,118.0,121.0,106.0,106.0,27957900
2020-01-29,115.0,115.0,121.0,108.0,108.0,14831500
2020-01-30,115.0,115.0,117.0,113.0,116.0,15326200
2020-01-31,113.0,113.0,117.0,110.0,116.0,9747800
2020-02-03,105.0,105.0,114.0,103.0,103.0,5262200
2020-02-04,109.0,109.0,118.0,95.0,95.0,12239500
2020-02-05,108.0,108.0,113.0,105.0,105.0,4416100
2020-02-06,112.0,112.0,114.0,108.0,108.0,7310900
2020-02-07,110.0,110.0,112.0,109.0,112.0,3690000
2020-02-10,109.0,109.0,118.0,107.0,118.0,3365800
2020-02-11,107.0,107.0,109.0,103.0,103.0,2838200
2020-02-12,105.0,105.0,108.0,103.0,103.0,1829200
2020-02-13,103.0,103.0,108.0,100.0,105.0,4924100
2020-02-14,99.0,99.0,103.0,93.0,93.0,4095600
2020-02-17,97.0,97.0,100.0,93.0,93.0,3588300
2020-02-18,97.0,97.0,105.0,95.0,95.0,13407200
2020-02-19,97.0,97.0,99.0,87.0,87.0,4046900
2020-02-20,97.0,97.0,100.0,88.0,88.0,7177900
2020-02-21,95.0,95.0,98.0,88.0,88.0,3843500
2020-02-24,89.0,89.0,95.0,89.0,90.0,9311300
2020-02-25,87.0,87.0,98.0,80.0,80.0,7424900
2020-02-26,86.0,86.0,88.0,84.0,88.0,5081800
