Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,272.6456604003906,302.0,305.0,301.0,301.0,1833500
2020-01-03,272.6456604003906,302.0,304.0,301.0,302.0,1391000
2020-01-06,272.6456604003906,302.0,302.0,301.0,302.0,1598000
2020-01-07,273.54840087890625,303.0,304.0,302.0,302.0,1306500
2020-01-08,272.6456604003906,302.0,303.0,301.0,303.0,1507500
2020-01-09,270.840087890625,300.0,302.0,298.0,302.0,1407500
2020-01-10,269.0344543457031,298.0,300.0,292.0,300.0,688500
2020-01-13,260.0064697265625,288.0,298.0,280.0,298.0,2554000
2020-01-14,254.58963012695312,282.0,288.0,278.0,288.0,985500
2020-01-15,243.7560272216797,270.0,282.0,270.0,282.0,1395000
2020-01-16,248.27003479003906,275.0,275.0,270.0,271.0,743500
2020-01-17,249.17286682128906,276.0,276.0,274.0,275.0,1097000
2020-01-20,250.9784393310547,278.0,280.0,276.0,276.0,1052000
2020-01-21,250.9784393310547,278.0,280.0,277.0,278.0,1573000
2020-01-22,250.9784393310547,278.0,279.0,277.0,278.0,1104000
2020-01-23,250.9784393310547,278.0,280.0,278.0,278.0,1253500
2020-01-24,241.95045471191406,268.0,278.0,267.0,278.0,956500
2020-01-27,238.33926391601562,264.0,268.0,257.0,268.0,1432000
2020-01-28,239.2420654296875,265.0,266.0,262.0,264.0,1829500
2020-01-29,241.04763793945312,267.0,268.0,263.0,265.0,1245000
2020-01-30,242.85324096679688,269.0,270.0,268.0,268.0,1492500
2020-01-31,242.85324096679688,269.0,269.0,263.0,269.0,904500
2020-02-03,238.33926391601562,264.0,269.0,259.0,269.0,794500
2020-02-04,239.2420654296875,265.0,265.0,262.0,264.0,1276000
2020-02-05,238.33926391601562,264.0,264.0,262.0,264.0,782500
2020-02-06,241.04763793945312,267.0,267.0,263.0,263.0,1754000
2020-02-07,242.85324096679688,269.0,269.0,267.0,267.0,1555000
2020-02-10,241.95045471191406,268.0,275.0,266.0,269.0,2237500
2020-02-11,241.95045471191406,268.0,271.0,267.0,269.0,1524500
2020-02-12,238.33926391601562,264.0,268.0,264.0,268.0,1680500
2020-02-13,236.5336456298828,262.0,265.0,262.0,264.0,1113000
2020-02-14,236.5336456298828,262.0,263.0,261.0,262.0,1253000
2020-02-17,235.630859375,261.0,262.0,258.0,260.0,1328500
2020-02-18,237.43643188476562,263.0,263.0,260.0,260.0,1832000
2020-02-19,240.14483642578125,266.0,266.0,262.0,263.0,1751000
2020-02-20,239.2420654296875,265.0,267.0,265.0,266.0,816500
2020-02-21,239.2420654296875,265.0,265.0,259.0,265.0,1311500
2020-02-24,239.2420654296875,265.0,266.0,262.0,265.0,1430000
2020-02-25,238.33926391601562,264.0,265.0,261.0,265.0,1276500
2020-02-26,238.33926391601562,264.0,265.0,261.0,264.0,1082500
2020-02-27,232.01966857910156,257.0,264.0,255.0,264.0,196000
2020-02-28,230.21405029296875,255.0,255.0,250.0,255.0,387500
2020-03-02,223.89443969726562,248.0,256.0,241.0,255.0,1240500
2020-03-03,229.31124877929688,254.0,254.0,248.0,248.0,757500
2020-03-04,230.21405029296875,255.0,256.0,254.0,254.0,942000
2020-03-05,229.31124877929688,254.0,256.0,252.0,255.0,1054500
2020-03-06,231.11685180664062,256.0,259.0,253.0,254.0,974000
2020-03-09,225.70004272460938,250.0,256.0,250.0,256.0,1135000
2020-03-10,227.50564575195312,252.0,253.0,249.0,250.0,1346500
2020-03-11,222.08883666992188,246.0,253.0,240.0,248.0,1311000
2020-03-12,205.8384552001953,228.0,245.0,223.0,241.0,926500
2020-03-13,211.2552490234375,234.0,234.0,213.0,227.0,484000
2020-03-16,205.8384552001953,228.0,232.0,219.0,230.0,361500
2020-03-17,195.0048370361328,216.0,226.0,216.0,218.0,175000
2020-03-18,197.71324157714844,219.0,228.0,214.0,216.0,232000
2020-03-19,200.42164611816406,222.0,222.0,210.0,217.0,344500
2020-03-20,202.2272491455078,224.0,224.0,212.0,221.0,901000
2020-03-23,198.6160430908203,220.0,224.0,210.0,212.0,381000
2020-03-24,200.42164611816406,222.0,225.0,214.0,220.0,323000
2020-03-26,210.35243225097656,233.0,233.0,222.0,222.0,722500
2020-03-27,210.35243225097656,233.0,234.0,230.0,233.0,814500
2020-03-30,207.64405822753906,230.0,230.0,221.0,224.0,879000
2020-03-31,209.44964599609375,232.0,233.0,228.0,230.0,831500
2020-04-01,214.86643981933594,238.0,242.0,232.0,232.0,695500
2020-04-02,213.06085205078125,236.0,238.0,229.0,238.0,811500
2020-04-03,213.963623046875,237.0,240.0,236.0,236.0,410500
2020-04-06,212.1580352783203,235.0,237.0,232.0,237.0,382000
2020-04-07,212.1580352783203,235.0,235.0,234.0,235.0,375500
2020-04-08,211.2552490234375,234.0,236.0,233.0,235.0,390500
2020-04-09,211.2552490234375,234.0,234.0,231.0,234.0,553000
2020-04-13,208.54684448242188,231.0,234.0,228.0,233.0,256500
2020-04-14,210.35243225097656,233.0,234.0,229.0,234.0,354500
2020-04-15,210.35243225097656,233.0,237.0,233.0,234.0,569500
2020-04-16,210.35243225097656,233.0,234.0,228.0,234.0,447000
