Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,670.0,670.0,700.0,670.0,700.0,700
2020-01-03,670.0,670.0,710.0,640.0,710.0,39200
2020-01-06,650.0,650.0,680.0,630.0,680.0,20900
2020-01-07,680.0,680.0,680.0,680.0,680.0,100
2020-01-08,675.0,675.0,700.0,675.0,700.0,700
2020-01-09,615.0,615.0,700.0,595.0,700.0,66600
2020-01-10,625.0,625.0,625.0,625.0,625.0,100
2020-01-13,630.0,630.0,635.0,600.0,635.0,5000
2020-01-14,615.0,615.0,650.0,595.0,650.0,11600
2020-01-15,635.0,635.0,635.0,635.0,635.0,100
2020-01-16,630.0,630.0,650.0,585.0,650.0,23100
2020-01-17,630.0,630.0,650.0,630.0,650.0,8100
2020-01-20,590.0,590.0,650.0,590.0,650.0,1700
2020-01-21,630.0,630.0,630.0,580.0,630.0,4200
2020-01-22,650.0,650.0,650.0,650.0,650.0,100
2020-01-23,635.0,635.0,650.0,590.0,650.0,600
2020-01-24,590.0,590.0,650.0,590.0,650.0,6900
2020-01-27,645.0,645.0,650.0,590.0,630.0,1400
2020-01-28,585.0,585.0,650.0,585.0,650.0,5200
2020-01-29,580.0,580.0,625.0,580.0,625.0,7100
2020-01-30,605.0,605.0,620.0,575.0,620.0,28500
2020-01-31,600.0,600.0,650.0,580.0,650.0,5400
2020-02-03,605.0,605.0,605.0,590.0,605.0,17500
2020-02-04,605.0,605.0,605.0,605.0,605.0,1100
2020-02-05,600.0,600.0,605.0,580.0,605.0,4500
2020-02-06,595.0,595.0,600.0,590.0,600.0,1600
2020-02-07,595.0,595.0,600.0,585.0,600.0,4100
2020-02-10,600.0,600.0,600.0,590.0,600.0,57600
2020-02-11,600.0,600.0,600.0,590.0,600.0,28900
2020-02-12,600.0,600.0,600.0,590.0,600.0,107000
2020-02-13,605.0,605.0,605.0,590.0,600.0,20100
2020-02-14,570.0,570.0,595.0,550.0,595.0,191500
2020-02-17,580.0,580.0,595.0,550.0,595.0,38400
2020-02-18,575.0,575.0,595.0,550.0,595.0,52300
2020-02-19,570.0,570.0,580.0,570.0,580.0,1400
2020-02-20,575.0,575.0,575.0,540.0,570.0,1500
2020-02-21,585.0,585.0,585.0,570.0,570.0,300
2020-02-24,565.0,565.0,600.0,540.0,600.0,900
2020-02-25,515.0,515.0,570.0,490.0,570.0,20100
2020-02-26,580.0,580.0,580.0,525.0,525.0,900
2020-02-27,595.0,595.0,595.0,436.0,580.0,28700
2020-02-28,482.0,482.0,600.0,482.0,600.0,5500
2020-03-02,575.0,575.0,600.0,472.0,600.0,1000
2020-03-03,570.0,570.0,600.0,570.0,600.0,7300
2020-03-04,575.0,575.0,600.0,565.0,600.0,600
2020-03-05,565.0,565.0,600.0,472.0,600.0,6000
2020-03-06,565.0,565.0,600.0,500.0,600.0,9100
2020-03-09,500.0,500.0,600.0,500.0,600.0,12200
2020-03-10,486.0,486.0,550.0,480.0,550.0,7300
2020-03-11,545.0,545.0,550.0,470.0,550.0,15400
2020-03-12,498.0,498.0,550.0,498.0,550.0,3900
2020-03-13,535.0,535.0,535.0,535.0,535.0,200
2020-03-16,550.0,550.0,550.0,550.0,550.0,100
2020-03-17,550.0,550.0,550.0,550.0,550.0,200
2020-03-18,560.0,560.0,560.0,560.0,560.0,100
2020-03-19,550.0,550.0,560.0,550.0,560.0,200
2020-03-20,560.0,560.0,560.0,560.0,560.0,100
2020-03-23,570.0,570.0,570.0,570.0,570.0,100
2020-03-24,570.0,570.0,570.0,570.0,570.0,0
2020-03-26,570.0,570.0,570.0,570.0,570.0,0
2020-03-27,570.0,570.0,570.0,570.0,570.0,0
2020-03-30,575.0,575.0,575.0,575.0,575.0,100
2020-03-31,575.0,575.0,575.0,575.0,575.0,0
2020-04-01,575.0,575.0,575.0,575.0,575.0,0
2020-04-02,680.0,680.0,700.0,575.0,575.0,700
2020-04-03,680.0,680.0,680.0,680.0,680.0,0
2020-04-06,675.0,675.0,680.0,675.0,680.0,300
2020-04-07,660.0,660.0,660.0,645.0,650.0,400
2020-04-08,615.0,615.0,615.0,615.0,615.0,1700
2020-04-09,605.0,605.0,605.0,605.0,605.0,200
2020-04-13,605.0,605.0,605.0,605.0,605.0,0
2020-04-14,605.0,605.0,605.0,605.0,605.0,0
2020-04-15,605.0,605.0,605.0,605.0,605.0,0
2020-04-16,605.0,605.0,605.0,605.0,605.0,0
2020-04-17,605.0,605.0,605.0,605.0,605.0,0
2020-04-20,605.0,605.0,605.0,605.0,605.0,0
2020-04-21,600.0,600.0,600.0,600.0,600.0,1000
2020-04-22,600.0,600.0,600.0,600.0,600.0,0
2020-04-23,600.0,600.0,600.0,600.0,600.0,0
2020-04-24,600.0,600.0,600.0,600.0,600.0,0
2020-04-27,600.0,600.0,600.0,600.0,600.0,0
2020-04-28,600.0,600.0,600.0,600.0,600.0,0
2020-04-29,600.0,600.0,600.0,600.0,600.0,0
2020-04-30,600.0,600.0,600.0,600.0,600.0,0
2020-05-04,600.0,600.0,600.0,600.0,600.0,0
2020-05-05,585.0,585.0,585.0,560.0,560.0,1800
2020-05-06,595.0,595.0,595.0,545.0,545.0,800
2020-05-08,555.0,555.0,555.0,555.0,555.0,400
2020-05-11,520.0,520.0,520.0,520.0,520.0,200
2020-05-12,580.0,580.0,580.0,580.0,580.0,100
2020-05-13,540.0,540.0,540.0,540.0,540.0,200
2020-05-14,505.0,505.0,510.0,505.0,510.0,1400
2020-05-15,472.0,472.0,472.0,470.0,472.0,1500
2020-05-18,452.0,452.0,452.0,440.0,452.0,2300
2020-05-19,440.0,440.0,440.0,440.0,440.0,1000
2020-05-20,450.0,450.0,450.0,450.0,450.0,2500
2020-05-26,450.0,450.0,450.0,450.0,450.0,300
2020-05-27,450.0,450.0,450.0,450.0,450.0,200
2020-05-28,520.0,520.0,525.0,440.0,440.0,40400
2020-05-29,525.0,525.0,525.0,515.0,515.0,900
2020-06-02,525.0,525.0,525.0,525.0,525.0,0
2020-06-03,525.0,525.0,525.0,525.0,525.0,0
2020-06-04,525.0,525.0,525.0,520.0,520.0,6700
2020-06-05,525.0,525.0,525.0,525.0,525.0,100
2020-06-08,525.0,525.0,525.0,525.0,525.0,0
2020-06-09,525.0,525.0,525.0,520.0,525.0,3800
2020-06-10,520.0,520.0,520.0,520.0,520.0,200
2020-06-11,520.0,520.0,525.0,520.0,525.0,200
2020-06-12,520.0,520.0,525.0,484.0,525.0,36100
2020-06-15,595.0,595.0,645.0,486.0,525.0,33200
2020-06-16,640.0,640.0,645.0,590.0,645.0,1300
2020-06-17,620.0,620.0,690.0,620.0,690.0,1200
2020-06-18,585.0,585.0,630.0,580.0,630.0,4000
2020-06-19,615.0,615.0,635.0,615.0,635.0,200
2020-06-22,615.0,615.0,660.0,575.0,660.0,400
2020-06-23,610.0,610.0,635.0,575.0,635.0,1000
2020-06-24,590.0,590.0,630.0,570.0,630.0,600
2020-06-25,630.0,630.0,630.0,610.0,630.0,10100
2020-06-26,630.0,630.0,630.0,630.0,630.0,100
2020-06-29,590.0,590.0,630.0,590.0,630.0,900
2020-06-30,555.0,555.0,630.0,550.0,630.0,6100
2020-07-01,540.0,540.0,605.0,520.0,605.0,1600
2020-07-02,535.0,535.0,590.0,520.0,590.0,2200
2020-07-03,525.0,525.0,585.0,500.0,585.0,21000
2020-07-06,545.0,545.0,575.0,510.0,575.0,1300
2020-07-07,515.0,515.0,595.0,510.0,595.0,20600
2020-07-08,488.0,488.0,565.0,480.0,565.0,900
2020-07-09,458.0,458.0,500.0,458.0,500.0,1000
2020-07-10,456.0,456.0,478.0,438.0,478.0,600
2020-07-13,438.0,438.0,476.0,426.0,476.0,30600
2020-07-14,438.0,438.0,458.0,438.0,458.0,300
2020-07-15,456.0,456.0,458.0,418.0,458.0,1200
2020-07-16,456.0,456.0,476.0,456.0,476.0,100200
2020-07-17,428.0,428.0,476.0,426.0,476.0,1600
2020-07-20,448.0,448.0,448.0,438.0,448.0,600
2020-07-21,468.0,468.0,468.0,468.0,468.0,200
2020-07-22,488.0,488.0,488.0,488.0,488.0,200
2020-07-23,484.0,484.0,505.0,478.0,505.0,1400
2020-07-24,484.0,484.0,500.0,484.0,500.0,8200
2020-07-27,492.0,492.0,500.0,452.0,500.0,7700
2020-07-28,492.0,492.0,510.0,492.0,510.0,400
2020-07-29,505.0,505.0,505.0,505.0,505.0,200
2020-07-30,500.0,500.0,555.0,500.0,555.0,300
2020-08-03,488.0,488.0,550.0,466.0,550.0,800
2020-08-04,496.0,496.0,505.0,496.0,505.0,700
2020-08-05,498.0,498.0,515.0,498.0,515.0,300
2020-08-06,515.0,515.0,515.0,515.0,515.0,200
2020-08-07,496.0,496.0,555.0,496.0,555.0,500
2020-08-10,490.0,490.0,515.0,490.0,515.0,300
2020-08-11,510.0,510.0,510.0,510.0,510.0,200
2020-08-12,505.0,505.0,560.0,505.0,560.0,300
2020-08-13,480.0,480.0,555.0,480.0,555.0,1500
2020-08-14,468.0,468.0,500.0,448.0,500.0,3700
2020-08-18,458.0,458.0,488.0,438.0,488.0,1400
2020-08-19,478.0,478.0,478.0,478.0,478.0,100
2020-08-24,448.0,448.0,480.0,448.0,480.0,1300
2020-08-25,428.0,428.0,468.0,418.0,468.0,3900
2020-08-26,428.0,428.0,448.0,402.0,448.0,1000
2020-08-27,416.0,416.0,438.0,400.0,438.0,2700
2020-08-28,424.0,424.0,436.0,406.0,436.0,400
2020-08-31,396.0,396.0,444.0,396.0,444.0,25100
2020-09-01,416.0,416.0,416.0,412.0,416.0,6300
2020-09-02,402.0,402.0,436.0,388.0,436.0,6100
2020-09-03,382.0,382.0,422.0,376.0,422.0,13100
2020-09-04,382.0,382.0,402.0,382.0,402.0,600
2020-09-07,386.0,386.0,402.0,386.0,402.0,2200
2020-09-08,392.0,392.0,406.0,392.0,406.0,400
2020-09-09,366.0,366.0,412.0,366.0,412.0,16400
2020-09-10,364.0,364.0,386.0,342.0,386.0,18000
2020-09-11,362.0,362.0,384.0,362.0,384.0,200
2020-09-14,380.0,380.0,382.0,338.0,382.0,500
2020-09-15,400.0,400.0,400.0,400.0,400.0,100
2020-09-16,388.0,388.0,420.0,380.0,420.0,10600
2020-09-17,398.0,398.0,398.0,388.0,388.0,600
2020-09-18,396.0,396.0,398.0,372.0,398.0,900
2020-09-21,392.0,392.0,416.0,372.0,416.0,13500
2020-09-22,392.0,392.0,400.0,372.0,400.0,700
2020-09-23,386.0,386.0,412.0,370.0,412.0,400
2020-09-24,384.0,384.0,400.0,360.0,400.0,700
2020-09-25,404.0,404.0,404.0,404.0,404.0,100
2020-09-28,424.0,424.0,424.0,424.0,424.0,100
