Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,256.0,256.0,260.0,254.0,258.0,7724800
2020-01-03,256.0,256.0,260.0,250.0,260.0,212000
2020-01-06,256.0,256.0,256.0,230.0,254.0,1068900
2020-01-07,270.0,270.0,270.0,242.0,256.0,3616800
2020-01-08,238.0,238.0,268.0,230.0,264.0,4787700
2020-01-09,210.0,210.0,238.0,208.0,218.0,6354300
2020-01-10,200.0,200.0,220.0,195.0,195.0,15493500
2020-01-13,200.0,200.0,224.0,197.0,206.0,9664500
2020-01-14,206.0,206.0,210.0,200.0,206.0,10781400
2020-01-15,199.0,199.0,206.0,194.0,206.0,3896600
2020-01-16,268.0,268.0,268.0,189.0,189.0,8816800
2020-01-17,210.0,210.0,224.0,204.0,220.0,21516700
2020-01-20,202.0,202.0,214.0,202.0,212.0,6090900
2020-01-21,197.0,197.0,210.0,195.0,204.0,3837200
2020-01-22,195.0,195.0,200.0,194.0,197.0,1165500
2020-01-23,190.0,190.0,197.0,189.0,195.0,1778500
2020-01-24,185.0,185.0,197.0,185.0,197.0,602700
2020-01-27,175.0,175.0,194.0,172.0,194.0,2898600
2020-01-28,170.0,170.0,184.0,168.0,168.0,1848500
2020-01-29,166.0,166.0,173.0,161.0,165.0,2944900
2020-01-30,170.0,170.0,174.0,156.0,156.0,1278200
2020-01-31,170.0,170.0,170.0,164.0,170.0,1866500
2020-02-03,160.0,160.0,173.0,160.0,160.0,8971000
2020-02-04,160.0,160.0,167.0,150.0,150.0,1447900
2020-02-05,154.0,154.0,163.0,146.0,160.0,4445900
2020-02-06,160.0,160.0,170.0,158.0,160.0,2306500
2020-02-07,165.0,165.0,166.0,160.0,165.0,808700
2020-02-10,165.0,165.0,165.0,159.0,163.0,863400
2020-02-11,156.0,156.0,165.0,156.0,164.0,1578800
2020-02-12,153.0,153.0,159.0,149.0,156.0,1696400
2020-02-13,150.0,150.0,158.0,150.0,152.0,372100
2020-02-14,156.0,156.0,156.0,146.0,147.0,508100
2020-02-17,149.0,149.0,157.0,149.0,157.0,474000
2020-02-18,146.0,146.0,151.0,140.0,148.0,545300
2020-02-19,141.0,141.0,146.0,140.0,146.0,864400
2020-02-20,144.0,144.0,146.0,140.0,140.0,1723400
2020-02-21,143.0,143.0,146.0,136.0,143.0,1006400
2020-02-24,143.0,143.0,143.0,131.0,133.0,1741900
2020-02-25,140.0,140.0,143.0,135.0,143.0,4509100
2020-02-26,143.0,143.0,153.0,137.0,140.0,6246000
2020-02-27,150.0,150.0,150.0,135.0,144.0,3352600
2020-02-28,149.0,149.0,150.0,134.0,150.0,6198500
2020-03-02,148.0,148.0,150.0,140.0,149.0,10620400
