Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,880.0,880.0,880.0,830.0,860.0,26150200
2020-01-03,920.0,920.0,925.0,880.0,880.0,36564100
2020-01-06,955.0,955.0,955.0,915.0,925.0,30001300
2020-01-07,965.0,965.0,970.0,950.0,955.0,29729700
2020-01-08,1005.0,1005.0,1005.0,965.0,965.0,22373300
2020-01-09,1000.0,1000.0,1040.0,995.0,1010.0,26235100
2020-01-10,1010.0,1010.0,1020.0,1000.0,1000.0,22689800
2020-01-13,1000.0,1000.0,1030.0,1000.0,1010.0,26129900
2020-01-14,1000.0,1000.0,1020.0,985.0,1000.0,22287800
2020-01-15,995.0,995.0,1010.0,990.0,1000.0,32220000
2020-01-16,990.0,990.0,1010.0,985.0,995.0,26979000
2020-01-17,980.0,980.0,995.0,975.0,990.0,32580200
2020-01-20,995.0,995.0,1000.0,970.0,970.0,28432300
2020-01-21,995.0,995.0,1005.0,985.0,990.0,26105100
2020-01-22,1025.0,1025.0,1055.0,1000.0,1000.0,23297900
2020-01-23,1040.0,1040.0,1045.0,1020.0,1025.0,25508700
2020-01-24,1045.0,1045.0,1065.0,1040.0,1040.0,26469900
2020-01-27,1020.0,1020.0,1055.0,1020.0,1045.0,26278600
2020-01-28,1030.0,1030.0,1030.0,1010.0,1015.0,27048800
2020-01-29,1035.0,1035.0,1050.0,1025.0,1030.0,29115900
2020-01-30,1025.0,1025.0,1035.0,780.0,1035.0,28076700
2020-01-31,1045.0,1045.0,1050.0,1025.0,1025.0,31291000
2020-02-03,1035.0,1035.0,1050.0,1020.0,1045.0,25308000
2020-02-04,1035.0,1035.0,1045.0,1030.0,1035.0,30513300
2020-02-05,1050.0,1050.0,1050.0,1030.0,1035.0,29432500
2020-02-06,1090.0,1090.0,1100.0,1045.0,1050.0,45839400
2020-02-07,1130.0,1130.0,1140.0,1085.0,1095.0,43279900
2020-02-10,1040.0,1040.0,1145.0,990.0,1125.0,46297000
2020-02-11,980.0,980.0,1040.0,940.0,1040.0,50536400
2020-02-12,970.0,970.0,980.0,915.0,980.0,59592200
2020-02-13,985.0,985.0,985.0,940.0,970.0,49084300
2020-02-14,925.0,925.0,990.0,910.0,990.0,54718300
2020-02-17,935.0,935.0,945.0,910.0,925.0,43039300
2020-02-18,945.0,945.0,950.0,930.0,940.0,53543600
2020-02-19,940.0,940.0,945.0,920.0,945.0,46539000
