Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,158.209716796875,197.0,220.0,195.0,220.0,682700
2020-01-03,168.64996337890625,210.0,216.0,196.0,197.0,398800
2020-01-06,168.64996337890625,210.0,216.0,204.0,204.0,431700
2020-01-07,171.86233520507812,214.0,228.0,210.0,212.0,572900
2020-01-08,170.25613403320312,212.0,230.0,210.0,214.0,1749900
2020-01-09,168.64996337890625,210.0,214.0,204.0,212.0,313100
2020-01-10,167.04376220703125,208.0,214.0,206.0,210.0,287300
2020-01-13,163.8313751220703,204.0,214.0,204.0,208.0,750800
2020-01-14,165.4375762939453,206.0,210.0,200.0,204.0,1106300
2020-01-15,165.4375762939453,206.0,214.0,200.0,202.0,5058200
2020-01-16,171.86233520507812,214.0,214.0,206.0,206.0,1301100
2020-01-17,178.28709411621094,222.0,226.0,214.0,214.0,2567400
2020-01-20,176.680908203125,220.0,226.0,214.0,226.0,1788400
2020-01-21,191.13661193847656,238.0,244.0,216.0,220.0,3092400
2020-01-22,195.9552001953125,244.0,244.0,234.0,240.0,1810600
2020-01-23,200.77374267578125,250.0,250.0,238.0,238.0,1162300
2020-01-24,215.22946166992188,268.0,272.0,250.0,250.0,1058600
2020-01-27,212.01708984375,264.0,272.0,262.0,270.0,1797100
2020-01-28,221.65423583984375,276.0,276.0,260.0,264.0,1006700
2020-01-29,223.2604217529297,278.0,282.0,272.0,280.0,310400
2020-01-30,208.8046875,260.0,290.0,250.0,274.0,8514600
2020-01-31,210.41090393066406,262.0,268.0,240.0,262.0,2164600
2020-02-03,221.65423583984375,276.0,278.0,262.0,262.0,638100
2020-02-04,224.8666229248047,280.0,284.0,274.0,276.0,1791300
2020-02-05,224.8666229248047,280.0,286.0,278.0,280.0,1771600
2020-02-06,224.8666229248047,280.0,282.0,272.0,280.0,1474500
2020-02-07,216.8356475830078,270.0,280.0,270.0,280.0,843200
2020-02-10,208.8046875,260.0,272.0,256.0,272.0,1446200
2020-02-11,202.3799285888672,252.0,260.0,252.0,260.0,506500
2020-02-12,202.3799285888672,252.0,254.0,246.0,252.0,616800
2020-02-13,199.16757202148438,248.0,254.0,248.0,252.0,152100
2020-02-14,200.77374267578125,250.0,252.0,244.0,250.0,1196400
2020-02-17,200.77374267578125,250.0,250.0,246.0,250.0,303700
2020-02-18,202.3799285888672,252.0,254.0,242.0,250.0,908000
2020-02-19,202.3799285888672,252.0,252.0,244.0,252.0,643200
2020-02-20,203.98611450195312,254.0,254.0,248.0,252.0,549200
2020-02-21,203.98611450195312,254.0,254.0,250.0,252.0,321400
2020-02-24,205.5923309326172,256.0,256.0,250.0,254.0,356500
2020-02-25,208.8046875,260.0,260.0,254.0,260.0,311100
2020-02-26,208.8046875,260.0,260.0,256.0,260.0,207300
2020-02-27,208.8046875,260.0,260.0,254.0,258.0,162700
2020-02-28,203.98611450195312,254.0,262.0,254.0,262.0,381800
2020-03-02,205.5923309326172,256.0,260.0,250.0,260.0,210800
2020-03-03,207.19851684570312,258.0,258.0,256.0,256.0,147900
2020-03-04,208.8046875,260.0,262.0,258.0,258.0,282000
2020-03-05,208.8046875,260.0,260.0,258.0,260.0,169600
2020-03-06,208.8046875,260.0,272.0,256.0,272.0,98800
2020-03-09,207.19851684570312,258.0,274.0,258.0,270.0,115800
2020-03-10,207.19851684570312,258.0,260.0,252.0,260.0,207100
2020-03-11,205.5923309326172,256.0,256.0,250.0,256.0,228100
2020-03-12,202.3799285888672,252.0,254.0,250.0,254.0,289500
2020-03-13,199.16757202148438,248.0,252.0,244.0,252.0,352900
2020-03-16,195.9552001953125,244.0,248.0,240.0,248.0,73800
2020-03-17,194.34901428222656,242.0,246.0,240.0,246.0,111700
2020-03-18,194.34901428222656,242.0,246.0,236.0,246.0,514700
2020-03-19,181.49948120117188,226.0,240.0,226.0,240.0,705500
2020-03-20,173.46852111816406,216.0,218.0,212.0,218.0,687000
2020-03-23,178.28709411621094,222.0,222.0,218.0,218.0,2300
2020-03-24,167.04376220703125,208.0,222.0,208.0,222.0,34900
2020-03-26,167.04376220703125,208.0,208.0,198.0,199.0,54500
2020-03-27,183.1056671142578,228.0,230.0,206.0,206.0,248400
2020-03-30,183.1056671142578,228.0,232.0,226.0,228.0,20400
2020-03-31,208.8046875,260.0,260.0,228.0,228.0,41600
2020-04-01,203.98611450195312,254.0,260.0,250.0,260.0,25500
2020-04-02,205.5923309326172,256.0,260.0,250.0,260.0,5000
2020-04-03,205.5923309326172,256.0,260.0,256.0,260.0,1200
2020-04-06,208.8046875,260.0,260.0,254.0,254.0,2800
2020-04-07,205.5923309326172,256.0,260.0,256.0,258.0,3800
2020-04-08,208.8046875,260.0,260.0,242.0,256.0,12400
2020-04-09,205.5923309326172,256.0,256.0,242.0,256.0,5800
2020-04-13,200.77374267578125,250.0,258.0,240.0,256.0,12400
2020-04-14,203.98611450195312,254.0,260.0,236.0,250.0,113300
2020-04-15,202.3799285888672,252.0,256.0,244.0,254.0,7400
2020-04-16,189.5304412841797,236.0,252.0,236.0,244.0,18400
2020-04-17,197.56138610839844,246.0,256.0,238.0,248.0,22600
2020-04-20,200.77374267578125,250.0,250.0,230.0,230.0,4400
2020-04-21,195.9552001953125,244.0,248.0,234.0,234.0,52600
2020-04-22,191.13661193847656,238.0,244.0,228.0,228.0,103400
2020-04-23,195.9552001953125,244.0,244.0,244.0,244.0,100
2020-04-24,183.1056671142578,228.0,258.0,228.0,244.0,35700
2020-04-27,189.5304412841797,236.0,250.0,214.0,244.0,143900
2020-04-28,191.13661193847656,238.0,250.0,222.0,240.0,32700
2020-04-29,192.74281311035156,240.0,248.0,230.0,240.0,9800
2020-04-30,191.13661193847656,238.0,242.0,224.0,232.0,174200
2020-05-04,183.1056671142578,228.0,240.0,224.0,236.0,190700
2020-05-05,176.680908203125,220.0,224.0,220.0,224.0,154400
2020-05-06,168.64996337890625,210.0,228.0,206.0,220.0,342900
2020-05-08,173.46852111816406,216.0,218.0,202.0,210.0,63600
2020-05-11,175.07470703125,218.0,218.0,206.0,216.0,46700
2020-05-12,175.07470703125,218.0,218.0,208.0,216.0,117100
2020-05-13,175.07470703125,218.0,218.0,206.0,212.0,248200
2020-05-14,175.07470703125,218.0,220.0,210.0,218.0,68000
2020-05-15,181.49948120117188,226.0,242.0,212.0,218.0,478600
2020-05-18,183.1056671142578,228.0,238.0,216.0,238.0,118600
2020-05-19,192.74281311035156,240.0,248.0,224.0,224.0,264700
2020-05-20,187.92425537109375,234.0,254.0,230.0,240.0,266800
2020-05-26,194.34901428222656,242.0,246.0,224.0,240.0,160400
2020-05-27,194.34901428222656,242.0,270.0,226.0,242.0,521400
2020-05-28,189.5304412841797,236.0,250.0,226.0,242.0,126300
2020-05-29,189.5304412841797,236.0,236.0,230.0,236.0,28000
2020-06-02,192.74281311035156,240.0,242.0,226.0,232.0,77700
2020-06-03,192.74281311035156,240.0,240.0,234.0,234.0,78500
2020-06-04,192.74281311035156,240.0,240.0,226.0,232.0,86900
2020-06-05,195.9552001953125,244.0,246.0,228.0,236.0,114700
2020-06-08,203.98611450195312,254.0,256.0,236.0,244.0,93200
2020-06-09,199.16757202148438,248.0,254.0,238.0,254.0,232900
2020-06-10,191.13661193847656,238.0,260.0,232.0,248.0,215300
2020-06-11,191.13661193847656,238.0,238.0,222.0,238.0,179900
2020-06-12,187.92425537109375,234.0,240.0,222.0,224.0,219800
2020-06-15,195.9552001953125,244.0,248.0,226.0,234.0,94100
2020-06-16,197.56138610839844,246.0,246.0,230.0,244.0,63200
2020-06-17,189.5304412841797,236.0,254.0,236.0,244.0,57300
2020-06-18,189.5304412841797,236.0,246.0,230.0,240.0,506900
2020-06-19,194.34901428222656,242.0,242.0,230.0,240.0,178300
2020-06-22,192.74281311035156,240.0,242.0,230.0,242.0,315000
2020-06-23,187.92425537109375,234.0,240.0,228.0,240.0,42700
2020-06-24,187.92425537109375,234.0,238.0,224.0,234.0,144500
2020-06-25,178.28709411621094,222.0,230.0,222.0,230.0,129000
2020-06-26,179.89329528808594,224.0,236.0,220.0,228.0,312600
2020-06-29,179.89329528808594,224.0,226.0,214.0,220.0,94700
2020-06-30,170.25613403320312,212.0,226.0,212.0,226.0,591400
2020-07-01,170.25613403320312,212.0,218.0,198.0,218.0,532800
2020-07-02,171.86233520507812,214.0,220.0,210.0,216.0,251300
2020-07-03,173.46852111816406,216.0,222.0,208.0,214.0,275300
2020-07-06,176.680908203125,220.0,220.0,212.0,218.0,329100
2020-07-07,183.1056671142578,228.0,236.0,208.0,222.0,951000
2020-07-08,186.31805419921875,232.0,232.0,228.0,230.0,111600
2020-07-09,183.1056671142578,228.0,236.0,224.0,232.0,289800
2020-07-10,183.1056671142578,228.0,234.0,224.0,224.0,242300
2020-07-13,186.31805419921875,232.0,238.0,228.0,232.0,126300
2020-07-14,183.1056671142578,228.0,236.0,226.0,230.0,204600
2020-07-15,183.1056671142578,228.0,232.0,226.0,228.0,131700
2020-07-16,184.71185302734375,230.0,234.0,222.0,232.0,527700
2020-07-17,187.92425537109375,234.0,236.0,228.0,230.0,325900
2020-07-20,184.71185302734375,230.0,234.0,226.0,234.0,160500
2020-07-21,189.5304412841797,236.0,238.0,226.0,230.0,222100
2020-07-22,191.13661193847656,238.0,240.0,232.0,236.0,245600
2020-07-23,195.9552001953125,244.0,260.0,232.0,238.0,668200
2020-07-24,192.74281311035156,240.0,250.0,236.0,246.0,1207700
2020-07-27,195.9552001953125,244.0,274.0,236.0,240.0,1934500
2020-07-28,200.77374267578125,250.0,256.0,242.0,244.0,557800
2020-07-29,194.34901428222656,242.0,256.0,240.0,250.0,1245700
2020-07-30,187.92425537109375,234.0,246.0,230.0,242.0,474400
2020-08-03,183.1056671142578,228.0,230.0,220.0,230.0,343200
2020-08-04,184.71185302734375,230.0,232.0,224.0,230.0,180500
2020-08-05,192.74281311035156,240.0,240.0,228.0,232.0,537000
2020-08-06,192.74281311035156,240.0,250.0,234.0,240.0,1710400
2020-08-07,197.56138610839844,246.0,248.0,234.0,240.0,815000
2020-08-10,202.3799285888672,252.0,254.0,248.0,248.0,1711100
2020-08-11,205.5923309326172,256.0,268.0,250.0,254.0,1199100
2020-08-12,207.19851684570312,258.0,258.0,250.0,256.0,657300
2020-08-13,200.77374267578125,250.0,268.0,246.0,258.0,2528100
2020-08-14,202.3799285888672,252.0,258.0,246.0,258.0,669500
2020-08-18,200.77374267578125,250.0,254.0,246.0,254.0,522900
2020-08-19,199.16757202148438,248.0,252.0,244.0,252.0,1264600
2020-08-24,197.56138610839844,246.0,250.0,244.0,248.0,736100
2020-08-25,200.77374267578125,250.0,252.0,242.0,248.0,2644900
2020-08-26,199.11448669433594,240.0,248.0,236.0,244.0,1025000
2020-08-27,197.45518493652344,238.0,240.0,234.0,240.0,859100
2020-08-28,194.13662719726562,234.0,238.0,232.0,238.0,485800
2020-08-31,194.13662719726562,234.0,242.0,230.0,238.0,1227300
2020-09-01,192.47732543945312,232.0,240.0,230.0,240.0,571900
2020-09-02,187.4994659423828,226.0,238.0,224.0,238.0,1215300
2020-09-03,189.1587677001953,228.0,230.0,224.0,226.0,3436200
2020-09-04,187.4994659423828,226.0,230.0,222.0,230.0,2736600
2020-09-07,185.84017944335938,224.0,226.0,220.0,226.0,1174600
2020-09-08,185.84017944335938,224.0,226.0,220.0,222.0,9202100
2020-09-09,184.18089294433594,222.0,226.0,220.0,226.0,1219100
2020-09-10,174.2251739501953,210.0,220.0,208.0,220.0,2131200
2020-09-11,174.2251739501953,210.0,212.0,204.0,210.0,2156900
2020-09-14,177.54373168945312,214.0,216.0,210.0,210.0,1888700
2020-09-15,175.8844451904297,212.0,216.0,212.0,216.0,1737700
2020-09-16,175.8844451904297,212.0,220.0,212.0,214.0,5406100
2020-09-17,174.2251739501953,210.0,214.0,204.0,212.0,2628700
2020-09-18,177.54373168945312,214.0,232.0,210.0,210.0,3653100
2020-09-21,167.5880126953125,202.0,214.0,202.0,214.0,1906000
2020-09-22,165.92872619628906,200.0,202.0,198.0,202.0,2225300
2020-09-23,167.5880126953125,202.0,206.0,199.0,204.0,2418900
2020-09-24,162.61013793945312,196.0,204.0,188.0,202.0,2879900
2020-09-25,160.95086669921875,194.0,197.0,192.0,196.0,1512400
2020-09-28,158.46192932128906,191.0,198.0,190.0,194.0,2327000
2020-09-29,157.63229370117188,190.0,194.0,190.0,193.0,2452700
2020-09-30,155.97299194335938,188.0,194.0,187.0,192.0,1748300
2020-10-01,155.14337158203125,187.0,190.0,187.0,189.0,2297300
