Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,242.0,242.0,242.0,242.0,242.0,0
2020-01-03,242.0,242.0,242.0,242.0,242.0,0
2020-01-06,296.0,296.0,296.0,296.0,296.0,100
2020-01-07,296.0,296.0,296.0,296.0,296.0,0
2020-01-08,310.0,310.0,310.0,262.0,282.0,2200
2020-01-09,292.0,292.0,292.0,292.0,292.0,100
2020-01-10,292.0,292.0,292.0,292.0,292.0,0
2020-01-13,364.0,364.0,364.0,272.0,272.0,73700
2020-01-14,364.0,364.0,364.0,324.0,344.0,44900
2020-01-15,364.0,364.0,364.0,324.0,344.0,56500
2020-01-16,330.0,330.0,344.0,314.0,344.0,36500
2020-01-17,360.0,360.0,360.0,312.0,312.0,67900
2020-01-20,330.0,330.0,360.0,302.0,360.0,13100
2020-01-21,330.0,330.0,330.0,330.0,330.0,0
2020-01-22,360.0,360.0,360.0,360.0,360.0,100000
2020-01-23,330.0,330.0,356.0,330.0,356.0,296200
2020-01-24,312.0,312.0,312.0,312.0,312.0,2100
2020-01-27,374.0,374.0,374.0,374.0,374.0,138600
2020-01-28,374.0,374.0,374.0,310.0,330.0,119000
2020-01-29,374.0,374.0,374.0,374.0,374.0,0
2020-01-30,374.0,374.0,374.0,334.0,350.0,137200
2020-01-31,380.0,380.0,380.0,310.0,330.0,502100
2020-02-03,370.0,370.0,400.0,350.0,370.0,281300
2020-02-04,360.0,360.0,390.0,360.0,380.0,24200
2020-02-05,370.0,370.0,370.0,370.0,370.0,50000
2020-02-06,370.0,370.0,370.0,304.0,370.0,95500
2020-02-07,370.0,370.0,370.0,340.0,340.0,198000
2020-02-10,368.0,368.0,368.0,350.0,350.0,121100
2020-02-11,354.0,354.0,368.0,354.0,368.0,300
2020-02-12,350.0,350.0,378.0,346.0,354.0,18000
2020-02-13,370.0,370.0,370.0,368.0,370.0,1100
2020-02-14,388.0,388.0,400.0,370.0,370.0,30200
2020-02-17,400.0,400.0,400.0,400.0,400.0,100
2020-02-18,398.0,398.0,398.0,304.0,304.0,203100
2020-02-19,388.0,388.0,410.0,360.0,410.0,108100
2020-02-20,372.0,372.0,400.0,372.0,400.0,20700
2020-02-21,362.0,362.0,378.0,362.0,378.0,400
2020-02-24,400.0,400.0,400.0,330.0,380.0,502200
2020-02-25,350.0,350.0,380.0,350.0,380.0,16000
2020-02-26,368.0,368.0,368.0,350.0,350.0,42200
2020-02-27,370.0,370.0,370.0,340.0,366.0,85100
2020-02-28,350.0,350.0,370.0,350.0,368.0,21700
2020-03-02,378.0,378.0,378.0,350.0,350.0,43100
2020-03-03,378.0,378.0,378.0,378.0,378.0,0
2020-03-04,378.0,378.0,378.0,350.0,368.0,180200
2020-03-05,378.0,378.0,378.0,352.0,352.0,102100
2020-03-06,368.0,368.0,368.0,364.0,364.0,1100
2020-03-09,350.0,350.0,350.0,300.0,348.0,5400
2020-03-10,370.0,370.0,370.0,370.0,370.0,55900
2020-03-11,368.0,368.0,368.0,354.0,354.0,201400
2020-03-12,334.0,334.0,334.0,334.0,334.0,100
2020-03-13,334.0,334.0,334.0,334.0,334.0,0
2020-03-16,312.0,312.0,334.0,312.0,334.0,300
2020-03-17,312.0,312.0,312.0,312.0,312.0,0
2020-03-18,312.0,312.0,312.0,312.0,312.0,0
2020-03-19,292.0,292.0,292.0,292.0,292.0,100
2020-03-20,274.0,274.0,274.0,274.0,274.0,100
2020-03-23,256.0,256.0,260.0,256.0,260.0,3200
2020-03-24,240.0,240.0,318.0,240.0,318.0,4000
2020-03-26,240.0,240.0,298.0,240.0,298.0,6400
2020-03-27,240.0,240.0,240.0,240.0,240.0,2500
2020-03-30,300.0,300.0,300.0,226.0,226.0,200
2020-03-31,300.0,300.0,300.0,300.0,300.0,0
2020-04-01,300.0,300.0,350.0,300.0,348.0,5200
