Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,329.4662780761719,368.0,368.0,368.0,368.0,0
2020-01-03,313.3511047363281,350.0,350.0,350.0,350.0,500
2020-01-06,313.3511047363281,350.0,350.0,350.0,350.0,0
2020-01-07,293.65472412109375,328.0,334.0,328.0,334.0,15800
2020-01-08,293.65472412109375,328.0,328.0,308.0,310.0,25000
2020-01-09,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-10,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-13,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-14,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-15,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-16,293.65472412109375,328.0,328.0,308.0,328.0,1200
2020-01-17,293.65472412109375,328.0,328.0,328.0,328.0,500
2020-01-20,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-21,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-22,293.65472412109375,328.0,328.0,328.0,328.0,0
2020-01-23,304.398193359375,340.0,350.0,340.0,350.0,110000
2020-01-24,340.2097473144531,380.0,388.0,338.0,338.0,403800
2020-01-27,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-01-28,334.8380126953125,374.0,374.0,372.0,372.0,20000
2020-01-29,338.419189453125,378.0,386.0,378.0,378.0,300000
2020-01-30,338.419189453125,378.0,378.0,378.0,378.0,0
2020-01-31,338.419189453125,378.0,378.0,378.0,378.0,0
2020-02-03,340.2097473144531,380.0,382.0,380.0,380.0,51400
2020-02-04,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-05,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-06,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-07,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-10,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-11,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-12,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-13,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-14,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-17,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-18,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-19,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-20,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-21,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-24,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-25,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-26,340.2097473144531,380.0,380.0,380.0,380.0,0
2020-02-27,331.2568664550781,370.0,370.0,370.0,370.0,3700
2020-02-28,331.2568664550781,370.0,370.0,370.0,370.0,0
2020-03-02,295.4452819824219,330.0,340.0,304.0,340.0,31400
2020-03-03,259.63372802734375,290.0,400.0,260.0,320.0,288400
2020-03-04,259.63372802734375,290.0,290.0,290.0,290.0,0
2020-03-05,257.8431396484375,288.0,360.0,276.0,350.0,222000
2020-03-06,268.5866394042969,300.0,300.0,284.0,284.0,206600
2020-03-09,268.5866394042969,300.0,300.0,278.0,300.0,6300
2020-03-10,309.7699279785156,346.0,346.0,300.0,300.0,200
2020-03-11,309.7699279785156,346.0,346.0,346.0,346.0,3500
2020-03-12,279.3301086425781,312.0,360.0,312.0,346.0,852700
2020-03-13,261.42431640625,292.0,312.0,292.0,312.0,510200
2020-03-16,243.51856994628906,272.0,290.0,272.0,290.0,250300
2020-03-17,227.4033660888672,254.0,270.0,254.0,270.0,100200
2020-03-18,213.07875061035156,238.0,238.0,238.0,238.0,50300
2020-03-19,198.75411987304688,222.0,250.0,222.0,250.0,50300
2020-03-20,186.22007751464844,208.0,220.0,208.0,220.0,6600
2020-03-23,196.96353149414062,220.0,220.0,220.0,220.0,200
2020-03-24,196.96353149414062,220.0,220.0,220.0,220.0,0
2020-03-26,196.96353149414062,220.0,220.0,220.0,220.0,0
2020-03-27,196.96353149414062,220.0,250.0,220.0,250.0,900000
2020-03-30,188.01065063476562,210.0,220.0,210.0,220.0,54300
2020-03-31,232.77508544921875,260.0,260.0,260.0,260.0,100
2020-04-01,216.65988159179688,242.0,258.0,242.0,258.0,52500
2020-04-02,202.33526611328125,226.0,240.0,226.0,240.0,75200
2020-04-03,189.80120849609375,212.0,214.0,212.0,214.0,125000
2020-04-06,189.80120849609375,212.0,212.0,212.0,212.0,0
2020-04-07,179.05775451660156,200.0,230.0,200.0,230.0,665300
2020-04-08,179.05775451660156,200.0,200.0,200.0,200.0,0
2020-04-09,166.52371215820312,186.0,200.0,186.0,188.0,649800
2020-04-13,154.8849639892578,173.0,180.0,173.0,180.0,167100
2020-04-14,144.14149475097656,161.0,180.0,161.0,173.0,298300
2020-04-15,141.4556427001953,158.0,176.0,153.0,161.0,123200
2020-04-16,132.5027313232422,148.0,167.0,148.0,150.0,564500
2020-04-17,132.5027313232422,148.0,148.0,148.0,148.0,0
2020-04-20,134.29331970214844,150.0,166.0,150.0,166.0,24100
2020-04-21,125.34043884277344,140.0,150.0,140.0,148.0,1176400
2020-04-22,119.07341003417969,133.0,152.0,131.0,150.0,2471800
2020-04-23,111.01581573486328,124.0,144.0,124.0,143.0,2147100
2020-04-24,103.85350799560547,116.0,138.0,116.0,124.0,2278800
2020-04-27,97.58647155761719,109.0,120.0,108.0,116.0,3056700
2020-04-28,91.3194580078125,102.0,109.0,102.0,109.0,3069900
2020-04-29,89.52887725830078,100.0,110.0,96.0,100.0,214800
2020-04-30,83.26185607910156,93.0,112.0,93.0,112.0,33114300
2020-05-04,111.91110229492188,125.0,125.0,93.0,94.0,9183100
2020-05-05,114.59696960449219,128.0,145.0,125.0,138.0,8033600
2020-05-06,107.43465423583984,120.0,128.0,120.0,128.0,3634400
2020-05-08,101.16763305664062,113.0,120.0,112.0,120.0,410400
2020-05-11,109.22522735595703,122.0,125.0,107.0,113.0,718100
2020-05-12,103.85350799560547,116.0,124.0,115.0,122.0,301600
2020-05-13,99.37705993652344,111.0,121.0,110.0,116.0,81600
2020-05-14,107.43465423583984,120.0,124.0,114.0,114.0,463000
2020-05-15,103.85350799560547,116.0,121.0,113.0,120.0,289800
2020-05-18,107.43465423583984,120.0,120.0,111.0,115.0,84400
2020-05-19,100.27234649658203,112.0,123.0,112.0,120.0,2798900
2020-05-20,101.16763305664062,113.0,115.0,107.0,110.0,340200
2020-05-26,103.85350799560547,116.0,119.0,111.0,119.0,337200
2020-05-27,112.80638885498047,126.0,130.0,110.0,116.0,1192000
2020-05-28,111.01581573486328,124.0,127.0,120.0,126.0,243100
2020-05-29,110.12052154541016,123.0,125.0,121.0,124.0,89300
2020-06-02,111.01581573486328,124.0,126.0,120.0,123.0,279400
2020-06-03,138.76976013183594,155.0,160.0,120.0,124.0,1308700
2020-06-04,141.4556427001953,158.0,161.0,154.0,155.0,181900
2020-06-05,137.87448120117188,154.0,158.0,154.0,157.0,569500
2020-06-08,138.76976013183594,155.0,157.0,151.0,154.0,96600
2020-06-09,138.76976013183594,155.0,159.0,155.0,156.0,112400
2020-06-10,135.18861389160156,151.0,154.0,149.0,154.0,178200
2020-06-11,129.81686401367188,145.0,155.0,143.0,155.0,8300
2020-06-12,129.81686401367188,145.0,155.0,145.0,148.0,145900
2020-06-15,136.97918701171875,153.0,155.0,145.0,145.0,39900
2020-06-16,184.42950439453125,206.0,206.0,154.0,154.0,854000
2020-06-17,184.42950439453125,206.0,216.0,200.0,210.0,311000
2020-06-18,193.3823699951172,216.0,216.0,208.0,208.0,694400
2020-06-19,195.17294311523438,218.0,218.0,212.0,216.0,58400
2020-06-22,213.07875061035156,238.0,250.0,208.0,218.0,408800
2020-06-23,207.70701599121094,232.0,238.0,222.0,238.0,202500
2020-06-24,204.12583923339844,228.0,236.0,216.0,220.0,510900
2020-06-25,200.54469299316406,224.0,232.0,216.0,218.0,74400
2020-06-26,202.33526611328125,226.0,232.0,218.0,218.0,5800
2020-06-29,193.3823699951172,216.0,246.0,212.0,226.0,688600
2020-06-30,180.8483428955078,202.0,220.0,202.0,202.0,203900
2020-07-01,168.3142852783203,188.0,202.0,188.0,200.0,1132100
2020-07-02,157.57083129882812,176.0,187.0,175.0,187.0,1164000
2020-07-03,146.82736206054688,164.0,176.0,164.0,176.0,1806900
2020-07-06,141.4556427001953,158.0,176.0,154.0,170.0,329000
2020-07-07,139.66505432128906,156.0,158.0,155.0,158.0,58600
2020-07-08,145.03677368164062,162.0,198.0,157.0,158.0,3583100
2020-07-09,147.72264099121094,165.0,175.0,162.0,166.0,253400
2020-07-10,152.1990966796875,170.0,171.0,165.0,165.0,65400
2020-07-13,150.4085235595703,168.0,170.0,162.0,170.0,24300
