Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,955.0,955.0,990.0,880.0,890.0,15762200
2020-01-03,925.0,925.0,1000.0,920.0,975.0,9951200
2020-01-06,855.0,855.0,935.0,855.0,920.0,3979500
2020-01-07,865.0,865.0,910.0,830.0,860.0,4712800
2020-01-08,800.0,800.0,885.0,795.0,870.0,3537100
2020-01-09,860.0,860.0,905.0,800.0,810.0,8064200
2020-01-10,840.0,840.0,880.0,825.0,875.0,2146700
2020-01-13,740.0,740.0,840.0,730.0,835.0,7999200
2020-01-14,635.0,635.0,740.0,575.0,740.0,12240800
2020-01-15,590.0,590.0,640.0,580.0,635.0,4646400
2020-01-16,735.0,735.0,735.0,555.0,555.0,20692800
2020-01-17,740.0,740.0,850.0,725.0,785.0,25162700
2020-01-20,690.0,690.0,785.0,680.0,755.0,6080400
2020-01-21,710.0,710.0,755.0,685.0,695.0,5133200
2020-01-22,690.0,690.0,725.0,655.0,710.0,2673200
2020-01-23,810.0,810.0,845.0,675.0,690.0,21283700
2020-01-24,925.0,925.0,930.0,810.0,825.0,52374200
2020-01-27,915.0,915.0,995.0,855.0,935.0,34167300
2020-01-28,845.0,845.0,950.0,840.0,900.0,7665000
2020-01-29,835.0,835.0,895.0,825.0,855.0,5413500
2020-01-30,805.0,805.0,860.0,795.0,835.0,2653700
2020-01-31,840.0,840.0,900.0,810.0,810.0,9557400
2020-02-03,755.0,755.0,860.0,750.0,845.0,4488100
2020-02-04,785.0,785.0,810.0,765.0,765.0,3662600
2020-02-05,720.0,720.0,815.0,710.0,800.0,3780700
2020-02-06,810.0,810.0,825.0,710.0,725.0,21842400
2020-02-07,765.0,765.0,830.0,765.0,815.0,7983100
2020-02-10,755.0,755.0,780.0,740.0,765.0,3710200
2020-02-11,740.0,740.0,785.0,740.0,760.0,3423400
2020-02-12,725.0,725.0,760.0,720.0,745.0,2219900
2020-02-13,680.0,680.0,745.0,670.0,740.0,3647600
2020-02-14,675.0,675.0,715.0,650.0,680.0,4253400
2020-02-17,660.0,660.0,695.0,640.0,675.0,1898900
2020-02-18,650.0,650.0,680.0,645.0,660.0,2523100
2020-02-19,715.0,715.0,725.0,625.0,650.0,7726900
2020-02-20,690.0,690.0,735.0,690.0,725.0,3430600
2020-02-21,675.0,675.0,695.0,670.0,695.0,1116100
2020-02-24,645.0,645.0,675.0,645.0,665.0,1248500
2020-02-25,640.0,640.0,670.0,630.0,645.0,1806400
2020-02-26,590.0,590.0,645.0,585.0,640.0,1673400
2020-02-27,525.0,525.0,620.0,505.0,590.0,3735400
2020-02-28,448.0,448.0,525.0,446.0,500.0,4153800
2020-03-02,535.0,535.0,560.0,452.0,452.0,23057900
2020-03-03,665.0,665.0,665.0,550.0,550.0,15101100
2020-03-04,720.0,720.0,775.0,650.0,650.0,16829100
2020-03-05,815.0,815.0,880.0,690.0,725.0,39808400
2020-03-06,775.0,775.0,850.0,765.0,815.0,14119200
2020-03-09,665.0,665.0,750.0,655.0,750.0,7002000
2020-03-10,700.0,700.0,725.0,655.0,665.0,9508500
2020-03-11,630.0,630.0,730.0,630.0,720.0,6175800
2020-03-12,570.0,570.0,630.0,570.0,630.0,3744700
2020-03-13,600.0,600.0,635.0,535.0,535.0,4459100
2020-03-16,565.0,565.0,630.0,560.0,600.0,5136900
2020-03-17,530.0,530.0,575.0,530.0,565.0,5210200
2020-03-18,515.0,515.0,570.0,510.0,570.0,4389100
2020-03-19,480.0,480.0,535.0,480.0,496.0,2572300
2020-03-20,565.0,565.0,580.0,480.0,490.0,16664200
2020-03-23,705.0,705.0,705.0,550.0,580.0,29962000
2020-03-24,880.0,880.0,880.0,735.0,745.0,34383300
2020-03-26,1100.0,1100.0,1100.0,940.0,940.0,26633500
2020-03-27,1045.0,1045.0,1375.0,1025.0,1190.0,38951000
2020-03-30,975.0,975.0,1045.0,975.0,1040.0,2179500
2020-03-31,1080.0,1080.0,1175.0,910.0,975.0,30392900
2020-04-01,1085.0,1085.0,1200.0,1075.0,1100.0,24855400
2020-04-02,1120.0,1120.0,1140.0,1015.0,1090.0,11148900
2020-04-03,1120.0,1120.0,1180.0,1110.0,1130.0,7785300
