Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,876.2727661132812,1210.0,1210.0,1175.0,1195.0,2738700
2020-01-03,887.1356201171875,1225.0,1230.0,1210.0,1210.0,6196500
2020-01-06,894.37744140625,1235.0,1255.0,1205.0,1220.0,9321000
2020-01-07,923.3450927734375,1275.0,1275.0,1235.0,1245.0,9192600
2020-01-08,901.6193237304688,1245.0,1270.0,1240.0,1270.0,6006900
2020-01-09,894.37744140625,1235.0,1255.0,1230.0,1245.0,7766100
2020-01-10,916.1033325195312,1265.0,1290.0,1260.0,1265.0,15562000
2020-01-13,919.7241821289062,1270.0,1310.0,1270.0,1290.0,11119400
2020-01-14,901.6193237304688,1245.0,1300.0,1245.0,1290.0,11287000
2020-01-15,869.0308227539062,1200.0,1240.0,1200.0,1240.0,10375400
2020-01-16,869.0308227539062,1200.0,1220.0,1190.0,1200.0,9393200
2020-01-17,869.0308227539062,1200.0,1215.0,1200.0,1215.0,10560500
2020-01-20,821.958251953125,1135.0,1215.0,1130.0,1200.0,4967700
2020-01-21,814.7163696289062,1125.0,1145.0,1110.0,1135.0,2846400
2020-01-22,782.1277465820312,1080.0,1135.0,1075.0,1125.0,3507000
2020-01-23,785.7486572265625,1085.0,1110.0,1055.0,1070.0,3479500
2020-01-24,785.7486572265625,1085.0,1110.0,1075.0,1100.0,1570200
2020-01-27,731.4342041015625,1010.0,1085.0,1005.0,1085.0,4633100
2020-01-28,745.9181518554688,1030.0,1045.0,955.0,990.0,5464700
2020-01-29,727.8132934570312,1005.0,1055.0,1005.0,1050.0,3924000
2020-01-30,709.7084350585938,980.0,1015.0,980.0,1010.0,3272500
2020-01-31,695.224609375,960.0,990.0,935.0,975.0,7273800
2020-02-03,662.6360473632812,915.0,965.0,885.0,945.0,4848400
2020-02-04,651.7731323242188,900.0,950.0,900.0,915.0,3675000
2020-02-05,655.3941040039062,905.0,945.0,900.0,925.0,5039800
2020-02-06,669.8779907226562,925.0,935.0,910.0,910.0,1895600
2020-02-07,662.6360473632812,915.0,935.0,915.0,925.0,1515700
2020-02-10,611.9425048828125,845.0,915.0,840.0,910.0,7665500
2020-02-11,619.1844482421875,855.0,860.0,825.0,850.0,4891400
2020-02-12,619.1844482421875,855.0,875.0,850.0,860.0,3190500
2020-02-13,593.8377685546875,820.0,865.0,805.0,850.0,3297700
2020-02-14,582.974853515625,805.0,830.0,795.0,825.0,3449300
2020-02-17,579.3539428710938,800.0,805.0,775.0,805.0,3338200
2020-02-18,615.5634155273438,850.0,850.0,800.0,800.0,5959600
2020-02-19,622.8053588867188,860.0,880.0,825.0,850.0,4536200
2020-02-20,677.119873046875,935.0,940.0,860.0,865.0,10250500
2020-02-21,662.6360473632812,915.0,935.0,900.0,935.0,8329100
2020-02-24,622.8053588867188,860.0,915.0,860.0,915.0,4296400
2020-02-25,626.4263305664062,865.0,885.0,835.0,860.0,2947300
2020-02-26,593.8377685546875,820.0,870.0,810.0,865.0,3346900
2020-02-27,557.6281127929688,770.0,835.0,760.0,820.0,5182400
2020-02-28,543.1442260742188,750.0,750.0,685.0,750.0,9644900
2020-03-02,517.7975463867188,715.0,790.0,710.0,750.0,4627400
2020-03-03,546.7652587890625,755.0,760.0,730.0,740.0,3588000
2020-03-04,568.4910278320312,785.0,805.0,745.0,765.0,5104000
2020-03-05,550.3861083984375,760.0,825.0,760.0,795.0,4098900
2020-03-06,535.9022827148438,740.0,765.0,725.0,765.0,1766600
2020-03-09,441.75732421875,610.0,740.0,610.0,740.0,7536900
2020-03-10,456.24114990234375,630.0,645.0,590.0,590.0,4805100
2020-03-11,430.8944396972656,595.0,640.0,580.0,640.0,3595400
2020-03-12,391.0638732910156,540.0,580.0,540.0,575.0,4827300
2020-03-13,372.9590759277344,515.0,540.0,505.0,505.0,5475100
2020-03-16,347.6123046875,480.0,515.0,480.0,505.0,3127900
2020-03-17,324.43817138671875,448.0,476.0,448.0,456.0,2972500
2020-03-18,302.71240234375,418.0,446.0,418.0,446.0,2958900
2020-03-19,282.4350280761719,390.0,400.0,390.0,390.0,5502800
2020-03-20,351.95745849609375,486.0,486.0,364.0,386.0,17599000
2020-03-23,347.6123046875,480.0,575.0,452.0,486.0,24647000
