Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,348.0,348.0,350.0,348.0,350.0,12200
2020-01-03,300.0,300.0,300.0,264.0,300.0,34400
2020-01-06,240.0,240.0,300.0,240.0,300.0,83700
2020-01-07,240.0,240.0,242.0,240.0,242.0,19800
2020-01-08,240.0,240.0,242.0,200.0,240.0,67000
2020-01-09,224.0,224.0,238.0,210.0,238.0,51800
2020-01-10,208.0,208.0,234.0,204.0,234.0,53800
2020-01-13,208.0,208.0,208.0,208.0,208.0,102000
2020-01-14,200.0,200.0,214.0,200.0,208.0,541700
2020-01-15,202.0,202.0,202.0,200.0,200.0,86400
2020-01-16,202.0,202.0,202.0,200.0,200.0,96700
2020-01-17,202.0,202.0,202.0,202.0,202.0,2200
2020-01-20,202.0,202.0,202.0,202.0,202.0,0
2020-01-21,202.0,202.0,202.0,202.0,202.0,0
2020-01-22,234.0,234.0,234.0,202.0,202.0,1400
2020-01-23,234.0,234.0,234.0,234.0,234.0,100
2020-01-24,234.0,234.0,234.0,234.0,234.0,0
2020-01-27,230.0,230.0,230.0,230.0,230.0,300
2020-01-28,230.0,230.0,230.0,230.0,230.0,0
2020-01-29,230.0,230.0,230.0,230.0,230.0,0
2020-01-30,230.0,230.0,230.0,230.0,230.0,0
2020-01-31,230.0,230.0,230.0,230.0,230.0,0
2020-02-03,230.0,230.0,230.0,230.0,230.0,0
2020-02-04,190.0,190.0,194.0,188.0,188.0,25600
2020-02-05,220.0,220.0,220.0,220.0,220.0,100
2020-02-06,240.0,240.0,240.0,240.0,240.0,100
2020-02-07,240.0,240.0,240.0,240.0,240.0,0
2020-02-10,240.0,240.0,240.0,240.0,240.0,0
2020-02-11,240.0,240.0,240.0,240.0,240.0,0
2020-02-12,240.0,240.0,240.0,240.0,240.0,0
2020-02-13,240.0,240.0,240.0,240.0,240.0,0
2020-02-14,240.0,240.0,240.0,240.0,240.0,0
2020-02-17,240.0,240.0,240.0,240.0,240.0,0
2020-02-18,240.0,240.0,240.0,240.0,240.0,0
2020-02-19,200.0,200.0,242.0,180.0,238.0,12900
2020-02-20,236.0,236.0,250.0,236.0,250.0,600
2020-02-21,268.0,268.0,294.0,268.0,294.0,11500
2020-02-24,268.0,268.0,268.0,268.0,268.0,0
2020-02-25,216.0,216.0,242.0,202.0,242.0,26500
2020-02-26,230.0,230.0,236.0,230.0,236.0,300
2020-02-27,218.0,218.0,250.0,200.0,250.0,3900
2020-02-28,216.0,216.0,216.0,216.0,216.0,200
2020-03-02,216.0,216.0,216.0,216.0,216.0,0
2020-03-03,216.0,216.0,216.0,216.0,216.0,0
2020-03-04,216.0,216.0,216.0,216.0,216.0,0
2020-03-05,216.0,216.0,216.0,216.0,216.0,0
2020-03-06,216.0,216.0,216.0,216.0,216.0,0
2020-03-09,216.0,216.0,216.0,216.0,216.0,0
2020-03-10,216.0,216.0,216.0,216.0,216.0,0
2020-03-11,216.0,216.0,216.0,216.0,216.0,0
2020-03-12,216.0,216.0,216.0,216.0,216.0,0
2020-03-13,216.0,216.0,216.0,216.0,216.0,0
2020-03-16,216.0,216.0,216.0,216.0,216.0,0
2020-03-17,216.0,216.0,216.0,216.0,216.0,0
2020-03-18,216.0,216.0,216.0,216.0,216.0,0
2020-03-19,202.0,202.0,202.0,202.0,202.0,29200
2020-03-20,188.0,188.0,188.0,188.0,188.0,500
2020-03-23,175.0,175.0,196.0,175.0,196.0,500
2020-03-24,163.0,163.0,163.0,163.0,163.0,1300
2020-03-26,199.0,199.0,220.0,156.0,156.0,1000
2020-03-27,187.0,187.0,187.0,187.0,187.0,2200
2020-03-30,187.0,187.0,187.0,187.0,187.0,1000
2020-03-31,220.0,220.0,250.0,187.0,187.0,8000
2020-04-01,220.0,220.0,220.0,220.0,220.0,0
2020-04-02,220.0,220.0,220.0,220.0,220.0,0
2020-04-03,206.0,206.0,206.0,206.0,206.0,200
2020-04-06,236.0,236.0,256.0,236.0,256.0,200
2020-04-07,236.0,236.0,236.0,236.0,236.0,0
2020-04-08,236.0,236.0,236.0,236.0,236.0,0
2020-04-09,236.0,236.0,236.0,236.0,236.0,0
2020-04-13,220.0,220.0,220.0,220.0,220.0,400
2020-04-14,220.0,220.0,220.0,220.0,220.0,0
2020-04-15,206.0,206.0,206.0,206.0,206.0,100
2020-04-16,226.0,226.0,226.0,226.0,226.0,100
2020-04-17,226.0,226.0,226.0,226.0,226.0,0
2020-04-20,212.0,212.0,212.0,212.0,212.0,100
2020-04-21,198.0,198.0,198.0,198.0,198.0,100
