Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,446.7164611816406,680.0,685.0,675.0,685.0,160200
2020-01-03,446.7164611816406,680.0,695.0,675.0,685.0,160700
2020-01-06,423.7236633300781,645.0,680.0,645.0,680.0,1804000
2020-01-07,420.43902587890625,640.0,655.0,635.0,650.0,430400
2020-01-08,417.15435791015625,635.0,650.0,630.0,640.0,357800
2020-01-09,410.5849304199219,625.0,640.0,605.0,635.0,1368200
2020-01-10,410.5849304199219,625.0,635.0,620.0,625.0,10423000
2020-01-13,410.5849304199219,625.0,655.0,620.0,635.0,1572500
2020-01-14,394.16162109375,600.0,635.0,600.0,630.0,3264500
2020-01-15,384.3075256347656,585.0,610.0,585.0,600.0,1444100
2020-01-16,384.3075256347656,585.0,605.0,570.0,585.0,1138200
2020-01-17,367.8841552734375,560.0,590.0,560.0,585.0,1501500
2020-01-20,390.8768615722656,595.0,610.0,560.0,565.0,1410100
2020-01-21,394.16162109375,600.0,620.0,585.0,595.0,1438700
2020-01-22,381.02288818359375,580.0,615.0,580.0,600.0,1001300
2020-01-23,374.4534912109375,570.0,590.0,565.0,590.0,186000
2020-01-24,374.4534912109375,570.0,585.0,565.0,580.0,363700
2020-01-27,374.4534912109375,570.0,570.0,550.0,570.0,654300
2020-01-28,387.5921936035156,590.0,590.0,555.0,565.0,784100
2020-01-29,400.73095703125,610.0,610.0,580.0,580.0,319800
2020-01-30,371.1688232421875,565.0,610.0,560.0,605.0,2044500
2020-01-31,367.8841552734375,560.0,570.0,550.0,565.0,583900
2020-02-03,361.31475830078125,550.0,560.0,540.0,560.0,735500
2020-02-04,387.5921936035156,590.0,590.0,555.0,555.0,2006700
2020-02-05,371.1688232421875,565.0,595.0,555.0,590.0,1409600
2020-02-06,371.1688232421875,565.0,575.0,560.0,565.0,1174300
2020-02-07,371.1688232421875,565.0,570.0,555.0,570.0,804400
2020-02-10,381.02288818359375,580.0,580.0,550.0,565.0,467100
2020-02-11,367.8841552734375,560.0,575.0,560.0,570.0,689300
2020-02-12,361.31475830078125,550.0,560.0,550.0,560.0,608500
2020-02-13,348.1760559082031,530.0,560.0,530.0,550.0,635900
2020-02-14,354.7453918457031,540.0,550.0,525.0,530.0,157500
2020-02-17,358.03009033203125,545.0,555.0,540.0,540.0,204600
2020-02-18,361.31475830078125,550.0,555.0,540.0,550.0,117500
2020-02-19,361.31475830078125,550.0,560.0,545.0,555.0,448700
2020-02-20,364.5994567871094,555.0,570.0,550.0,550.0,111200
2020-02-21,358.03009033203125,545.0,560.0,540.0,560.0,585300
2020-02-24,354.7453918457031,540.0,550.0,530.0,545.0,280600
2020-02-25,348.1760559082031,530.0,545.0,525.0,535.0,776300
2020-02-26,328.46795654296875,500.0,535.0,498.0,530.0,2526300
2020-02-27,317.95697021484375,484.0,510.0,474.0,500.0,2161500
2020-02-28,298.2489013671875,454.0,484.0,452.0,484.0,1610300
2020-03-02,299.56280517578125,456.0,478.0,434.0,454.0,871300
2020-03-03,308.7598571777344,470.0,480.0,458.0,458.0,874200
2020-03-04,300.8766784667969,458.0,470.0,452.0,470.0,1559100
2020-03-05,298.2489013671875,454.0,468.0,452.0,462.0,1352000
2020-03-06,302.1905822753906,460.0,460.0,440.0,452.0,648800
2020-03-09,227.29981994628906,346.0,456.0,346.0,456.0,13990200
2020-03-10,214.16111755371094,326.0,378.0,312.0,346.0,23689200
2020-03-11,206.27789306640625,314.0,360.0,314.0,330.0,6597000
2020-03-12,198.3946533203125,302.0,314.0,298.0,314.0,2152700
2020-03-13,194.45303344726562,296.0,302.0,282.0,300.0,2361200
2020-03-16,189.1975555419922,288.0,298.0,276.0,292.0,2029100
2020-03-17,178.68661499023438,272.0,280.0,268.0,270.0,2012100
2020-03-18,187.88369750976562,286.0,292.0,270.0,276.0,3110100
2020-03-19,174.7449493408203,266.0,300.0,266.0,280.0,2442200
2020-03-20,162.9201202392578,248.0,270.0,248.0,270.0,6328900
