Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,623.9082641601562,645.0,650.0,640.0,650.0,11512400
2020-01-03,623.9082641601562,645.0,655.0,645.0,645.0,11760600
2020-01-06,648.0907592773438,670.0,675.0,640.0,650.0,14710100
2020-01-07,662.6002807617188,685.0,695.0,665.0,670.0,13719300
2020-01-08,643.2542114257812,665.0,700.0,655.0,685.0,16493600
2020-01-09,691.6192626953125,715.0,730.0,650.0,665.0,22814100
2020-01-10,686.78271484375,710.0,725.0,700.0,720.0,10158100
2020-01-13,686.78271484375,710.0,730.0,700.0,710.0,12312300
2020-01-14,686.78271484375,710.0,725.0,695.0,710.0,10866200
2020-01-15,667.436767578125,690.0,715.0,675.0,710.0,12199900
2020-01-16,681.9462890625,705.0,715.0,675.0,695.0,13617200
2020-01-17,677.1097412109375,700.0,705.0,690.0,705.0,8939000
2020-01-20,672.2732543945312,695.0,705.0,690.0,700.0,9571300
2020-01-21,672.2732543945312,695.0,695.0,680.0,695.0,10020300
2020-01-22,667.436767578125,690.0,695.0,680.0,690.0,10549600
2020-01-23,662.6002807617188,685.0,690.0,675.0,690.0,7198100
2020-01-24,662.6002807617188,685.0,690.0,685.0,685.0,4820600
2020-01-27,657.7637329101562,680.0,690.0,675.0,685.0,4591700
2020-01-28,643.2542114257812,665.0,680.0,660.0,680.0,4299800
2020-01-29,648.0907592773438,670.0,675.0,665.0,665.0,4454100
2020-01-30,652.9273071289062,675.0,680.0,670.0,675.0,5247600
2020-01-31,662.6002807617188,685.0,690.0,670.0,670.0,5558800
2020-02-03,657.7637329101562,680.0,685.0,675.0,685.0,5499200
2020-02-04,662.6002807617188,685.0,690.0,680.0,680.0,6301300
2020-02-05,677.1097412109375,700.0,700.0,680.0,680.0,6814600
2020-02-06,677.1097412109375,700.0,705.0,695.0,700.0,11439500
2020-02-07,691.6192626953125,715.0,715.0,700.0,700.0,12034000
2020-02-10,706.1287231445312,730.0,730.0,710.0,715.0,11480000
2020-02-11,701.292236328125,725.0,730.0,725.0,725.0,6868600
2020-02-12,701.292236328125,725.0,730.0,720.0,720.0,6353000
2020-02-13,715.8016967773438,740.0,740.0,725.0,725.0,8024900
2020-02-14,715.8016967773438,740.0,740.0,735.0,735.0,5508400
2020-02-17,720.6382446289062,745.0,745.0,735.0,735.0,5781800
2020-02-18,720.6382446289062,745.0,750.0,740.0,740.0,5429200
2020-02-19,725.4747314453125,750.0,750.0,740.0,740.0,4690300
2020-02-20,725.4747314453125,750.0,755.0,740.0,745.0,5297500
2020-02-21,706.1287231445312,730.0,750.0,730.0,745.0,5471400
2020-02-24,681.9462890625,705.0,730.0,700.0,730.0,7336700
2020-02-25,672.2732543945312,695.0,710.0,695.0,700.0,4328200
2020-02-26,662.6002807617188,685.0,695.0,670.0,695.0,6219200
2020-02-27,585.2162475585938,605.0,680.0,605.0,680.0,6869800
2020-02-28,604.562255859375,625.0,625.0,565.0,605.0,5282200
2020-03-02,585.2162475585938,605.0,625.0,580.0,625.0,4304300
2020-03-03,614.2352294921875,635.0,640.0,605.0,605.0,2630100
2020-03-04,614.2352294921875,635.0,640.0,610.0,635.0,3571000
2020-03-05,594.8892822265625,615.0,645.0,595.0,635.0,3604900
2020-03-06,580.3798217773438,600.0,625.0,595.0,615.0,2458300
2020-03-09,565.8703002929688,585.0,595.0,575.0,595.0,2779900
2020-03-10,575.5432739257812,595.0,600.0,580.0,585.0,2616500
2020-03-11,570.7068481445312,590.0,595.0,565.0,590.0,3289500
2020-03-12,541.6878051757812,560.0,585.0,535.0,585.0,3404000
2020-03-13,512.6688232421875,530.0,560.0,525.0,560.0,3073500
2020-03-16,512.6688232421875,530.0,530.0,530.0,530.0,0
2020-03-17,483.6498107910156,500.0,520.0,488.0,515.0,3985500
2020-03-18,479.7806091308594,496.0,500.0,486.0,500.0,2234000
2020-03-19,456.5654296875,472.0,494.0,468.0,494.0,1836600
2020-03-20,456.5654296875,472.0,472.0,452.0,472.0,2835900
2020-03-23,444.95782470703125,460.0,470.0,448.0,470.0,2443600
2020-03-24,446.8924255371094,462.0,462.0,450.0,460.0,5033100
2020-03-26,466.2384338378906,482.0,482.0,458.0,464.0,11554900
2020-03-27,493.32281494140625,510.0,545.0,482.0,482.0,3309300
2020-03-30,488.486328125,505.0,510.0,488.0,510.0,12490400
2020-03-31,502.9958190917969,520.0,535.0,505.0,505.0,2824200
2020-04-01,488.486328125,505.0,540.0,492.0,520.0,15591700
2020-04-02,493.32281494140625,510.0,520.0,494.0,505.0,5826800
2020-04-03,507.83233642578125,525.0,525.0,500.0,510.0,6651200
2020-04-06,522.341796875,540.0,560.0,525.0,525.0,4619000
2020-04-07,527.1783447265625,545.0,575.0,520.0,540.0,12163900
2020-04-08,512.6688232421875,530.0,545.0,520.0,545.0,7024200
2020-04-09,528.3228149414062,540.0,545.0,515.0,530.0,5231100
2020-04-13,533.2147216796875,545.0,575.0,535.0,540.0,5837700
2020-04-14,557.674072265625,570.0,570.0,540.0,545.0,5430900
2020-04-15,533.2147216796875,545.0,575.0,535.0,570.0,6049900
2020-04-16,513.647216796875,525.0,545.0,510.0,545.0,8935200
2020-04-17,518.5390625,530.0,540.0,520.0,520.0,5084100
2020-04-20,542.9984741210938,555.0,595.0,530.0,540.0,12568800
2020-04-21,533.2147216796875,545.0,565.0,530.0,565.0,13727800
2020-04-22,538.1065673828125,550.0,550.0,525.0,545.0,8576500
2020-04-23,523.4309692382812,535.0,550.0,530.0,550.0,4932700
2020-04-24,528.3228149414062,540.0,545.0,520.0,535.0,5976200
2020-04-27,533.2147216796875,545.0,550.0,525.0,540.0,6767300
2020-04-28,538.1065673828125,550.0,550.0,540.0,545.0,4929100
2020-04-29,538.1065673828125,550.0,550.0,540.0,550.0,3455300
2020-04-30,547.8903198242188,560.0,570.0,545.0,550.0,10684300
2020-05-04,528.3228149414062,540.0,560.0,535.0,560.0,4336700
2020-05-05,523.4309692382812,535.0,550.0,535.0,540.0,6843300
2020-05-06,528.3228149414062,540.0,540.0,530.0,535.0,5598900
2020-05-08,533.2147216796875,545.0,545.0,535.0,540.0,3515700
2020-05-11,533.2147216796875,545.0,555.0,540.0,550.0,4347900
2020-05-12,523.4309692382812,535.0,545.0,530.0,540.0,3109400
2020-05-13,523.4309692382812,535.0,535.0,525.0,535.0,2661700
2020-05-14,523.4309692382812,535.0,545.0,530.0,530.0,3070200
2020-05-15,528.3228149414062,540.0,540.0,525.0,530.0,3481100
2020-05-18,533.2147216796875,545.0,550.0,535.0,540.0,3698600
2020-05-19,538.1065673828125,550.0,555.0,540.0,545.0,3888500
2020-05-20,538.1065673828125,550.0,550.0,540.0,550.0,2380500
2020-05-26,542.9984741210938,555.0,555.0,545.0,550.0,2090000
2020-05-27,538.1065673828125,550.0,555.0,545.0,555.0,2861100
2020-05-28,542.9984741210938,555.0,570.0,545.0,550.0,4570900
2020-05-29,533.2147216796875,545.0,555.0,540.0,550.0,2663300
2020-06-02,533.2147216796875,545.0,550.0,545.0,545.0,5577200
2020-06-03,538.1065673828125,550.0,550.0,540.0,545.0,7648000
2020-06-04,533.2147216796875,545.0,555.0,540.0,550.0,9393800
2020-06-05,533.2147216796875,545.0,550.0,540.0,545.0,12602600
2020-06-08,533.2147216796875,545.0,555.0,535.0,550.0,8967200
2020-06-09,533.2147216796875,545.0,555.0,540.0,545.0,15061800
2020-06-10,533.2147216796875,545.0,555.0,535.0,545.0,13482100
2020-06-11,523.4309692382812,535.0,550.0,525.0,540.0,5255600
2020-06-12,508.75531005859375,520.0,535.0,510.0,535.0,5164500
2020-06-15,508.75531005859375,520.0,535.0,515.0,520.0,5127600
2020-06-16,518.5390625,530.0,535.0,520.0,520.0,6048000
2020-06-17,523.4309692382812,535.0,535.0,520.0,530.0,5008600
2020-06-18,518.5390625,530.0,550.0,525.0,535.0,4706700
2020-06-19,528.3228149414062,540.0,550.0,530.0,530.0,4553100
2020-06-22,523.4309692382812,535.0,550.0,535.0,540.0,4446500
2020-06-23,528.3228149414062,540.0,550.0,525.0,535.0,4242300
2020-06-24,533.2147216796875,545.0,550.0,540.0,540.0,3875700
2020-06-25,523.4309692382812,535.0,540.0,530.0,535.0,4185100
2020-06-26,533.2147216796875,545.0,550.0,535.0,535.0,5238200
2020-06-29,533.2147216796875,545.0,550.0,535.0,535.0,4179700
2020-06-30,567.4578247070312,580.0,580.0,545.0,545.0,5911000
2020-07-01,587.025390625,600.0,610.0,575.0,575.0,6626900
2020-07-02,567.4578247070312,580.0,615.0,575.0,590.0,4659300
2020-07-03,557.674072265625,570.0,590.0,565.0,575.0,2959200
2020-07-06,567.4578247070312,580.0,590.0,570.0,570.0,3610200
2020-07-07,572.3497314453125,585.0,590.0,575.0,580.0,3869400
2020-07-08,577.2416381835938,590.0,600.0,585.0,585.0,4786900
2020-07-09,567.4578247070312,580.0,600.0,575.0,590.0,4108100
2020-07-10,562.5659790039062,575.0,585.0,565.0,575.0,4611300
2020-07-13,567.4578247070312,580.0,580.0,570.0,575.0,4402300
2020-07-14,562.5659790039062,575.0,585.0,575.0,580.0,4151900
2020-07-15,567.4578247070312,580.0,585.0,575.0,575.0,4927100
2020-07-16,567.4578247070312,580.0,595.0,575.0,585.0,4319600
2020-07-17,582.1334838867188,595.0,595.0,575.0,580.0,4638600
2020-07-20,577.2416381835938,590.0,595.0,585.0,595.0,4614900
2020-07-21,616.3766479492188,630.0,645.0,590.0,590.0,7163700
2020-07-22,596.8091430664062,610.0,645.0,610.0,630.0,5635900
2020-07-23,616.3766479492188,630.0,635.0,615.0,615.0,5336600
2020-07-24,606.5928955078125,620.0,635.0,615.0,630.0,5454700
2020-07-27,606.5928955078125,620.0,625.0,610.0,620.0,5974200
2020-07-28,606.5928955078125,620.0,625.0,610.0,620.0,5475800
2020-07-29,567.4578247070312,580.0,630.0,580.0,620.0,7630600
2020-07-30,528.3228149414062,540.0,580.0,540.0,580.0,1106600
2020-08-03,494.0796813964844,505.0,535.0,505.0,530.0,2213700
2020-08-04,523.4309692382812,535.0,550.0,505.0,505.0,7734600
2020-08-05,518.5390625,530.0,540.0,525.0,535.0,7599700
2020-08-06,533.2147216796875,545.0,550.0,535.0,535.0,7726200
2020-08-07,577.2416381835938,590.0,590.0,545.0,545.0,10831000
2020-08-10,577.2416381835938,590.0,605.0,575.0,590.0,9745500
2020-08-11,567.4578247070312,580.0,605.0,570.0,590.0,5094700
2020-08-12,577.2416381835938,590.0,590.0,580.0,580.0,7794300
2020-08-13,577.2416381835938,590.0,605.0,585.0,590.0,7611300
2020-08-14,572.3497314453125,585.0,595.0,580.0,590.0,7011100
2020-08-18,577.2416381835938,590.0,595.0,585.0,585.0,5202200
2020-08-19,567.4578247070312,580.0,590.0,580.0,585.0,5604700
2020-08-24,616.3766479492188,630.0,635.0,585.0,585.0,10594900
2020-08-25,616.3766479492188,630.0,640.0,620.0,630.0,9080100
2020-08-26,606.5928955078125,620.0,630.0,620.0,630.0,6877700
2020-08-27,601.7009887695312,615.0,630.0,605.0,620.0,7440400
2020-08-28,587.025390625,600.0,615.0,595.0,610.0,6483500
2020-08-31,572.3497314453125,585.0,605.0,575.0,600.0,6054100
2020-09-01,562.5659790039062,575.0,590.0,570.0,585.0,6264600
2020-09-02,567.4578247070312,580.0,580.0,560.0,575.0,6626100
2020-09-03,562.5659790039062,575.0,590.0,570.0,585.0,2106100
2020-09-04,572.3497314453125,585.0,585.0,570.0,570.0,5893400
2020-09-07,587.025390625,600.0,600.0,575.0,585.0,9289500
2020-09-08,591.917236328125,605.0,610.0,590.0,600.0,13129100
2020-09-09,591.917236328125,605.0,610.0,595.0,600.0,12945000
2020-09-10,557.674072265625,570.0,605.0,570.0,600.0,4131800
2020-09-11,557.674072265625,570.0,575.0,560.0,565.0,3641500
2020-09-14,587.025390625,600.0,600.0,560.0,570.0,12730600
2020-09-15,601.7009887695312,615.0,620.0,595.0,600.0,11116800
2020-09-16,616.3766479492188,630.0,630.0,615.0,615.0,11272500
2020-09-17,616.3766479492188,630.0,630.0,615.0,630.0,4966200
2020-09-18,606.5928955078125,620.0,630.0,620.0,630.0,5607500
2020-09-21,670.1873168945312,685.0,685.0,620.0,620.0,42961300
2020-09-22,704.430419921875,720.0,770.0,660.0,685.0,38507900
2020-09-23,772.916748046875,790.0,805.0,720.0,755.0,58169400
2020-09-24,738.673583984375,755.0,830.0,755.0,800.0,54884900
2020-09-25,772.916748046875,790.0,815.0,730.0,755.0,102630300
2020-09-28,763.1329956054688,780.0,815.0,770.0,795.0,31175200
2020-09-29,738.673583984375,755.0,800.0,750.0,780.0,38182200
2020-09-30,743.5654907226562,760.0,780.0,745.0,760.0,21053200
2020-10-01,753.3492431640625,770.0,795.0,760.0,775.0,34282400
2020-10-02,743.5654907226562,760.0,790.0,755.0,775.0,24147300
2020-10-05,758.2410888671875,775.0,785.0,760.0,760.0,26372100
2020-10-06,758.2410888671875,775.0,785.0,770.0,785.0,17497100
2020-10-07,792.4842529296875,810.0,815.0,765.0,775.0,62332200
2020-10-08,807.1598510742188,825.0,840.0,810.0,820.0,44299600
2020-10-09,797.3760986328125,815.0,845.0,810.0,835.0,27822900
2020-10-12,792.4842529296875,810.0,825.0,785.0,815.0,34267800
2020-10-13,782.7005004882812,800.0,815.0,790.0,810.0,21347700
2020-10-14,787.5923461914062,805.0,815.0,790.0,805.0,20029100
2020-10-15,860.9705200195312,880.0,905.0,805.0,815.0,101093900
2020-10-16,846.294921875,865.0,895.0,860.0,890.0,24577900
2020-10-19,856.0786743164062,875.0,890.0,860.0,865.0,27694700
2020-10-20,860.9705200195312,880.0,920.0,865.0,895.0,105238100
2020-10-21,856.0786743164062,875.0,900.0,865.0,900.0,29540700
2020-10-22,846.294921875,865.0,875.0,850.0,875.0,21808500
2020-10-23,841.4030151367188,860.0,880.0,855.0,865.0,16651500
2020-10-26,831.6192626953125,850.0,865.0,850.0,860.0,11356600
2020-10-27,860.9705200195312,880.0,880.0,845.0,855.0,36178300
2020-11-02,856.0786743164062,875.0,880.0,860.0,880.0,16140900
2020-11-03,860.9705200195312,880.0,890.0,870.0,880.0,15493300
2020-11-04,836.5111694335938,855.0,890.0,855.0,890.0,14355900
2020-11-05,856.0786743164062,875.0,890.0,855.0,860.0,22744400
2020-11-06,846.294921875,865.0,885.0,860.0,875.0,12273200
2020-11-09,846.294921875,865.0,880.0,860.0,870.0,11978500
2020-11-10,846.294921875,865.0,875.0,855.0,865.0,12669900
2020-11-11,836.5111694335938,855.0,875.0,850.0,865.0,11781200
2020-11-12,865.8624267578125,885.0,915.0,855.0,860.0,44937600
2020-11-13,846.294921875,865.0,895.0,860.0,885.0,17299700
