Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1415.0,1415.0,1430.0,1415.0,1425.0,6316800
2020-01-03,1395.0,1395.0,1430.0,1395.0,1420.0,9908000
2020-01-06,1395.0,1395.0,1400.0,1380.0,1400.0,5426200
2020-01-07,1460.0,1460.0,1460.0,1375.0,1395.0,7696000
2020-01-08,1660.0,1660.0,1800.0,1440.0,1465.0,8085400
2020-01-09,1710.0,1710.0,1715.0,1640.0,1660.0,9852700
2020-01-10,1695.0,1695.0,1720.0,1690.0,1710.0,8960500
2020-01-13,1715.0,1715.0,1715.0,1670.0,1695.0,9928300
2020-01-14,1730.0,1730.0,1730.0,1705.0,1720.0,8404300
2020-01-15,1730.0,1730.0,1745.0,1725.0,1730.0,6963400
2020-01-16,1780.0,1780.0,1780.0,1730.0,1730.0,6290000
2020-01-17,1795.0,1795.0,1805.0,1770.0,1780.0,10089300
2020-01-20,1935.0,1935.0,1940.0,1795.0,1800.0,7124100
2020-01-21,1745.0,1745.0,1940.0,1455.0,1935.0,9355900
2020-01-22,1720.0,1720.0,1795.0,1720.0,1745.0,10601600
2020-01-23,1680.0,1680.0,1720.0,1680.0,1720.0,10136400
2020-01-24,1650.0,1650.0,1705.0,1650.0,1680.0,8771800
2020-01-27,1630.0,1630.0,1650.0,1615.0,1650.0,10422600
2020-01-28,1625.0,1625.0,1630.0,1620.0,1630.0,8036200
2020-01-29,1570.0,1570.0,1610.0,1570.0,1610.0,8761700
2020-01-30,1580.0,1580.0,1595.0,1570.0,1570.0,8926600
2020-01-31,1555.0,1555.0,1580.0,1555.0,1580.0,8440900
2020-02-03,1530.0,1530.0,1555.0,1510.0,1555.0,13533800
2020-02-04,1515.0,1515.0,1525.0,1515.0,1525.0,9402500
2020-02-05,1505.0,1505.0,1520.0,1505.0,1520.0,12000000
2020-02-06,1495.0,1495.0,1505.0,1485.0,1505.0,3037500
2020-02-07,1490.0,1490.0,1495.0,1485.0,1495.0,17700
2020-02-10,1490.0,1490.0,1490.0,1480.0,1490.0,2725300
2020-02-11,1490.0,1490.0,1490.0,1475.0,1485.0,10341300
2020-02-12,1460.0,1460.0,1490.0,1460.0,1490.0,8461600
2020-02-13,1470.0,1470.0,1470.0,1450.0,1460.0,8563200
2020-02-14,1470.0,1470.0,1470.0,1460.0,1470.0,5597300
2020-02-17,1460.0,1460.0,1470.0,1460.0,1470.0,6573000
2020-02-18,1460.0,1460.0,1465.0,1455.0,1460.0,6932300
2020-02-19,1460.0,1460.0,1465.0,1460.0,1460.0,4234000
2020-02-20,1420.0,1420.0,1460.0,1420.0,1460.0,9556200
