Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1235.712158203125,1250.0,1300.0,1240.0,1250.0,5746400
2020-01-03,1201.1121826171875,1215.0,1265.0,1215.0,1265.0,3686800
2020-01-06,1156.6265869140625,1170.0,1250.0,1165.0,1220.0,4538400
2020-01-07,1146.740966796875,1160.0,1215.0,1155.0,1175.0,3563800
2020-01-08,1107.197998046875,1120.0,1175.0,1115.0,1175.0,2778000
2020-01-09,1117.0838623046875,1130.0,1160.0,1120.0,1120.0,3396400
2020-01-10,1112.140869140625,1125.0,1150.0,1120.0,1150.0,1937500
2020-01-13,1087.4267578125,1100.0,1130.0,1080.0,1125.0,3417900
2020-01-14,1037.9981689453125,1050.0,1100.0,1045.0,1100.0,4649000
2020-01-15,993.5125732421875,1005.0,1050.0,995.0,1050.0,5302500
2020-01-16,1191.2265625,1205.0,1210.0,990.0,990.0,45874500
2020-01-17,1166.51220703125,1180.0,1235.0,1100.0,1205.0,26599900
2020-01-20,1107.197998046875,1120.0,1200.0,1095.0,1200.0,8602800
2020-01-21,1092.3695068359375,1105.0,1155.0,1100.0,1120.0,5649900
2020-01-22,1013.283935546875,1025.0,1110.0,1025.0,1110.0,5832900
2020-01-23,1077.541015625,1090.0,1115.0,1010.0,1025.0,13993300
2020-01-24,1057.7696533203125,1070.0,1135.0,1065.0,1100.0,19257100
2020-01-27,1013.283935546875,1025.0,1100.0,1020.0,1100.0,8451000
2020-01-28,1013.283935546875,1025.0,1045.0,1000.0,1030.0,5654800
2020-01-29,1013.283935546875,1025.0,1070.0,1025.0,1030.0,5338800
2020-01-30,993.5125732421875,1005.0,1050.0,1005.0,1050.0,3086300
2020-01-31,988.5697631835938,1000.0,1030.0,995.0,1015.0,4329200
2020-02-03,944.0841064453125,955.0,1005.0,950.0,995.0,3799900
2020-02-04,953.9697875976562,965.0,990.0,950.0,955.0,3767300
2020-02-05,909.4841918945312,920.0,985.0,920.0,975.0,4743500
