Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,63.0,63.0,66.0,63.0,64.0,46000
2020-01-03,64.0,64.0,64.0,61.0,62.0,161800
2020-01-06,64.0,64.0,64.0,62.0,62.0,33200
2020-01-07,61.0,61.0,65.0,61.0,61.0,277400
2020-01-08,60.0,60.0,62.0,60.0,61.0,111000
2020-01-09,61.0,61.0,63.0,60.0,62.0,227200
2020-01-10,51.0,51.0,61.0,51.0,61.0,293500
2020-01-13,68.0,68.0,68.0,56.0,62.0,6875700
2020-01-14,62.0,62.0,80.0,60.0,72.0,9584700
2020-01-15,63.0,63.0,67.0,58.0,62.0,8251000
2020-01-16,65.0,65.0,80.0,64.0,64.0,13762400
2020-01-17,61.0,61.0,75.0,60.0,65.0,5297300
2020-01-20,61.0,61.0,70.0,60.0,63.0,2062100
2020-01-21,62.0,62.0,72.0,58.0,60.0,9611400
2020-01-22,61.0,61.0,66.0,61.0,62.0,919000
2020-01-23,62.0,62.0,68.0,62.0,62.0,2304900
2020-01-24,62.0,62.0,65.0,62.0,63.0,951500
2020-01-27,60.0,60.0,64.0,60.0,63.0,1676200
2020-01-28,62.0,62.0,67.0,60.0,60.0,4665100
2020-01-29,60.0,60.0,63.0,60.0,63.0,794100
2020-01-30,60.0,60.0,63.0,60.0,60.0,969800
2020-01-31,59.0,59.0,61.0,59.0,61.0,424900
2020-02-03,58.0,58.0,71.0,51.0,51.0,3041200
2020-02-04,59.0,59.0,60.0,56.0,60.0,503300
2020-02-05,56.0,56.0,59.0,56.0,58.0,221300
2020-02-06,58.0,58.0,60.0,56.0,58.0,876800
2020-02-07,57.0,57.0,59.0,57.0,57.0,326200
2020-02-10,55.0,55.0,58.0,55.0,57.0,151700
2020-02-11,54.0,54.0,56.0,54.0,55.0,145500
2020-02-12,56.0,56.0,59.0,53.0,54.0,577200
2020-02-13,55.0,55.0,57.0,51.0,56.0,233200
2020-02-14,52.0,52.0,54.0,51.0,51.0,219800
2020-02-17,51.0,51.0,53.0,50.0,50.0,81800
2020-02-18,50.0,50.0,53.0,50.0,50.0,470800
2020-02-19,50.0,50.0,54.0,50.0,54.0,264800
2020-02-20,52.0,52.0,52.0,50.0,50.0,169200
2020-02-21,50.0,50.0,53.0,50.0,53.0,19600
2020-02-24,50.0,50.0,50.0,50.0,50.0,47100
2020-02-25,50.0,50.0,50.0,50.0,50.0,63400
2020-02-26,50.0,50.0,50.0,50.0,50.0,2700
2020-02-27,50.0,50.0,50.0,50.0,50.0,2800
2020-02-28,50.0,50.0,50.0,50.0,50.0,2000
2020-03-02,50.0,50.0,50.0,50.0,50.0,1000
2020-03-03,50.0,50.0,50.0,50.0,50.0,150500
2020-03-04,50.0,50.0,50.0,50.0,50.0,1000
2020-03-05,50.0,50.0,50.0,50.0,50.0,12000
2020-03-06,50.0,50.0,50.0,50.0,50.0,0
2020-03-09,50.0,50.0,50.0,50.0,50.0,100
2020-03-10,50.0,50.0,50.0,50.0,50.0,0
2020-03-11,50.0,50.0,50.0,50.0,50.0,0
2020-03-12,50.0,50.0,50.0,50.0,50.0,0
2020-03-13,50.0,50.0,50.0,50.0,50.0,0
2020-03-16,50.0,50.0,50.0,50.0,50.0,100
2020-03-17,50.0,50.0,50.0,50.0,50.0,0
2020-03-18,50.0,50.0,50.0,50.0,50.0,0
2020-03-19,50.0,50.0,50.0,50.0,50.0,1100
2020-03-20,50.0,50.0,50.0,50.0,50.0,0
2020-03-23,50.0,50.0,50.0,50.0,50.0,0
2020-03-24,50.0,50.0,50.0,50.0,50.0,200
2020-03-26,50.0,50.0,50.0,50.0,50.0,0
2020-03-27,50.0,50.0,50.0,50.0,50.0,100200
2020-03-30,50.0,50.0,50.0,50.0,50.0,0
2020-03-31,50.0,50.0,50.0,50.0,50.0,0
2020-04-01,50.0,50.0,50.0,50.0,50.0,0
2020-04-02,50.0,50.0,50.0,50.0,50.0,100
2020-04-03,50.0,50.0,50.0,50.0,50.0,41000
2020-04-06,50.0,50.0,51.0,50.0,51.0,128600
2020-04-07,50.0,50.0,53.0,50.0,51.0,11200
2020-04-08,50.0,50.0,51.0,50.0,50.0,24100
2020-04-09,50.0,50.0,50.0,50.0,50.0,100
2020-04-13,50.0,50.0,50.0,50.0,50.0,600
2020-04-14,50.0,50.0,50.0,50.0,50.0,3200
2020-04-15,50.0,50.0,50.0,50.0,50.0,0
2020-04-16,50.0,50.0,50.0,50.0,50.0,5000
2020-04-17,50.0,50.0,50.0,50.0,50.0,0
2020-04-20,50.0,50.0,50.0,50.0,50.0,0
2020-04-21,50.0,50.0,50.0,50.0,50.0,700
2020-04-22,50.0,50.0,50.0,50.0,50.0,0
2020-04-23,50.0,50.0,50.0,50.0,50.0,100
2020-04-24,50.0,50.0,50.0,50.0,50.0,0
2020-04-27,50.0,50.0,50.0,50.0,50.0,0
2020-04-28,50.0,50.0,50.0,50.0,50.0,0
2020-04-29,50.0,50.0,50.0,50.0,50.0,0
2020-04-30,50.0,50.0,50.0,50.0,50.0,0
2020-05-04,50.0,50.0,50.0,50.0,50.0,0
2020-05-05,50.0,50.0,50.0,50.0,50.0,1000
2020-05-06,50.0,50.0,50.0,50.0,50.0,1000
2020-05-08,53.0,53.0,55.0,50.0,50.0,637100
2020-05-11,50.0,50.0,53.0,50.0,53.0,618200
2020-05-12,50.0,50.0,55.0,50.0,51.0,40800
2020-05-13,50.0,50.0,50.0,50.0,50.0,500
2020-05-14,50.0,50.0,50.0,50.0,50.0,0
2020-05-15,50.0,50.0,50.0,50.0,50.0,0
2020-05-18,50.0,50.0,50.0,50.0,50.0,100
2020-05-19,50.0,50.0,50.0,50.0,50.0,4700
2020-05-20,50.0,50.0,50.0,50.0,50.0,1000
2020-05-26,50.0,50.0,50.0,50.0,50.0,0
