Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,212.002197265625,288.75,347.5,285.0,292.5,18600
2020-01-03,212.002197265625,288.75,290.0,288.75,290.0,900
2020-01-06,220.26202392578125,300.0,310.0,287.5,290.0,91500
2020-01-07,229.4396209716797,312.5,312.5,297.5,297.5,6000
2020-01-08,223.01535034179688,303.75,305.0,295.0,300.0,1500
2020-01-09,212.91995239257812,290.0,303.75,290.0,303.75,15200
2020-01-10,214.7554931640625,292.5,300.0,288.75,290.0,15200
2020-01-13,220.26202392578125,300.0,300.0,275.0,295.0,87100
2020-01-14,218.426513671875,297.5,297.5,297.5,297.5,600
2020-01-15,218.426513671875,297.5,297.5,297.5,297.5,0
2020-01-16,215.67323303222656,293.75,293.75,293.75,293.75,1000
2020-01-17,212.91995239257812,290.0,300.0,275.0,300.0,22100
2020-01-20,211.08444213867188,287.5,290.0,287.5,290.0,2400
2020-01-21,211.08444213867188,287.5,287.5,287.5,287.5,0
2020-01-22,211.08444213867188,287.5,287.5,287.5,287.5,0
2020-01-23,211.08444213867188,287.5,287.5,286.25,287.5,162600
2020-01-24,211.08444213867188,287.5,287.5,287.5,287.5,0
2020-01-27,211.08444213867188,287.5,287.5,275.0,287.5,1265100
2020-01-28,211.08444213867188,287.5,287.5,287.5,287.5,0
2020-01-29,211.08444213867188,287.5,287.5,287.5,287.5,0
2020-01-30,211.08444213867188,287.5,287.5,287.5,287.5,0
2020-01-31,192.72927856445312,262.5,275.0,262.5,275.0,11700
2020-02-03,192.72927856445312,262.5,262.5,250.0,261.25,1800
2020-02-04,197.3180694580078,268.75,281.25,262.5,262.5,4900
2020-02-05,186.3049774169922,253.75,263.75,253.75,263.75,18100
2020-02-06,186.3049774169922,253.75,260.0,253.75,260.0,28200
2020-02-07,186.3049774169922,253.75,287.5,250.0,253.75,105100
2020-02-10,186.3049774169922,253.75,253.75,253.75,253.75,0
2020-02-11,185.38722229003906,252.5,252.5,248.75,248.75,30400
2020-02-12,181.71620178222656,247.5,247.5,237.5,237.5,40400
2020-02-13,182.63394165039062,248.75,260.0,247.5,247.5,12400
2020-02-14,201.9068603515625,275.0,275.0,247.5,248.75,3000
2020-02-17,201.9068603515625,275.0,275.0,275.0,275.0,1000
2020-02-18,201.9068603515625,275.0,275.0,275.0,275.0,200
2020-02-19,200.07135009765625,272.5,272.5,272.5,272.5,2700
2020-02-20,200.07135009765625,272.5,272.5,272.5,272.5,0
2020-02-21,183.55169677734375,250.0,262.5,250.0,260.0,1800
2020-02-24,183.55169677734375,250.0,250.0,237.5,250.0,34500
2020-02-25,182.63394165039062,248.75,248.75,237.5,248.75,1300
2020-02-26,183.55169677734375,250.0,252.5,236.25,248.75,9600
2020-02-27,183.55169677734375,250.0,250.0,236.25,247.5,1900
2020-02-28,167.94981384277344,228.75,250.0,225.0,250.0,16500
2020-03-02,167.03204345703125,227.5,231.25,225.0,225.0,6800
2020-03-03,183.55169677734375,250.0,256.25,232.5,232.5,600
2020-03-04,170.7030792236328,232.5,250.0,230.0,250.0,700
2020-03-05,165.19651794433594,225.0,232.5,225.0,232.5,40900
2020-03-06,167.03204345703125,227.5,237.5,227.5,232.5,32400
2020-03-09,146.84133911132812,200.0,225.0,200.0,225.0,47700
2020-03-10,152.347900390625,207.5,207.5,201.25,207.5,2000
2020-03-11,161.52549743652344,220.0,232.5,220.0,220.0,2800
2020-03-12,146.84133911132812,200.0,215.0,200.0,215.0,16300
2020-03-13,146.84133911132812,200.0,200.0,200.0,200.0,0
2020-03-16,146.84133911132812,200.0,200.0,200.0,200.0,0
2020-03-17,143.17031860351562,195.0,220.0,187.5,205.0,63500
2020-03-18,135.8282470703125,185.0,198.75,182.5,198.75,29500
2020-03-19,126.6506576538086,172.5,185.0,172.5,185.0,111200
2020-03-20,118.3908462524414,161.25,175.0,161.25,172.5,44100
2020-03-23,119.30860137939453,162.5,167.5,150.0,165.0,900
2020-03-24,116.5553207397461,158.75,165.0,151.25,165.0,9600
2020-03-26,119.30860137939453,162.5,163.75,162.5,162.5,6800
2020-03-27,124.81514739990234,170.0,170.0,167.5,167.5,5500
2020-03-30,125.73291015625,171.25,176.25,171.25,173.75,800
2020-03-31,125.73291015625,171.25,171.25,171.25,171.25,0
2020-04-01,127.56843566894531,173.75,175.0,172.5,175.0,3000
2020-04-02,128.48617553710938,175.0,175.0,175.0,175.0,400
2020-04-03,128.48617553710938,175.0,175.0,175.0,175.0,500
2020-04-06,138.58152770996094,188.75,188.75,175.0,175.0,1100
2020-04-07,139.49928283691406,190.0,190.0,176.25,190.0,5700
2020-04-08,130.32168579101562,177.5,178.75,177.5,177.5,28100
2020-04-09,128.48617553710938,175.0,175.0,175.0,175.0,400
2020-04-13,121.14411926269531,165.0,175.0,163.75,175.0,18700
2020-04-14,116.5553207397461,158.75,165.0,155.0,165.0,45100
2020-04-15,122.97962951660156,167.5,167.5,155.0,160.0,10700
2020-04-16,117.47309112548828,160.0,166.25,160.0,166.25,75800
2020-04-17,113.80205535888672,155.0,167.5,155.0,165.0,5100
2020-04-20,129.40394592285156,176.25,178.75,158.75,158.75,32100
2020-04-21,121.14411926269531,165.0,176.25,165.0,176.25,23100
2020-04-22,121.14411926269531,165.0,165.0,153.75,153.75,10900
2020-04-23,119.30860137939453,162.5,170.0,162.5,166.25,700
2020-04-24,119.30860137939453,162.5,162.5,162.5,162.5,1200
2020-04-27,119.30860137939453,162.5,162.5,162.5,162.5,0
2020-04-28,122.06188201904297,166.25,166.25,162.5,162.5,3700
2020-04-29,123.89739990234375,168.75,172.5,168.75,171.25,1200
