Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,202.0,202.0,250.0,202.0,210.0,19300
2020-01-03,202.0,202.0,202.0,202.0,202.0,100
2020-01-06,220.0,220.0,222.0,154.0,202.0,17700
2020-01-07,220.0,220.0,272.0,220.0,272.0,7000
2020-01-08,260.0,260.0,272.0,202.0,202.0,6900
2020-01-09,248.0,248.0,280.0,248.0,280.0,200
2020-01-10,230.0,230.0,308.0,230.0,308.0,9900
2020-01-13,206.0,206.0,214.0,202.0,202.0,4500
2020-01-14,206.0,206.0,206.0,206.0,206.0,0
2020-01-15,204.0,204.0,204.0,180.0,180.0,12000
2020-01-16,204.0,204.0,204.0,204.0,204.0,0
2020-01-17,204.0,204.0,204.0,204.0,204.0,100
2020-01-20,230.0,230.0,246.0,204.0,204.0,10300
2020-01-21,230.0,230.0,230.0,230.0,230.0,300
2020-01-22,230.0,230.0,230.0,230.0,230.0,100
2020-01-23,230.0,230.0,230.0,230.0,230.0,100
2020-01-24,228.0,228.0,250.0,228.0,250.0,2100
2020-01-27,228.0,228.0,228.0,228.0,228.0,0
2020-01-28,212.0,212.0,250.0,212.0,250.0,3400
2020-01-29,224.0,224.0,250.0,224.0,250.0,900
2020-01-30,230.0,230.0,250.0,230.0,250.0,12600
2020-01-31,234.0,234.0,250.0,234.0,250.0,500
2020-02-03,234.0,234.0,250.0,234.0,234.0,600
2020-02-04,224.0,224.0,254.0,181.0,254.0,6700
2020-02-05,224.0,224.0,244.0,220.0,244.0,6100
2020-02-06,244.0,244.0,244.0,244.0,244.0,100
2020-02-07,244.0,244.0,244.0,244.0,244.0,0
2020-02-10,244.0,244.0,244.0,244.0,244.0,0
2020-02-11,234.0,234.0,244.0,234.0,244.0,1100
2020-02-12,234.0,234.0,234.0,234.0,234.0,0
2020-02-13,234.0,234.0,234.0,234.0,234.0,0
2020-02-14,234.0,234.0,234.0,234.0,234.0,0
2020-02-17,234.0,234.0,234.0,234.0,234.0,0
2020-02-18,234.0,234.0,234.0,234.0,234.0,0
2020-02-19,228.0,228.0,228.0,228.0,228.0,1500
2020-02-20,228.0,228.0,228.0,228.0,228.0,0
2020-02-21,180.0,180.0,220.0,180.0,220.0,4000
2020-02-24,181.0,181.0,240.0,181.0,240.0,11000
2020-02-25,176.0,176.0,176.0,176.0,176.0,100
2020-02-26,176.0,176.0,176.0,176.0,176.0,0
2020-02-27,176.0,176.0,176.0,176.0,176.0,10000
2020-02-28,176.0,176.0,176.0,176.0,176.0,0
2020-03-02,175.0,175.0,175.0,170.0,175.0,7000
2020-03-03,200.0,200.0,200.0,180.0,180.0,2700
2020-03-04,224.0,224.0,224.0,220.0,224.0,14000
2020-03-05,230.0,230.0,238.0,220.0,220.0,4800
2020-03-06,230.0,230.0,230.0,230.0,230.0,30000
2020-03-09,230.0,230.0,230.0,230.0,230.0,0
2020-03-10,230.0,230.0,230.0,230.0,230.0,0
2020-03-11,240.0,240.0,240.0,240.0,240.0,100
2020-03-12,240.0,240.0,240.0,240.0,240.0,100
2020-03-13,240.0,240.0,240.0,240.0,240.0,0
2020-03-16,240.0,240.0,240.0,240.0,240.0,0
2020-03-17,210.0,210.0,210.0,210.0,210.0,1100
2020-03-18,196.0,196.0,210.0,196.0,210.0,1400
2020-03-19,183.0,183.0,183.0,183.0,183.0,6500
2020-03-20,200.0,200.0,200.0,183.0,183.0,1300
2020-03-23,220.0,220.0,220.0,220.0,220.0,100
2020-03-24,266.0,266.0,272.0,266.0,272.0,200
2020-03-26,248.0,248.0,254.0,248.0,248.0,800
2020-03-27,232.0,232.0,268.0,232.0,268.0,300
2020-03-30,244.0,244.0,252.0,244.0,252.0,400
2020-03-31,264.0,264.0,264.0,264.0,264.0,100
2020-04-01,254.0,254.0,284.0,246.0,284.0,300
2020-04-02,238.0,238.0,238.0,238.0,238.0,100
2020-04-03,222.0,222.0,258.0,222.0,258.0,19500
2020-04-06,236.0,236.0,242.0,208.0,242.0,3400
2020-04-07,220.0,220.0,250.0,220.0,250.0,16700
2020-04-08,206.0,206.0,216.0,206.0,216.0,300
2020-04-09,192.0,192.0,192.0,192.0,192.0,900
2020-04-13,182.0,182.0,182.0,182.0,182.0,100
2020-04-14,182.0,182.0,182.0,182.0,182.0,100
2020-04-15,182.0,182.0,182.0,182.0,182.0,0
2020-04-16,172.0,172.0,172.0,172.0,172.0,1000
2020-04-17,175.0,175.0,176.0,175.0,176.0,103300
2020-04-20,170.0,170.0,171.0,170.0,171.0,50000
2020-04-21,161.0,161.0,216.0,161.0,161.0,38300
2020-04-22,152.0,152.0,200.0,150.0,160.0,40300
2020-04-23,198.0,198.0,198.0,198.0,198.0,2600
2020-04-24,198.0,198.0,224.0,185.0,224.0,4800
2020-04-27,198.0,198.0,198.0,198.0,198.0,0
2020-04-28,198.0,198.0,198.0,198.0,198.0,0
2020-04-29,188.0,188.0,188.0,188.0,188.0,500
2020-04-30,206.0,206.0,206.0,175.0,185.0,11800
2020-05-04,206.0,206.0,224.0,206.0,224.0,300
2020-05-05,226.0,226.0,226.0,226.0,226.0,100
2020-05-06,226.0,226.0,226.0,226.0,226.0,100
2020-05-08,226.0,226.0,226.0,226.0,226.0,100
2020-05-11,226.0,226.0,226.0,226.0,226.0,100
2020-05-12,214.0,214.0,214.0,214.0,214.0,100
2020-05-13,214.0,214.0,214.0,214.0,214.0,0
2020-05-14,214.0,214.0,214.0,214.0,214.0,0
2020-05-15,214.0,214.0,214.0,214.0,214.0,0
2020-05-18,214.0,214.0,214.0,214.0,214.0,0
2020-05-19,200.0,200.0,200.0,200.0,200.0,200
2020-05-20,200.0,200.0,200.0,200.0,200.0,0
2020-05-26,198.0,198.0,200.0,186.0,186.0,2200
2020-05-27,198.0,198.0,198.0,198.0,198.0,0
2020-05-28,222.0,222.0,246.0,197.0,197.0,1200
2020-05-29,216.0,216.0,242.0,216.0,242.0,400
2020-06-02,202.0,202.0,208.0,202.0,208.0,5400
2020-06-03,202.0,202.0,202.0,202.0,202.0,7300
2020-06-04,189.0,189.0,189.0,189.0,189.0,300
2020-06-05,189.0,189.0,189.0,189.0,189.0,0
2020-06-08,182.0,182.0,182.0,180.0,180.0,7900
2020-06-09,182.0,182.0,182.0,182.0,182.0,0
2020-06-10,171.0,171.0,171.0,170.0,170.0,200
2020-06-11,175.0,175.0,175.0,170.0,170.0,200
2020-06-12,175.0,175.0,175.0,175.0,175.0,0
2020-06-15,175.0,175.0,175.0,175.0,175.0,0
2020-06-16,166.0,166.0,166.0,164.0,164.0,200
2020-06-17,164.0,164.0,170.0,164.0,170.0,1000
2020-06-18,167.0,167.0,167.0,167.0,167.0,500
2020-06-19,169.0,169.0,169.0,168.0,168.0,200
2020-06-22,162.0,162.0,162.0,160.0,160.0,600
2020-06-23,162.0,162.0,162.0,153.0,153.0,500
2020-06-24,160.0,160.0,160.0,160.0,160.0,100
2020-06-25,150.0,150.0,150.0,150.0,150.0,100
2020-06-26,146.0,146.0,146.0,146.0,146.0,100
2020-06-29,182.0,182.0,182.0,182.0,182.0,1100
2020-06-30,187.0,187.0,188.0,186.0,186.0,8100
2020-07-01,195.0,195.0,196.0,186.0,190.0,2700
2020-07-02,196.0,196.0,196.0,186.0,186.0,1500
2020-07-03,216.0,216.0,248.0,200.0,248.0,4700
2020-07-06,206.0,206.0,244.0,206.0,244.0,1100
2020-07-07,206.0,206.0,206.0,200.0,202.0,8400
2020-07-08,218.0,218.0,226.0,210.0,226.0,5000
2020-07-09,222.0,222.0,228.0,218.0,218.0,15300
2020-07-10,218.0,218.0,218.0,218.0,218.0,2800
2020-07-13,218.0,218.0,218.0,218.0,218.0,100
2020-07-14,218.0,218.0,218.0,218.0,218.0,0
2020-07-15,228.0,228.0,246.0,218.0,218.0,10800
2020-07-16,232.0,232.0,232.0,228.0,232.0,22100
2020-07-17,240.0,240.0,246.0,240.0,246.0,14300
2020-07-20,252.0,252.0,252.0,228.0,228.0,44700
2020-07-21,270.0,270.0,270.0,252.0,252.0,8600
2020-07-22,256.0,256.0,270.0,252.0,254.0,20600
2020-07-23,250.0,250.0,276.0,250.0,276.0,10600
2020-07-24,250.0,250.0,250.0,250.0,250.0,100
2020-07-27,250.0,250.0,250.0,250.0,250.0,5100
2020-07-28,250.0,250.0,250.0,250.0,250.0,0
2020-07-29,250.0,250.0,250.0,250.0,250.0,100
2020-07-30,250.0,250.0,250.0,250.0,250.0,0
2020-08-03,268.0,268.0,270.0,250.0,250.0,72700
2020-08-04,268.0,268.0,268.0,268.0,268.0,0
2020-08-05,250.0,250.0,250.0,250.0,250.0,1100
2020-08-06,234.0,234.0,250.0,234.0,250.0,8800
2020-08-07,236.0,236.0,236.0,234.0,234.0,600
2020-08-10,240.0,240.0,240.0,222.0,222.0,2100
2020-08-11,226.0,226.0,226.0,226.0,226.0,100
2020-08-12,226.0,226.0,226.0,226.0,226.0,0
2020-08-13,226.0,226.0,226.0,226.0,226.0,0
2020-08-14,226.0,226.0,226.0,226.0,226.0,0
2020-08-18,226.0,226.0,226.0,226.0,226.0,0
2020-08-19,220.0,220.0,226.0,220.0,226.0,1300
2020-08-24,272.0,272.0,274.0,222.0,222.0,6600
2020-08-25,254.0,254.0,292.0,254.0,292.0,16400
2020-08-26,238.0,238.0,260.0,238.0,240.0,6100
2020-08-27,266.0,266.0,270.0,224.0,224.0,4000
2020-08-28,248.0,248.0,286.0,248.0,286.0,10900
2020-08-31,234.0,234.0,234.0,234.0,234.0,100
2020-09-01,234.0,234.0,234.0,234.0,234.0,0
2020-09-02,236.0,236.0,236.0,220.0,220.0,1100
2020-09-03,222.0,222.0,222.0,222.0,222.0,1100
2020-09-04,220.0,220.0,220.0,220.0,220.0,100
2020-09-07,208.0,208.0,208.0,208.0,208.0,100
2020-09-08,210.0,210.0,210.0,206.0,206.0,600
2020-09-09,260.0,260.0,260.0,197.0,197.0,48000
2020-09-10,250.0,250.0,260.0,250.0,258.0,10100
2020-09-11,240.0,240.0,250.0,240.0,250.0,7400
2020-09-14,224.0,224.0,240.0,224.0,240.0,200
2020-09-15,224.0,224.0,224.0,210.0,224.0,8300
2020-09-16,212.0,212.0,212.0,212.0,212.0,800
2020-09-17,258.0,258.0,258.0,198.0,210.0,9600
2020-09-18,254.0,254.0,278.0,254.0,278.0,3800
2020-09-21,238.0,238.0,274.0,238.0,274.0,151800
2020-09-22,224.0,224.0,238.0,222.0,238.0,300
2020-09-23,216.0,216.0,226.0,212.0,212.0,1000
2020-09-24,210.0,210.0,260.0,202.0,202.0,44700
2020-09-25,248.0,248.0,258.0,197.0,197.0,7500
2020-09-28,242.0,242.0,248.0,232.0,248.0,400
2020-09-29,248.0,248.0,262.0,248.0,262.0,300
2020-09-30,246.0,246.0,246.0,240.0,240.0,20100
2020-10-01,250.0,250.0,260.0,250.0,260.0,500
2020-10-02,260.0,260.0,260.0,260.0,260.0,100
2020-10-05,252.0,252.0,270.0,252.0,270.0,400
2020-10-06,250.0,250.0,272.0,250.0,272.0,400
2020-10-07,250.0,250.0,250.0,250.0,250.0,100
2020-10-08,246.0,246.0,258.0,246.0,258.0,500
2020-10-09,246.0,246.0,266.0,246.0,266.0,200
2020-10-12,254.0,254.0,266.0,234.0,266.0,300
2020-10-13,244.0,244.0,270.0,244.0,270.0,63400
2020-10-14,230.0,230.0,230.0,230.0,230.0,21600
2020-10-15,230.0,230.0,230.0,230.0,230.0,100
2020-10-16,230.0,230.0,230.0,230.0,230.0,0
2020-10-19,216.0,216.0,254.0,216.0,254.0,400
2020-10-20,208.0,208.0,216.0,208.0,216.0,600
2020-10-21,208.0,208.0,208.0,195.0,195.0,900
2020-10-22,208.0,208.0,208.0,208.0,208.0,0
2020-10-23,202.0,202.0,202.0,202.0,202.0,100
2020-10-26,204.0,204.0,204.0,195.0,195.0,300
2020-10-27,192.0,192.0,192.0,192.0,192.0,100
2020-11-02,182.0,182.0,182.0,182.0,182.0,100
2020-11-03,179.0,179.0,179.0,179.0,179.0,100
2020-11-04,179.0,179.0,179.0,179.0,179.0,0
2020-11-05,179.0,179.0,179.0,179.0,179.0,0
2020-11-06,179.0,179.0,179.0,179.0,179.0,0
2020-11-09,179.0,179.0,179.0,179.0,179.0,0
2020-11-10,171.0,171.0,171.0,171.0,171.0,100
2020-11-11,183.0,183.0,183.0,183.0,183.0,100
2020-11-12,186.0,186.0,186.0,183.0,183.0,300
2020-11-13,174.0,174.0,174.0,174.0,174.0,100
2020-11-16,174.0,174.0,174.0,174.0,174.0,0
2020-11-17,186.0,186.0,234.0,162.0,162.0,1900
2020-11-18,190.0,190.0,238.0,188.0,238.0,1200
2020-11-19,200.0,200.0,254.0,190.0,190.0,8600
2020-11-20,187.0,187.0,187.0,187.0,187.0,100
2020-11-23,188.0,188.0,216.0,178.0,178.0,1200
2020-11-24,190.0,190.0,190.0,190.0,190.0,800
2020-11-25,181.0,181.0,181.0,181.0,181.0,100
2020-11-26,181.0,181.0,181.0,181.0,181.0,0
2020-11-27,234.0,234.0,234.0,234.0,234.0,200
2020-11-30,248.0,248.0,274.0,234.0,262.0,3300
2020-12-01,248.0,248.0,270.0,248.0,270.0,2200
2020-12-02,248.0,248.0,248.0,232.0,248.0,1800
2020-12-03,278.0,278.0,278.0,248.0,248.0,3500
2020-12-04,260.0,260.0,260.0,260.0,260.0,11200
2020-12-07,258.0,258.0,258.0,242.0,242.0,2300
2020-12-08,254.0,254.0,254.0,240.0,240.0,700
2020-12-10,240.0,240.0,240.0,240.0,240.0,100
2020-12-11,232.0,232.0,232.0,226.0,226.0,2600
2020-12-14,220.0,220.0,232.0,220.0,232.0,10100
2020-12-15,234.0,234.0,234.0,208.0,208.0,1300
2020-12-16,222.0,222.0,234.0,220.0,234.0,1600
