Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,121.0,121.0,141.0,112.0,113.0,22800
2020-01-03,133.0,133.0,163.0,133.0,157.0,14100
2020-01-06,133.0,133.0,171.0,133.0,135.0,153100
2020-01-07,148.0,148.0,166.0,131.0,133.0,44900
2020-01-08,148.0,148.0,148.0,148.0,148.0,100
2020-01-09,148.0,148.0,148.0,148.0,148.0,0
2020-01-10,148.0,148.0,148.0,148.0,148.0,0
2020-01-13,148.0,148.0,148.0,148.0,148.0,0
2020-01-14,147.0,147.0,147.0,147.0,147.0,100
2020-01-15,143.0,143.0,145.0,143.0,145.0,200
2020-01-16,142.0,142.0,143.0,142.0,143.0,200
2020-01-17,142.0,142.0,142.0,142.0,142.0,0
2020-01-20,142.0,142.0,142.0,142.0,142.0,100
2020-01-21,142.0,142.0,142.0,142.0,142.0,0
2020-01-22,141.0,141.0,141.0,130.0,130.0,1200
2020-01-23,141.0,141.0,141.0,141.0,141.0,0
2020-01-24,141.0,141.0,141.0,141.0,141.0,0
2020-01-27,141.0,141.0,141.0,141.0,141.0,0
2020-01-28,141.0,141.0,141.0,141.0,141.0,100
2020-01-29,126.0,126.0,126.0,126.0,126.0,100
2020-01-30,139.0,139.0,141.0,126.0,126.0,45100
2020-01-31,139.0,139.0,139.0,139.0,139.0,0
2020-02-03,139.0,139.0,139.0,139.0,139.0,0
2020-02-04,139.0,139.0,139.0,139.0,139.0,0
2020-02-05,138.0,138.0,141.0,138.0,141.0,3000100
2020-02-06,138.0,138.0,138.0,138.0,138.0,0
2020-02-07,137.0,137.0,137.0,137.0,137.0,200
2020-02-10,141.0,141.0,141.0,141.0,141.0,100
2020-02-11,141.0,141.0,141.0,141.0,141.0,0
2020-02-12,143.0,143.0,170.0,113.0,140.0,11400
2020-02-13,111.0,111.0,116.0,110.0,110.0,9600
2020-02-14,115.0,115.0,115.0,110.0,111.0,7900
2020-02-17,135.0,135.0,141.0,110.0,116.0,2700
2020-02-18,135.0,135.0,135.0,135.0,135.0,0
2020-02-19,135.0,135.0,135.0,135.0,135.0,100
2020-02-20,135.0,135.0,135.0,135.0,135.0,0
2020-02-21,130.0,130.0,141.0,130.0,141.0,400
2020-02-24,140.0,140.0,140.0,110.0,110.0,1600
2020-02-25,140.0,140.0,140.0,140.0,140.0,0
2020-02-26,140.0,140.0,140.0,140.0,140.0,100
2020-02-27,140.0,140.0,140.0,140.0,140.0,0
2020-02-28,140.0,140.0,140.0,140.0,140.0,0
2020-03-02,140.0,140.0,140.0,140.0,140.0,0
2020-03-03,140.0,140.0,140.0,140.0,140.0,0
2020-03-04,140.0,140.0,153.0,100.0,139.0,11600
2020-03-05,124.0,124.0,140.0,124.0,140.0,8600
2020-03-06,120.0,120.0,124.0,120.0,124.0,900
2020-03-09,120.0,120.0,120.0,120.0,120.0,0
2020-03-10,120.0,120.0,120.0,120.0,120.0,0
2020-03-11,110.0,110.0,110.0,110.0,110.0,100
2020-03-12,100.0,100.0,100.0,100.0,100.0,100
2020-03-13,100.0,100.0,100.0,100.0,100.0,0
2020-03-16,101.0,101.0,101.0,99.0,99.0,6700
2020-03-17,124.0,124.0,124.0,124.0,124.0,300
2020-03-18,130.0,130.0,138.0,122.0,124.0,1400
2020-03-19,129.0,129.0,129.0,121.0,129.0,1500
2020-03-20,128.0,128.0,128.0,128.0,128.0,300
2020-03-23,128.0,128.0,129.0,120.0,120.0,1200
2020-03-24,120.0,120.0,127.0,120.0,127.0,700
2020-03-26,115.0,115.0,128.0,112.0,112.0,10100
2020-03-27,115.0,115.0,115.0,115.0,115.0,0
2020-03-30,115.0,115.0,115.0,115.0,115.0,0
2020-03-31,110.0,110.0,110.0,110.0,110.0,100
2020-04-01,110.0,110.0,110.0,110.0,110.0,500
2020-04-02,110.0,110.0,110.0,110.0,110.0,0
2020-04-03,110.0,110.0,110.0,110.0,110.0,100
2020-04-06,110.0,110.0,110.0,110.0,110.0,0
2020-04-07,105.0,105.0,105.0,105.0,105.0,100
2020-04-08,105.0,105.0,105.0,105.0,105.0,0
2020-04-09,99.0,99.0,100.0,99.0,100.0,11000
2020-04-13,100.0,100.0,100.0,99.0,99.0,400
2020-04-14,100.0,100.0,100.0,100.0,100.0,0
2020-04-15,100.0,100.0,100.0,100.0,100.0,0
2020-04-16,99.0,99.0,100.0,99.0,100.0,2600
2020-04-17,99.0,99.0,99.0,99.0,99.0,0
2020-04-20,99.0,99.0,99.0,99.0,99.0,0
2020-04-21,100.0,100.0,100.0,100.0,100.0,100
2020-04-22,99.0,99.0,99.0,99.0,99.0,100
2020-04-23,124.0,124.0,124.0,99.0,100.0,34100
2020-04-24,135.0,135.0,140.0,118.0,128.0,1500
2020-04-27,135.0,135.0,135.0,126.0,127.0,700
2020-04-28,134.0,134.0,134.0,134.0,134.0,100
2020-04-29,130.0,130.0,133.0,125.0,133.0,800
2020-04-30,121.0,121.0,129.0,121.0,129.0,5300
2020-05-04,129.0,129.0,129.0,129.0,129.0,100
2020-05-05,129.0,129.0,129.0,129.0,129.0,0
2020-05-06,129.0,129.0,129.0,129.0,129.0,0
2020-05-08,120.0,120.0,120.0,120.0,120.0,1800
2020-05-11,120.0,120.0,120.0,120.0,120.0,0
2020-05-12,112.0,112.0,112.0,112.0,112.0,1200
2020-05-13,105.0,105.0,105.0,105.0,105.0,200
2020-05-14,99.0,99.0,99.0,99.0,99.0,100
2020-05-15,99.0,99.0,99.0,99.0,99.0,0
2020-05-18,100.0,100.0,100.0,100.0,100.0,400
2020-05-19,100.0,100.0,100.0,100.0,100.0,0
2020-05-20,100.0,100.0,100.0,100.0,100.0,0
2020-05-26,100.0,100.0,100.0,100.0,100.0,0
2020-05-27,100.0,100.0,100.0,100.0,100.0,0
2020-05-28,100.0,100.0,100.0,100.0,100.0,0
2020-05-29,100.0,100.0,100.0,100.0,100.0,0
2020-06-02,100.0,100.0,100.0,100.0,100.0,200
2020-06-03,100.0,100.0,100.0,100.0,100.0,100
2020-06-04,100.0,100.0,100.0,100.0,100.0,0
2020-06-05,100.0,100.0,100.0,99.0,100.0,115300
2020-06-08,100.0,100.0,100.0,99.0,100.0,300
2020-06-09,100.0,100.0,100.0,99.0,100.0,4800
2020-06-10,100.0,100.0,100.0,99.0,100.0,2100
2020-06-11,100.0,100.0,100.0,100.0,100.0,0
2020-06-12,99.0,99.0,99.0,99.0,99.0,300
2020-06-15,99.0,99.0,99.0,99.0,99.0,0
2020-06-16,99.0,99.0,99.0,99.0,99.0,0
2020-06-17,99.0,99.0,99.0,99.0,99.0,0
2020-06-18,99.0,99.0,99.0,99.0,99.0,0
2020-06-19,99.0,99.0,99.0,99.0,99.0,0
2020-06-22,99.0,99.0,99.0,99.0,99.0,0
2020-06-23,99.0,99.0,99.0,99.0,99.0,0
2020-06-24,99.0,99.0,99.0,99.0,99.0,0
2020-06-25,99.0,99.0,99.0,99.0,99.0,0
2020-06-26,99.0,99.0,99.0,99.0,99.0,5500
2020-06-29,99.0,99.0,99.0,99.0,99.0,0
2020-06-30,99.0,99.0,99.0,99.0,99.0,0
2020-07-01,99.0,99.0,99.0,99.0,99.0,0
2020-07-02,99.0,99.0,99.0,98.0,99.0,17400
