Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,453.98095703125,468.0,470.0,468.0,470.0,200
2020-01-03,453.98095703125,468.0,468.0,468.0,468.0,0
2020-01-06,453.98095703125,468.0,468.0,468.0,468.0,500
2020-01-07,453.98095703125,468.0,468.0,468.0,468.0,600
2020-01-08,485.0223693847656,500.0,500.0,462.0,462.0,200
2020-01-09,485.0223693847656,500.0,500.0,500.0,500.0,0
2020-01-10,485.0223693847656,500.0,500.0,458.0,458.0,5200
2020-01-13,481.1422424316406,496.0,496.0,496.0,496.0,500
2020-01-14,473.3818359375,488.0,488.0,480.0,480.0,200
2020-01-15,481.1422424316406,496.0,496.0,496.0,496.0,100
2020-01-16,481.1422424316406,496.0,496.0,496.0,496.0,0
2020-01-17,481.1422424316406,496.0,496.0,496.0,496.0,0
2020-01-20,481.1422424316406,496.0,496.0,496.0,496.0,100
2020-01-21,481.1422424316406,496.0,496.0,496.0,496.0,0
2020-01-22,481.1422424316406,496.0,496.0,496.0,496.0,0
2020-01-23,481.1422424316406,496.0,496.0,496.0,496.0,0
2020-01-24,479.2021484375,494.0,494.0,494.0,494.0,100
2020-01-27,442.34039306640625,456.0,458.0,456.0,458.0,1800
2020-01-28,440.4003601074219,454.0,454.0,454.0,454.0,200
2020-01-29,440.4003601074219,454.0,454.0,454.0,454.0,300
2020-01-30,438.46026611328125,452.0,452.0,452.0,452.0,100
2020-01-31,438.46026611328125,452.0,452.0,452.0,452.0,100
2020-02-03,417.1192626953125,430.0,432.0,412.0,412.0,1200
2020-02-04,397.7183837890625,410.0,510.0,410.0,510.0,6100
2020-02-05,397.7183837890625,410.0,410.0,410.0,410.0,100
2020-02-06,397.7183837890625,410.0,410.0,410.0,410.0,100
2020-02-07,388.0179138183594,400.0,400.0,400.0,400.0,1500
2020-02-10,393.8381652832031,406.0,406.0,404.0,404.0,200
2020-02-11,397.7183837890625,410.0,410.0,406.0,406.0,300
2020-02-12,397.7183837890625,410.0,410.0,410.0,410.0,100
2020-02-13,397.7183837890625,410.0,410.0,410.0,410.0,0
2020-02-14,397.7183837890625,410.0,410.0,410.0,410.0,0
2020-02-17,397.7183837890625,410.0,410.0,410.0,410.0,0
2020-02-18,397.7183837890625,410.0,410.0,410.0,410.0,0
2020-02-19,475.3219299316406,490.0,498.0,410.0,412.0,5500
2020-02-20,475.3219299316406,490.0,490.0,490.0,490.0,0
2020-02-21,465.62152099609375,480.0,500.0,480.0,500.0,2600
2020-02-24,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-02-25,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-02-26,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-02-27,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-02-28,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-02,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-03,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-04,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-05,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-06,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-09,465.62152099609375,480.0,480.0,480.0,480.0,0
2020-03-10,436.5201721191406,450.0,450.0,448.0,448.0,700
2020-03-11,436.5201721191406,450.0,450.0,450.0,450.0,0
2020-03-12,436.5201721191406,450.0,450.0,450.0,450.0,0
2020-03-13,436.5201721191406,450.0,450.0,450.0,450.0,0
2020-03-16,436.5201721191406,450.0,450.0,450.0,450.0,0
2020-03-17,434.5800476074219,448.0,448.0,448.0,448.0,100
2020-03-18,434.5800476074219,448.0,448.0,448.0,448.0,0
2020-03-19,405.4787292480469,418.0,418.0,418.0,418.0,100
2020-03-20,378.3174743652344,390.0,390.0,390.0,390.0,400
2020-03-23,353.0963134765625,364.0,364.0,364.0,364.0,3000
2020-03-24,329.8152160644531,340.0,344.0,340.0,344.0,1500
2020-03-26,314.2945251464844,324.0,340.0,318.0,338.0,12200
2020-03-27,292.9535217285156,302.0,308.0,302.0,308.0,12400
2020-03-30,273.5526428222656,282.0,300.0,282.0,300.0,3800
2020-03-31,291.013427734375,300.0,300.0,264.0,268.0,11000
2020-04-01,271.612548828125,280.0,300.0,280.0,280.0,10000
2020-04-02,254.15174865722656,262.0,270.0,262.0,262.0,12200
2020-04-03,291.013427734375,300.0,300.0,262.0,264.0,16400
2020-04-06,281.31298828125,290.0,300.0,280.0,300.0,48900
2020-04-07,281.31298828125,290.0,298.0,286.0,290.0,9300
2020-04-08,261.912109375,270.0,286.0,270.0,286.0,31100
2020-04-09,252.21163940429688,260.0,268.0,260.0,264.0,10700
2020-04-13,263.8522033691406,272.0,274.0,242.0,250.0,65300
2020-04-14,246.39137268066406,254.0,292.0,254.0,292.0,90400
2020-04-15,252.21163940429688,260.0,260.0,238.0,256.0,13300
2020-04-16,240.5711212158203,248.0,260.0,244.0,260.0,10700
2020-04-17,230.8706512451172,238.0,242.0,238.0,242.0,5300
