Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,2266.17724609375,4120.0,4270.0,4040.0,4250.0,8381300
2020-01-03,2222.173828125,4040.0,4180.0,4040.0,4170.0,7862200
2020-01-06,2310.180419921875,4200.0,4260.0,3950.0,3990.0,22453200
2020-01-07,2304.68017578125,4190.0,4240.0,4160.0,4200.0,15214600
2020-01-08,2282.678466796875,4150.0,4190.0,4100.0,4140.0,5506100
2020-01-09,2277.177978515625,4140.0,4190.0,4060.0,4140.0,4684800
2020-01-10,2266.17724609375,4120.0,4160.0,4060.0,4100.0,6252000
2020-01-13,2326.68212890625,4230.0,4230.0,4100.0,4120.0,13414500
2020-01-14,2354.183837890625,4280.0,4360.0,4250.0,4290.0,30521000
2020-01-15,2354.183837890625,4280.0,4310.0,4240.0,4300.0,16473700
2020-01-16,2354.183837890625,4280.0,4300.0,4250.0,4290.0,19579200
2020-01-17,2337.682861328125,4250.0,4290.0,4250.0,4280.0,12790800
2020-01-20,2282.678466796875,4150.0,4290.0,4000.0,4250.0,20079400
2020-01-21,2222.173828125,4040.0,4190.0,4030.0,4120.0,10975900
2020-01-22,2211.1728515625,4020.0,4090.0,3990.0,4040.0,4205800
2020-01-23,2145.16748046875,3900.0,4050.0,3820.0,4050.0,5140800
2020-01-24,2040.6595458984375,3710.0,3910.0,3710.0,3870.0,5099200
2020-01-27,1952.6527099609375,3550.0,3700.0,3550.0,3700.0,4833300
2020-01-28,1980.1549072265625,3600.0,3640.0,3440.0,3540.0,3665400
2020-01-29,1908.6492919921875,3470.0,3660.0,3450.0,3630.0,3500600
2020-01-30,1848.1446533203125,3360.0,3510.0,3340.0,3490.0,6764900
2020-01-31,1617.1263427734375,2940.0,3400.0,2940.0,3400.0,11721300
2020-02-03,1727.135009765625,3140.0,3200.0,2950.0,3010.0,11875000
2020-02-04,1639.1280517578125,2980.0,3200.0,2980.0,3170.0,5844500
2020-02-05,1738.13623046875,3160.0,3220.0,3030.0,3030.0,10159100
2020-02-06,1787.6397705078125,3250.0,3320.0,3160.0,3160.0,8319900
2020-02-07,1787.6397705078125,3250.0,3290.0,3240.0,3280.0,3459700
2020-02-10,1765.637939453125,3210.0,3270.0,3190.0,3250.0,3309900
2020-02-11,1815.1419677734375,3300.0,3350.0,3190.0,3220.0,2025200
2020-02-12,1776.638916015625,3230.0,3340.0,3200.0,3310.0,4515700
2020-02-13,1754.6368408203125,3190.0,3240.0,3130.0,3200.0,2683800
2020-02-14,1804.14111328125,3280.0,3300.0,3150.0,3220.0,2304300
2020-02-17,1881.1468505859375,3420.0,3430.0,3270.0,3310.0,2272900
2020-02-18,1925.150390625,3500.0,3580.0,3420.0,3420.0,5164600
2020-02-19,1952.6527099609375,3550.0,3630.0,3520.0,3570.0,4437500
2020-02-20,1952.6527099609375,3550.0,3710.0,3550.0,3600.0,6771300
2020-02-21,1908.6492919921875,3470.0,3630.0,3430.0,3580.0,2771100
2020-02-24,1815.1419677734375,3300.0,3450.0,3200.0,3440.0,3967700
2020-02-25,1765.637939453125,3210.0,3330.0,3160.0,3330.0,4098300
2020-02-26,1732.6353759765625,3150.0,3250.0,3100.0,3200.0,2987600
2020-02-27,1694.132568359375,3080.0,3300.0,2960.0,3200.0,13133400
2020-02-28,1727.135009765625,3140.0,3140.0,2900.0,3000.0,6827800
2020-03-02,1699.6328125,3090.0,3190.0,3020.0,3140.0,5864100
2020-03-03,1754.6368408203125,3190.0,3190.0,3090.0,3090.0,2408700
2020-03-04,1765.637939453125,3210.0,3270.0,3130.0,3180.0,3594200
2020-03-05,1639.1280517578125,2980.0,3210.0,2960.0,3210.0,34784700
2020-03-06,1567.62255859375,2850.0,2970.0,2810.0,2970.0,17458400
2020-03-09,1430.11181640625,2600.0,2620.0,2400.0,2600.0,14671000
2020-03-10,1419.1109619140625,2580.0,2700.0,2560.0,2560.0,12185200
2020-03-11,1419.1109619140625,2580.0,2600.0,2510.0,2560.0,17579300
2020-03-12,1248.5975341796875,2270.0,2500.0,2260.0,2350.0,16595900
2020-03-13,1166.0911865234375,2120.0,2240.0,2120.0,2160.0,7577400
2020-03-16,1086.3349609375,1975.0,2100.0,1975.0,2100.0,3893400
2020-03-17,1012.0791015625,1840.0,1930.0,1840.0,1930.0,4098700
2020-03-18,943.3237915039062,1715.0,1840.0,1715.0,1840.0,4019600
2020-03-19,877.3184204101562,1595.0,1700.0,1595.0,1650.0,741400
2020-03-20,852.5667114257812,1550.0,1595.0,1485.0,1595.0,21451500
2020-03-23,794.8121948242188,1445.0,1555.0,1445.0,1550.0,3182500
2020-03-24,739.8078002929688,1345.0,1440.0,1345.0,1395.0,5191800
2020-03-26,734.3074340820312,1335.0,1495.0,1300.0,1300.0,38694500
2020-03-27,750.8087158203125,1365.0,1485.0,1335.0,1350.0,26884900
2020-03-30,698.5545654296875,1270.0,1370.0,1270.0,1350.0,3547200
2020-03-31,734.3074340820312,1335.0,1420.0,1270.0,1290.0,11476000
2020-04-01,684.8035888671875,1245.0,1345.0,1245.0,1335.0,9702600
2020-04-02,638.0499267578125,1160.0,1185.0,1160.0,1175.0,12478400
2020-04-03,602.2970581054688,1095.0,1240.0,1080.0,1160.0,49779100
2020-04-06,706.8052368164062,1285.0,1295.0,1100.0,1100.0,46137400
2020-04-07,778.3108520507812,1415.0,1460.0,1300.0,1325.0,34758000
2020-04-08,726.056884765625,1320.0,1505.0,1320.0,1415.0,41919900
2020-04-09,676.5529174804688,1230.0,1360.0,1230.0,1315.0,31067200
2020-04-13,635.2996215820312,1155.0,1240.0,1145.0,1240.0,12695600
2020-04-14,748.0584716796875,1360.0,1380.0,1155.0,1175.0,38198400
2020-04-15,745.3082275390625,1355.0,1445.0,1305.0,1370.0,31906900
2020-04-16,819.5640258789062,1490.0,1665.0,1300.0,1360.0,72917100
2020-04-17,814.0636596679688,1480.0,1560.0,1440.0,1520.0,25961300
2020-04-20,825.0645141601562,1500.0,1530.0,1400.0,1480.0,23882100
