Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,81.0,81.0,82.0,80.0,80.0,30400
2020-01-03,81.0,81.0,82.0,75.0,81.0,7400
2020-01-06,81.0,81.0,81.0,78.0,78.0,700
2020-01-07,82.0,82.0,83.0,81.0,81.0,13400
2020-01-08,82.0,82.0,82.0,82.0,82.0,0
2020-01-09,81.0,81.0,81.0,75.0,75.0,1100
2020-01-10,80.0,80.0,80.0,76.0,76.0,700
2020-01-13,81.0,81.0,81.0,78.0,78.0,1000
2020-01-14,81.0,81.0,81.0,81.0,81.0,0
2020-01-15,77.0,77.0,79.0,76.0,76.0,3500
2020-01-16,79.0,79.0,79.0,77.0,77.0,12900
2020-01-17,79.0,79.0,80.0,79.0,80.0,1000
2020-01-20,79.0,79.0,81.0,79.0,80.0,17900
2020-01-21,79.0,79.0,80.0,74.0,80.0,19200
2020-01-22,77.0,77.0,80.0,74.0,79.0,10200
2020-01-23,75.0,75.0,79.0,75.0,79.0,500
2020-01-24,80.0,80.0,98.0,78.0,79.0,66900
2020-01-27,80.0,80.0,84.0,76.0,84.0,5700
2020-01-28,78.0,78.0,82.0,78.0,79.0,30900
2020-01-29,81.0,81.0,81.0,78.0,78.0,300
2020-01-30,81.0,81.0,81.0,81.0,81.0,91400
2020-01-31,80.0,80.0,80.0,74.0,75.0,400
2020-02-03,82.0,82.0,82.0,75.0,81.0,3800
2020-02-04,81.0,81.0,81.0,79.0,79.0,700
2020-02-05,81.0,81.0,81.0,74.0,81.0,400
2020-02-06,81.0,81.0,81.0,81.0,81.0,0
2020-02-07,82.0,82.0,83.0,81.0,81.0,50200
2020-02-10,80.0,80.0,80.0,80.0,80.0,2200
2020-02-11,79.0,79.0,79.0,75.0,75.0,50900
2020-02-12,79.0,79.0,79.0,74.0,74.0,21900
2020-02-13,79.0,79.0,79.0,79.0,79.0,0
2020-02-14,74.0,74.0,78.0,74.0,75.0,47600
2020-02-17,72.0,72.0,78.0,72.0,73.0,78800
