Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,131.0,131.0,131.0,131.0,131.0,0
2020-01-03,131.0,131.0,131.0,130.0,130.0,1000
2020-01-06,121.0,121.0,121.0,121.0,121.0,100
2020-01-07,121.0,121.0,121.0,121.0,121.0,1000
2020-01-08,121.0,121.0,121.0,121.0,121.0,0
2020-01-09,121.0,121.0,122.0,121.0,121.0,11400
2020-01-10,120.0,120.0,120.0,120.0,120.0,14300
2020-01-13,120.0,120.0,120.0,120.0,120.0,0
2020-01-14,120.0,120.0,120.0,120.0,120.0,0
2020-01-15,120.0,120.0,120.0,120.0,120.0,600
2020-01-16,117.0,117.0,117.0,117.0,117.0,100
2020-01-17,157.0,157.0,157.0,125.0,125.0,1179100
2020-01-20,160.0,160.0,200.0,137.0,160.0,1688400
2020-01-21,160.0,160.0,165.0,144.0,163.0,147800
2020-01-22,180.0,180.0,199.0,130.0,150.0,311700
2020-01-23,170.0,170.0,172.0,160.0,172.0,120800
2020-01-24,180.0,180.0,190.0,157.0,167.0,315300
2020-01-27,189.0,189.0,197.0,178.0,178.0,800
2020-01-28,189.0,189.0,189.0,179.0,179.0,1000
2020-01-29,200.0,200.0,244.0,140.0,140.0,300100
2020-01-30,199.0,199.0,218.0,189.0,189.0,197400
2020-01-31,200.0,200.0,232.0,189.0,190.0,163400
2020-02-03,198.0,198.0,200.0,192.0,200.0,111600
2020-02-04,185.0,185.0,197.0,185.0,197.0,22500
2020-02-05,188.0,188.0,190.0,188.0,190.0,900
2020-02-06,174.0,174.0,190.0,174.0,188.0,81200
2020-02-07,174.0,174.0,184.0,151.0,151.0,15000
2020-02-10,180.0,180.0,190.0,152.0,152.0,7000
2020-02-11,180.0,180.0,180.0,165.0,171.0,10500
2020-02-12,165.0,165.0,193.0,155.0,193.0,39800
2020-02-13,151.0,151.0,190.0,150.0,151.0,5300
2020-02-14,153.0,153.0,155.0,151.0,151.0,46700
2020-02-17,154.0,154.0,154.0,115.0,115.0,1100
2020-02-18,170.0,170.0,190.0,170.0,185.0,6000
2020-02-19,161.0,161.0,170.0,161.0,170.0,3400
2020-02-20,155.0,155.0,161.0,151.0,161.0,25500
2020-02-21,145.0,145.0,155.0,145.0,155.0,1100
2020-02-24,145.0,145.0,145.0,145.0,145.0,0
2020-02-25,158.0,158.0,158.0,126.0,136.0,400
2020-02-26,154.0,154.0,154.0,147.0,147.0,700
2020-02-27,170.0,170.0,180.0,146.0,146.0,48200
2020-02-28,168.0,168.0,168.0,130.0,130.0,4100
2020-03-02,168.0,168.0,168.0,168.0,168.0,0
2020-03-03,168.0,168.0,168.0,158.0,158.0,19000
2020-03-04,153.0,153.0,167.0,150.0,167.0,24300
2020-03-05,154.0,154.0,154.0,154.0,154.0,200
2020-03-06,156.0,156.0,156.0,156.0,156.0,8700
2020-03-09,150.0,150.0,156.0,150.0,156.0,2600
2020-03-10,150.0,150.0,150.0,150.0,150.0,5500
2020-03-11,160.0,160.0,180.0,136.0,136.0,10800
2020-03-12,158.0,158.0,160.0,150.0,160.0,1200
2020-03-13,150.0,150.0,150.0,147.0,150.0,13900
2020-03-16,146.0,146.0,150.0,146.0,150.0,1300
2020-03-17,140.0,140.0,140.0,136.0,140.0,1600
2020-03-18,156.0,156.0,167.0,131.0,131.0,106300
2020-03-19,153.0,153.0,157.0,146.0,157.0,2100
2020-03-20,143.0,143.0,157.0,143.0,157.0,293800
2020-03-23,134.0,134.0,147.0,134.0,143.0,71300
2020-03-24,125.0,125.0,130.0,125.0,125.0,51100
2020-03-26,125.0,125.0,125.0,125.0,125.0,7100
2020-03-27,149.0,149.0,150.0,125.0,125.0,900
2020-03-30,139.0,139.0,150.0,139.0,150.0,8300
2020-03-31,140.0,140.0,140.0,130.0,130.0,2400
2020-04-01,133.0,133.0,133.0,133.0,133.0,100
2020-04-02,125.0,125.0,125.0,125.0,125.0,100
2020-04-03,125.0,125.0,125.0,125.0,125.0,0
2020-04-06,156.0,156.0,156.0,118.0,118.0,600
2020-04-07,154.0,154.0,154.0,146.0,146.0,1200
2020-04-08,154.0,154.0,154.0,154.0,154.0,600
2020-04-09,154.0,154.0,154.0,154.0,154.0,0
2020-04-13,144.0,144.0,144.0,144.0,144.0,5000
2020-04-14,144.0,144.0,144.0,144.0,144.0,0
2020-04-15,144.0,144.0,144.0,144.0,144.0,0
2020-04-16,144.0,144.0,144.0,144.0,144.0,0
2020-04-17,144.0,144.0,144.0,144.0,144.0,0
2020-04-20,156.0,156.0,156.0,156.0,156.0,500
2020-04-21,156.0,156.0,156.0,156.0,156.0,0
2020-04-22,156.0,156.0,156.0,156.0,156.0,500
2020-04-23,156.0,156.0,156.0,156.0,156.0,1000
2020-04-24,157.0,157.0,157.0,157.0,157.0,400
2020-04-27,156.0,156.0,156.0,156.0,156.0,15000
2020-04-28,156.0,156.0,156.0,156.0,156.0,0
2020-04-29,156.0,156.0,156.0,156.0,156.0,700
2020-04-30,156.0,156.0,156.0,156.0,156.0,100
2020-05-04,156.0,156.0,156.0,156.0,156.0,0
2020-05-05,156.0,156.0,156.0,156.0,156.0,0
2020-05-06,156.0,156.0,156.0,156.0,156.0,0
2020-05-08,156.0,156.0,156.0,156.0,156.0,0
2020-05-11,156.0,156.0,156.0,156.0,156.0,0
2020-05-12,148.0,148.0,148.0,148.0,148.0,700
2020-05-13,148.0,148.0,148.0,148.0,148.0,0
2020-05-14,148.0,148.0,148.0,148.0,148.0,0
2020-05-15,148.0,148.0,148.0,148.0,148.0,0
2020-05-18,148.0,148.0,148.0,148.0,148.0,0
2020-05-19,148.0,148.0,148.0,138.0,138.0,10200
2020-05-20,148.0,148.0,148.0,148.0,148.0,0
2020-05-26,148.0,148.0,148.0,148.0,148.0,0
2020-05-27,148.0,148.0,148.0,148.0,148.0,200
2020-05-28,148.0,148.0,148.0,148.0,148.0,0
2020-05-29,148.0,148.0,148.0,148.0,148.0,0
2020-06-02,148.0,148.0,148.0,148.0,148.0,0
2020-06-03,148.0,148.0,148.0,140.0,140.0,700
2020-06-04,148.0,148.0,148.0,148.0,148.0,0
2020-06-05,148.0,148.0,148.0,148.0,148.0,0
2020-06-08,148.0,148.0,148.0,148.0,148.0,0
2020-06-09,148.0,148.0,148.0,148.0,148.0,0
2020-06-10,148.0,148.0,148.0,148.0,148.0,0
2020-06-11,148.0,148.0,148.0,148.0,148.0,0
2020-06-12,150.0,150.0,150.0,150.0,150.0,500
2020-06-15,149.0,149.0,150.0,140.0,150.0,11000
2020-06-16,149.0,149.0,149.0,149.0,149.0,100
2020-06-17,149.0,149.0,149.0,149.0,149.0,10900
2020-06-18,149.0,149.0,149.0,149.0,149.0,0
2020-06-19,149.0,149.0,149.0,149.0,149.0,0
