Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,2840.0,2840.0,2900.0,2840.0,2880.0,352100
2020-01-03,2840.0,2840.0,2840.0,2830.0,2830.0,134600
2020-01-06,2810.0,2810.0,2860.0,2810.0,2840.0,2167800
2020-01-07,2810.0,2810.0,2830.0,2800.0,2810.0,530800
2020-01-08,2620.0,2620.0,2800.0,2420.0,2800.0,398300
2020-01-09,2560.0,2560.0,2620.0,2560.0,2620.0,12900
2020-01-10,2390.0,2390.0,2560.0,2340.0,2560.0,267300
2020-01-13,2300.0,2300.0,2390.0,2290.0,2390.0,169200
2020-01-14,2330.0,2330.0,2370.0,2300.0,2300.0,156300
2020-01-15,2360.0,2360.0,2390.0,2310.0,2330.0,316700
2020-01-16,2950.0,2950.0,2950.0,2340.0,2360.0,1127000
2020-01-17,2490.0,2490.0,2900.0,2480.0,2900.0,73900
2020-01-20,2500.0,2500.0,2500.0,2400.0,2400.0,140900
2020-01-21,2400.0,2400.0,2500.0,2400.0,2500.0,19900
2020-01-22,2400.0,2400.0,2400.0,2300.0,2370.0,10500
2020-01-23,2380.0,2380.0,2380.0,2320.0,2320.0,1000
2020-01-24,2380.0,2380.0,2380.0,2300.0,2380.0,144500
2020-01-27,2380.0,2380.0,2390.0,2330.0,2350.0,48700
2020-01-28,2300.0,2300.0,2380.0,2290.0,2350.0,45000
2020-01-29,2240.0,2240.0,2300.0,2230.0,2300.0,94200
2020-01-30,2270.0,2270.0,2340.0,2230.0,2240.0,29500
2020-01-31,2240.0,2240.0,2270.0,2150.0,2270.0,76000
2020-02-03,2150.0,2150.0,2200.0,2150.0,2200.0,42600
2020-02-04,2080.0,2080.0,2170.0,2080.0,2170.0,71500
2020-02-05,2170.0,2170.0,2170.0,2080.0,2130.0,32900
2020-02-06,2100.0,2100.0,2120.0,2100.0,2100.0,9400
2020-02-07,2070.0,2070.0,2100.0,2070.0,2090.0,33700
2020-02-10,2020.0,2020.0,2070.0,1915.0,2060.0,142000
2020-02-11,1915.0,1915.0,2000.0,1880.0,2000.0,86000
2020-02-12,1830.0,1830.0,1915.0,1750.0,1915.0,686300
2020-02-13,1835.0,1835.0,1860.0,1780.0,1820.0,34400
2020-02-14,1850.0,1850.0,1890.0,1805.0,1845.0,140800
2020-02-17,1865.0,1865.0,1895.0,1825.0,1850.0,213500
2020-02-18,1755.0,1755.0,1865.0,1755.0,1865.0,145000
2020-02-19,1755.0,1755.0,1785.0,1745.0,1755.0,139200
2020-02-20,1755.0,1755.0,1760.0,1700.0,1755.0,59100
2020-02-21,1755.0,1755.0,1755.0,1725.0,1750.0,59800
2020-02-24,1850.0,1850.0,1850.0,1730.0,1730.0,142900
2020-02-25,1765.0,1765.0,1880.0,1730.0,1850.0,247700
2020-02-26,1755.0,1755.0,1770.0,1725.0,1770.0,6700
2020-02-27,1760.0,1760.0,1760.0,1720.0,1755.0,13900
2020-02-28,1800.0,1800.0,1800.0,1690.0,1705.0,26400
2020-03-02,1760.0,1760.0,1785.0,1740.0,1750.0,564400
2020-03-03,1720.0,1720.0,1800.0,1720.0,1760.0,4100
2020-03-04,1735.0,1735.0,1750.0,1680.0,1720.0,83900
2020-03-05,1800.0,1800.0,1800.0,1705.0,1705.0,179000
2020-03-06,1700.0,1700.0,1800.0,1700.0,1800.0,8900
2020-03-09,1645.0,1645.0,1695.0,1620.0,1695.0,8700
2020-03-10,1780.0,1780.0,1790.0,1635.0,1640.0,44200
2020-03-11,1750.0,1750.0,1780.0,1750.0,1780.0,10200
2020-03-12,1700.0,1700.0,1700.0,1700.0,1700.0,500
2020-03-13,1585.0,1585.0,1650.0,1585.0,1650.0,3100
2020-03-16,1575.0,1575.0,1585.0,1475.0,1545.0,27600
2020-03-17,1465.0,1465.0,1475.0,1465.0,1475.0,5500
2020-03-18,1400.0,1400.0,1400.0,1400.0,1400.0,19100
2020-03-19,1340.0,1340.0,1440.0,1305.0,1440.0,1400
2020-03-20,1260.0,1260.0,1380.0,1250.0,1380.0,32100
2020-03-23,1175.0,1175.0,1200.0,1175.0,1175.0,7800
2020-03-24,1110.0,1110.0,1165.0,1110.0,1165.0,600
2020-03-26,1140.0,1140.0,1150.0,1055.0,1150.0,991800
2020-03-27,1105.0,1105.0,1140.0,1100.0,1135.0,136400
2020-03-30,1030.0,1030.0,1125.0,1030.0,1125.0,528800
2020-03-31,1015.0,1015.0,1065.0,960.0,1030.0,7700
2020-04-01,1000.0,1000.0,1040.0,970.0,1035.0,77500
2020-04-02,1015.0,1015.0,1070.0,1015.0,1070.0,500
2020-04-03,1015.0,1015.0,1030.0,970.0,1030.0,28500
2020-04-06,965.0,965.0,1020.0,965.0,1000.0,64700
2020-04-07,1000.0,1000.0,1030.0,950.0,1030.0,141800
2020-04-08,975.0,975.0,1000.0,945.0,1000.0,274800
2020-04-09,980.0,980.0,1000.0,940.0,965.0,16500
2020-04-13,1005.0,1005.0,1015.0,915.0,1015.0,74500
2020-04-14,1015.0,1015.0,1015.0,950.0,1005.0,135600
2020-04-15,1010.0,1010.0,1015.0,960.0,1015.0,25500
2020-04-16,995.0,995.0,1040.0,960.0,1010.0,599400
2020-04-17,1000.0,1000.0,1000.0,940.0,1000.0,93700
2020-04-20,970.0,970.0,1000.0,965.0,1000.0,24100
2020-04-21,960.0,960.0,985.0,945.0,980.0,22000
2020-04-22,970.0,970.0,985.0,950.0,985.0,29600
2020-04-23,980.0,980.0,1010.0,970.0,1000.0,31400
2020-04-24,970.0,970.0,985.0,960.0,985.0,95300
2020-04-27,940.0,940.0,970.0,935.0,970.0,12900
2020-04-28,935.0,935.0,970.0,920.0,940.0,29300
2020-04-29,940.0,940.0,960.0,940.0,960.0,31500
2020-04-30,955.0,955.0,1000.0,940.0,940.0,552900
2020-05-04,945.0,945.0,975.0,940.0,960.0,522500
2020-05-05,935.0,935.0,965.0,885.0,965.0,145600
2020-05-06,920.0,920.0,955.0,885.0,890.0,25800
2020-05-08,895.0,895.0,965.0,895.0,915.0,298400
2020-05-11,850.0,850.0,935.0,850.0,935.0,100200
2020-05-12,795.0,795.0,860.0,795.0,860.0,306600
2020-05-13,740.0,740.0,860.0,740.0,795.0,1201400
2020-05-14,690.0,690.0,765.0,690.0,750.0,1390300
2020-05-15,645.0,645.0,710.0,645.0,710.0,227400
2020-05-18,645.0,645.0,805.0,600.0,645.0,38070900
2020-05-19,660.0,660.0,775.0,645.0,700.0,4359800
2020-05-20,665.0,665.0,720.0,655.0,680.0,3031800
2020-05-26,645.0,645.0,665.0,620.0,665.0,618900
2020-05-27,760.0,760.0,800.0,650.0,670.0,1786200
2020-05-28,950.0,950.0,950.0,775.0,775.0,8107800
2020-05-29,965.0,965.0,1040.0,885.0,960.0,5837300
2020-06-02,965.0,965.0,1030.0,940.0,965.0,4823000
2020-06-03,965.0,965.0,1095.0,955.0,980.0,1979100
2020-06-04,940.0,940.0,985.0,905.0,970.0,465500
2020-06-05,1050.0,1050.0,1130.0,915.0,940.0,9141000
2020-06-08,1145.0,1145.0,1250.0,1050.0,1065.0,3247100
2020-06-09,1280.0,1280.0,1375.0,1150.0,1160.0,8030000
2020-06-10,1280.0,1280.0,1450.0,1195.0,1295.0,5842700
2020-06-11,1290.0,1290.0,1310.0,1250.0,1250.0,711200
2020-06-12,1280.0,1280.0,1320.0,1200.0,1275.0,4234000
2020-06-15,1350.0,1350.0,1420.0,1255.0,1290.0,1716700
2020-06-16,1385.0,1385.0,1450.0,1350.0,1350.0,1694100
2020-06-17,1380.0,1380.0,1425.0,1375.0,1390.0,5036600
2020-06-18,1410.0,1410.0,1410.0,1360.0,1380.0,3392900
2020-06-19,1360.0,1360.0,1410.0,1335.0,1405.0,673300
2020-06-22,1360.0,1360.0,1395.0,1350.0,1360.0,651400
2020-06-23,1365.0,1365.0,1405.0,1360.0,1365.0,885000
2020-06-24,1370.0,1370.0,1410.0,1330.0,1380.0,7563500
2020-06-25,1375.0,1375.0,1450.0,1370.0,1380.0,2007000
