Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,2084.973876953125,2900.0,2900.0,2820.0,2850.0,10100
2020-01-03,2063.4052734375,2870.0,2900.0,2850.0,2900.0,2700
2020-01-06,2084.973876953125,2900.0,2900.0,2850.0,2870.0,11600
2020-01-07,2034.646484375,2830.0,2900.0,2800.0,2900.0,9400
2020-01-08,2034.646484375,2830.0,2850.0,2820.0,2820.0,500
2020-01-09,2020.2677001953125,2810.0,2850.0,2800.0,2830.0,4600
2020-01-10,2041.8365478515625,2840.0,2850.0,2800.0,2800.0,15500
2020-01-13,2027.4571533203125,2820.0,2850.0,2810.0,2810.0,5700
2020-01-14,2041.8365478515625,2840.0,2850.0,2840.0,2850.0,11400
2020-01-15,2020.2677001953125,2810.0,2840.0,2810.0,2810.0,6200
2020-01-16,2005.888427734375,2790.0,2820.0,2770.0,2810.0,26200
2020-01-17,1998.6990966796875,2780.0,2830.0,2780.0,2830.0,23900
2020-01-20,1991.509521484375,2770.0,2770.0,2680.0,2730.0,19900
2020-01-21,1926.80322265625,2680.0,2760.0,2650.0,2680.0,27400
2020-01-22,1890.8555908203125,2630.0,2640.0,2610.0,2620.0,10600
2020-01-23,1883.6658935546875,2620.0,2700.0,2610.0,2610.0,4500
2020-01-24,1883.6658935546875,2620.0,2800.0,2620.0,2780.0,2400
2020-01-27,1818.9598388671875,2530.0,2610.0,2510.0,2610.0,20500
2020-01-28,1833.3388671875,2550.0,2550.0,2530.0,2530.0,8600
2020-01-29,1797.3909912109375,2500.0,2550.0,2450.0,2550.0,15400
2020-01-30,1797.3909912109375,2500.0,2590.0,2500.0,2500.0,9300
2020-01-31,1761.4432373046875,2450.0,2500.0,2450.0,2500.0,8900
2020-02-03,1747.0643310546875,2430.0,2460.0,2430.0,2450.0,4400
2020-02-04,1747.0643310546875,2430.0,2450.0,2420.0,2420.0,9700
2020-02-05,1754.253662109375,2440.0,2450.0,2410.0,2430.0,4400
2020-02-06,1775.8223876953125,2470.0,2480.0,2440.0,2440.0,5600
2020-02-07,1790.2015380859375,2490.0,2490.0,2480.0,2480.0,1500
2020-02-10,1790.2015380859375,2490.0,2530.0,2490.0,2490.0,2600
2020-02-11,1768.633056640625,2460.0,2510.0,2410.0,2510.0,3600
2020-02-12,1732.68505859375,2410.0,2500.0,2410.0,2500.0,8400
2020-02-13,1732.68505859375,2410.0,2410.0,2360.0,2410.0,2400
2020-02-14,1682.358154296875,2340.0,2400.0,2200.0,2280.0,6300
2020-02-17,1588.8936767578125,2210.0,2310.0,1980.0,2310.0,14100
2020-02-18,1588.8936767578125,2210.0,2210.0,2210.0,2210.0,1700
2020-02-19,1588.8936767578125,2210.0,2260.0,2210.0,2210.0,3300
2020-02-20,1603.27294921875,2230.0,2230.0,2100.0,2200.0,12800
2020-02-21,1581.7042236328125,2200.0,2250.0,2100.0,2220.0,5700
2020-02-24,1639.220703125,2280.0,2280.0,2200.0,2200.0,4000
2020-02-25,1524.187744140625,2120.0,2280.0,2120.0,2280.0,8000
2020-02-26,1574.5145263671875,2190.0,2190.0,2100.0,2120.0,9600
2020-02-27,1509.80859375,2100.0,2190.0,2100.0,2190.0,10400
2020-02-28,1383.9913330078125,1925.0,2100.0,1900.0,2100.0,84700
2020-03-02,1412.7493896484375,1965.0,1965.0,1860.0,1945.0,16800
2020-03-03,1437.9129638671875,2000.0,2050.0,1960.0,1960.0,4600
2020-03-04,1445.1024169921875,2010.0,2150.0,2010.0,2050.0,12100
2020-03-05,1516.9981689453125,2110.0,2110.0,2000.0,2010.0,16700
2020-03-06,1445.1024169921875,2010.0,2090.0,2000.0,2090.0,4700
2020-03-09,1412.7493896484375,1965.0,2050.0,1910.0,2050.0,6000
2020-03-10,1459.4815673828125,2030.0,2030.0,1970.0,1990.0,4900
2020-03-11,1416.3443603515625,1970.0,2080.0,1970.0,2030.0,4400
2020-03-12,1351.6380615234375,1880.0,1970.0,1880.0,1920.0,7900
2020-03-13,1351.6380615234375,1880.0,1880.0,1880.0,1880.0,0
2020-03-16,1240.199951171875,1725.0,1850.0,1725.0,1840.0,15400
2020-03-17,1153.9249267578125,1605.0,1695.0,1605.0,1695.0,38500
2020-03-18,1078.4346923828125,1500.0,1605.0,1495.0,1605.0,41100
2020-03-19,1002.9442138671875,1395.0,1500.0,1395.0,1500.0,51100
2020-03-20,966.9963989257812,1345.0,1345.0,1300.0,1300.0,47000
2020-03-23,902.2903442382812,1255.0,1295.0,1255.0,1255.0,17500
2020-03-24,902.2903442382812,1255.0,1260.0,1170.0,1250.0,66600
2020-03-26,1078.4346923828125,1500.0,1500.0,1375.0,1375.0,76000
2020-03-27,1193.4677734375,1660.0,1660.0,1510.0,1510.0,46300
2020-03-30,1186.2783203125,1650.0,1670.0,1555.0,1670.0,23500
2020-03-31,1250.9842529296875,1740.0,1750.0,1630.0,1650.0,110800
2020-04-01,1315.690185546875,1830.0,2090.0,1670.0,1670.0,69300
2020-04-02,1351.6380615234375,1880.0,1970.0,1800.0,1800.0,54600
2020-04-03,1315.690185546875,1830.0,1950.0,1825.0,1950.0,71200
2020-04-06,1330.0694580078125,1850.0,1860.0,1815.0,1860.0,52700
2020-04-07,1362.42236328125,1895.0,2000.0,1855.0,1860.0,42300
2020-04-08,1297.71630859375,1805.0,1895.0,1805.0,1895.0,26300
2020-04-09,1308.5006103515625,1820.0,1850.0,1750.0,1805.0,62100
2020-04-13,1322.8798828125,1840.0,1870.0,1780.0,1840.0,33800
2020-04-14,1376.8016357421875,1915.0,1990.0,1850.0,1890.0,41300
2020-04-15,1394.7755126953125,1940.0,2040.0,1885.0,1950.0,55600
2020-04-16,1369.612060546875,1905.0,1985.0,1900.0,1950.0,13300
2020-04-17,1398.3702392578125,1945.0,1950.0,1900.0,1905.0,36200
2020-04-20,1373.2069091796875,1910.0,1930.0,1890.0,1890.0,10600
2020-04-21,1351.6380615234375,1880.0,1900.0,1860.0,1890.0,11900
2020-04-22,1380.396484375,1920.0,1985.0,1880.0,1880.0,31300
2020-04-23,1416.3443603515625,1970.0,1985.0,1930.0,1950.0,16400
2020-04-24,1412.7493896484375,1965.0,2000.0,1910.0,1965.0,4500
2020-04-27,1427.128662109375,1985.0,1990.0,1940.0,1965.0,37800
2020-04-28,1427.128662109375,1985.0,2200.0,1975.0,1975.0,47300
2020-04-29,1509.80859375,2100.0,2300.0,1975.0,2010.0,61800
2020-04-30,1495.42919921875,2080.0,2200.0,2080.0,2100.0,52100
2020-05-04,1437.9129638671875,2000.0,2080.0,1990.0,2080.0,46500
2020-05-05,1466.6712646484375,2040.0,2070.0,2010.0,2010.0,14600
