Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,371.9469909667969,580.0,760.0,580.0,760.0,437700
2020-01-03,378.35980224609375,590.0,615.0,462.0,560.0,511800
2020-01-06,352.70831298828125,550.0,590.0,530.0,590.0,93800
2020-01-07,346.2954406738281,540.0,550.0,505.0,550.0,27000
2020-01-08,327.0567932128906,510.0,530.0,500.0,515.0,39600
2020-01-09,327.0567932128906,510.0,520.0,500.0,500.0,17100
2020-01-10,327.0567932128906,510.0,515.0,500.0,510.0,13200
2020-01-13,323.850341796875,505.0,505.0,498.0,500.0,23400
2020-01-14,323.850341796875,505.0,510.0,500.0,505.0,25800
2020-01-15,323.850341796875,505.0,535.0,500.0,505.0,22400
2020-01-16,319.3613586425781,498.0,505.0,490.0,498.0,18200
2020-01-17,305.2530212402344,476.0,498.0,470.0,498.0,9200
2020-01-20,291.1446838378906,454.0,476.0,440.0,476.0,14100
2020-01-21,294.992431640625,460.0,460.0,460.0,460.0,600
2020-01-22,284.7317810058594,444.0,460.0,440.0,460.0,26500
2020-01-23,284.7317810058594,444.0,446.0,444.0,444.0,1600
2020-01-24,301.4052734375,470.0,470.0,444.0,444.0,8800
2020-01-27,287.29693603515625,448.0,470.0,448.0,450.0,5100
2020-01-28,289.8620910644531,452.0,470.0,448.0,470.0,4500
2020-01-29,289.8620910644531,452.0,456.0,428.0,444.0,32000
2020-01-30,289.8620910644531,452.0,452.0,452.0,452.0,17600
2020-01-31,275.7537841796875,430.0,440.0,420.0,440.0,1400
2020-02-03,274.47119140625,428.0,430.0,398.0,422.0,29900
2020-02-04,274.47119140625,428.0,430.0,420.0,428.0,2000
2020-02-05,265.4931945800781,414.0,428.0,414.0,428.0,1700
2020-02-06,260.36285400390625,406.0,414.0,404.0,414.0,7100
2020-02-07,288.57952880859375,450.0,470.0,390.0,400.0,40800
2020-02-10,288.57952880859375,450.0,450.0,450.0,450.0,0
2020-02-11,275.7537841796875,430.0,444.0,430.0,444.0,1700
2020-02-12,209.059814453125,326.0,428.0,326.0,428.0,11300
2020-02-13,243.68939208984375,380.0,390.0,328.0,328.0,27200
2020-02-14,256.51513671875,400.0,410.0,380.0,382.0,38600
2020-02-17,261.6454162597656,408.0,420.0,400.0,420.0,14200
2020-02-18,262.927978515625,410.0,410.0,400.0,408.0,8700
2020-02-19,260.36285400390625,406.0,410.0,400.0,410.0,3000
2020-02-20,260.36285400390625,406.0,406.0,406.0,406.0,1300
2020-02-21,250.10220336914062,390.0,406.0,388.0,388.0,800
2020-02-24,253.9499969482422,396.0,400.0,390.0,390.0,9900
2020-02-25,256.51513671875,400.0,400.0,400.0,400.0,400
2020-02-26,255.2325439453125,398.0,400.0,380.0,400.0,1200
2020-02-27,255.2325439453125,398.0,398.0,398.0,398.0,2500
2020-02-28,252.6674041748047,394.0,394.0,394.0,394.0,400
2020-03-02,255.2325439453125,398.0,398.0,300.0,360.0,10300
2020-03-03,283.44921875,442.0,488.0,414.0,414.0,900
2020-03-04,283.44921875,442.0,442.0,442.0,442.0,0
2020-03-05,259.08026123046875,404.0,440.0,404.0,440.0,5900
2020-03-06,280.884033203125,438.0,442.0,384.0,404.0,76500
2020-03-09,271.9060363769531,424.0,430.0,424.0,430.0,3100
2020-03-10,248.81967163085938,388.0,424.0,386.0,424.0,84700
2020-03-11,237.27650451660156,370.0,388.0,370.0,388.0,1900
2020-03-12,224.4507293701172,350.0,392.0,350.0,392.0,2900
