Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,886.7350463867188,895.0,910.0,890.0,900.0,1268500
2020-01-03,876.8273315429688,885.0,905.0,885.0,890.0,1680800
2020-01-06,876.8273315429688,885.0,895.0,880.0,885.0,1914500
2020-01-07,871.87353515625,880.0,900.0,880.0,885.0,1513100
2020-01-08,857.0120849609375,865.0,885.0,865.0,875.0,1724600
2020-01-09,852.0582885742188,860.0,880.0,855.0,865.0,1587900
2020-01-10,847.1044311523438,855.0,875.0,855.0,855.0,1809400
2020-01-13,842.1505737304688,850.0,855.0,845.0,855.0,1399900
2020-01-14,842.1505737304688,850.0,860.0,845.0,850.0,1277500
2020-01-15,852.0582885742188,860.0,860.0,835.0,850.0,1775800
2020-01-16,837.19677734375,845.0,860.0,845.0,855.0,883500
2020-01-17,832.242919921875,840.0,855.0,835.0,845.0,993400
2020-01-20,822.3352661132812,830.0,855.0,825.0,840.0,1371500
2020-01-21,822.3352661132812,830.0,845.0,825.0,825.0,1760600
2020-01-22,837.19677734375,845.0,845.0,825.0,830.0,1355700
2020-01-23,842.1505737304688,850.0,855.0,840.0,840.0,1626500
2020-01-24,871.87353515625,880.0,880.0,845.0,850.0,4239800
2020-01-27,876.8273315429688,885.0,900.0,875.0,880.0,3838900
2020-01-28,857.0120849609375,865.0,885.0,865.0,885.0,1532700
2020-01-29,861.9658813476562,870.0,880.0,860.0,860.0,1783800
2020-01-30,857.0120849609375,865.0,865.0,860.0,865.0,1721100
2020-01-31,837.19677734375,845.0,860.0,840.0,860.0,1541500
2020-02-03,822.3352661132812,830.0,840.0,825.0,840.0,738200
2020-02-04,837.19677734375,845.0,850.0,830.0,830.0,1637000
2020-02-05,827.2891235351562,835.0,850.0,820.0,845.0,1946900
2020-02-06,822.3352661132812,830.0,830.0,825.0,830.0,1185000
2020-02-07,822.3352661132812,830.0,840.0,825.0,835.0,1882800
2020-02-10,817.3814697265625,825.0,830.0,820.0,830.0,1977500
2020-02-11,822.3352661132812,830.0,835.0,825.0,830.0,2378100
2020-02-12,822.3352661132812,830.0,830.0,800.0,830.0,2498300
2020-02-13,812.4276733398438,820.0,835.0,820.0,830.0,2242500
2020-02-14,812.4276733398438,820.0,820.0,815.0,820.0,2108700
2020-02-17,817.3814697265625,825.0,825.0,800.0,820.0,1152000
2020-02-18,802.5199584960938,810.0,830.0,800.0,820.0,1203300
2020-02-19,807.4737548828125,815.0,820.0,805.0,810.0,1940000
2020-02-20,817.3814697265625,825.0,835.0,800.0,810.0,2626700
2020-02-21,812.4276733398438,820.0,825.0,810.0,825.0,1737500
2020-02-24,807.4737548828125,815.0,815.0,805.0,815.0,1198500
2020-02-25,797.566162109375,805.0,815.0,805.0,815.0,633400
2020-02-26,772.7969970703125,780.0,800.0,780.0,800.0,284300
2020-02-27,752.981689453125,760.0,780.0,755.0,780.0,298500
2020-02-28,743.0740966796875,750.0,750.0,745.0,750.0,133700
2020-03-02,733.1663818359375,740.0,750.0,740.0,745.0,81100
2020-03-03,733.1663818359375,740.0,765.0,735.0,735.0,2034500
2020-03-04,733.1663818359375,740.0,750.0,725.0,740.0,1531800
2020-03-05,728.2125854492188,735.0,755.0,735.0,740.0,982400
2020-03-06,718.304931640625,725.0,740.0,725.0,735.0,1559600
2020-03-09,703.4434814453125,710.0,725.0,675.0,725.0,1600700
2020-03-10,703.4434814453125,710.0,710.0,700.0,700.0,525500
2020-03-11,683.6281127929688,690.0,705.0,690.0,705.0,863900
2020-03-12,673.7205200195312,680.0,690.0,675.0,685.0,863700
2020-03-13,673.7205200195312,680.0,680.0,635.0,675.0,1444400
2020-03-16,653.9051513671875,660.0,685.0,660.0,680.0,1349200
2020-03-17,629.135986328125,635.0,655.0,635.0,645.0,1856800
2020-03-18,619.2283935546875,625.0,645.0,625.0,635.0,1327000
2020-03-19,619.2283935546875,625.0,640.0,600.0,625.0,2070800
2020-03-20,629.135986328125,635.0,635.0,605.0,625.0,2869300
2020-03-23,619.2283935546875,625.0,625.0,620.0,620.0,1672300
2020-03-24,624.1821899414062,630.0,630.0,615.0,625.0,1447400
2020-03-26,629.135986328125,635.0,635.0,605.0,630.0,952900
2020-03-27,634.0899047851562,640.0,645.0,600.0,635.0,1065600
2020-03-30,619.2283935546875,625.0,625.0,600.0,605.0,608500
2020-03-31,624.1821899414062,630.0,635.0,620.0,625.0,1248900
2020-04-01,624.1821899414062,630.0,635.0,605.0,630.0,1687700
2020-04-02,614.2745361328125,620.0,630.0,615.0,620.0,4152400
2020-04-03,629.135986328125,635.0,635.0,625.0,630.0,2314300
2020-04-06,639.043701171875,645.0,650.0,630.0,635.0,1227000
2020-04-07,634.0899047851562,640.0,645.0,630.0,640.0,1469100
2020-04-08,634.0899047851562,640.0,640.0,625.0,635.0,602200
2020-04-09,634.0899047851562,640.0,645.0,625.0,640.0,1724700
2020-04-13,629.135986328125,635.0,635.0,620.0,635.0,562300
