Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,267.8674621582031,438.0,448.0,436.0,448.0,37000
2020-01-03,287.4377136230469,470.0,470.0,470.0,470.0,100
2020-01-06,286.214599609375,468.0,470.0,468.0,470.0,600
2020-01-07,283.768310546875,464.0,466.0,442.0,466.0,1700
2020-01-08,269.09063720703125,440.0,460.0,440.0,460.0,3100
2020-01-09,259.3055114746094,424.0,460.0,420.0,438.0,5200
2020-01-10,260.5286865234375,426.0,428.0,424.0,424.0,3200
2020-01-13,264.19805908203125,432.0,464.0,432.0,450.0,5600
2020-01-14,264.19805908203125,432.0,432.0,432.0,432.0,1300
2020-01-15,262.9749450683594,430.0,468.0,430.0,432.0,9300
2020-01-16,251.9666748046875,412.0,430.0,410.0,430.0,53400
2020-01-17,248.2972412109375,406.0,422.0,400.0,422.0,68500
2020-01-20,250.74356079101562,410.0,426.0,406.0,420.0,46800
2020-01-21,245.8509979248047,402.0,410.0,400.0,406.0,90100
2020-01-22,244.6278076171875,400.0,404.0,400.0,404.0,84100
2020-01-23,243.4047088623047,398.0,410.0,398.0,400.0,1300
2020-01-24,242.18153381347656,396.0,398.0,396.0,398.0,92500
2020-01-27,247.07412719726562,404.0,404.0,396.0,396.0,25200
2020-01-28,236.06591796875,386.0,440.0,384.0,404.0,141500
2020-01-29,226.28077697753906,370.0,390.0,366.0,386.0,925800
2020-01-30,215.27249145507812,352.0,380.0,352.0,380.0,40400
2020-01-31,214.0493621826172,350.0,356.0,350.0,356.0,91200
2020-02-03,211.6031036376953,346.0,370.0,346.0,350.0,20300
2020-02-04,201.81797790527344,330.0,366.0,300.0,366.0,48500
2020-02-05,201.81797790527344,330.0,340.0,330.0,330.0,220400
2020-02-06,201.81797790527344,330.0,330.0,326.0,330.0,31900
2020-02-07,199.37167358398438,326.0,350.0,326.0,330.0,113500
2020-02-10,201.81797790527344,330.0,332.0,330.0,330.0,14700
2020-02-11,225.05763244628906,368.0,368.0,322.0,350.0,4400
2020-02-12,214.0493621826172,350.0,360.0,334.0,360.0,34400
2020-02-13,214.0493621826172,350.0,368.0,350.0,350.0,5500
2020-02-14,211.6031036376953,346.0,370.0,346.0,370.0,6100
2020-02-17,203.0410919189453,332.0,334.0,330.0,330.0,5600
2020-02-18,205.48739624023438,336.0,350.0,336.0,350.0,600
2020-02-19,237.28900146484375,388.0,390.0,340.0,340.0,6800
2020-02-20,234.84271240234375,384.0,384.0,384.0,384.0,300
2020-02-21,232.39642333984375,380.0,384.0,380.0,384.0,600
2020-02-24,238.5121612548828,390.0,390.0,376.0,380.0,30900
2020-02-25,237.28900146484375,388.0,388.0,370.0,370.0,1600
2020-02-26,237.28900146484375,388.0,388.0,380.0,388.0,3600
2020-02-27,236.06591796875,386.0,388.0,324.0,388.0,5200
2020-02-28,225.05763244628906,368.0,378.0,368.0,378.0,10500
2020-03-02,214.0493621826172,350.0,360.0,276.0,276.0,23800
2020-03-03,238.5121612548828,390.0,390.0,370.0,370.0,8900
2020-03-04,227.50389099121094,372.0,390.0,370.0,390.0,3000
2020-03-05,227.50389099121094,372.0,372.0,372.0,372.0,0
2020-03-06,242.18153381347656,396.0,398.0,380.0,380.0,8800
2020-03-09,244.6278076171875,400.0,400.0,390.0,390.0,1700
2020-03-10,244.6278076171875,400.0,400.0,374.0,380.0,4500
2020-03-11,229.95016479492188,376.0,400.0,376.0,400.0,3900
2020-03-12,218.94192504882812,358.0,388.0,342.0,376.0,1600
2020-03-13,209.1567840576172,342.0,342.0,342.0,342.0,900
2020-03-16,195.7022705078125,320.0,340.0,320.0,340.0,56400
2020-03-17,207.9336700439453,340.0,340.0,340.0,340.0,200
2020-03-18,207.9336700439453,340.0,340.0,340.0,340.0,100
2020-03-19,234.84271240234375,384.0,424.0,318.0,324.0,1200
2020-03-20,218.94192504882812,358.0,360.0,358.0,360.0,9700
2020-03-23,218.94192504882812,358.0,358.0,334.0,358.0,2400
2020-03-24,212.82623291015625,348.0,350.0,334.0,334.0,10400
2020-03-26,236.06591796875,386.0,420.0,324.0,352.0,28300
2020-03-27,220.16505432128906,360.0,406.0,360.0,406.0,25400
2020-03-30,220.16505432128906,360.0,360.0,360.0,360.0,0
2020-03-31,209.1567840576172,342.0,342.0,336.0,336.0,200
2020-04-01,221.38819885253906,362.0,366.0,320.0,334.0,32900
2020-04-02,207.9336700439453,340.0,358.0,340.0,342.0,4300
2020-04-03,210.37994384765625,344.0,376.0,342.0,342.0,6000
2020-04-06,240.9584503173828,394.0,414.0,394.0,414.0,200
2020-04-07,236.06591796875,386.0,406.0,368.0,406.0,7500
2020-04-08,220.16505432128906,360.0,380.0,360.0,380.0,1300
2020-04-09,205.48739624023438,336.0,348.0,336.0,338.0,190800
2020-04-13,203.0410919189453,332.0,336.0,314.0,336.0,361700
2020-04-14,200.59483337402344,328.0,340.0,318.0,332.0,28100
2020-04-15,201.81797790527344,330.0,340.0,330.0,332.0,110700
2020-04-16,232.39642333984375,380.0,392.0,314.0,316.0,108600
2020-04-17,225.05763244628906,368.0,378.0,354.0,370.0,125100
2020-04-20,223.83445739746094,366.0,380.0,350.0,380.0,31100
