Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,139.0,139.0,142.0,137.0,141.0,877100
2020-01-03,148.0,148.0,149.0,139.0,139.0,3207100
2020-01-06,150.0,150.0,158.0,142.0,148.0,23390300
2020-01-07,148.0,148.0,153.0,147.0,150.0,2575600
2020-01-08,145.0,145.0,150.0,145.0,145.0,2493500
2020-01-09,146.0,146.0,150.0,145.0,145.0,1288600
2020-01-10,145.0,145.0,148.0,142.0,145.0,1877300
2020-01-13,147.0,147.0,151.0,146.0,146.0,3801000
2020-01-14,144.0,144.0,149.0,143.0,147.0,2177400
2020-01-15,140.0,140.0,145.0,140.0,144.0,2132600
2020-01-16,145.0,145.0,156.0,139.0,140.0,4478700
2020-01-17,143.0,143.0,151.0,141.0,146.0,4095100
2020-01-20,140.0,140.0,145.0,139.0,143.0,1433500
2020-01-21,139.0,139.0,144.0,139.0,144.0,3046400
2020-01-22,133.0,133.0,141.0,132.0,141.0,1983900
2020-01-23,132.0,132.0,135.0,130.0,135.0,1511500
2020-01-24,130.0,130.0,133.0,130.0,133.0,705000
2020-01-27,124.0,124.0,130.0,120.0,130.0,2022900
2020-01-28,119.0,119.0,124.0,117.0,123.0,3055700
2020-01-29,122.0,122.0,128.0,119.0,120.0,4377200
2020-01-30,119.0,119.0,123.0,119.0,123.0,1272600
2020-01-31,118.0,118.0,120.0,117.0,119.0,822800
2020-02-03,111.0,111.0,117.0,109.0,117.0,2546500
2020-02-04,110.0,110.0,115.0,107.0,115.0,1015300
2020-02-05,110.0,110.0,115.0,107.0,111.0,1954500
2020-02-06,112.0,112.0,115.0,110.0,110.0,888700
2020-02-07,113.0,113.0,122.0,107.0,107.0,3401400
2020-02-10,111.0,111.0,115.0,103.0,103.0,876100
2020-02-11,111.0,111.0,113.0,110.0,111.0,136100
2020-02-12,113.0,113.0,116.0,111.0,111.0,1511000
2020-02-13,113.0,113.0,115.0,111.0,114.0,807600
2020-02-14,112.0,112.0,113.0,110.0,113.0,803000
2020-02-17,111.0,111.0,111.0,108.0,111.0,371100
2020-02-18,114.0,114.0,116.0,110.0,110.0,2702800
2020-02-19,115.0,115.0,117.0,113.0,114.0,774100
2020-02-20,117.0,117.0,120.0,115.0,117.0,2446500
2020-02-21,115.0,115.0,119.0,115.0,117.0,1364600
2020-02-24,111.0,111.0,115.0,110.0,115.0,605000
2020-02-25,111.0,111.0,112.0,109.0,110.0,206200
2020-02-26,108.0,108.0,111.0,107.0,110.0,1133000
2020-02-27,100.0,100.0,110.0,98.0,108.0,3431200
2020-02-28,97.0,97.0,104.0,93.0,97.0,1658300
2020-03-02,100.0,100.0,103.0,96.0,97.0,786800
2020-03-03,104.0,104.0,108.0,101.0,103.0,1644600
2020-03-04,106.0,106.0,110.0,104.0,104.0,869000
2020-03-05,107.0,107.0,112.0,102.0,109.0,1372400
2020-03-06,103.0,103.0,105.0,100.0,105.0,330800
2020-03-09,91.0,91.0,105.0,91.0,105.0,5051000
2020-03-10,91.0,91.0,96.0,88.0,91.0,1308200
2020-03-11,90.0,90.0,95.0,89.0,92.0,1745300
2020-03-12,86.0,86.0,90.0,83.0,90.0,2158100
2020-03-13,86.0,86.0,86.0,86.0,86.0,0
2020-03-16,83.0,83.0,95.0,80.0,86.0,606900
2020-03-17,78.0,78.0,84.0,78.0,83.0,2911300
2020-03-18,78.0,78.0,84.0,78.0,78.0,1673900
2020-03-19,74.0,74.0,82.0,73.0,78.0,9246600
2020-03-20,75.0,75.0,78.0,73.0,73.0,3732800
2020-03-23,74.0,74.0,83.0,73.0,74.0,2389000
2020-03-24,75.0,75.0,78.0,73.0,73.0,1695500
2020-03-26,82.0,82.0,83.0,78.0,78.0,1896600
2020-03-27,89.0,89.0,94.0,79.0,79.0,1822800
2020-03-30,86.0,86.0,91.0,83.0,91.0,350800
2020-03-31,89.0,89.0,89.0,83.0,86.0,983600
2020-04-01,84.0,84.0,89.0,83.0,85.0,3108500
2020-04-02,83.0,83.0,85.0,81.0,85.0,423300
2020-04-03,82.0,82.0,88.0,80.0,83.0,3393100
2020-04-06,87.0,87.0,90.0,82.0,83.0,2116600
2020-04-07,90.0,90.0,93.0,87.0,91.0,1354000
2020-04-08,93.0,93.0,99.0,88.0,90.0,3012700
2020-04-09,107.0,107.0,119.0,95.0,95.0,16821200
2020-04-13,108.0,108.0,112.0,102.0,110.0,3040400
2020-04-14,117.0,117.0,119.0,108.0,109.0,4995100
2020-04-15,118.0,118.0,125.0,116.0,118.0,4639600
2020-04-16,115.0,115.0,133.0,112.0,118.0,17409600
2020-04-17,115.0,115.0,118.0,110.0,118.0,2224200
2020-04-20,115.0,115.0,118.0,112.0,116.0,1950100
2020-04-21,107.0,107.0,117.0,107.0,117.0,1465300
2020-04-22,105.0,105.0,111.0,100.0,105.0,2416800
2020-04-23,105.0,105.0,114.0,103.0,110.0,726400
2020-04-24,110.0,110.0,115.0,101.0,101.0,2091700
2020-04-27,105.0,105.0,111.0,103.0,103.0,846100
2020-04-28,107.0,107.0,109.0,105.0,107.0,188100
2020-04-29,109.0,109.0,109.0,105.0,108.0,524500
2020-04-30,109.0,109.0,113.0,108.0,110.0,1220100
2020-05-04,107.0,107.0,108.0,104.0,108.0,1037300
2020-05-05,105.0,105.0,113.0,104.0,107.0,2368200
2020-05-06,108.0,108.0,109.0,105.0,105.0,485700
2020-05-08,108.0,108.0,111.0,105.0,110.0,1167600
2020-05-11,117.0,117.0,123.0,107.0,107.0,12645500
2020-05-12,111.0,111.0,122.0,111.0,115.0,6091900
2020-05-13,111.0,111.0,114.0,107.0,111.0,883100
2020-05-14,112.0,112.0,114.0,107.0,111.0,367400
2020-05-15,108.0,108.0,116.0,105.0,112.0,1827300
2020-05-18,109.0,109.0,112.0,106.0,109.0,789600
2020-05-19,110.0,110.0,114.0,108.0,109.0,265300
2020-05-20,110.0,110.0,112.0,108.0,111.0,1020300
2020-05-26,110.0,110.0,113.0,109.0,110.0,908200
2020-05-27,110.0,110.0,118.0,109.0,112.0,1993100
2020-05-28,112.0,112.0,115.0,111.0,112.0,256600
2020-05-29,110.0,110.0,114.0,110.0,112.0,789300
2020-06-02,113.0,113.0,114.0,110.0,113.0,1381300
2020-06-03,127.0,127.0,128.0,114.0,114.0,14790200
2020-06-04,121.0,121.0,133.0,120.0,128.0,5260700
2020-06-05,121.0,121.0,123.0,117.0,123.0,2498500
2020-06-08,125.0,125.0,131.0,120.0,123.0,4046700
2020-06-09,123.0,123.0,128.0,122.0,127.0,1164200
2020-06-10,120.0,120.0,125.0,118.0,125.0,1364100
2020-06-11,120.0,120.0,122.0,117.0,122.0,1148100
2020-06-12,117.0,117.0,120.0,116.0,119.0,753500
2020-06-15,118.0,118.0,126.0,117.0,120.0,1946000
2020-06-16,120.0,120.0,123.0,118.0,120.0,1075800
2020-06-17,121.0,121.0,123.0,118.0,123.0,584000
2020-06-18,123.0,123.0,135.0,119.0,122.0,6231700
2020-06-19,119.0,119.0,125.0,119.0,124.0,1510900
2020-06-22,120.0,120.0,123.0,119.0,121.0,506800
2020-06-23,119.0,119.0,122.0,118.0,122.0,431100
2020-06-24,120.0,120.0,121.0,119.0,121.0,3584600
2020-06-25,118.0,118.0,122.0,117.0,121.0,1461400
2020-06-26,118.0,118.0,121.0,117.0,119.0,2040300
2020-06-29,117.0,117.0,119.0,116.0,118.0,806800
2020-06-30,117.0,117.0,123.0,117.0,118.0,3219600
2020-07-01,116.0,116.0,120.0,116.0,119.0,485200
2020-07-02,116.0,116.0,119.0,116.0,117.0,659100
2020-07-03,115.0,115.0,119.0,114.0,119.0,1491300
2020-07-06,113.0,113.0,115.0,111.0,115.0,1247800
2020-07-07,111.0,111.0,115.0,110.0,113.0,1008900
2020-07-08,111.0,111.0,115.0,110.0,113.0,797900
2020-07-09,111.0,111.0,115.0,110.0,112.0,796600
2020-07-10,111.0,111.0,113.0,110.0,112.0,591400
2020-07-13,111.0,111.0,114.0,107.0,112.0,1486000
2020-07-14,110.0,110.0,111.0,109.0,111.0,382300
2020-07-15,113.0,113.0,114.0,109.0,110.0,1026200
2020-07-16,113.0,113.0,118.0,113.0,113.0,1118300
2020-07-17,112.0,112.0,115.0,110.0,115.0,837200
2020-07-20,110.0,110.0,114.0,109.0,112.0,506000
2020-07-21,116.0,116.0,121.0,110.0,111.0,7050600
2020-07-22,114.0,114.0,119.0,113.0,118.0,1945200
2020-07-23,113.0,113.0,116.0,111.0,115.0,684400
2020-07-24,114.0,114.0,115.0,112.0,112.0,878700
2020-07-27,115.0,115.0,116.0,111.0,115.0,1014300
2020-07-28,113.0,113.0,116.0,111.0,115.0,871200
2020-07-29,111.0,111.0,115.0,109.0,113.0,1555300
2020-07-30,110.0,110.0,112.0,108.0,111.0,2041500
2020-08-03,103.0,103.0,110.0,103.0,110.0,1506300
2020-08-04,104.0,104.0,107.0,103.0,107.0,915500
2020-08-05,106.0,106.0,111.0,104.0,104.0,467100
2020-08-06,110.0,110.0,111.0,106.0,107.0,1321400
2020-08-07,110.0,110.0,112.0,108.0,111.0,597600
2020-08-10,109.0,109.0,112.0,108.0,110.0,728900
2020-08-11,111.0,111.0,113.0,109.0,111.0,1301600
2020-08-12,111.0,111.0,112.0,110.0,112.0,603400
2020-08-13,110.0,110.0,115.0,110.0,112.0,1660000
2020-08-14,109.0,109.0,112.0,108.0,112.0,936300
2020-08-18,110.0,110.0,111.0,108.0,109.0,454700
2020-08-19,110.0,110.0,111.0,108.0,110.0,685400
2020-08-24,109.0,109.0,111.0,107.0,111.0,147200
2020-08-25,109.0,109.0,111.0,107.0,111.0,832200
2020-08-26,110.0,110.0,112.0,109.0,111.0,1347300
2020-08-27,111.0,111.0,113.0,109.0,110.0,862200
